PKT,MaxTemperatureC,MeanTemperatureC,MinTemperatureC,DewPointC,MeanDewPointC,MinDewpointC,MaxHumidity,MeanHumidity,MinHumidity,MaxSeaLeve Pressure,MeanSeaLevelPressure,MinSeaLevelPressure,MaxVisibility,MeanVisibility,MinVisibility,MaxWindSpeed,MeanWindSpeed,MaxGustSpeed,Precipitationmm,CloudCover,Events,WindDirDegrees
5,36,32,28,27,25,23,79,67,49,1007,1006,1004,7,6,3,27,21,,0.00,3,,240
5,36,32,28,27,24,23,79,66,47,1007,1006,1004,7,6,3,34,21,,0.00,3,,233
5,36,32,28,27,24,22,79,66,43,1006,1004,1002,7,6,3,34,23,,0.00,2,,237
5,36,32,29,27,24,22,79,65,47,1005,1003,1001,7,6,3,34,23,,0.00,1,,225
5,37,33,29,27,24,19,79,63,35,1005,1003,1002,6,5,3,45,21,,0.00,2,,228
5,36,32,28,28,25,22,86,69,44,1006,1004,1003,6,5,3,40,23,,0.00,2,,238
5,36,32,28,27,25,23,82,68,47,1007,1005,1003,7,6,3,34,21,,0.00,4,,227
5,36,32,28,27,25,24,81,68,53,1007,1005,1002,7,6,3,29,19,,0.00,2,,234
5,36,32,29,28,24,21,83,67,43,1005,1004,1002,7,6,3,32,19,,0.00,2,,227
5,36,32,28,26,23,18,84,63,36,1007,1005,1003,7,6,3,23,16,,0.00,2,,214
5,35,31,28,26,24,22,79,65,47,1007,1006,1004,7,6,3,32,21,,0.00,3,,233
5,36,32,28,28,25,24,84,68,52,1005,1003,1001,7,6,3,27,18,,0.00,3,,228
6,36,32,29,28,26,24,86,71,53,1002,999,997,7,6,3,26,16,,0.00,3,,221
6,40,34,29,28,25,19,86,63,31,1004,1001,999,6,5,3,37,18,,0.00,3,,201
6,36,32,28,27,23,15,79,58,42,1006,1004,1002,31,5,0,177,19,69,0.00,3,,89
6,38,32,26,21,15,11,54,36,16,1009,1007,1005,7,5,2,55,23,,0.00,3,Thunderstorm,24
6,39,33,28,23,16,11,66,36,16,1009,1007,1005,6,5,3,32,16,,0.00,1,,252
6,36,31,25,26,23,19,78,60,39,1007,1005,1002,7,6,3,27,19,,0.00,3,,234
6,36,32,28,27,24,20,79,62,44,1004,1002,1000,7,6,3,34,21,,0.00,2,,229
6,35,32,28,27,23,16,79,63,38,1005,1003,1002,7,6,3,23,14,,0.00,6,,221
6,36,32,29,25,22,20,70,55,45,1005,1004,1002,7,6,3,26,14,,0.00,4,,194
6,36,32,29,26,23,20,74,60,40,1005,1003,1002,8,7,3,26,14,,0.00,2,,210
6,35,32,29,26,23,21,74,59,10,1005,1004,1003,7,6,3,26,18,,0.00,3,,221
6,36,32,29,26,24,21,74,61,40,1005,1003,1001,8,6,3,27,18,,0.00,2,,228
6,36,32,28,27,24,22,74,61,43,1002,1001,999,7,6,3,37,24,,0.00,4,,236
6,35,32,29,27,24,23,74,64,52,1001,1000,998,6,5,3,47,31,,0.00,4,,241
6,35,32,29,26,24,22,74,63,46,1001,1000,998,7,6,3,45,29,,0.00,4,,241
6,36,30,25,27,24,23,89,65,49,1002,1000,997,7,6,3,29,19,,0.00,4,,239
6,37,33,29,27,24,15,79,62,28,1001,1000,997,7,6,3,27,16,,0.00,3,,249
6,39,34,29,27,23,19,74,52,31,1003,999,997,7,6,3,26,13,,0.00,1,,268
6,40,36,31,28,22,19,68,48,28,999,998,995,7,6,3,23,13,,0.00,1,,262
6,44,38,31,27,22,15,70,45,18,998,995,992,8,6,3,27,11,,0.00,2,,258
6,42,38,33,26,21,17,59,37,16,997,995,993,8,6,3,34,13,,0.00,2,Rain,64
6,42,38,33,28,22,18,55,42,30,996,994,992,7,5,3,37,13,,0.00,3,Thunderstorm,82
6,41,37,32,27,23,16,66,47,27,996,994,992,7,6,3,34,13,,0.00,1,Thunderstorm,252
6,37,33,30,27,25,23,73,62,44,996,995,992,6,5,3,37,21,,0.00,3,Thunderstorm,243
6,37,33,30,28,26,24,75,64,49,997,995,993,6,5,3,27,18,,0.00,5,,225
6,37,33,30,28,25,24,75,64,50,998,996,994,6,5,3,34,19,,0.00,3,,221
6,36,33,30,28,25,23,74,62,46,1000,998,996,7,6,3,32,21,,0.00,3,,235
6,37,33,30,28,26,24,75,63,50,1003,1001,999,7,6,3,34,21,,0.00,3,,242
6,36,33,30,28,25,20,77,64,41,1005,1003,1002,7,6,3,39,23,,0.00,3,,245
6,35,32,29,27,24,22,77,62,47,1004,1003,1001,6,5,3,45,29,,0.00,4,,250
7,35,32,30,26,24,22,70,61,48,1005,1003,1002,7,6,3,40,26,,0.00,5,,236
7,35,32,29,26,23,22,70,60,46,1006,1004,1003,7,6,3,42,31,,0.00,4,,243
7,35,32,29,26,23,22,74,59,48,1006,1004,1003,6,5,3,48,31,,0.00,5,,245
7,35,32,29,26,24,22,73,61,47,1005,1003,1002,6,5,3,45,34,,0.00,5,Rain,246
7,33,31,29,27,24,6,74,66,11,1003,1000,998,6,5,3,47,32,,0.00,6,,247
7,34,32,29,28,26,25,79,71,59,998,996,995,6,6,3,34,26,,0.00,6,,236
7,35,32,29,27,26,24,79,69,56,1000,997,995,7,6,3,40,31,,0.00,6,,242
7,34,32,29,27,24,23,79,67,55,1003,1001,998,7,6,3,34,19,,0.00,6,Rain,234
7,34,32,30,26,24,21,75,64,49,1003,1001,1000,6,5,3,39,29,,0.00,6,,248
7,34,31,29,26,24,22,70,64,51,1001,998,995,6,5,3,47,29,,0.00,6,,244
7,35,32,30,28,24,23,77,66,52,1001,998,996,6,6,3,29,19,,0.00,6,,234
7,35,32,29,27,24,23,77,65,48,1004,1002,1000,7,6,3,27,14,,0.00,4,,235
7,36,32,28,26,23,22,77,61,47,1005,1003,1001,7,6,3,32,18,,0.00,3,,241
7,34,32,29,26,23,22,70,62,49,1004,1002,1000,7,6,3,34,23,,0.00,5,,246
7,33,31,29,26,23,22,74,64,55,1001,998,997,6,6,3,45,29,,0.00,6,,248
7,34,31,29,26,24,15,79,68,40,997,995,993,6,6,3,40,23,,0.00,4,,243
7,34,32,30,27,25,23,77,69,56,998,995,993,6,6,3,32,21,,0.00,6,,234
7,34,32,29,27,24,23,79,67,51,1001,999,997,7,6,3,32,16,,0.00,6,,230
7,34,31,28,26,24,22,74,64,48,1006,999,997,7,6,3,37,24,,0.00,6,Rain,235
7,34,31,29,26,23,21,74,62,46,1000,999,997,8,7,3,29,24,,0.00,5,,242
7,36,31,25,27,24,22,83,64,44,1004,1000,998,7,5,3,42,16,,0.00,5,Rain-Thunderstorm,248
7,35,30,24,28,24,23,84,71,52,1003,1001,999,7,5,3,27,13,,0.25,6,Rain-Thunderstorm,262
7,33,29,26,27,26,23,96,75,62,1003,1001,999,7,5,0,35,13,,27.94,7,Rain-Thunderstorm,266
7,34,32,29,28,26,24,91,72,59,1003,1002,1000,7,6,3,23,11,,0.00,5,Thunderstorm,254
7,32,30,28,27,25,24,89,75,62,1010,1001,999,7,6,3,29,18,,0.51,7,Rain,246
7,30,28,27,27,25,23,94,82,70,1001,1000,997,6,5,2,29,18,,5.08,7,Rain-Hail-Thunderstorm,242
7,30,27,24,26,24,5,89,76,22,1001,1000,998,7,5,3,34,19,,2.03,7,Rain-Hail-Thunderstorm,255
7,31,28,25,26,24,24,82,75,66,1001,999,998,7,5,3,40,27,,1.02,7,Rain-Thunderstorm,248
7,32,30,27,26,24,22,82,71,55,1002,1000,999,7,6,3,188,23,,0.00,5,,232
7,32,29,27,25,23,23,84,72,58,1002,1001,1000,7,6,3,29,23,,0.00,5,,230
7,31,29,28,25,23,22,79,69,55,1002,1001,1000,7,6,3,37,24,,0.00,6,,228
8,32,29,27,25,22,-22,79,66,4,1005,1003,1002,7,6,3,37,24,,0.00,6,,232
8,33,30,27,25,22,19,77,64,46,1007,1005,1004,7,6,3,29,21,,0.00,5,,232
8,31,29,27,24,22,20,74,65,52,1006,1005,1004,7,6,3,27,19,,0.00,5,,241
8,32,29,27,24,22,21,78,66,52,1005,1003,1002,7,6,3,35,23,,0.00,5,,245
8,30,28,27,24,22,2,74,66,18,1003,1001,1000,6,5,3,39,26,,0.00,6,Rain,240
8,31,28,26,24,23,22,79,70,57,1001,1000,999,7,6,3,27,19,,0.00,6,Rain,238
8,31,29,26,24,23,22,79,71,58,1003,1001,1000,8,6,3,23,18,,0.00,6,,233
8,30,28,27,24,23,22,77,69,62,1003,1002,1000,7,6,3,26,18,,0.00,6,,227
8,32,29,26,24,22,20,79,68,52,1002,1000,999,7,6,3,130,16,,0.00,6,,229
8,31,29,27,25,22,21,77,66,54,1003,1001,1000,6,5,3,19,13,,0.00,5,,224
8,33,29,26,25,22,21,83,67,50,1005,1003,1002,8,6,3,19,8,,0.00,3,,233
8,33,29,26,25,22,20,77,63,44,1006,1004,1003,7,6,3,24,13,,0.00,3,,229
8,34,31,27,25,23,3,79,65,19,1005,1004,1002,7,6,3,23,14,,0.00,4,,235
8,33,30,27,26,23,22,79,67,52,1004,1003,1001,7,6,3,26,16,,0.00,5,,234
8,34,31,28,26,24,22,79,68,49,1006,1004,1002,7,6,3,24,16,,0.00,4,,231
8,34,31,27,26,23,21,79,65,45,1007,1005,1001,8,6,3,26,18,,0.00,5,,239
8,33,31,28,25,23,21,79,65,49,1005,1004,1003,8,6,3,27,21,,0.00,4,,242
8,34,31,27,25,22,20,77,63,44,1006,1005,1003,8,6,3,27,19,,0.00,4,,239
8,33,30,27,25,22,19,77,63,43,1007,1006,1005,7,6,3,35,23,,0.00,4,,236
8,32,29,27,25,22,20,79,65,48,1006,1005,1003,6,5,3,42,26,,0.00,5,,240
8,31,28,26,25,23,22,77,70,62,1005,1004,1003,7,6,3,40,29,,0.00,6,Rain,233
8,30,28,25,26,24,22,89,77,65,1004,1003,1001,7,6,3,34,23,,0.51,6,Rain-Thunderstorm,230
8,30,28,26,25,23,23,84,74,66,1004,1003,1002,7,6,3,29,21,,0.00,6,Rain-Snow,234
8,32,29,26,25,23,21,82,68,51,1007,1005,1004,7,6,3,34,21,,0.00,5,,231
8,31,29,27,25,23,20,74,69,55,1007,1005,1003,7,6,3,29,18,,0.00,5,,233
8,36,31,26,24,22,21,74,67,44,1005,1004,1002,7,6,3,29,21,,0.00,6,,241
8,32,29,26,25,23,22,79,67,54,1005,1003,1002,7,6,3,23,18,,0.00,6,,226
8,32,30,27,25,23,22,77,67,51,1006,1004,1003,7,6,3,235,18,,0.00,5,,225
8,33,30,27,25,23,22,77,66,53,1006,1004,1003,7,6,3,26,14,,0.00,4,,234
8,32,30,27,25,23,3,74,68,17,1005,1004,1002,7,6,3,26,16,,0.00,5,,225
8,32,29,26,25,23,22,79,68,54,1006,1004,1002,7,6,3,185,23,,0.00,6,,224
9,32,29,26,24,21,19,79,63,45,1006,1005,1003,7,6,3,23,16,,0.00,4,,225
9,32,28,25,23,21,17,74,61,45,1006,1004,1003,7,6,3,29,18,,0.00,5,,228
9,32,29,26,24,21,19,73,61,44,1009,1006,1005,7,6,3,27,13,,0.00,4,,228
9,34,30,26,24,21,20,78,64,41,1013,1011,1008,7,6,3,14,8,,0.00,3,,228
9,34,29,25,24,21,18,78,62,37,1013,1011,1009,7,6,3,26,16,,0.00,2,,242
9,32,29,26,24,22,21,74,65,48,1011,1009,1007,7,6,3,34,21,,0.00,4,,239
9,33,29,26,24,22,21,79,67,50,1009,1008,1006,7,6,3,24,19,,0.00,5,,227
9,33,29,26,24,22,21,79,65,47,1009,1008,1006,8,6,3,23,14,,0.00,2,,229
9,33,30,26,24,22,21,77,63,47,1010,1008,1006,7,6,3,27,14,,0.00,2,,233
9,33,30,27,24,23,22,79,66,47,1011,1009,1007,7,6,3,24,13,,0.00,3,,235
9,36,30,25,24,21,18,78,58,33,1011,1009,1007,8,6,3,19,11,,0.00,2,,233
9,37,31,26,25,22,17,79,60,30,1010,1008,1006,7,6,3,23,14,,0.00,2,,243
9,35,30,26,24,22,20,79,64,44,1011,1009,1007,7,6,3,29,16,,0.00,3,,242
9,33,30,27,28,23,22,79,66,52,1009,1007,1004,7,6,3,29,18,,0.00,4,,234
9,33,30,27,24,23,22,74,65,52,1006,1005,1003,7,6,3,26,18,,0.00,4,,233
9,33,30,27,24,22,21,79,64,47,1006,1005,1003,8,6,3,26,13,,0.00,3,,232
9,35,31,27,25,23,21,84,67,44,1007,1005,1002,7,6,3,23,14,,0.00,3,,245
9,39,32,26,26,22,17,83,60,27,1007,1005,1003,7,5,3,26,10,,0.00,4,,253
9,42,34,27,24,18,8,74,43,13,1005,1002,999,7,6,2,24,11,,0.00,4,,280
9,42,35,28,25,16,8,66,37,12,1003,1001,998,7,6,3,29,10,,0.00,2,,320
9,39,33,28,25,21,17,74,52,27,1003,1001,999,7,5,0,55,10,,0.00,4,,208
9,36,32,28,25,20,14,84,55,28,1005,1003,1001,7,5,3,21,8,,0.00,1,,199
9,34,29,25,24,21,18,74,58,44,1009,1007,1004,8,6,3,29,14,,0.00,1,,212
9,33,29,26,24,22,20,74,63,47,1009,1007,1006,7,6,3,27,16,,0.00,3,,230
9,33,30,27,24,22,20,74,64,49,1008,1006,1005,10,7,3,39,23,,0.00,4,,235
9,33,29,26,24,22,21,78,65,50,1009,1007,1005,7,6,3,34,18,,0.00,3,,237
9,33,29,26,24,22,20,74,64,44,1010,1008,1007,8,6,3,26,16,,0.00,3,,234
9,34,30,25,24,22,20,83,66,42,1012,1009,1008,7,6,3,23,11,,0.00,2,,226
9,36,30,25,23,21,13,83,60,28,1013,1011,1009,7,6,3,23,8,,0.00,2,,229
9,40,31,23,22,12,5,78,36,12,1015,1013,1012,8,5,3,23,6,,0.00,,,296
10,41,32,23,16,8,5,36,22,10,1015,1012,1010,9,7,3,19,8,,0.00,3,,283
10,41,32,23,19,11,5,50,29,9,1014,1012,1010,6,5,3,23,5,,0.00,,,240
10,39,31,23,25,16,8,79,42,15,1012,1010,1008,7,6,3,26,11,,0.00,,,242
10,34,30,26,26,23,22,84,69,54,1011,1009,1007,7,6,3,26,14,,0.00,3,,229
