HoraCEST,TemperaturaC,Punto de rocíoC,Humedad,Presión al nivel del marhPa,VisibilidadKm,Wind Direction,Velocidad del vientoKm/h,Velocidad de ráfagasKm/h,Precipitaciónmm,Eventos,Conditions,WindDirDegrees,DateUTC
10:00 AM,17.0,13.0,77,1019,10.0,Variable,1.9,-,N/A,,Parcialmente nublado,0,2011-10-22 08:00:00
10:30 AM,18.0,13.0,73,1019,10.0,Variable,1.9,-,N/A,,Parcialmente nublado,0,2011-10-22 08:30:00
11:00 AM,19.0,13.0,68,1019,10.0,ONO,5.6,-,N/A,,Parcialmente nublado,300,2011-10-22 09:00:00
11:30 AM,20.0,12.0,60,1019,10.0,Variable,3.7,-,N/A,,Parcialmente nublado,0,2011-10-22 09:30:00
12:00 PM,22.0,12.0,53,1018,10.0,Calm,Calm,-,N/A,,Parcialmente nublado,0,2011-10-22 10:00:00
12:30 PM,22.0,12.0,53,1018,10.0,Variable,3.7,-,N/A,,Parcialmente nublado,0,2011-10-22 10:30:00
1:00 PM,23.0,12.0,50,1018,10.0,Calm,Calm,-,N/A,,Parcialmente nublado,0,2011-10-22 11:00:00
1:30 PM,23.0,13.0,53,1018,10.0,SE,11.1,-,N/A,,Nubes dispersas,140,2011-10-22 11:30:00
2:00 PM,22,10,37,1018,40,ESE,14.8,,,,Parcialmente nublado,120,2011-10-22 12:00:00
2:00 PM,22.0,13.0,57,1017,10.0,SE,13.0,-,N/A,,Nubes dispersas,130,2011-10-22 12:00:00
2:30 PM,22.0,13.0,57,1017,10.0,ESE,13.0,-,N/A,,Nubes dispersas,120,2011-10-22 12:30:00
3:00 PM,22.0,13.0,57,1017,10.0,ESE,13.0,-,N/A,,Nubes dispersas,120,2011-10-22 13:00:00
3:30 PM,22.0,14.0,60,1016,10.0,ESE,14.8,-,N/A,,Nubes dispersas,120,2011-10-22 13:30:00
4:00 PM,22.0,14.0,60,1016,10.0,ESE,14.8,-,N/A,,Parcialmente nublado,120,2011-10-22 14:00:00
4:30 PM,23.0,14.0,57,1016,10.0,SE,16.7,-,N/A,,Parcialmente nublado,140,2011-10-22 14:30:00
5:00 PM,22.0,14.0,60,1016,10.0,ESE,18.5,-,N/A,,Parcialmente nublado,120,2011-10-22 15:00:00
5:30 PM,22.0,14.0,60,1017,10.0,SE,16.7,-,N/A,,Parcialmente nublado,140,2011-10-22 15:30:00
6:00 PM,22.0,14.0,60,1017,10.0,ESE,16.7,-,N/A,,Parcialmente nublado,120,2011-10-22 16:00:00
6:30 PM,21.0,15.0,68,1017,10.0,SE,14.8,-,N/A,,Parcialmente nublado,130,2011-10-22 16:30:00
7:00 PM,21.0,15.0,68,1017,10.0,SE,11.1,-,N/A,,Parcialmente nublado,130,2011-10-22 17:00:00
7:30 PM,21.0,15.0,68,1017,10.0,ESE,5.6,-,N/A,,Parcialmente nublado,120,2011-10-22 17:30:00
8:00 PM,19,12,55,1017,30,ESE,5.6,,,,Nubes dispersas,120,2011-10-22 18:00:00
8:00 PM,20.0,15.0,73,1017,10.0,SE,5.6,-,N/A,,Parcialmente nublado,130,2011-10-22 18:00:00
8:30 PM,21.0,15.0,68,1017,10.0,Variable,3.7,-,N/A,,Parcialmente nublado,0,2011-10-22 18:30:00
9:00 PM,20.0,14.0,68,1017,10.0,Variable,1.9,-,N/A,,Parcialmente nublado,0,2011-10-22 19:00:00
9:30 PM,20.0,15.0,73,1017,10.0,NNE,5.6,-,N/A,,Parcialmente nublado,20,2011-10-22 19:30:00
10:00 PM,20.0,14.0,68,1017,10.0,NNE,5.6,-,N/A,,Parcialmente nublado,20,2011-10-22 20:00:00
10:30 PM,19.0,14.0,73,1017,10.0,Variable,1.9,-,N/A,,Nubes dispersas,0,2011-10-22 20:30:00
11:00 PM,19.0,15.0,78,1017,10.0,Variable,1.9,-,N/A,,Parcialmente nublado,0,2011-10-22 21:00:00
11:30 PM,19.0,14.0,73,1017,10.0,NO,5.6,-,N/A,,Nubes dispersas,320,2011-10-22 21:30:00
