CET,Temperatura m‡ximaC,Temperatura mediaC,Temperatura m’nimaC,Punto de roc’oC,MeanDew PointC,Min DewpointC,Max Humedad, Mean Humedad, Min Humedad, Max Presi—n al nivel del marhPa, Mean Presi—n al nivel del marhPa, Min Presi—n al nivel del marhPa, Max VisibilidadKm, Mean VisibilidadKm, Min VisibilidadkM, Max Velocidad del vientoKm/h, Mean Velocidad del vientoKm/h, Max Velocidad de r‡fagasKm/h,Precipitaci—nmm, CloudCover, Eventos,WindDirDegrees
2010-2-16,1,-2,-4,-5,-7,-8,86,73,64,1003,1002,999,10,9,7,21,14,,0.00,2,,161
2010-2-17,6,1,-3,-1,-4,-8,87,67,52,996,994,992,10,8,6,26,19,40,0.00,5,Lluvia-Nieve,140
2010-2-18,5,3,2,3,1,-1,100,83,70,997,995,992,10,9,7,21,11,,0.00,6,Lluvia,198
2010-2-19,6,3,1,2,0,-2,87,76,66,994,992,990,10,10,10,24,16,,0.00,6,,221
2010-2-20,4,2,0,-1,-2,-4,93,78,65,999,996,995,10,10,1,27,19,,0.00,4,Nieve,228
2010-2-21,6,2,-1,2,-2,-5,100,81,65,1000,998,996,10,5,1,16,6,,0.00,5,Nieve,168
2010-2-22,9,6,3,5,2,-1,87,76,66,993,989,985,10,9,2,32,19,,0.00,5,Lluvia,170
2010-2-23,7,3,0,6,0,-3,93,90,80,996,994,989,10,4,1,23,10,,0.00,7,Niebla-Lluvia-Nieve,47
2010-2-24,11,7,3,6,4,2,93,78,66,999,998,996,10,10,10,27,16,,0.00,4,Lluvia,193
2010-2-25,10,8,6,5,3,2,81,74,66,998,995,990,10,10,10,34,19,53,0.00,4,Lluvia,187
2010-2-26,11,7,3,6,4,1,87,78,66,999,991,987,10,9,7,34,23,60,0.00,5,Lluvia,204
2010-2-27,9,6,3,3,1,0,81,69,57,1002,1000,994,10,10,10,34,23,42,0.00,2,,195
2010-2-28,13,8,4,6,3,0,87,75,54,993,984,981,10,10,8,64,32,98,0.00,5,Lluvia,189
2010-3-1,6,3,2,2,0,-2,93,81,65,1013,1007,999,10,9,7,32,23,55,0.00,5,Lluvia,265
2010-3-2,6,3,0,0,-1,-3,93,80,57,1023,1020,1016,10,9,7,23,13,40,0.00,4,Lluvia-Nieve,267
2010-3-3,5,2,-1,0,-2,-4,93,75,53,1023,1021,1019,10,10,10,13,8,,0.00,3,,257
2010-3-4,4,-1,-5,0,-5,-9,93,71,51,1021,1019,1017,10,7,0,14,6,,0.00,3,Niebla,321
2010-3-5,1,-2,-5,-1,-6,-11,93,75,44,1025,1021,1012,10,6,1,34,11,53,0.00,6,Nieve,257
2010-3-6,0,-3,-7,-4,-7,-10,93,76,51,1029,1020,1010,10,8,1,23,11,29,0.00,5,Nieve,19
2010-3-7,3,-6,-13,-3,-11,-14,93,68,40,1033,1032,1030,10,10,6,16,5,,0.00,,,88
2010-3-8,2,-2,-6,-4,-7,-10,80,71,56,1028,1026,1024,10,10,10,14,5,,0.00,6,,57
2010-3-9,1,-4,-10,-7,-10,-12,86,62,41,1028,1027,1025,10,10,10,21,11,,0.00,,,94
2010-3-10,5,-2,-9,-4,-7,-12,86,66,49,1027,1024,1022,10,10,10,23,10,,0.00,,,71
2010-3-11,-2,-3,-5,-3,-4,-6,100,90,86,1020,1019,1017,6,4,2,11,5,,0.00,6,Nieve,315
2010-3-12,4,1,-2,1,-1,-8,93,80,55,1019,1017,1016,10,5,1,19,10,,0.00,6,Lluvia-Nieve,263
2010-3-13,5,3,1,2,1,0,93,87,76,1022,1021,1019,10,9,4,24,18,37,0.00,6,Lluvia-Nieve,278
2010-3-14,5,3,2,3,2,0,100,90,81,1020,1019,1017,10,7,4,26,21,47,0.00,6,Lluvia-Nieve,271
2010-3-15,6,3,1,4,2,-2,100,89,70,1022,1019,1016,10,8,4,27,18,52,0.00,6,Lluvia,270
2010-3-16,6,3,1,2,1,-4,93,80,65,1026,1024,1020,10,9,4,16,11,,0.00,5,Lluvia,281
2010-3-17,12,8,5,3,2,0,76,63,47,1025,1023,1023,10,9,8,24,16,42,0.00,3,,231
2010-3-18,17,11,6,4,1,-1,61,45,36,1023,1021,1017,10,9,8,19,13,,0.00,,,197
2010-3-19,16,13,11,8,5,-1,72,60,41,1017,1016,1013,10,10,8,29,19,,0.00,5,Lluvia,211
2010-3-20,16,13,11,11,9,7,94,79,63,1010,1009,1008,10,10,4,34,23,,0.00,6,Lluvia,215
2010-3-21,11,8,5,10,7,4,100,92,81,1021,1013,1006,10,8,3,21,11,,0.00,6,Lluvia,260
2010-3-22,11,7,3,6,5,2,93,78,67,1022,1021,1019,10,9,7,13,10,,0.00,6,Niebla,173
2010-3-23,13,10,7,7,4,2,87,69,51,1020,1019,1018,10,8,2,16,11,,0.00,5,,242
2010-3-24,18,13,8,6,5,4,76,56,40,1015,1012,1010,10,8,6,24,14,,0.00,,,143
2010-3-25,20,16,11,9,5,3,62,47,37,1009,1007,1005,10,8,6,27,13,,0.00,,,157
2010-3-26,13,9,6,10,6,4,93,83,67,1007,1006,1004,10,9,6,24,10,42,0.00,5,Lluvia,236
2010-3-27,12,9,6,6,4,2,87,74,51,1007,1005,1004,10,10,10,26,18,,0.00,5,Lluvia,236
2010-3-28,11,8,6,6,4,0,93,75,47,1009,1008,1006,10,10,5,27,19,48,0.00,5,Lluvia,244
2010-3-29,12,9,6,7,6,0,93,84,61,1005,1004,1002,10,9,3,16,8,,0.00,5,Lluvia,93
2010-3-30,18,14,9,8,6,3,87,64,42,997,994,992,10,10,10,29,19,,0.00,4,Lluvia,175
2010-3-31,12,8,4,2,1,-2,87,62,41,1001,999,998,10,9,2,39,23,60,0.00,3,Lluvia,200
2010-4-1,7,4,2,2,-1,-3,87,69,57,1014,1008,1002,10,10,6,37,27,55,0.00,5,Lluvia,219
2010-4-2,11,6,2,0,-2,-4,75,51,35,1015,1013,1010,10,10,6,29,19,,0.00,,,161
2010-4-3,13,9,5,5,3,1,81,67,47,1010,1009,1007,10,10,10,29,18,,0.00,4,Lluvia,161
2010-4-4,12,9,6,5,3,1,93,72,50,1014,1009,1006,10,10,8,34,16,52,0.00,5,Lluvia,212
2010-4-5,12,8,5,5,1,-2,93,64,41,1027,1024,1020,10,9,4,23,14,37,0.00,4,,267
2010-4-6,16,9,3,3,2,1,87,53,39,1026,1023,1019,10,9,4,24,13,,0.00,,,147
2010-4-7,20,14,9,4,2,-1,58,41,30,1019,1017,1017,10,9,4,34,14,,0.00,,,147
2010-4-8,13,9,6,10,7,3,94,82,67,1029,1024,1019,10,6,3,14,8,,0.00,6,Lluvia,290
2010-4-9,12,7,2,6,4,-1,100,77,62,1032,1031,1030,10,10,8,14,10,,0.00,4,,276
2010-4-10,10,6,2,4,2,0,100,76,54,1031,1029,1027,10,10,8,13,6,,0.00,4,,312
2010-4-11,9,6,2,4,2,-4,100,78,60,1027,1025,1024,10,9,4,27,10,,0.00,5,Lluvia,41
2010-4-12,11,7,3,5,3,2,93,79,62,1022,1020,1019,10,8,4,23,11,,0.00,5,,39
2010-4-13,15,8,1,6,3,0,93,65,42,1019,1017,1016,10,8,7,21,8,,0.00,3,,18
2010-4-14,14,8,2,5,2,0,93,62,44,1018,1017,1016,10,9,7,24,10,,0.00,3,,61
2010-4-15,15,9,3,3,1,-1,87,61,38,1020,1018,1017,10,9,4,14,6,,0.00,,,339
2010-4-16,10,6,2,3,1,-2,93,70,50,1023,1022,1020,10,9,5,14,8,,0.00,5,,313
2010-4-17,16,7,-2,4,0,-3,100,56,34,1024,1021,1018,10,10,10,11,6,,0.00,,,356
2010-4-18,20,10,1,6,2,-2,81,45,30,1015,1013,1011,10,10,5,16,8,,0.00,,,292
2010-4-19,14,8,3,5,2,-2,100,71,47,1017,1016,1014,10,6,2,10,5,,0.00,5,,342
2010-4-20,15,9,3,5,1,-2,70,54,41,1016,1013,1011,10,7,6,26,14,40,0.00,4,,251
2010-4-21,9,6,2,2,-1,-3,93,68,46,1018,1016,1015,10,10,10,24,16,40,0.00,4,Lluvia-Nieve,283
2010-4-22,12,7,2,1,-1,-3,81,62,44,1018,1017,1015,10,10,10,13,8,,0.00,5,,268
2010-4-23,15,7,-2,1,-2,-4,93,52,27,1017,1016,1015,10,10,10,11,6,,0.00,,,71
2010-4-24,20,10,1,3,1,-2,87,47,24,1022,1020,1018,10,9,4,14,8,,0.00,,,83
2010-4-25,23,17,11,4,2,1,54,34,23,1022,1021,1019,10,10,10,24,16,37,0.00,,,155
2010-4-26,16,13,10,10,9,5,100,80,67,1025,1023,1021,10,8,2,23,11,37,0.00,6,Lluvia,264
2010-4-27,17,12,7,9,7,4,94,71,45,1028,1027,1025,10,8,6,13,8,,0.00,5,,272
2010-4-28,22,14,7,8,6,3,87,52,35,1027,1024,1020,10,10,10,14,8,,0.00,,,176
2010-4-29,26,21,16,11,7,4,50,40,31,1016,1012,1007,10,9,4,21,14,,0.00,,,205
2010-4-30,19,14,8,11,8,6,87,67,55,1011,1009,1005,10,10,10,27,19,45,0.00,5,,259
2010-5-1,17,13,9,9,6,3,94,62,39,1011,1010,1008,10,9,7,21,13,,0.00,4,Lluvia,247
2010-5-2,15,11,7,10,8,6,100,86,63,1011,1009,1007,10,9,3,23,8,40,0.00,5,Lluvia-Tormenta,131
2010-5-3,10,7,4,8,3,-4,100,77,53,1015,1011,1008,10,2,0,11,5,,0.00,6,Niebla-Lluvia,262
2010-5-4,11,7,3,5,1,-4,100,66,49,1021,1020,1017,10,8,2,16,8,,0.00,4,,360
2010-5-5,12,6,-1,3,-1,-6,100,62,32,1021,1016,1011,10,10,10,26,10,,0.00,3,,58
2010-5-6,6,4,3,5,2,-4,100,80,53,1011,1006,1004,10,5,2,16,10,,0.00,6,Lluvia,34
2010-5-7,7,4,3,6,4,2,100,93,87,1008,1006,1004,10,7,1,8,5,,0.00,6,Lluvia,275
2010-5-8,11,8,5,6,4,3,93,75,62,1011,1010,1008,10,9,8,10,6,,0.00,5,,203
2010-5-9,15,10,6,7,6,3,100,70,45,1010,1008,1007,10,9,6,11,5,,0.00,5,,347
2010-5-10,10,8,6,6,3,2,93,74,62,1010,1009,1007,10,10,10,11,6,,0.00,6,,341
2010-5-11,11,8,5,8,6,3,93,79,71,1010,1007,1004,10,8,6,21,8,,0.00,6,,62
2010-5-12,10,8,6,8,6,4,100,88,76,1011,1007,1002,10,6,2,23,11,,0.00,6,Lluvia,253
2010-5-13,8,7,5,6,5,3,100,91,76,1012,1012,1010,10,7,1,11,8,,0.00,6,,286
2010-5-14,11,8,5,6,3,1,100,73,50,1012,1011,1011,10,8,1,10,5,,0.00,6,,336
2010-5-15,9,7,5,5,3,2,93,76,66,1012,1011,1010,10,10,9,14,6,32,0.00,6,Lluvia,292
2010-5-16,15,11,7,6,4,1,93,63,44,1017,1014,1011,10,9,3,26,16,37,0.00,4,,274
2010-5-17,14,9,5,10,6,2,100,80,63,1023,1020,1017,10,9,4,19,10,,0.00,6,Lluvia,252
2010-5-18,13,9,5,7,4,2,100,74,51,1026,1025,1024,10,8,0,16,11,,0.00,5,Niebla,291
2010-5-19,12,9,6,9,5,0,100,77,47,1027,1025,1024,10,9,7,19,13,,0.00,6,Lluvia,279
2010-5-20,15,11,7,9,6,1,100,71,48,1029,1028,1027,10,10,8,14,10,,0.00,6,Lluvia,271
2010-5-21,21,13,5,10,7,5,100,63,45,1029,1028,1027,10,10,10,13,5,,0.00,3,,275
2010-5-22,20,13,7,13,10,5,93,75,60,1027,1025,1023,10,9,7,14,8,,0.00,2,,269
2010-5-23,22,16,9,14,12,8,100,83,57,1024,1022,1018,10,6,0,13,8,,0.00,5,Niebla,260
2010-5-24,24,17,11,13,11,8,100,66,43,1018,1012,1010,10,10,10,29,13,55,0.00,2,,267
2010-5-25,18,14,9,10,6,3,100,63,42,1013,1012,1011,10,10,8,19,10,,0.00,4,,309
2010-5-26,14,9,5,11,7,3,100,78,54,1011,1008,1005,10,6,2,16,10,,0.00,6,Lluvia,78
2010-5-27,16,12,8,11,8,6,100,81,55,1010,1009,1007,10,5,0,14,6,,0.00,6,Niebla-Lluvia,268
2010-5-28,18,13,8,12,7,3,100,74,42,1018,1012,1009,10,5,1,19,8,37,0.00,5,Lluvia,259
2010-5-29,21,12,4,8,5,1,100,60,30,1019,1017,1011,10,5,1,13,6,,0.00,,,191
2010-5-30,17,12,7,13,10,6,94,85,55,1011,1006,1004,10,10,5,34,16,64,0.00,6,Lluvia,231
2010-5-31,11,9,8,11,9,6,100,95,82,1016,1011,1007,10,5,1,21,14,,0.00,6,Lluvia,274
2010-6-1,19,14,10,13,9,7,100,75,46,1016,1014,1013,10,5,0,16,11,,0.00,4,Niebla,285
2010-6-2,19,13,8,12,9,7,100,80,59,1019,1017,1014,10,10,10,13,8,,0.00,4,,315
2010-6-3,22,14,7,10,8,6,100,61,38,1021,1020,1019,10,10,10,16,8,,0.00,,,336
2010-6-4,22,14,8,11,8,7,100,60,38,1021,1021,1020,10,10,10,10,3,,0.00,,,292
2010-6-5,27,17,8,12,10,7,100,58,34,1021,1019,1017,10,10,10,10,3,,0.00,,,211
2010-6-6,29,21,13,16,12,10,94,56,33,1015,1011,1008,10,10,10,21,10,,0.00,6,Lluvia-Tormenta,195
2010-6-7,21,16,12,16,12,10,94,75,56,1011,1011,1009,10,9,4,29,16,40,0.00,5,,256
2010-6-8,25,18,11,16,12,9,94,63,44,1009,1007,1005,10,10,9,26,11,,0.00,3,Lluvia,166
2010-6-9,26,20,15,17,14,12,94,66,42,1007,1006,1006,10,10,10,23,10,,0.00,5,Tormenta,159
2010-6-10,27,21,16,19,16,13,100,72,47,1007,1006,1005,10,9,7,23,10,,0.00,4,Lluvia-Tormenta,132
2010-6-11,25,20,14,16,13,10,94,66,39,1010,1007,1004,10,10,10,34,18,52,0.00,4,Lluvia,245
2010-6-12,15,13,12,13,12,8,100,91,77,1015,1011,1009,10,8,3,13,6,,0.00,5,Lluvia,253
2010-6-13,18,12,7,9,7,5,100,70,49,1018,1016,1014,10,10,10,10,6,,0.00,5,,230
2010-6-14,21,13,7,10,8,6,93,61,38,1019,1015,1014,10,10,10,16,10,24,0.00,2,,96
2010-6-15,18,13,9,10,7,4,100,68,45,1024,1022,1019,10,9,6,14,6,,0.00,5,,12
2010-6-16,21,13,6,10,6,4,100,60,35,1024,1022,1020,10,10,10,32,10,42,0.00,1,,71
2010-6-17,22,16,10,10,7,5,76,53,40,1020,1018,1016,2,2,2,27,11,37,0.00,,,80
2010-6-18,18,13,9,12,9,5,100,82,62,1016,1013,1011,10,8,1,14,8,,0.00,6,Lluvia,286
2010-6-19,13,11,9,10,6,5,94,74,63,1011,1008,1006,10,10,8,24,13,48,0.00,5,Lluvia,273
2010-6-20,14,11,8,9,7,6,100,76,59,1018,1013,1008,10,10,7,14,11,,0.00,6,Lluvia,277
2010-6-21,17,13,9,9,7,5,87,69,51,1022,1020,1018,10,10,10,13,8,,0.00,6,,280
2010-6-22,21,13,6,12,8,6,100,67,40,1024,1023,1022,10,10,2,10,5,,0.00,3,,64
2010-6-23,24,16,8,12,9,6,93,58,33,1023,1022,1020,10,10,2,11,5,,0.00,,,327
2010-6-24,27,18,10,12,10,8,87,54,36,1021,1018,1016,10,10,3,11,6,,0.00,,,267
2010-6-25,23,18,14,14,11,8,88,64,44,1017,1016,1016,10,10,10,14,6,,0.00,3,,285
2010-6-26,25,17,9,13,9,8,94,58,34,1019,1018,1017,10,10,2,14,5,32,0.00,,,109
2010-6-27,28,19,10,12,9,7,88,48,28,1020,1019,1019,10,10,10,16,10,,0.00,,,118
2010-6-28,30,23,17,15,12,10,77,47,33,1020,1019,1018,10,10,10,14,6,,0.00,,,212
2010-6-29,29,22,15,17,14,11,88,62,35,1020,1019,1018,10,10,10,23,8,40,0.00,2,Lluvia,255
2010-6-30,28,21,14,16,13,12,88,61,39,1021,1019,1018,10,10,10,13,5,,0.00,2,,327
2010-7-1,30,22,15,16,13,10,94,51,30,1018,1016,1015,10,10,10,11,6,,0.00,4,,160
2010-7-2,34,27,20,15,12,9,60,40,24,1016,1016,1015,10,10,10,21,13,,0.00,,,145
2010-7-3,36,27,19,20,15,11,100,56,27,1019,1016,1015,10,7,3,39,10,66,0.00,5,Lluvia-Tormenta,203
2010-7-4,28,23,18,20,17,15,100,79,51,1021,1020,1018,10,6,1,10,6,,0.00,5,Niebla,288
2010-7-5,24,19,15,15,13,11,94,67,50,1020,1019,1018,10,10,8,16,10,,0.00,4,,271
2010-7-6,21,16,12,14,9,6,100,65,43,1024,1023,1021,10,10,10,19,10,,0.00,3,,279
2010-7-7,25,17,9,13,9,7,94,56,36,1024,1022,1021,10,9,5,11,6,,0.00,,,278
2010-7-8,33,24,16,14,11,9,73,43,27,1021,1020,1019,10,9,5,16,8,,0.00,,,188
2010-7-9,34,27,19,14,12,10,73,38,24,1019,1018,1017,10,9,5,19,11,,0.00,,,178
2010-7-10,34,28,22,18,16,14,65,45,31,1020,1018,1016,10,9,5,13,6,,0.00,,,224
2010-7-11,33,27,21,19,18,15,88,61,43,1018,1016,1015,10,10,10,23,10,,0.00,3,Tormenta,184
2010-7-12,34,27,21,19,16,12,83,54,29,1016,1013,1011,10,10,10,34,11,,0.00,3,,204
2010-7-13,29,23,17,16,13,10,88,54,33,1013,1011,1010,10,10,10,14,8,,0.00,2,,260
2010-7-14,33,26,18,19,14,11,100,49,27,1011,1008,1003,10,8,3,37,14,69,0.00,5,Lluvia-Tormenta,170
2010-7-15,25,21,17,17,10,5,88,52,28,1016,1013,1008,10,10,10,29,18,,0.00,3,,215
2010-7-16,31,23,15,13,11,7,63,41,24,1016,1015,1014,10,10,10,21,13,37,0.00,,,198
2010-7-17,24,19,15,16,13,8,94,66,44,1024,1019,1017,10,10,10,23,10,40,0.00,4,,263
2010-7-18,24,17,11,11,8,6,82,52,33,1028,1027,1024,10,10,10,19,8,,0.00,2,,295
2010-7-19,29,21,13,10,7,6,72,40,25,1026,1023,1020,10,10,10,14,8,,0.00,,,134
2010-7-20,29,23,17,10,9,6,56,38,25,1020,1015,1011,10,10,10,19,11,,0.00,,,124
2010-7-21,33,26,19,16,12,10,78,43,24,1011,1008,1007,10,10,10,21,13,39,0.00,6,Lluvia,228
2010-7-22,23,19,16,19,17,14,100,86,65,1016,1014,1011,10,8,3,13,6,,0.00,5,Lluvia,256
2010-7-23,24,20,16,17,12,8,100,64,36,1018,1016,1015,10,9,6,11,6,,0.00,3,Lluvia-Tormenta,290
2010-7-24,20,18,14,15,9,4,100,63,35,1020,1019,1018,10,9,6,24,11,45,0.00,6,,297
2010-7-25,21,14,8,13,8,5,87,63,46,1019,1016,1014,10,10,10,16,8,,0.00,4,,260
2010-7-26,19,17,14,15,13,11,100,80,64,1014,1012,1011,10,7,3,16,8,,0.00,5,Lluvia,251
2010-7-27,24,19,14,15,13,10,100,74,44,1018,1017,1014,10,7,3,16,6,,0.00,5,,276
2010-7-28,23,18,14,18,13,10,100,75,46,1018,1014,1012,10,9,5,26,13,,0.00,6,Lluvia,254
2010-7-29,19,16,13,14,13,10,100,88,59,1012,1011,1010,10,9,6,24,10,39,0.00,6,Lluvia-Tormenta,270
2010-7-30,22,17,13,14,11,9,100,72,46,1016,1015,1012,10,8,4,16,10,,0.00,4,,262
2010-7-31,24,19,15,12,10,8,67,50,38,1016,1015,1014,10,10,10,26,16,,0.00,1,Lluvia,197
2010-8-1,27,22,18,18,14,12,94,65,44,1014,1013,1012,10,10,10,26,13,,0.00,5,Lluvia-Tormenta,204
2010-8-2,23,18,13,15,13,12,100,77,57,1016,1015,1014,10,10,7,14,8,,0.00,5,Lluvia,270
2010-8-3,20,17,13,15,12,9,100,78,56,1015,1015,1014,10,6,2,23,8,40,0.00,5,Lluvia,279
2010-8-4,23,18,14,15,12,10,100,67,46,1015,1009,1007,10,10,9,27,14,47,0.00,3,Lluvia,206
2010-8-5,21,17,14,14,12,10,100,76,53,1013,1009,1005,10,9,4,16,10,,0.00,5,Lluvia,271
2010-8-6,22,17,13,14,10,7,100,69,40,1019,1017,1014,10,9,5,13,8,,0.00,5,,286
2010-8-7,26,18,11,14,8,7,88,51,32,1019,1017,1016,10,10,10,14,5,,0.00,,,281
2010-8-8,19,17,15,17,16,13,100,95,82,1017,1015,1014,10,6,3,14,6,,0.00,6,Lluvia,240
2010-8-9,22,18,14,15,13,11,100,78,56,1018,1017,1016,10,8,5,14,10,,0.00,5,,244
2010-8-10,26,20,14,12,11,10,77,51,36,1016,1014,1012,10,10,2,19,11,,0.00,,,201
2010-8-11,23,19,16,17,16,11,100,84,56,1014,1013,1012,10,10,5,23,11,,0.00,5,Lluvia,207
2010-8-12,22,18,14,16,13,9,100,73,43,1015,1013,1012,10,8,2,13,6,,0.00,5,,274
2010-8-13,21,17,13,15,12,11,94,75,53,1017,1017,1016,10,9,7,14,6,,0.00,3,,137
2010-8-14,24,18,12,14,12,11,100,70,47,1018,1017,1016,10,10,8,14,6,,0.00,3,,96
2010-8-15,17,16,14,17,15,13,100,97,88,1015,1011,1008,10,6,1,14,6,,0.00,6,Lluvia,74
2010-8-16,17,16,14,14,13,11,94,85,72,1008,1008,1007,10,9,5,14,8,,0.00,6,Lluvia,160
2010-8-17,18,16,13,15,13,11,100,93,77,1008,1007,1005,10,6,2,26,11,47,0.00,6,Lluvia,261
2010-8-18,21,17,13,15,13,12,100,85,60,1009,1006,1005,10,9,4,24,18,,0.00,5,Lluvia,238
2010-8-19,21,16,12,12,10,9,88,67,49,1019,1015,1011,10,10,10,21,14,,0.00,2,,236
2010-8-20,27,20,14,14,11,9,77,55,39,1021,1020,1019,10,10,10,16,13,,0.00,,,195
