
WET,Temperatura máximaC,Temperatura mediaC,Temperatura mínimaC,Punto de rocíoC,MeanDew PointC,Min DewpointC,Max Humedad, Mean Humedad, Min Humedad, Max Presión al nivel del marhPa, Mean Presión al nivel del marhPa, Min Presión al nivel del marhPa, Max VisibilidadKm, Mean VisibilidadKm, Min VisibilidadkM, Max Velocidad del vientoKm/h, Mean Velocidad del vientoKm/h, Max Velocidad de ráfagasKm/h,Precipitaciónmm, CloudCover, Eventos,WindDirDegrees<br />
2014-2-3,13,11,9,11,7,3,100,75,51,1016,1013,1008,10,9,3,42,24,60,0.00,2,Lluvia,265<br />
2014-2-4,14,11,9,14,11,8,100,89,77,1016,1011,1006,10,8,2,45,21,66,0.00,4,Lluvia,233<br />
2014-2-5,15,13,11,14,11,8,94,86,72,1015,1012,1008,10,9,3,35,18,53,0.00,4,Lluvia,239<br />
2014-2-6,16,12,8,14,11,5,94,88,76,1016,1010,1006,10,9,4,53,34,77,0.00,4,Lluvia,241<br />
2014-2-7,15,11,8,12,9,5,94,84,71,1021,1019,1015,10,10,10,34,16,52,0.00,2,Lluvia,239<br />
2014-2-8,14,11,8,14,9,6,100,84,67,1017,1014,1010,10,8,2,39,24,61,0.00,4,Lluvia,266<br />
2014-2-9,16,11,7,15,9,5,100,87,67,1016,1005,996,10,8,2,60,23,98,0.00,4,Lluvia,235<br />
2014-2-10,12,9,7,6,4,1,87,70,50,1025,1019,1007,10,10,10,40,24,71,0.00,1,Lluvia-Tormenta,304<br />
2014-2-11,15,12,9,14,11,6,100,91,71,1024,1018,1014,10,7,2,40,21,63,0.00,4,Lluvia,257<br />
2014-2-12,16,13,10,15,13,9,100,97,88,1020,1019,1018,10,5,0,24,11,,0.00,6,Niebla-Lluvia,240<br />
2014-2-13,17,16,15,15,14,13,100,94,77,1021,1020,1017,10,5,0,27,23,,0.00,6,Lluvia,246<br />
2014-2-14,16,13,10,15,12,8,100,92,77,1017,1012,1008,10,9,2,45,29,61,0.00,5,Lluvia,229<br />
2014-2-15,13,10,8,9,6,4,94,78,54,1018,1014,1010,10,10,9,23,10,40,0.00,2,Lluvia,315<br />
2014-2-16,14,10,6,5,4,3,93,72,48,1020,1018,1016,10,10,10,16,8,,0.00,2,,314<br />
2014-2-17,11,8,6,10,7,4,100,91,76,1016,1012,1009,10,9,4,24,8,,0.00,4,Niebla-Lluvia,168<br />
2014-2-18,14,11,8,9,8,6,100,81,59,1023,1018,1014,10,10,10,32,14,,0.00,2,Lluvia,338<br />
2014-2-19,16,11,7,12,9,6,94,84,72,1026,1024,1023,10,10,10,19,8,,0.00,5,,310<br />
2014-2-20,15,13,11,14,11,8,100,91,82,1025,1024,1021,10,8,2,23,11,,0.00,5,Lluvia,270<br />
2014-2-21,13,10,7,8,6,3,93,75,51,1027,1025,1024,10,10,10,19,10,,0.00,2,,315<br />
2014-2-22,14,10,7,11,8,5,100,88,72,1027,1025,1022,10,10,7,19,10,,0.00,3,Lluvia,251<br />
2014-2-23,15,10,6,10,8,6,100,88,63,1022,1014,1008,10,7,0,39,11,52,0.00,4,Niebla-Lluvia,166<br />
2014-2-24,14,11,8,8,7,4,93,75,54,1022,1018,1012,10,10,10,24,13,35,0.00,3,Lluvia,276<br />
2014-2-25,15,12,9,11,9,7,100,84,63,1026,1023,1021,10,9,4,21,14,,0.00,3,Lluvia,280<br />
2014-2-26,15,11,8,9,7,6,94,75,55,1032,1029,1026,10,10,10,19,10,,0.00,3,,305<br />
2014-2-27,15,12,10,14,11,8,100,91,82,1032,1031,1030,10,9,2,19,10,,0.00,5,Lluvia,270<br />
2014-2-28,16,13,10,12,10,9,94,84,67,1031,1028,1024,10,10,6,21,11,,0.00,3,,295<br />
2014-3-1,14,13,12,14,12,10,100,94,82,1024,1017,1014,10,5,1,32,19,58,0.00,6,Lluvia,282<br />
2014-3-2,14,13,12,13,12,10,100,92,82,1017,1015,1014,10,6,2,29,21,55,0.00,6,Lluvia,298<br />
2014-3-3,13,12,11,10,7,5,88,71,58,1023,1020,1016,10,10,10,27,16,47,0.00,5,Lluvia,314<br />
2014-3-4,14,12,10,11,8,5,88,77,63,1024,1023,1022,10,10,10,24,13,40,0.00,5,Lluvia,305<br />
2014-3-5,15,12,10,12,10,8,94,83,67,1022,1021,1020,10,10,6,32,16,47,0.00,3,,332<br />
2014-3-6,20,13,7,14,10,7,100,87,46,1022,1020,1019,10,6,0,23,13,,0.00,1,Niebla,24<br />
2014-3-7,23,14,7,13,9,6,100,72,41,1021,1020,1019,10,9,7,19,11,37,0.00,1,Niebla,15<br />
2014-3-8,21,16,10,10,8,4,94,64,33,1019,1017,1014,,,,21,11,40,0.00,,,93<br />
2014-3-9,18,14,12,9,8,7,77,67,52,1019,1016,1014,10,10,10,26,14,,0.00,2,Lluvia,76<br />
2014-3-10,20,14,9,8,5,2,87,56,30,1020,1017,1016,,,,27,18,53,0.00,,,64<br />
2014-3-11,22,14,8,7,4,2,76,50,33,1018,1017,1016,,,,19,11,,0.00,,,43<br />
2014-3-12,20,14,8,8,6,3,87,60,40,1023,1021,1018,,,,16,8,32,0.00,,,33<br />
2014-3-13,20,13,7,11,8,6,94,75,43,1025,1023,1022,10,10,8,23,10,24,0.00,1,,7<br />
2014-3-14,19,14,9,9,8,5,94,72,40,1028,1026,1024,10,10,9,16,11,,0.00,1,,30<br />
2014-3-15,21,14,8,11,7,3,93,63,31,1029,1027,1026,10,9,7,21,10,29,0.00,1,Niebla,19<br />
2014-3-16,22,16,9,10,7,3,82,56,31,1027,1024,1022,10,10,10,19,10,32,0.00,1,,349<br />
2014-3-17,21,14,9,13,8,2,88,68,42,1023,1022,1021,10,10,10,27,11,,0.00,1,,351<br />
2014-3-18,17,13,10,10,9,8,88,76,59,1024,1022,1021,10,10,10,27,23,,0.00,1,,345<br />
2014-3-19,19,14,9,12,10,8,100,82,52,1021,1019,1018,10,8,1,16,13,34,0.00,1,Niebla,323<br />
2014-3-20,18,14,10,11,10,8,100,83,63,1022,1020,1018,10,9,6,21,8,,0.00,4,,321<br />
2014-3-21,15,12,9,14,11,7,100,90,76,1023,1021,1019,10,8,2,27,11,,0.00,5,Lluvia,247<br />
2014-3-22,15,12,9,11,7,4,94,75,59,1024,1021,1018,10,10,10,26,14,,0.00,4,Lluvia,334<br />
2014-3-23,15,11,8,7,6,3,87,68,51,1025,1023,1022,10,10,10,16,8,,0.00,4,,328<br />
2014-3-24,15,11,8,13,8,5,100,82,63,1029,1024,1022,10,9,3,29,11,,0.00,3,Lluvia,291<br />
2014-3-25,14,11,9,9,8,6,93,77,67,1031,1029,1025,10,10,10,29,11,48,0.00,5,Lluvia,319<br />
2014-3-26,14,11,8,7,5,3,82,68,54,1026,1023,1022,10,10,10,34,21,50,0.00,2,,350<br />
2014-3-27,14,11,8,9,7,4,94,83,54,1021,1011,1002,10,10,7,27,11,,0.00,4,Lluvia,228<br />
2014-3-28,14,11,7,8,7,4,100,83,51,1005,1003,1001,10,10,7,14,8,35,0.00,2,Lluvia,176<br />
2014-3-29,15,10,6,8,7,5,100,81,58,1010,1005,1003,10,10,10,14,8,32,0.00,1,,5<br />
2014-3-30,15,11,7,12,10,5,100,89,72,1011,1009,1009,10,10,5,34,13,52,0.00,3,Lluvia,209<br />
2014-3-31,16,13,12,14,12,11,100,93,82,1011,1007,1004,10,10,7,39,18,55,0.00,2,Lluvia,187<br />
2014-4-1,14,12,11,13,11,10,94,91,82,1004,1001,999,10,9,6,40,27,60,0.00,2,Lluvia-Tormenta,195<br />
2014-4-2,15,12,10,12,10,8,100,86,67,1002,999,998,10,10,6,26,11,,0.00,2,Lluvia,214<br />
2014-4-3,15,12,9,10,8,7,100,80,63,1017,1008,1002,10,10,8,23,11,,0.00,2,Lluvia,287<br />
2014-4-4,15,12,9,14,12,7,100,92,82,1021,1019,1017,10,8,3,37,18,,0.00,5,Lluvia,233<br />
2014-4-5,18,16,13,16,14,12,100,93,82,1023,1022,1021,10,8,2,19,13,,0.00,5,Niebla,249<br />
2014-4-6,21,16,10,15,12,10,100,84,60,1022,1020,1018,10,9,6,13,5,,0.00,4,Niebla,232<br />
2014-4-7,23,17,11,15,12,10,94,78,47,1020,1019,1018,10,10,8,23,8,32,0.00,1,Niebla,353<br />
2014-4-8,25,18,12,17,13,11,100,77,44,1020,1019,1017,10,10,10,14,11,47,0.00,1,Niebla,21<br />
2014-4-9,23,19,16,16,13,11,88,70,50,1017,1015,1014,10,10,10,21,13,,0.00,1,Lluvia,97<br />
2014-4-10,20,17,13,15,13,11,100,80,60,1016,1015,1013,10,8,0,19,13,,0.00,3,Niebla,243<br />
2014-4-11,19,16,12,13,11,10,88,79,68,1015,1014,1013,10,10,10,23,8,,0.00,5,,313<br />
2014-4-12,20,16,12,15,13,11,100,86,73,1018,1015,1013,10,9,6,16,13,,0.00,3,,317<br />
2014-4-13,24,17,11,16,13,11,100,89,53,1020,1017,1016,10,5,0,19,10,34,0.00,3,Niebla,16<br />
2014-4-14,21,17,14,15,13,10,88,72,60,1016,1013,1012,10,10,10,23,10,35,0.00,1,Lluvia,46<br />
2014-4-15,21,17,13,15,13,11,100,79,60,1017,1015,1013,10,9,7,21,8,,0.00,5,,173<br />
2014-4-16,21,17,14,15,13,11,94,81,64,1020,1018,1017,10,9,6,19,8,,0.00,5,,286<br />
2014-4-17,24,18,13,17,14,12,94,82,57,1020,1017,1015,10,9,7,29,14,29,0.00,1,,337<br />
2014-4-18,18,16,13,13,12,11,94,81,64,1017,1016,1014,10,10,7,27,19,,0.00,3,,335<br />
2014-4-19,19,16,12,11,10,9,88,75,52,1014,1011,1009,10,10,10,21,11,,0.00,4,,315<br />
2014-4-20,17,14,12,14,12,10,100,88,63,1009,1005,1002,10,9,4,16,8,40,0.00,3,Lluvia-Tormenta,60<br />
2014-4-21,18,14,12,12,11,10,94,77,59,1012,1006,1004,10,10,10,23,10,,0.00,2,Lluvia,323<br />
2014-4-22,18,14,11,13,12,10,94,81,68,1019,1016,1012,10,10,10,27,13,,0.00,2,Lluvia,242<br />
2014-4-23,18,14,11,13,11,6,100,78,48,1022,1020,1018,10,9,5,23,13,,0.00,4,Lluvia,290<br />
2014-4-24,16,12,9,12,9,6,94,76,55,1025,1021,1020,10,10,7,26,11,55,0.00,2,Lluvia,290<br />
2014-4-25,18,13,8,11,8,7,93,70,52,1026,1025,1024,10,10,10,23,10,,0.00,1,,270<br />
2014-4-26,17,14,13,14,13,11,100,86,77,1025,1023,1022,10,10,6,21,14,,0.00,6,Lluvia,287<br />
2014-4-27,20,16,11,13,10,7,94,73,43,1023,1022,1021,10,10,10,24,11,,0.00,2,,341<br />
2014-4-28,20,16,11,13,12,9,94,80,60,1022,1020,1019,10,10,10,26,16,,0.00,1,,350<br />
2014-4-29,22,17,12,13,11,9,88,74,53,1020,1018,1017,10,10,10,34,16,50,0.00,1,,356<br />
2014-4-30,24,19,14,15,14,12,94,78,57,1018,1017,1016,10,10,10,26,19,,0.00,1,,355<br />
2014-5-1,22,17,13,13,12,11,94,74,53,1019,1017,1016,10,10,10,32,18,39,0.00,1,,351<br />
2014-5-2,28,20,13,13,12,9,88,61,34,1018,1016,1015,,,,26,16,40,0.00,,,359<br />
2014-5-3,28,23,18,10,7,5,56,39,24,1017,1015,1014,,,,23,14,,0.00,,,32<br />
2014-5-4,29,22,15,10,7,3,63,41,20,1014,1013,1011,,,,24,13,42,0.00,,,12<br />
2014-5-5,27,20,13,14,11,5,88,59,26,1014,1012,1011,10,10,10,26,11,29,0.00,1,,323<br />
2014-5-6,25,18,12,14,11,7,94,71,32,1019,1016,1014,10,10,10,27,16,42,0.00,1,,334<br />
2014-5-7,23,18,14,14,13,10,88,74,46,1021,1019,1018,10,10,10,35,18,50,0.00,2,,346<br />
2014-5-8,23,18,13,14,12,11,88,75,53,1022,1021,1020,10,10,10,39,23,60,0.00,2,,346<br />
2014-5-9,24,19,15,15,14,12,94,76,53,1022,1020,1019,10,10,10,40,26,53,0.00,1,,342<br />
2014-5-10,24,19,14,15,14,13,94,79,57,1022,1021,1020,10,10,10,34,23,53,0.00,1,,340<br />
2014-5-11,24,19,14,14,11,2,94,66,27,1021,1020,1017,10,10,10,32,23,,0.00,3,,350<br />
2014-5-12,24,18,13,11,8,-1,88,59,19,1019,1017,1016,10,10,10,37,21,40,0.00,1,,345<br />
2014-5-13,26,19,13,11,9,7,82,60,30,1019,1018,1017,,,,32,23,40,0.00,,,348<br />
2014-5-14,30,23,16,16,9,3,59,45,29,1020,1018,1016,,,,27,14,34,0.00,,,34<br />
2014-5-15,29,22,15,15,12,7,94,58,33,1017,1016,1015,10,9,7,32,11,50,0.00,1,,25<br />
2014-5-16,27,23,20,14,10,6,57,46,38,1014,1012,1011,10,10,10,32,21,42,0.00,1,Lluvia,358<br />
2014-5-17,26,21,17,14,8,4,68,43,31,1012,1011,1010,10,10,10,21,14,,0.00,1,,339<br />
2014-5-18,24,19,14,14,11,4,82,61,33,1011,1010,1008,10,10,10,24,10,,0.00,1,,253<br />
2014-5-19,18,14,12,13,10,6,88,72,45,1009,1007,1006,10,10,8,23,11,42,0.00,3,Lluvia,279<br />
2014-5-20,18,14,10,12,10,7,94,81,56,1009,1006,1002,10,9,2,37,16,50,0.00,1,Lluvia,219<br />
2014-5-21,16,13,10,10,8,7,94,76,55,1013,1006,1002,10,10,8,32,21,48,0.00,2,Lluvia-Tormenta,253<br />
2014-5-22,18,14,11,12,11,9,94,76,59,1019,1016,1013,10,10,8,27,14,,0.00,2,Lluvia,259<br />
2014-5-23,19,16,12,12,9,6,94,73,45,1019,1018,1017,10,10,9,24,13,42,0.00,2,Lluvia,323<br />
2014-5-24,19,14,10,8,7,5,82,65,45,1019,1017,1016,10,10,10,29,16,,0.00,3,,342<br />
2014-5-25,18,14,10,8,7,5,82,64,45,1022,1019,1018,10,10,10,27,11,45,0.00,2,,337<br />
2014-5-26,19,14,9,9,8,7,87,67,46,1024,1023,1022,10,10,10,32,13,45,0.00,2,,348<br />
2014-5-27,19,14,11,15,11,9,100,76,56,1023,1021,1020,10,9,3,23,14,,0.00,4,Lluvia,304<br />
2014-5-28,20,17,14,14,13,12,94,81,64,1022,1020,1019,10,10,3,21,13,,0.00,5,,311<br />
2014-5-29,20,18,15,16,14,13,100,84,73,1023,1022,1021,10,10,7,23,11,,0.00,6,,314<br />
2014-5-30,21,18,15,13,12,9,88,72,49,1023,1021,1020,10,10,10,42,19,58,0.00,4,,348<br />
2014-5-31,24,19,14,12,11,9,88,65,44,1021,1019,1017,10,10,10,35,27,55,0.00,1,,345<br />
2014-6-1,27,21,16,11,9,6,72,50,26,1021,1020,1019,10,10,10,35,19,45,0.00,1,,360<br />
2014-6-2,24,19,15,14,13,11,88,72,47,1021,1020,1020,10,10,10,37,23,35,0.00,1,,333<br />
2014-6-3,21,17,14,13,12,9,88,72,53,1021,1020,1019,10,10,10,32,21,45,0.00,3,,346<br />
2014-6-4,21,17,14,15,11,9,94,71,49,1020,1018,1016,10,10,6,24,14,,0.00,3,,339<br />
2014-6-5,22,16,11,15,12,9,88,75,57,1017,1013,1010,10,10,10,26,10,27,0.00,2,,253<br />
2014-6-6,20,17,14,17,15,14,100,91,73,1013,1010,1008,10,9,3,35,21,50,0.00,5,Lluvia,222<br />
2014-6-7,21,18,15,15,14,12,100,80,56,1018,1015,1013,10,10,10,27,18,,0.00,3,,220<br />
2014-6-8,22,18,15,15,14,12,100,79,60,1020,1019,1017,10,10,10,26,18,40,0.00,4,,230<br />
2014-6-9,22,18,14,15,13,10,100,74,46,1020,1019,1018,10,10,10,24,13,,0.00,2,,270<br />
2014-6-10,22,18,15,14,12,9,88,70,46,1020,1019,1018,10,10,10,23,13,,0.00,1,,341<br />
2014-6-11,31,22,14,16,13,8,88,62,27,1019,1018,1017,,,,24,16,35,0.00,,,342<br />
2014-6-12,34,27,19,18,13,9,64,47,28,1019,1018,1017,10,10,10,27,13,47,0.00,1,,3<br />
2014-6-13,32,26,21,17,14,12,68,50,38,1019,1017,1015,10,10,10,27,16,,0.00,1,,341<br />
2014-6-14,36,28,20,17,12,8,78,37,20,1017,1014,1012,,,,24,13,,0.00,,,1<br />
2014-6-15,34,27,21,15,10,7,68,36,19,1012,1011,1010,,,,24,13,45,0.00,,,19<br />
2014-6-16,30,26,21,18,12,6,69,47,30,1012,1011,1011,10,10,10,27,14,39,0.00,1,,346<br />
2014-6-17,23,19,16,18,16,14,100,81,64,1014,1013,1012,10,8,3,21,10,,0.00,5,,213<br />
2014-6-18,23,20,17,16,14,11,88,70,47,1016,1015,1013,10,10,10,21,13,,0.00,4,,245<br />
2014-6-19,23,19,15,15,13,10,100,71,46,1016,1016,1015,10,10,10,23,10,37,0.00,1,,273<br />
2014-6-20,23,18,14,16,14,11,94,73,47,1016,1014,1013,10,10,10,34,13,,0.00,2,,217<br />
2014-6-21,22,19,17,17,15,13,94,77,57,1017,1014,1012,10,10,10,35,26,,0.00,3,Lluvia,219<br />
2014-6-22,21,19,17,17,15,12,94,80,60,1017,1017,1016,10,10,8,23,13,34,0.00,2,Lluvia,212<br />
2014-6-23,21,18,15,16,14,12,94,84,68,1017,1017,1016,10,10,8,19,8,37,0.00,1,Lluvia-Tormenta,24<br />
2014-6-24,23,19,15,16,15,14,94,79,57,1018,1017,1016,10,10,10,23,11,,0.00,2,,322<br />
2014-6-25,22,19,17,16,14,12,88,73,53,1019,1019,1017,10,10,10,26,16,,0.00,3,,330<br />
2014-6-26,23,19,16,15,14,11,88,71,47,1019,1018,1018,10,10,10,24,11,34,0.00,2,,331<br />
2014-6-27,25,20,15,15,13,11,88,67,44,1019,1018,1017,10,10,10,29,13,,0.00,2,,340<br />
2014-6-28,24,20,16,17,14,12,88,73,57,1021,1018,1017,10,10,10,27,14,,0.00,4,,300<br />
2014-6-29,23,19,15,13,12,10,82,67,46,1023,1022,1021,10,10,10,27,16,,0.00,1,,350<br />
2014-6-30,23,19,15,15,13,11,88,70,50,1022,1020,1019,10,10,10,23,16,39,0.00,1,,333<br />
2014-7-1,21,19,17,17,14,11,100,74,53,1019,1017,1016,10,10,5,23,14,,0.00,4,Lluvia,307<br />
2014-7-2,22,19,16,15,14,12,94,71,53,1018,1017,1017,10,10,6,32,18,50,0.00,3,Lluvia,328<br />
2014-7-3,27,22,18,17,16,14,88,72,45,1019,1017,1016,10,10,10,27,21,48,0.00,2,,328<br />
2014-7-4,24,20,17,16,15,14,88,75,61,1020,1019,1018,10,10,10,27,18,45,0.00,2,,341<br />
2014-7-5,24,20,17,16,16,14,94,78,57,1019,1018,1017,10,10,10,23,18,,0.00,3,,328<br />
2014-7-6,23,20,16,19,16,13,100,82,65,1020,1017,1016,10,9,3,24,14,,0.00,5,Lluvia,286<br />
2014-7-7,23,19,15,13,12,10,88,66,46,1022,1020,1019,10,10,10,29,16,52,0.00,1,,352<br />
2014-7-8,25,20,16,15,14,13,88,70,50,1022,1020,1018,10,10,10,35,23,58,0.00,1,,356<br />
2014-7-9,30,23,17,15,13,12,82,58,33,1017,1015,1014,10,10,10,32,23,48,0.00,1,,341<br />
2014-7-10,33,27,21,13,9,6,60,38,21,1016,1015,1014,,,,27,18,47,0.00,,,19<br />
2014-7-11,33,26,19,10,8,3,52,33,17,1017,1016,1015,,,,27,14,42,0.00,,,12<br />
2014-7-12,30,24,18,15,13,9,83,54,27,1017,1016,1015,10,10,10,34,18,53,0.00,1,,332<br />
2014-7-13,27,22,17,16,15,13,94,73,44,1018,1017,1016,10,10,10,34,26,48,0.00,1,,335<br />
2014-7-14,28,22,17,17,16,15,94,73,48,1018,1017,1015,10,10,10,27,18,,0.00,1,,335<br />
2014-7-15,29,23,17,17,16,13,94,71,42,1018,1017,1016,10,10,10,26,19,42,0.00,1,,337<br />
2014-7-16,33,24,16,16,13,10,82,53,26,1017,1016,1015,10,10,10,23,13,29,0.00,1,,342<br />
2014-7-17,28,22,16,16,14,12,94,69,37,1019,1017,1015,10,10,10,29,16,,0.00,1,,332<br />
2014-7-18,23,20,17,18,16,14,94,79,64,1016,1015,1014,10,10,9,32,16,,0.00,3,Lluvia,272<br />
2014-7-19,23,20,18,18,16,14,94,79,57,1018,1014,1012,10,10,6,29,19,,0.00,4,Lluvia,267<br />
2014-7-20,25,20,16,16,14,13,94,71,50,1022,1020,1018,10,10,10,24,13,35,0.00,2,,313<br />
2014-7-21,29,22,15,16,13,11,88,64,33,1022,1020,1018,10,10,10,27,13,40,0.00,1,,342<br />
2014-7-22,27,21,16,17,15,13,94,72,48,1018,1016,1014,10,10,10,32,18,,0.00,1,,326<br />
2014-7-23,25,21,17,16,15,14,88,73,53,1015,1014,1013,10,10,10,39,26,52,0.00,2,,338<br />
2014-7-24,23,21,19,16,15,14,83,72,57,1015,1014,1013,10,10,10,34,23,48,0.00,5,,343<br />
2014-7-25,26,22,18,17,17,16,94,79,57,1014,1013,1012,10,10,9,29,18,39,0.00,4,,332<br />
2014-7-26,28,23,18,17,17,16,88,76,51,1015,1014,1013,10,10,10,21,14,32,0.00,2,,332<br />
2014-7-27,27,22,17,17,16,13,100,74,44,1017,1016,1015,10,7,2,16,11,29,0.00,3,,303<br />
2014-7-28,28,22,17,18,17,15,94,75,48,1017,1016,1014,10,9,5,26,13,39,0.00,1,,333<br />
2014-7-29,31,24,18,18,16,14,88,64,35,1015,1013,1011,10,10,10,26,13,34,0.00,1,,342<br />
2014-7-30,28,23,18,18,16,13,100,69,47,1014,1012,1011,10,9,6,23,11,27,0.00,1,Niebla,238<br />
2014-7-31,22,20,18,18,17,15,94,81,69,1016,1015,1014,10,10,9,19,13,,0.00,5,,237<br />
2014-8-1,24,21,19,16,14,13,83,70,50,1016,1016,1015,10,10,10,23,14,39,0.00,5,,327<br />
2014-8-2,23,20,18,19,17,16,94,82,65,1016,1014,1013,10,10,5,24,13,,0.00,6,Lluvia,267<br />
2014-8-3,26,22,18,18,14,9,94,69,41,1016,1014,1012,10,10,10,35,13,58,0.00,5,,324<br />
2014-8-4,25,21,17,16,13,10,88,65,41,1021,1018,1016,10,10,10,34,23,50,0.00,1,,346<br />
2014-8-5,27,22,18,17,16,14,88,72,47,1021,1020,1019,10,10,10,32,19,47,0.00,1,,346<br />
2014-8-6,27,23,19,17,17,16,88,72,51,1021,1020,1019,10,10,10,34,21,50,0.00,2,,346<br />
2014-8-7,26,23,20,19,18,17,88,76,57,1020,1018,1016,10,10,10,29,19,45,0.00,4,,346<br />
2014-8-8,27,23,20,19,18,18,88,76,58,1017,1015,1014,10,10,10,24,14,,0.00,4,,332<br />
2014-8-9,27,23,20,19,18,15,94,72,48,1015,1014,1013,10,10,10,19,10,,0.00,3,,303<br />
2014-8-10,27,23,19,19,18,17,94,76,54,1018,1016,1014,10,10,10,24,10,,0.00,2,,278<br />
2014-8-11,25,21,18,19,14,10,88,65,39,1019,1018,1017,10,10,10,39,19,55,0.00,3,,342<br />
2014-8-12,27,22,18,20,16,13,94,74,54,1020,1018,1017,10,10,10,35,24,50,0.00,3,,338<br />
2014-8-13,24,20,17,20,12,8,94,62,38,1019,1018,1017,10,10,10,39,24,58,0.00,2,,354<br />
2014-8-14,25,20,16,13,12,9,82,61,38,1019,1018,1017,10,10,10,39,26,61,0.00,1,,355<br />
