GMT,maxT,meanT,minT,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM,MWS,meanWS, Max Gust SpeedKm/h,Precipitationmm, CloudCover,Events,WindDirDegrees
2/10/15,-1,-2,-4,-1,-4,-9,94,81,41,999,995,990,31,8,0,64,43,90,2.03,6,Rain-Snow-Hail,231
2/11/15,-2,-3,-4,-5,-6,-12,93,78,36,1008,1004,1000,31,12,1,45,32,69,1.02,6,Snow,248
2/12/15,-3,-6,-7,-5,-12,-19,93,54,17,1011,1009,1007,31,11,8,35,21,50,0,6,Snow,71
2/13/15,0,-3,-6,-6,-9,-17,75,54,28,1007,1004,998,10,10,10,24,14,,0,4,Sun,94
2/14/15,8,3,-2,6,1,-6,88,76,50,997,978,961,19,9,4,60,32,82,20.07,7,Rain-Snow,128
2/15/15,3,1,-1,5,1,-4,100,89,65,974,968,962,19,8,1,42,26,,0.76,7,Rain-Snow,218
2/16/15,-2,-3,-5,-1,-6,-9,93,82,42,985,980,974,31,10,1,60,32,95,3.05,6,Snow-Hail,231
2/17/15,4,-1,-6,1,-4,-8,93,79,49,1001,993,983,31,10,1,58,37,77,0.51,6,Snow,143
2/18/15,5,1,-4,3,1,-2,87,77,51,982,974,968,19,11,6,48,37,77,2.03,7,Rain,170
2/19/15,2,1,-1,2,-1,-5,98,82,65,989,978,969,31,12,4,35,23,,0.76,7,Rain-Snow,346
2/20/15,-1,-3,-6,-3,-6,-14,93,74,16,1003,997,990,31,11,5,42,24,63,0.25,6,Snow,11
2/21/15,-4,-7,-9,-10,-13,-15,74,57,33,1007,1003,991,10,10,8,50,13,,0,7,Snow,93
2/22/15,-1,-3,-7,-4,-6,-8,93,73,47,990,973,964,31,10,1,55,39,80,0,7,Snow,78
2/23/15,-1,-2,-4,-6,-8,-11,80,61,39,986,979,970,31,11,10,39,13,50,0,6,Snow,42
2/24/15,-1,-2,-3,-3,-5,-7,93,78,54,994,989,986,31,10,1,37,23,55,4.06,7,Snow,57
2/25/15,3,0,-3,0,-2,-5,93,85,60,994,974,954,10,7,2,53,27,77,9.91,7,Rain-Snow,114
2/26/15,1,0,-1,-1,-3,-6,97,81,59,983,961,949,31,9,1,48,26,69,0.25,5,Rain-Snow,2
2/27/15,1,-1,-3,-5,-7,-8,74,63,45,990,983,975,10,10,10,35,19,50,0,4,Sun,24
2/28/15,2,-2,-5,-4,-7,-10,75,62,43,979,977,976,10,10,10,40,19,61,0,1,Sun,92
3/1/15,0,-3,-6,-7,-9,-11,80,57,36,979,977,975,10,10,10,24,10,,0,5,Sun,87
3/2/15,-1,-2,-4,-7,-9,-11,65,56,41,984,979,976,19,11,10,23,13,,0,5,Snow,81
3/3/15,1,-3,-7,-1,-8,-12,93,64,42,1006,995,984,10,9,2,27,11,,0,6,Snow,286
3/4/15,5,2,-2,2,-2,-6,94,80,49,1008,996,981,19,10,3,71,26,97,8.89,7,Rain-Snow,140
3/5/15,2,1,0,1,-2,-3,93,78,60,995,988,980,31,11,2,52,35,85,0.51,5,Rain-Snow-Hail,213
3/6/15,4,2,-1,1,-1,-3,93,79,56,993,969,958,31,11,5,53,31,82,7.87,6,Rain-Snow-Hail,164
3/7/15,2,0,-2,-1,-2,-6,100,86,47,973,968,961,31,10,0,40,23,,2.03,6,Snow-Hail,182
3/8/15,0,-1,-2,-1,-4,-6,100,78,57,992,983,974,31,12,2,55,32,84,3.05,4,Snow,211
3/9/15,0,-2,-4,-2,-3,-5,94,89,74,1000,995,993,31,10,0,24,13,,4.06,5,Snow,145
3/10/15,5,0,-6,1,-3,-10,100,80,53,1003,992,976,31,11,0,82,26,111,5.08,6,Rain-Snow-Hail,124
3/11/15,1,-1,-3,-1,-4,-7,93,79,43,996,990,983,26,10,0,50,26,72,2.03,5,Snow,191
3/12/15,3,1,-2,1,-1,-6,93,87,64,997,987,975,31,10,2,48,19,58,4.06,7,Rain-Snow,94
3/13/15,7,3,1,4,-1,-5,93,73,49,1002,996,986,31,11,5,66,35,97,9.91,7,Rain,157
3/14/15,7,4,2,6,2,-1,90,78,54,1006,993,977,31,10,6,108,52,143,0.51,6,Rain,164
3/15/15,8,4,0,7,-1,-4,93,74,52,1020,1009,995,31,12,6,55,23,77,0,6,Rain-Snow,136
3/16/15,6,2,-2,1,0,-1,90,73,51,1019,1005,995,19,11,9,74,52,109,2.03,6,Rain-Snow,180
3/17/15,4,1,-2,-1,-2,-6,94,78,41,1026,1024,1020,31,11,10,19,10,,0,3,Snow,137
3/18/15,2,-1,-3,0,-4,-7,93,75,50,1025,1020,1009,10,7,3,45,18,64,0.25,7,Rain-Snow,87
3/19/15,8,4,0,5,3,0,93,87,77,1022,1014,1008,19,11,3,47,23,,1.02,7,Rain,150
3/20/15,7,3,1,3,1,-2,96,79,47,1027,1025,1017,31,12,10,63,16,87,0.51,6,Rain,95
3/21/15,7,5,3,5,2,-1,93,79,47,1016,1011,1007,31,13,8,61,40,84,0.76,6,Rain,199
3/22/15,5,2,0,2,0,-1,96,85,59,1007,1000,995,31,12,1,27,18,,3.05,5,Rain-Snow,194
3/23/15,2,-1,-4,-1,-4,-7,93,78,50,1018,1006,995,10,10,10,35,11,53,0,3,Sun,18
3/24/15,4,0,-4,-1,-6,-9,80,63,35,1019,1014,1002,10,10,10,45,19,69,0,6,Rain,114
3/25/15,4,2,1,2,-1,-4,93,78,46,1000,991,988,26,11,1,55,31,76,0,6,Fog-Rain,183
3/26/15,2,0,-2,0,-2,-4,100,85,49,994,992,989,31,11,2,39,23,50,0.51,5,Snow,196
3/27/15,2,0,-2,-1,-3,-5,96,83,63,991,988,986,31,11,3,48,21,60,1.02,4,Snow-Hail,194
3/28/15,2,0,-3,-2,-4,-7,93,73,56,986,985,983,31,12,6,39,21,,0.51,4,Snow,201
3/29/15,2,-1,-3,-2,-3,-8,100,82,60,982,978,977,26,9,2,27,16,,1.02,7,Snow,117
3/30/15,-1,-3,-5,-7,-8,-11,80,63,35,987,985,979,10,10,10,34,13,,0,2,Sun,30
3/31/15,1,-4,-9,-9,-11,-13,73,55,33,1010,998,987,10,10,10,21,8,,0,1,Sun,72
4/1/15,0,-3,-7,-9,-11,-13,69,57,37,1022,1018,1011,10,10,10,35,13,,0,3,Sun,29
4/2/15,2,-3,-9,0,-8,-14,87,60,39,1022,1015,1007,31,11,5,40,18,,0,6,Rain-Snow,80
4/3/15,7,3,1,4,2,0,93,82,73,1007,1005,1003,31,11,7,50,29,76,1.02,7,Rain,167
4/4/15,7,6,3,6,4,1,95,89,76,1008,1005,1004,19,9,5,42,26,,0,8,Rain,186
4/5/15,8,7,6,6,4,3,95,84,71,1009,1006,1000,18,10,5,40,27,52,0,7,Rain,155
4/6/15,7,4,3,6,2,-1,93,80,56,1008,1004,999,31,13,10,45,23,63,0,6,Rain,188
4/7/15,4,2,-1,1,-2,-4,93,78,39,1015,1011,1008,31,12,3,58,40,87,0.76,4,Rain-Snow-Hail,222
4/8/15,3,1,-1,0,-3,-6,93,73,42,1013,1009,1007,31,12,0,40,26,50,0,4,Rain-Snow-Hail,212
4/9/15,3,0,-2,-1,-3,-5,100,83,57,1009,1002,999,31,12,2,24,13,,2.03,5,Snow,150
4/10/15,2,-1,-4,-2,-5,-9,93,73,39,1003,994,980,10,8,2,48,16,63,0,4,Snow,58
4/11/15,0,-2,-4,-2,-5,-9,93,77,52,998,984,977,31,12,2,52,32,72,0,6,Snow,341
4/12/15,3,-2,-7,1,-7,-12,93,67,41,1006,1003,997,31,10,1,35,19,48,2.03,5,Rain-Snow,102
4/13/15,6,3,0,4,2,1,89,82,66,996,982,977,31,12,9,53,34,76,2.03,7,Rain,170
4/14/15,4,2,1,3,2,0,96,88,78,997,986,979,31,13,2,37,18,,0,7,Rain-Snow,234
4/15/15,8,4,0,2,-1,-2,87,70,47,1005,1002,998,31,11,10,26,14,,0,5,Sun,154
4/16/15,7,6,5,3,2,1,87,76,63,1008,1006,1005,31,13,10,27,13,,0,7,Rain,143
4/17/15,8,7,5,4,3,1,87,77,63,1024,1012,1006,31,13,9,40,19,,2.03,7,Rain,173
4/18/15,9,7,6,4,2,1,81,71,59,1026,1025,1024,31,13,10,42,24,42,0,6,Sun,135
4/19/15,9,8,6,7,4,3,90,79,66,1025,1022,1019,26,10,6,52,32,69,0,7,Rain,131
4/20/15,9,6,2,7,4,-1,94,82,71,1019,1016,1013,31,10,6,58,37,76,0.25,7,Rain,178
4/21/15,6,3,1,3,0,-2,87,75,46,1022,1021,1019,31,13,1,40,23,50,0,6,Rain-Snow,212
4/22/15,7,5,3,3,0,-2,87,69,45,1023,1022,1020,31,14,10,35,24,,0,4,Rain,254
4/23/15,2,0,-2,0,-6,-10,81,57,34,1022,1020,1018,10,10,10,35,19,,0,2,Snow,346
4/24/15,2,-1,-3,-5,-9,-16,73,51,13,1020,1020,1018,10,10,10,37,24,,0,2,Sun,30
4/25/15,0,-3,-7,-10,-14,-17,64,41,22,1026,1022,1020,10,10,10,24,11,,0,2,Sun,70
4/26/15,-1,-3,-6,-7,-10,-35,74,59,4,1028,1025,1020,26,11,6,53,27,66,0,5,Rain-Snow,6
4/27/15,2,-1,-3,-3,-6,-9,80,64,43,1020,1014,1011,14,10,6,61,34,87,0,7,Snow,357
4/28/15,7,3,0,0,-5,-9,74,54,26,1019,1015,1012,10,10,10,52,32,76,0,3,Sun,16
4/29/15,6,1,-3,-3,-7,-10,75,51,21,1021,1020,1019,10,10,10,26,10,,0,1,Sun,7
4/30/15,3,1,-2,-3,-6,-11,69,55,31,1021,1018,1016,10,10,10,29,10,,0,6,Sun,348
5/1/15,4,1,-3,-1,-7,-10,92,52,30,1016,1014,1013,10,10,10,23,13,,0,1,Sun,346
5/2/15,7,1,-4,0,-6,-15,87,57,10,1014,1013,1012,26,11,10,26,8,,0,3,Rain-Snow,68
5/3/15,7,3,0,7,-7,-11,100,50,29,1014,1013,1013,10,10,10,26,14,,0,2,Sun,75
5/4/15,5,2,-2,-4,-10,-13,60,38,18,1014,1012,1011,10,10,10,35,19,,0,1,Sun,22
5/5/15,5,0,-4,-4,-11,-14,59,40,14,1013,1012,1011,,,,26,11,,0,,Sun,351
5/6/15,6,1,-4,-6,-10,-13,64,42,20,1017,1014,1012,10,10,10,37,11,,0,1,Sun,44
5/7/15,3,0,-3,-7,-11,-13,60,43,27,1018,1017,1016,10,10,10,40,24,55,0,1,Sun,13
5/8/15,4,-1,-6,-4,-9,-12,63,49,34,1018,1017,1016,10,10,10,34,19,,0,3,Sun,35
5/9/15,7,3,0,0,-6,-10,87,51,24,1018,1017,1017,10,10,10,24,11,,0,6,Rain,27
5/10/15,7,3,0,0,-3,-9,93,66,24,1018,1012,1005,10,9,3,27,13,,0,5,Rain-Snow,43
5/11/15,8,2,-4,-5,-8,-23,69,44,5,1005,1002,1000,10,10,10,32,11,,0,,Sun,18
5/12/15,6,2,-2,-3,-7,-11,69,51,26,1014,1007,1003,10,10,10,21,8,,0,3,Sun,262
5/13/15,9,6,1,2,-1,-5,66,57,44,1014,1013,1009,31,11,10,45,23,63,0,6,Sun,116
5/14/15,10,8,6,4,3,1,81,72,49,1009,1006,1002,31,12,10,55,34,77,3.05,7,Rain,132
5/15/15,9,7,5,4,2,-1,89,71,44,1001,986,974,26,12,6,50,19,61,2.03,6,Rain,106
5/16/15,8,7,5,3,2,-2,81,68,47,986,979,973,26,11,10,21,10,,0,6,Rain,266
5/17/15,9,7,3,3,1,-1,87,67,48,1002,993,986,31,11,10,42,16,,0,3,Rain,28
5/18/15,8,6,3,1,-1,-1,81,62,44,1009,1007,1003,10,10,10,32,21,,0,3,Sun,1
5/19/15,9,6,2,3,0,-3,81,66,49,1009,1005,1001,18,10,10,40,18,,0,7,Rain,137
5/20/15,8,7,4,6,2,-2,87,72,45,1001,998,996,31,13,10,32,23,,0.51,7,Rain,170
5/21/15,7,4,1,2,1,-1,97,74,55,1006,999,996,31,12,10,42,23,,0.25,6,Rain-Snow-Hail,246
5/22/15,10,7,3,4,1,-1,81,65,49,1017,1014,1008,31,12,10,35,18,,0,5,Rain,282
5/23/15,8,7,5,6,3,1,87,75,55,1011,1001,995,31,11,2,47,29,71,0,7,Rain,175
5/24/15,9,7,5,5,3,1,94,81,69,1011,1002,994,31,12,10,29,21,,0,5,Rain,274
5/25/15,9,7,4,6,2,0,81,72,59,1012,1009,1006,31,12,10,34,18,,0.25,6,Rain,216
5/26/15,7,4,3,4,2,1,93,82,72,1006,1003,1001,31,11,10,35,18,,0.51,6,Rain,248
5/27/15,8,6,3,3,1,-1,93,74,55,1002,1000,997,19,10,10,42,16,,0,6,Rain,7
5/28/15,7,4,2,0,-2,-3,70,64,46,1008,1005,1003,10,10,10,45,27,52,0,5,Sun,355
5/29/15,11,7,3,2,-1,-3,70,56,36,1009,1008,1005,10,10,10,27,14,40,0,2,Sun,345
5/30/15,9,7,4,5,1,-4,80,63,40,1006,1003,1002,31,11,10,48,23,64,0.51,6,Rain,117
5/31/15,12,8,5,4,-2,-5,79,45,24,1002,1001,1000,10,10,10,39,24,,0,6,Sun,79
6/1/15,13,9,4,2,-2,-6,66,46,22,1003,1001,1000,10,10,10,32,11,,0,4,Sun,38
6/2/15,6,4,3,0,-2,-4,70,57,41,1006,1004,1003,10,10,10,52,21,,0,5,Sun,14
6/3/15,13,8,2,1,-1,-3,75,53,28,1014,1010,1006,10,10,10,26,10,,0,3,Sun,181
6/4/15,9,8,7,5,3,1,76,68,55,1018,1016,1014,10,10,10,19,11,,0.76,6,Rain,83
6/5/15,9,7,5,5,3,2,88,74,63,1019,1017,1014,10,10,10,26,8,,0,6,Sun,310
6/6/15,9,6,3,4,2,-1,94,70,42,1021,1015,1013,10,10,10,35,14,,0,1,Sun,304
6/7/15,9,7,6,7,3,0,94,76,63,1026,1024,1021,10,10,7,29,14,,2.03,6,Rain,244
6/8/15,8,7,6,6,5,3,90,84,77,1026,1019,1009,31,10,4,55,27,71,4.06,8,Rain,204
6/9/15,8,7,6,6,3,2,89,76,62,1017,1013,1010,31,11,10,35,24,48,0,8,Rain,211
6/10/15,9,8,6,6,4,2,89,78,71,1017,1015,1013,19,11,8,14,10,,0.51,7,Rain,251
6/11/15,11,8,6,4,3,1,87,70,52,1015,1013,1012,31,11,10,27,8,,0,6,Rain,322
6/12/15,9,7,4,2,0,-3,76,58,38,1020,1017,1015,10,10,10,21,10,,0,6,Rain,79
6/13/15,11,8,4,2,-1,-5,62,50,37,1021,1020,1019,10,10,10,35,11,50,0,1,Sun,344
6/14/15,12,8,4,3,0,-3,66,53,30,1020,1017,1014,10,10,10,23,6,,0,2,Sun,300
6/15/15,14,9,5,6,2,-2,76,56,33,1014,1010,1004,19,10,8,40,19,58,0,4,Sun,109
6/16/15,12,11,9,9,7,5,87,79,67,1003,996,992,31,12,5,37,27,58,0.51,7,Rain,123
6/17/15,11,9,8,8,7,6,95,86,76,1003,997,992,26,10,2,26,14,,0,8,Rain,192
6/18/15,8,7,6,8,6,4,100,92,81,1014,1009,1003,31,8,0,24,18,,0,8,Fog-Rain,258
6/19/15,13,9,5,7,5,4,90,77,59,1014,1012,1009,31,11,10,35,10,,0,7,Sun,129
6/20/15,12,10,8,9,6,4,82,71,58,1012,1010,1008,10,10,10,32,19,,0,6,Sun,39
6/21/15,13,11,8,9,7,5,87,79,64,1019,1015,1012,31,11,10,16,6,,0,4,Sun,261
6/22/15,11,9,7,8,6,5,99,86,69,1023,1021,1019,31,9,0,19,8,,0,7,Fog,263
6/23/15,13,10,7,8,6,5,88,78,67,1023,1022,1021,31,14,10,13,5,,0,6,Sun,311
6/24/15,12,10,8,8,6,3,92,79,62,1022,1021,1020,19,10,10,21,8,,0,6,Sun,274
6/25/15,12,10,7,7,4,3,82,68,57,1021,1018,1014,10,10,10,21,8,,0,5,Rain,281
6/26/15,19,12,6,7,3,0,83,52,29,1014,1009,1006,10,10,10,32,11,,0,2,Sun,64
6/27/15,16,13,10,8,6,4,76,56,43,1008,1007,1006,26,11,10,32,16,,0,5,Rain,89
6/28/15,17,13,10,9,6,3,77,58,34,1007,1004,1003,31,11,10,32,16,40,0.51,6,Rain,83
6/29/15,15,12,9,9,7,4,100,76,51,1011,1007,1005,31,11,10,19,8,,0,6,Sun,255
6/30/15,18,13,8,14,6,2,93,61,33,1012,1007,1002,10,10,10,32,11,,0,4,Sun,26
7/1/15,15,13,11,9,6,2,82,62,42,1011,1005,1001,31,12,10,34,13,,0.51,6,Rain,86
7/2/15,15,12,9,9,7,6,87,72,47,1015,1012,1011,26,11,10,14,8,,0,6,Rain,60
7/3/15,14,12,10,11,9,7,96,82,63,1022,1019,1015,31,12,3,14,5,,1.02,6,Rain,315
7/4/15,17,13,9,10,8,7,93,71,55,1022,1021,1017,26,11,10,24,6,,0,5,Rain,15
7/5/15,16,13,11,9,8,5,87,68,43,1017,1014,1013,19,10,10,19,8,,0.25,6,Rain,54
7/6/15,14,12,10,9,8,7,91,77,61,1018,1016,1015,10,10,10,23,8,,0,6,Rain,278
7/7/15,16,12,9,8,7,6,93,72,51,1021,1019,1018,31,11,10,23,10,,0,4,Sun,262
7/8/15,14,11,9,8,7,2,90,74,44,1022,1022,1020,31,11,10,26,14,,0,5,Rain,267
7/9/15,16,11,7,6,2,-1,66,52,40,1021,1019,1016,10,10,10,32,13,,0,6,Rain,6
7/10/15,13,11,8,8,4,0,84,63,37,1018,1014,1009,11,10,10,24,11,,2.03,6,Rain,40
7/11/15,14,10,6,7,3,1,87,62,43,1009,1005,1003,10,10,10,16,6,,0,6,Sun,353
7/12/15,15,12,9,9,5,2,74,60,42,1006,1005,1003,10,10,10,19,8,,0,5,Rain,286
7/13/15,13,11,10,11,9,7,97,86,72,1007,1006,1006,31,12,8,19,6,,4.06,7,Rain,263
7/14/15,12,11,9,10,8,6,98,82,67,1011,1007,1005,31,11,10,14,8,,0.76,7,Rain,108
7/15/15,16,12,7,9,7,6,92,74,52,1015,1013,1011,10,10,10,27,8,,0,5,Rain,30
7/16/15,13,12,11,8,7,5,82,69,59,1017,1016,1015,10,10,10,19,8,,0,7,Rain,305
7/17/15,17,12,8,8,6,4,93,65,43,1018,1015,1012,31,11,10,34,8,,0,2,Sun,355
7/18/15,14,11,8,7,4,2,71,58,47,1012,1011,1010,10,10,10,37,11,42,0,5,Sun,8
7/19/15,11,9,7,4,2,1,71,58,47,1011,1010,1008,10,10,10,42,24,61,0,5,Sun,9
7/20/15,13,10,7,5,3,2,76,63,44,1009,1005,1004,10,10,10,47,27,29,0,5,Rain,14
7/21/15,14,11,8,6,3,2,66,57,42,1007,1006,1005,10,10,10,27,14,,0,5,Sun,15
7/22/15,15,11,8,6,4,2,71,57,43,1010,1009,1007,10,10,10,27,8,,0,4,Sun,24
7/23/15,16,11,6,8,5,2,77,60,41,1013,1011,1010,10,10,10,21,8,,0,3,Rain,277
7/24/15,14,12,9,8,7,5,87,72,48,1015,1014,1013,10,10,10,14,8,,0,5,Rain,271
7/25/15,14,10,7,8,6,2,82,68,43,1014,1014,1013,10,10,10,13,6,,0,5,Rain,151
7/26/15,13,11,9,9,7,6,94,79,67,1014,1013,1013,14,10,9,16,5,,5.08,6,Rain,333
7/27/15,14,10,6,8,6,1,96,73,44,1015,1014,1013,10,10,10,23,6,,0,3,Sun,281
7/28/15,14,11,7,8,6,4,89,72,55,1015,1015,1015,10,10,10,16,5,,0,4,Rain,284
7/29/15,14,11,8,8,5,3,89,65,46,1015,1014,1014,10,10,10,24,8,,0,5,Sun,136
7/30/15,15,12,9,8,4,2,76,60,39,1014,1012,1011,10,10,10,24,13,,0,5,Rain,75
7/31/15,14,10,6,8,3,1,82,60,40,1013,1011,1009,10,10,10,35,11,,0,2,Sun,7
8/1/15,13,10,7,6,3,1,71,61,50,1010,1007,1006,10,10,10,45,19,,0,5,Sun,6
8/2/15,14,11,7,8,4,2,76,60,42,1016,1014,1010,10,10,10,23,14,,0,5,Rain,92
8/3/15,16,12,7,8,6,3,84,63,39,1017,1013,1010,10,10,10,19,6,,0,3,Sun,313
8/4/15,17,12,7,6,3,0,76,52,33,1010,1006,1002,31,12,10,34,11,,0,6,Sun,41
8/5/15,16,13,10,7,6,4,71,59,49,1002,1000,998,10,10,10,34,11,40,0,6,Sun,21
8/6/15,14,11,8,7,6,4,82,66,47,1001,1000,999,10,10,10,27,11,47,0,4,Sun,308
8/7/15,13,11,8,8,7,5,87,74,63,1005,1003,1001,10,10,10,26,14,,0,4,Sun,299
8/8/15,13,10,8,7,6,4,87,67,54,1003,998,993,26,11,10,27,11,,0.25,7,Rain,100
8/9/15,13,11,8,8,6,4,82,71,61,998,994,992,26,11,10,39,14,,0,5,Sun,323
8/10/15,9,8,6,6,3,2,87,69,58,1005,1001,998,26,11,10,32,21,,0,7,Rain,284
8/11/15,13,11,8,7,5,3,82,68,56,1007,1006,1005,10,10,10,23,11,,0,6,Sun,210
8/12/15,12,9,7,9,7,4,85,79,71,1008,1000,989,14,10,8,50,19,76,11.94,7,Rain,110
8/13/15,9,8,7,9,5,3,91,75,63,993,989,986,31,12,8,40,23,60,4.06,6,Rain,109
8/14/15,13,11,8,9,6,3,87,69,54,993,990,987,31,11,10,24,14,,2.03,5,Rain,46
8/15/15,13,11,8,8,6,5,93,77,55,1001,998,994,10,10,10,23,10,,0.51,6,Rain,119
8/16/15,11,9,7,8,6,5,93,83,71,1004,1000,999,26,12,9,21,8,,2.03,8,Rain,166
8/17/15,13,10,7,8,6,5,90,75,57,1017,1013,1005,14,10,5,23,11,,0,6,Rain,224
8/18/15,12,9,7,9,6,3,82,75,59,1017,1014,1010,26,12,10,27,14,,1.02,6,Rain,93
8/19/15,16,13,10,12,8,6,82,73,61,1011,1008,1003,31,12,10,21,13,,0,6,Rain,45
8/20/15,16,13,11,11,8,7,88,69,52,1002,1000,997,10,10,10,23,10,,0,6,Rain,49
8/21/15,16,13,10,10,8,7,94,75,62,997,992,989,31,11,10,21,10,,1.02,6,Rain,26
8/22/15,14,12,10,12,9,8,95,81,62,1002,994,990,31,11,10,16,6,,9.91,7,Rain,73
8/23/15,14,12,11,10,9,7,88,80,67,1012,1009,1003,31,13,10,21,11,,0,7,Rain,132
8/24/15,13,11,9,11,8,7,97,87,75,1012,1006,1004,31,12,5,23,5,,9.91,6,Rain,330
8/25/15,21,16,11,10,8,7,67,53,43,1005,1004,1003,10,10,10,35,21,,0.25,4,Rain,80
8/26/15,17,13,9,11,7,5,87,71,55,1004,997,989,31,13,10,53,10,48,0,6,Rain,28
8/27/15,17,13,10,9,7,3,76,66,51,993,990,987,10,10,10,35,16,58,0,5,Rain,16
