D,M,maxTemp,proTemp,minTemp,maxVelViento,mediaVelViento,fuerzaViento,Events,WindDirDegrees
18,09,31,27,23,35,5,43,Rain-Thunderstorm,180
19,09,33,29,24,23,10,29,,244
20,09,34,29,23,34,9,39,Rain-Thunderstorm,298
21,09,32,28,24,32,9,40,Fog-Rain-Thunderstorm,113
22,09,31,27,23,34,7,45,Fog-Rain-Thunderstorm,39
23,09,31,28,24,29,6,39,Thunderstorm,62
24,09,29,27,23,29,10,42,Rain-Thunderstorm,109
25,09,32,29,25,23,6,31,Rain-Thunderstorm,107
26,09,32,28,24,19,7,26,Rain-Thunderstorm,107
27,09,31,28,24,29,7,40,Thunderstorm,112
28,09,31,28,24,19,8,27,Rain,176
29,09,32,28,25,34,7,39,Fog-Rain-Thunderstorm,208
30,09,33,29,26,21,10,31,,302
01,10,33,29,25,26,13,35,,310
02,10,33,29,25,23,12,29,,310
03,10,31,28,24,34,16,45,,277
04,10,31,26,22,34,13,48,,264
05,10,31,27,22,37,12,50,Rain,247
06,10,29,26,23,24,9,32,,232
07,10,31,28,24,23,6,35,Rain,218
08,10,31,28,24,34,6,37,Rain,85
09,10,32,28,24,26,7,43,Rain-Thunderstorm,132
10,10,32,28,24,26,10,37,,253
11,10,30,27,24,16,7,26,,267
12,10,31,28,24,16,7,34,,274
13,10,31,27,22,27,6,39,Rain-Thunderstorm,190
14,10,32,28,23,21,5,27,,197
15,10,31,28,25,27,11,34,Tornado,48
16,10,28,26,24,29,14,37,Rain-Thunderstorm,69
17,10,29,27,24,27,11,35,,28
18,10,29,26,22,29,14,45,Rain,32
19,10,29,26,23,39,24,52,Fog-Rain,51
20,10,29,27,24,34,23,48,,62
21,10,30,27,24,35,19,45,,62
22,10,29,26,22,34,16,39,Rain,42
23,10,29,26,23,35,14,43,Rain,53
24,10,29,26,23,34,15,42,Rain,62
25,10,29,27,23,32,18,39,,92
26,10,29,27,24,29,19,40,,106
27,10,29,27,25,34,16,45,,130
28,10,27,26,23,23,11,35,Rain-Thunderstorm,162
29,10,32,28,23,21,5,26,,267
30,10,32,28,24,19,6,23,,15
31,10,29,27,24,23,10,27,Rain,67
01,11,31,28,24,24,11,31,,116
02,11,31,28,25,23,14,29,,120
03,11,31,27,24,23,13,31,Thunderstorm,95
04,11,31,28,25,29,18,37,Rain,88
05,11,30,28,26,35,21,47,,77
06,11,30,27,24,27,16,35,Rain,77
07,11,31,28,26,27,17,37,,110
08,11,31,28,26,26,14,35,,117
09,11,31,28,25,21,10,27,,126
10,11,32,28,23,23,6,34,Rain-Thunderstorm,224
11,11,31,27,23,19,7,26,,104
12,11,31,27,23,23,9,27,,99
13,11,31,28,24,23,8,29,Rain,70
14,11,26,24,22,26,10,34,Rain-Thunderstorm,33
15,11,26,24,22,35,17,45,Rain-Thunderstorm,52
16,11,27,25,23,32,15,42,Rain,61
17,11,29,26,22,37,22,43,,86
18,11,29,28,26,39,25,50,Rain,107
19,11,29,27,25,29,14,39,,120
20,11,30,27,23,21,10,27,,12
21,11,28,24,21,23,8,34,Rain,90
22,11,29,25,21,34,10,45,Rain,269
23,11,26,22,18,26,14,39,,358
24,11,25,21,17,35,16,47,,40
25,11,26,23,21,40,21,55,Rain,65
26,11,27,24,21,37,20,52,Rain,60
27,11,27,24,21,35,19,47,Rain,53
28,11,27,24,20,29,12,42,,9
29,11,27,23,19,29,14,39,,23
30,11,26,24,22,34,11,37,Rain,65
01,12,28,24,20,23,11,26,Rain,80
02,12,28,26,23,29,10,45,Rain,145
03,12,29,26,22,23,3,27,Rain-Thunderstorm,91
04,12,24,23,21,21,8,32,Rain,18
05,12,25,24,22,29,11,39,Rain,25
06,12,27,26,24,32,19,47,Rain,54
07,12,24,22,20,21,9,24,Rain,8
08,12,23,22,19,24,10,27,Rain,1
09,12,28,25,21,14,6,24,,37
10,12,27,24,22,14,4,21,,10
11,12,28,25,21,29,8,32,Thunderstorm,34
12,12,28,24,21,35,14,43,,48
13,12,28,26,24,42,21,55,Rain,92
14,12,29,26,23,27,12,42,,147
15,12,29,26,22,21,9,29,,132
16,12,29,26,22,23,10,31,,117
17,12,29,27,24,26,13,35,,135
18,12,29,26,22,24,10,34,,282
19,12,24,21,18,37,20,50,,19
20,12,25,23,21,37,21,48,Rain,59
21,12,28,26,23,40,26,52,Rain,95
22,12,28,26,23,32,17,45,Rain,133
23,12,28,27,25,34,19,48,,136
24,12,29,27,25,32,19,39,,115
25,12,29,27,25,35,22,42,,104
26,12,29,26,23,35,21,43,Rain,98
27,12,28,27,24,34,22,40,,107
28,12,29,27,24,34,19,50,,122
29,12,28,27,25,32,18,43,,124
30,12,29,27,25,37,17,45,Rain,115
31,12,29,27,24,23,14,32,,120
