
CET,Temperatura máximaC,Temperatura mediaC,Temperatura mínimaC,Punto de rocíoC,MeanDew PointC,Min DewpointC,Max Humedad, Mean Humedad, Min Humedad, Max Presión al nivel del marhPa, Mean Presión al nivel del marhPa, Min Presión al nivel del marhPa, Max VisibilidadKm, Mean VisibilidadKm, Min VisibilidadkM, Max Velocidad del vientoKm/h, Mean Velocidad del vientoKm/h, Max Velocidad de ráfagasKm/h,Precipitaciónmm, CloudCover, Eventos,WindDirDegrees<br />
2014-1-26,8,6,3,6,2,1,93,79,65,1014,1005,990,31,14,5,35,24,,4.06,5,Lluvia,230<br />
2014-1-27,7,4,2,3,1,0,87,81,65,995,994,992,26,14,10,29,24,,0.00,5,Lluvia,220<br />
2014-1-28,6,4,2,2,1,-1,87,77,63,996,994,993,31,16,10,32,23,50,0.00,5,Lluvia,168<br />
2014-1-29,5,3,1,1,-2,-3,81,69,48,1001,997,995,31,21,10,23,14,,0.00,5,Lluvia,101<br />
2014-1-30,6,3,1,3,1,-2,93,77,63,1007,1004,1001,19,11,8,14,8,,0.00,4,Lluvia,120<br />
2014-1-31,8,3,-1,3,1,-1,93,78,57,1009,1005,998,19,9,5,32,11,47,1.02,4,Lluvia,181<br />
2014-2-1,8,6,4,5,2,-31,93,78,4,1004,998,992,26,13,10,37,27,58,4.06,6,Lluvia,196<br />
2014-2-2,8,6,3,3,2,0,87,78,57,1016,1011,1004,31,20,10,23,18,,0.00,2,,195<br />
2014-2-3,7,4,1,2,1,0,93,77,50,1016,1010,1003,31,17,10,19,13,,0.00,4,,139<br />
2014-2-4,9,6,2,3,2,0,87,72,54,1008,1005,1000,31,13,10,29,18,,0.00,3,,178<br />
2014-2-5,9,7,4,5,3,0,87,71,55,1001,994,991,31,17,10,40,29,61,0.51,4,Lluvia,179<br />
2014-2-6,10,8,5,4,3,2,93,74,59,1003,998,989,26,13,6,37,29,55,7.87,3,Lluvia,193<br />
2014-2-7,11,8,5,7,4,1,93,76,56,1002,992,982,31,14,5,55,32,90,2.03,5,Lluvia,212<br />
2014-2-8,8,7,4,6,3,1,93,77,62,1000,990,986,31,12,7,43,29,64,4.06,4,Lluvia,193<br />
2014-2-9,7,6,4,2,1,0,87,70,49,996,992,987,31,14,8,48,35,66,0.25,5,Lluvia,216<br />
2014-2-10,6,4,3,4,2,0,93,81,61,998,994,993,31,18,10,21,13,,0.25,5,Lluvia,180<br />
2014-2-11,8,6,3,4,2,-2,93,75,40,1004,1001,998,31,15,5,35,24,58,2.03,4,Lluvia,220<br />
2014-2-12,8,6,3,4,2,-1,93,74,45,1008,1002,995,31,16,3,50,26,74,1.02,4,Lluvia,205<br />
2014-2-13,6,5,4,4,2,1,93,80,63,1002,995,991,31,12,5,37,24,55,3.05,4,Lluvia,225<br />
2014-2-14,13,7,2,7,3,0,93,81,63,1006,1000,988,31,14,5,45,26,61,5.08,5,Lluvia,186<br />
2014-2-15,11,8,6,7,3,1,76,61,46,1002,995,989,31,16,9,48,42,76,0.76,4,Lluvia,218<br />
2014-2-16,9,7,4,4,3,2,87,76,53,1011,1008,1003,31,16,7,35,26,53,0.00,3,Lluvia,227<br />
2014-2-17,10,7,3,5,3,2,87,77,54,1015,1012,1010,26,16,10,23,14,,0.00,4,,187<br />
2014-2-18,8,7,5,4,3,1,87,74,62,1015,1012,1011,31,22,10,19,14,,0.00,5,Lluvia,185<br />
2014-2-19,9,8,6,6,5,4,93,82,61,1015,1013,1010,26,11,6,23,18,,0.00,5,Lluvia,230<br />
2014-2-20,10,8,6,8,6,4,93,86,78,1015,1008,1003,31,11,3,34,19,,1.02,6,Lluvia,194<br />
2014-2-21,9,7,4,6,3,1,93,78,47,1010,1006,1003,31,14,9,29,18,50,1.02,4,Lluvia,222<br />
2014-2-22,9,6,3,4,3,1,93,78,53,1019,1012,1008,31,15,10,27,19,,0.00,4,Lluvia,208<br />
2014-2-23,12,8,3,6,4,2,93,77,55,1019,1018,1016,31,17,10,29,18,,0.00,1,,182<br />
2014-2-24,13,9,4,4,3,2,87,66,42,1016,1012,1010,31,31,31,26,16,,0.00,,,174<br />
2014-2-25,11,8,6,7,4,3,93,69,55,1010,1007,1006,31,20,6,35,21,50,2.03,5,Lluvia,183<br />
2014-2-26,11,7,4,4,3,3,93,78,49,1020,1015,1009,26,15,10,21,11,,0.00,2,,215<br />
2014-2-27,7,4,3,3,3,2,93,84,62,1020,1013,1008,31,14,8,40,18,60,2.03,5,Lluvia,189<br />
2014-2-28,7,4,3,4,3,2,93,86,70,1008,1001,997,31,12,6,18,11,,3.05,5,Lluvia,146<br />
2014-3-1,7,4,2,4,3,1,93,84,64,1003,1000,999,26,12,5,19,10,,0.00,5,Lluvia,197<br />
2014-3-2,9,4,1,2,1,-1,93,73,44,1005,1001,991,31,13,6,26,14,,0.00,3,Lluvia,195<br />
2014-3-3,9,7,4,4,2,-1,93,70,50,994,989,986,31,13,10,29,21,39,0.00,5,Lluvia,170<br />
2014-3-4,8,6,2,5,3,1,93,81,60,1010,1003,994,31,13,8,16,10,,0.00,3,Lluvia,202<br />
2014-3-5,12,6,1,6,2,0,93,76,37,1027,1019,1011,26,11,6,14,8,,0.00,2,Niebla,259<br />
2014-3-6,13,7,2,4,2,0,93,67,34,1030,1028,1026,19,16,10,16,8,,0.00,1,,182<br />
2014-3-7,13,8,3,6,3,1,87,65,35,1030,1026,1024,14,10,8,23,11,,0.00,6,,209<br />
2014-3-8,17,11,4,6,4,3,93,64,28,1032,1029,1026,14,9,3,24,8,,0.00,6,Niebla,123<br />
2014-3-9,20,12,3,6,3,-1,81,52,24,1028,1026,1025,14,13,9,16,10,,0.00,,,160<br />
2014-3-10,18,11,4,8,4,0,93,62,27,1028,1025,1024,16,9,2,21,8,,0.00,6,,11<br />
2014-3-11,14,10,6,7,6,4,93,80,50,1032,1031,1028,6,5,2,19,13,,0.00,7,,48<br />
2014-3-12,17,9,2,7,4,2,100,76,35,1033,1031,1029,10,4,0,11,5,,0.00,,Niebla,64<br />
2014-3-13,18,10,2,7,4,1,93,65,29,1030,1029,1027,8,6,3,11,5,,0.00,,Niebla,351<br />
2014-3-14,16,9,2,6,4,1,100,71,28,1030,1027,1022,14,5,1,21,5,,0.00,,Niebla,294<br />
2014-3-15,11,9,7,7,5,4,93,75,57,1025,1023,1022,27,11,3,29,21,,0.25,5,Lluvia,282<br />
2014-3-16,15,11,7,8,6,5,87,72,49,1023,1022,1020,27,16,10,26,18,,0.00,3,,265<br />
2014-3-17,13,9,6,8,7,5,93,79,53,1023,1021,1020,31,12,8,21,14,,0.00,6,,255<br />
2014-3-18,10,9,8,7,6,4,87,77,59,1021,1017,1014,31,13,10,34,19,52,0.00,5,Lluvia,247<br />
2014-3-19,15,11,7,8,6,4,81,67,47,1025,1023,1018,31,17,10,29,24,50,0.00,4,Lluvia,241<br />
2014-3-20,21,13,7,6,4,1,81,51,20,1023,1014,1007,31,23,19,37,19,53,0.00,,,201<br />
2014-3-21,11,8,4,8,4,0,93,69,40,1011,1008,1005,31,14,3,29,21,52,6.10,5,Lluvia,230<br />
2014-3-22,10,7,4,5,3,1,87,72,49,1008,1003,1001,31,15,5,29,16,,2.03,4,Lluvia-Granizo,212<br />
2014-3-23,11,7,3,3,2,-1,87,75,39,1010,1006,1003,26,11,7,24,16,,1.02,3,Lluvia-Granizo-Tormenta,238<br />
2014-3-24,11,7,2,3,1,-3,93,68,36,1015,1013,1010,31,17,10,14,10,,0.00,3,Lluvia,310<br />
2014-3-25,11,5,-1,1,-1,-3,93,65,27,1013,1010,1008,31,18,10,16,8,,0.00,2,Niebla,112<br />
2014-3-26,10,5,0,3,0,-6,93,71,21,1016,1014,1012,26,12,8,16,5,,0.00,1,,15<br />
2014-3-27,10,4,-1,5,2,-2,100,84,58,1015,1013,1011,11,6,1,11,3,,0.00,3,Niebla-Lluvia,25<br />
2014-3-28,17,10,3,6,4,2,93,67,32,1017,1015,1013,26,9,3,11,5,,0.00,1,Lluvia,96<br />
2014-3-29,19,13,6,6,4,1,76,53,19,1019,1017,1015,26,25,18,19,10,,1.02,,,122<br />
2014-3-30,20,12,3,8,5,1,81,53,31,1017,1015,1014,26,22,18,11,6,,0.00,,,121<br />
2014-3-31,22,15,8,8,6,2,82,54,23,1015,1014,1012,26,20,18,10,5,,0.00,,,158<br />
2014-4-1,21,14,8,10,8,6,87,61,34,1012,1011,1009,23,16,10,14,8,,0.00,1,,217<br />
2014-4-2,21,14,7,12,8,6,93,63,33,1010,1006,1003,18,12,8,13,6,,0.00,1,,130<br />
2014-4-3,20,15,10,11,8,6,82,63,34,1005,1003,1001,19,18,14,23,10,,0.00,8,,168<br />
2014-4-4,14,13,12,11,9,8,88,75,64,1012,1008,1005,27,14,8,14,8,,0.00,6,Lluvia,281<br />
2014-4-5,17,12,8,8,7,5,88,69,35,1017,1015,1013,31,13,8,16,10,,0.00,5,Lluvia,246<br />
2014-4-6,18,12,7,13,9,5,94,75,55,1018,1017,1016,31,14,4,24,13,,0.00,5,Lluvia,209<br />
2014-4-7,21,17,12,13,12,9,94,74,40,1018,1013,1007,31,15,3,32,14,,5.08,2,Lluvia-Tormenta,195<br />
2014-4-8,12,10,8,11,4,0,88,67,34,1024,1016,1008,31,16,5,37,26,53,0.00,4,Lluvia-Granizo,255<br />
2014-4-9,15,10,4,6,4,2,93,66,36,1027,1025,1024,26,15,9,26,14,,0.00,1,,256<br />
2014-4-10,17,11,4,9,5,3,93,67,32,1025,1022,1020,31,15,10,13,6,,0.00,1,,259<br />
2014-4-11,16,11,7,8,6,3,93,69,34,1021,1019,1018,19,10,3,19,8,,0.00,3,,353<br />
2014-4-12,14,9,3,8,5,3,100,69,37,1021,1019,1017,26,9,0,21,6,37,0.00,3,Niebla,305<br />
2014-4-13,14,10,6,7,4,2,87,66,36,1022,1020,1019,31,14,8,26,14,,0.00,5,,272<br />
2014-4-14,12,9,6,6,3,0,87,64,34,1026,1021,1017,31,14,10,35,19,,0.00,3,Lluvia,300<br />
2014-4-15,11,7,2,3,0,-38,93,64,4,1030,1028,1025,31,14,10,21,10,,0.00,3,Lluvia,346<br />
2014-4-16,14,7,0,2,0,-1,93,57,23,1031,1029,1026,19,17,14,14,6,,0.00,,,97<br />
2014-4-17,17,11,4,8,1,-1,87,46,19,1026,1021,1015,31,24,8,23,14,35,0.25,5,Lluvia,223<br />
2014-4-18,12,9,5,8,3,0,93,68,32,1018,1016,1014,31,14,6,26,14,,0.00,3,Lluvia,341<br />
2014-4-19,16,9,3,7,3,1,87,63,30,1018,1015,1011,31,16,10,26,11,39,0.00,4,,47<br />
2014-4-20,20,13,7,10,8,6,93,63,30,1012,1006,1003,26,15,6,26,13,,0.00,2,,94<br />
2014-4-21,20,13,6,10,7,4,88,67,31,1006,1004,1002,31,17,6,23,5,,0.25,3,Lluvia-Tormenta,93<br />
2014-4-22,17,13,8,10,8,7,94,72,41,1015,1010,1005,31,12,6,16,10,,0.00,3,Lluvia,197<br />
2014-4-23,19,13,7,10,8,6,93,67,36,1020,1018,1016,26,14,9,10,5,,0.00,1,,190<br />
2014-4-24,17,12,8,13,10,7,94,79,54,1021,1018,1014,26,9,3,14,5,,2.03,2,Lluvia,355<br />
2014-4-25,23,17,9,12,10,9,94,72,30,1015,1011,1009,31,10,2,26,10,39,0.00,2,Niebla-Lluvia,162<br />
2014-4-26,17,12,7,10,7,6,93,69,39,1013,1011,1008,26,13,5,23,13,35,0.00,3,Lluvia,198<br />
2014-4-27,17,12,8,7,6,4,87,65,34,1009,1007,1006,31,13,10,21,11,,0.00,1,,173<br />
2014-4-28,17,12,7,10,7,5,87,68,41,1013,1010,1008,31,15,10,11,6,,0.25,2,Lluvia,144<br />
2014-4-29,16,13,11,11,11,9,94,82,59,1014,1012,1011,31,9,5,11,6,,1.02,5,Lluvia,253<br />
2014-4-30,18,13,9,9,9,8,94,76,44,1013,1012,1011,18,7,1,19,6,,0.00,3,,329<br />
2014-5-1,18,12,6,11,8,5,94,78,44,1013,1011,1009,31,9,2,16,5,,4.06,2,Lluvia-Tormenta,205<br />
2014-5-2,12,11,9,10,7,2,94,75,49,1024,1017,1011,26,10,2,26,11,42,0.00,6,,9<br />
2014-5-3,14,8,2,4,2,-1,93,59,29,1027,1025,1024,31,18,10,21,13,40,0.00,3,,16<br />
2014-5-4,14,8,1,4,2,-1,93,60,26,1027,1024,1020,31,21,10,10,5,,0.00,1,,14<br />
2014-5-5,21,12,4,6,3,2,81,54,19,1021,1016,1010,31,18,13,13,6,27,0.00,,,145<br />
2014-5-6,20,16,11,14,8,3,94,65,39,1011,1008,1007,26,12,3,26,14,,6.10,3,Lluvia-Tormenta,209<br />
2014-5-7,16,12,8,11,7,4,94,72,39,1013,1011,1008,31,13,3,34,21,52,2.03,3,Lluvia,242<br />
2014-5-8,14,12,9,12,8,7,94,80,62,1014,1011,1007,26,12,3,34,24,55,2.03,6,Lluvia,226<br />
2014-5-9,16,13,11,12,8,5,88,69,41,1016,1012,1008,31,15,6,45,29,66,0.00,5,Lluvia,246<br />
2014-5-10,14,12,9,12,8,6,94,80,53,1016,1009,1004,31,14,4,43,23,64,8.89,6,Lluvia,218<br />
2014-5-11,14,11,8,8,6,5,82,68,50,1008,1005,1003,31,14,10,48,31,66,0.00,2,Lluvia,239<br />
2014-5-12,15,11,7,9,7,4,93,76,36,1013,1010,1008,26,13,3,29,23,,1.02,4,Lluvia,244<br />
2014-5-13,14,10,6,9,7,5,93,78,46,1024,1017,1013,31,14,5,26,13,40,4.06,6,Lluvia,274<br />
2014-5-14,15,9,4,9,5,2,93,73,43,1033,1029,1025,31,13,9,34,10,27,3.05,2,Lluvia-Tormenta,293<br />
2014-5-15,15,9,4,5,3,2,87,62,33,1036,1035,1033,31,14,9,21,8,,0.00,3,Niebla,32<br />
2014-5-16,19,11,3,7,4,1,93,59,20,1036,1032,1027,31,19,9,16,6,34,0.00,1,Niebla,36<br />
2014-5-17,21,13,6,9,6,4,93,59,27,1028,1024,1020,31,16,6,14,5,,0.00,1,Niebla,50<br />
2014-5-18,22,14,7,10,8,6,93,58,28,1020,1014,1009,31,21,10,13,5,,0.00,,,98<br />
2014-5-19,26,18,10,11,9,7,88,51,20,1009,1007,1005,19,17,10,14,8,,0.00,1,,152<br />
2014-5-20,25,20,14,13,11,9,88,53,31,1013,1009,1007,26,13,7,26,14,,5.08,2,Lluvia-Tormenta,179<br />
2014-5-21,21,17,12,16,13,11,94,79,58,1014,1010,1003,31,16,6,23,8,,5.08,3,Lluvia-Tormenta,136<br />
2014-5-22,22,17,13,15,11,9,88,66,40,1008,1006,1003,31,16,9,27,16,47,0.00,2,Lluvia-Tormenta,172<br />
2014-5-23,21,17,12,12,9,6,88,64,32,1010,1009,1007,31,15,10,19,11,,0.00,1,Lluvia,188<br />
2014-5-24,18,15,12,11,8,6,88,63,34,1017,1013,1010,31,18,9,26,13,,0.00,3,Lluvia,184<br />
2014-5-25,21,15,9,9,8,6,88,59,29,1021,1019,1017,31,24,10,13,8,,0.00,1,,190<br />
2014-5-26,19,14,11,14,12,8,94,79,50,1020,1016,1012,31,15,6,14,5,,2.03,5,Lluvia,21<br />
2014-5-27,17,15,13,14,13,12,94,87,73,1012,1011,1010,14,7,2,23,10,,0.51,6,Lluvia,234<br />
2014-5-28,16,13,10,12,11,9,94,82,68,1014,1012,1011,31,12,3,21,13,,0.00,6,Lluvia,229<br />
2014-5-29,19,13,8,12,9,7,94,75,42,1020,1016,1014,26,12,6,16,6,,0.00,4,Lluvia,184<br />
2014-5-30,18,14,10,9,8,6,88,68,34,1023,1021,1019,19,11,6,14,8,,0.00,6,,53<br />
2014-5-31,20,13,6,8,7,4,93,63,29,1024,1023,1022,26,12,9,23,6,,0.00,2,Niebla,12<br />
2014-6-1,20,14,8,8,6,3,87,57,25,1024,1022,1020,26,15,8,13,6,,0.00,2,Niebla,2<br />
2014-6-2,21,13,6,9,6,2,87,56,22,1021,1019,1018,26,17,10,14,5,21,0.00,2,Lluvia,275<br />
2014-6-3,21,14,8,14,10,7,93,73,40,1018,1015,1012,31,16,9,23,5,,0.76,2,Lluvia,195<br />
2014-6-4,17,14,10,14,12,8,94,89,77,1012,1007,1003,26,10,3,32,10,,8.89,5,Lluvia,191<br />
2014-6-5,18,12,7,10,8,6,93,73,43,1016,1011,1008,31,16,9,29,19,42,0.00,4,Lluvia,223<br />
2014-6-6,25,16,7,12,8,6,93,58,26,1017,1015,1013,31,28,10,11,6,,0.00,1,,128<br />
2014-6-7,28,20,12,18,14,10,94,62,38,1016,1013,1012,31,20,8,26,8,,0.51,1,Tormenta,127<br />
2014-6-8,26,21,16,17,16,13,94,72,38,1020,1018,1016,27,12,5,11,6,,1.02,1,Lluvia,357<br />
2014-6-9,27,22,17,19,17,14,88,74,36,1020,1017,1014,26,15,5,26,8,,4.06,1,Lluvia-Tormenta,99<br />
2014-6-10,24,20,16,19,16,14,94,80,50,1023,1019,1013,31,14,5,29,8,,3.05,2,Lluvia-Granizo-Tormenta,230<br />
2014-6-11,22,18,14,16,11,8,88,61,38,1029,1026,1023,31,16,10,19,8,,0.00,1,Lluvia,339<br />
2014-6-12,22,16,9,12,9,8,93,61,30,1029,1028,1025,31,19,10,16,6,,0.00,2,,19<br />
2014-6-13,23,17,11,13,11,8,94,62,32,1026,1024,1022,31,18,10,23,8,,0.00,1,,360<br />
2014-6-14,20,17,13,13,9,7,94,64,32,1024,1022,1021,31,14,5,24,11,,0.00,4,,356<br />
2014-6-15,19,14,10,10,9,7,94,67,39,1026,1024,1023,31,17,10,23,10,32,0.00,4,,358<br />
2014-6-16,17,13,9,11,9,7,87,70,48,1026,1024,1023,31,18,10,26,10,,0.00,5,Lluvia,3<br />
2014-6-17,19,16,11,12,9,7,82,67,52,1025,1023,1022,31,14,10,23,13,,0.00,5,,360<br />
2014-6-18,21,14,9,12,10,8,94,70,43,1025,1024,1022,31,16,10,23,11,,0.00,3,,5<br />
2014-6-19,20,16,11,12,10,9,94,72,43,1023,1022,1020,31,15,10,23,8,,0.00,6,Lluvia,327<br />
2014-6-20,18,14,11,10,9,6,88,68,42,1022,1021,1020,31,16,10,26,11,,0.00,3,Lluvia,332<br />
2014-6-21,22,14,7,11,9,6,93,64,34,1022,1020,1018,31,16,10,11,5,,0.00,2,,321<br />
2014-6-22,22,17,12,12,9,7,94,62,31,1024,1021,1019,31,15,5,18,6,,0.00,2,,11<br />
2014-6-23,22,16,8,10,8,7,88,57,29,1024,1022,1020,31,19,10,21,6,,0.00,2,,55<br />
2014-6-24,24,17,9,13,10,8,94,59,29,1021,1018,1016,31,25,10,23,6,,0.00,1,,324<br />
2014-6-25,20,16,11,12,7,4,82,57,26,1017,1017,1016,31,19,10,21,11,,0.00,3,Lluvia,23<br />
2014-6-26,22,16,9,11,7,4,87,54,21,1017,1015,1014,31,24,10,8,3,,0.00,2,,200<br />
2014-6-27,23,17,12,14,11,7,94,65,34,1015,1014,1013,31,14,6,27,8,32,5.08,2,Lluvia-Tormenta,216<br />
2014-6-28,18,16,12,14,12,11,94,82,51,1014,1011,1008,31,13,4,14,8,,5.08,4,Lluvia,219<br />
2014-6-29,18,16,13,14,12,8,94,81,46,1013,1010,1008,14,8,3,21,8,,6.10,3,Lluvia-Tormenta,271<br />
2014-6-30,19,15,11,11,8,5,94,63,34,1020,1017,1014,31,16,10,19,13,,0.00,2,,304<br />
2014-7-1,20,13,7,9,7,4,93,59,30,1021,1020,1019,31,19,10,19,5,,0.00,2,,12<br />
2014-7-2,22,15,8,11,8,6,93,62,28,1024,1022,1021,31,19,10,11,5,,0.00,2,,27<br />
2014-7-3,27,19,11,12,10,9,88,55,25,1024,1022,1018,26,23,10,19,8,35,0.00,1,,212<br />
2014-7-4,27,20,13,18,13,10,88,58,30,1019,1012,1007,10,10,10,23,10,,0.76,1,Lluvia,182<br />
2014-7-5,22,20,18,18,16,15,94,82,64,1008,1006,1005,31,11,3,23,14,,2.03,6,Lluvia,207<br />
2014-7-6,23,19,14,17,15,11,100,80,52,1012,1007,1005,31,14,6,29,14,50,8.89,4,Lluvia,205<br />
2014-7-7,22,17,11,13,11,9,94,66,34,1019,1016,1013,31,23,10,16,10,,0.25,3,Lluvia,255<br />
2014-7-8,15,14,13,13,12,11,94,86,65,1016,1014,1012,19,10,5,23,8,,13.97,6,Lluvia,318<br />
2014-7-9,16,14,13,14,12,10,94,88,75,1014,1011,1008,19,8,2,29,18,48,27.94,6,Lluvia,302<br />
2014-7-10,19,17,14,18,16,13,100,90,76,1015,1011,1008,6,2,0,21,16,,0.00,7,Niebla-Lluvia,309<br />
2014-7-11,18,17,15,16,15,13,100,88,77,1016,1015,1014,13,6,2,18,10,,0.00,7,Lluvia-Tormenta,276<br />
2014-7-12,18,17,15,16,14,13,100,87,80,1017,1014,1013,19,8,3,14,8,,0.00,7,Lluvia,244<br />
2014-7-13,21,18,14,18,15,13,94,85,69,1013,1009,1007,31,11,2,21,10,,23.88,6,Lluvia-Tormenta,242<br />
2014-7-14,22,18,14,15,12,9,94,66,36,1018,1013,1009,31,14,9,23,14,34,0.00,4,Lluvia,259<br />
2014-7-15,22,17,12,16,13,9,94,76,57,1022,1020,1018,31,14,9,21,11,39,0.00,5,Lluvia,228<br />
2014-7-16,26,20,13,17,14,12,100,69,37,1023,1022,1021,31,17,10,14,6,,0.00,2,,231<br />
2014-7-17,28,22,15,18,16,14,94,67,39,1022,1021,1019,31,18,6,11,3,,0.00,1,,131<br />
2014-7-18,32,24,17,18,17,15,88,57,26,1019,1016,1012,31,24,11,14,6,,0.00,,,119<br />
2014-7-19,32,26,21,20,17,14,83,55,25,1014,1010,1008,26,19,10,26,11,,0.25,2,Lluvia-Tormenta,143<br />
2014-7-20,24,21,18,19,17,15,94,75,52,1012,1010,1008,31,15,8,16,8,,1.02,2,Lluvia-Tormenta,257<br />
2014-7-21,21,19,17,17,16,14,100,85,68,1017,1015,1012,18,8,2,26,13,,0.76,6,Lluvia,314<br />
2014-7-22,26,22,17,19,17,14,94,76,39,1020,1018,1017,31,10,3,19,11,,0.00,5,Lluvia,357<br />
2014-7-23,28,22,16,19,17,14,94,70,42,1020,1018,1016,31,20,9,21,8,,0.00,1,,42<br />
2014-7-24,27,21,14,16,14,12,88,65,30,1016,1015,1014,31,25,10,18,8,,0.00,1,,42<br />
2014-7-25,23,18,13,17,14,12,94,74,48,1016,1015,1013,31,16,10,26,10,,0.00,3,,45<br />
2014-7-26,25,21,16,18,16,14,94,73,48,1016,1014,1014,26,11,6,18,6,,0.00,4,,333<br />
2014-7-27,27,22,18,18,16,14,94,73,38,1017,1016,1015,26,9,5,13,8,,6.10,3,Lluvia,293<br />
2014-7-28,21,18,15,17,16,13,100,83,63,1015,1013,1011,31,11,2,21,5,,17.02,5,Lluvia-Tormenta,278<br />
2014-7-29,24,20,16,20,17,13,100,87,69,1013,1012,1011,31,8,0,23,10,,27.94,6,Lluvia-Tormenta,320<br />
2014-7-30,22,18,14,16,14,11,100,75,50,1017,1014,1012,31,13,5,19,10,,0.00,2,,319<br />
2014-7-31,26,18,11,15,12,10,94,66,31,1017,1015,1013,31,24,10,11,5,,0.00,1,,200<br />
2014-8-1,27,20,14,19,14,12,94,69,37,1014,1011,1008,31,17,10,13,5,,0.00,3,,209<br />
2014-8-2,25,22,18,17,14,12,83,63,39,1009,1006,1005,31,18,10,23,11,39,0.00,2,,189<br />
2014-8-3,24,19,14,17,14,13,88,73,46,1014,1010,1007,31,15,10,11,6,,6.10,2,Lluvia-Tormenta,239<br />
2014-8-4,23,18,14,14,12,9,88,64,36,1019,1016,1013,31,15,10,14,6,26,0.00,1,Lluvia,303<br />
2014-8-5,23,18,12,13,11,9,94,60,31,1021,1020,1019,31,19,10,13,5,27,0.00,1,,250<br />
2014-8-6,21,18,15,16,13,10,94,73,51,1019,1015,1013,31,14,8,19,10,,2.03,5,Lluvia,182<br />
2014-8-7,24,19,14,17,15,13,94,80,49,1016,1014,1013,31,13,10,23,10,,1.02,3,Lluvia,220<br />
2014-8-8,21,18,15,19,16,14,94,88,82,1016,1011,1004,26,9,3,13,5,,12.95,4,Lluvia,120<br />
