EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
3/4/2010,19,14,9,7,4,2,80,59,37,1020,1017,1016,16,16,16,29,14,37,0,3,,296<br />
3/5/2010,19,13,7,5,2,-1,83,56,28,1021,1019,1018,16,16,16,23,10,34,0,1,,321<br />
3/6/2010,22,16,10,8,6,3,80,56,32,1022,1021,1020,16,16,16,23,10,29,0,2,,354<br />
3/7/2010,23,18,12,10,8,4,77,56,35,1024,1022,1021,16,16,16,26,11,35,0,2,,16<br />
3/8/2010,24,19,13,12,10,6,93,62,31,1022,1020,1017,16,16,16,21,6,27,0,5,,134<br />
3/9/2010,24,20,15,13,11,10,78,62,46,1019,1017,1016,16,16,16,24,9,35,T,7,Rain,96<br />
3/10/2010,26,22,18,18,16,13,78,68,58,1017,1014,1013,16,16,16,32,18,47,0,6,,116<br />
3/11/2010,27,24,22,22,21,18,87,80,73,1013,1010,1007,16,15,10,37,21,50,T,7,Rain,148<br />
3/12/2010,29,24,20,23,21,18,94,84,74,1007,1005,1002,16,13,1,37,13,53,30.48,8,Fog-Rain,140<br />
3/13/2010,25,21,17,22,14,9,93,65,36,1012,1007,1002,16,16,10,35,20,50,T,4,Rain,275<br />
3/14/2010,26,21,14,15,13,9,86,62,38,1014,1012,1010,16,16,16,34,15,47,0,3,,254<br />
3/15/2010,27,22,16,14,12,10,90,64,37,1015,1013,1011,16,16,16,29,14,42,0,3,,268<br />
3/16/2010,22,18,14,13,10,8,80,61,41,1017,1015,1013,16,16,16,23,10,32,0,6,,317<br />
3/17/2010,20,18,16,14,13,11,84,74,63,1017,1015,1013,16,15,8,24,9,32,2.54,6,Rain,254<br />
3/18/2010,22,18,14,14,11,8,90,69,47,1017,1015,1013,16,16,16,26,13,37,T,5,Rain,277<br />
3/19/2010,23,18,12,11,9,8,77,59,41,1019,1018,1017,16,16,16,21,7,29,0,1,,283<br />
3/20/2010,24,19,13,14,12,11,86,66,46,1020,1019,1018,16,16,16,26,10,39,0,2,,105<br />
3/21/2010,28,24,20,23,20,15,94,81,68,1018,1015,1014,16,15,11,39,20,48,T,6,Rain,150<br />
3/22/2010,24,21,17,21,15,11,93,71,49,1019,1017,1014,16,13,2,27,12,37,5.08,6,Rain,274<br />
3/23/2010,25,21,16,14,13,12,90,68,46,1020,1018,1016,16,16,13,24,9,39,0,2,,258<br />
3/24/2010,26,21,16,16,14,12,84,69,54,1020,1019,1018,16,16,14,27,13,34,0,4,,75<br />
3/25/2010,26,21,17,21,16,13,87,72,56,1020,1017,1015,16,16,16,27,14,40,0,5,,121<br />
3/26/2010,30,26,22,24,22,19,94,82,69,1014,1013,1011,16,13,2,26,13,39,21.34,6,Rain,234<br />
3/27/2010,28,23,17,20,16,13,90,68,45,1018,1016,1014,16,16,16,27,13,35,0,1,,56<br />
3/28/2010,27,24,22,22,20,17,87,78,68,1018,1015,1013,16,16,11,34,20,52,T,7,,117<br />
3/29/2010,27,22,17,23,20,11,100,77,53,1013,1009,1008,16,14,2,37,22,52,8.38,7,Rain,213<br />
3/30/2010,24,19,14,12,9,6,80,57,33,1019,1016,1014,16,16,16,23,11,34,0,4,,291<br />
3/31/2010,26,20,14,12,9,6,63,47,30,1021,1020,1018,16,16,16,14,8,,0,0,,305<br />
4/1/2010,27,21,16,15,14,12,97,70,42,1022,1020,1019,16,14,2,26,10,35,0,1,,78<br />
4/2/2010,27,23,19,17,15,14,81,63,45,1020,1019,1017,16,16,16,27,14,35,0,2,,92<br />
4/3/2010,27,23,18,17,16,14,73,62,51,1020,1018,1016,16,16,16,27,13,40,0,3,,79<br />
4/4/2010,28,24,21,16,16,14,68,57,45,1022,1020,1018,16,16,16,27,15,39,0,4,,78<br />
4/5/2010,28,25,22,17,15,14,68,57,45,1023,1022,1020,16,16,16,32,18,42,0,5,,86<br />
4/6/2010,27,24,21,16,15,14,68,57,45,1022,1020,1019,16,16,16,27,18,37,0,4,,100<br />
4/7/2010,28,25,21,19,17,16,74,61,47,1019,1018,1016,16,16,16,27,16,39,0,3,,120<br />
4/8/2010,29,26,23,21,19,18,82,69,55,1017,1016,1014,16,16,16,27,18,42,0,2,,137<br />
4/9/2010,32,27,23,22,21,18,87,67,46,1019,1016,1015,16,16,16,26,12,39,0,4,,199<br />
4/10/2010,29,27,24,22,21,20,87,74,61,1023,1021,1018,16,16,11,29,17,40,0,5,,57<br />
4/11/2010,29,25,21,21,19,18,90,73,55,1022,1020,1019,16,15,5,27,15,37,26.92,7,Rain,79<br />
4/12/2010,26,23,21,21,19,17,90,75,60,1020,1018,1016,16,12,2,34,12,42,54.61,7,Rain,54<br />
4/13/2010,28,26,23,19,18,17,79,69,58,1021,1019,1017,16,16,14,34,21,47,T,5,,62<br />
4/14/2010,27,25,23,19,17,13,73,62,50,1023,1022,1020,16,16,14,37,24,50,T,6,Rain,65<br />
4/15/2010,27,25,22,17,15,13,64,57,49,1023,1022,1021,16,16,16,39,24,50,0.25,6,Rain,72<br />
4/16/2010,28,24,21,18,16,12,79,63,47,1022,1019,1017,16,16,16,35,19,40,T,6,Rain,82<br />
4/17/2010,27,24,21,19,19,18,84,71,58,1017,1015,1013,16,16,8,29,19,48,1.52,7,Rain,108<br />
4/18/2010,26,23,20,22,20,18,90,80,69,1013,1011,1009,16,12,1,34,16,48,54.1,7,Fog-Rain,92<br />
4/19/2010,26,23,21,20,18,17,90,74,58,1014,1012,1009,16,13,5,24,11,34,T,7,Rain,43<br />
4/20/2010,28,24,20,20,18,16,87,69,51,1015,1014,1012,16,12,2,26,7,35,18.54,6,Rain,150<br />
4/21/2010,30,26,21,21,18,16,93,69,44,1013,1012,1010,16,16,14,27,11,37,0,5,,250<br />
4/22/2010,30,25,20,19,17,12,90,62,34,1015,1014,1012,16,16,14,19,8,29,0,3,,312<br />
4/23/2010,29,24,19,19,17,14,87,65,43,1017,1016,1014,16,16,13,26,12,35,0,4,,107<br />
4/24/2010,29,26,22,20,19,19,84,70,55,1017,1016,1014,16,16,16,35,18,48,0,2,,125<br />
4/25/2010,31,27,23,24,22,19,85,73,61,1014,1011,1009,16,15,11,29,19,52,0,6,,154<br />
4/26/2010,28,24,20,24,21,16,100,77,54,1011,1007,1005,16,10,0,42,14,64,71.12,7,Fog-Rain-Thunderstorm,229<br />
4/27/2010,31,26,20,20,17,13,90,64,37,1012,1010,1009,16,16,16,24,12,34,0,1,,267<br />
4/28/2010,29,26,22,19,18,15,84,66,48,1017,1015,1012,16,16,16,19,9,27,0,4,,108<br />
4/29/2010,27,25,23,19,19,18,79,72,64,1019,1017,1015,16,16,16,29,14,39,0,8,,117<br />
4/30/2010,29,26,22,22,20,17,82,69,55,1018,1017,1015,16,16,13,35,20,45,0.25,5,Rain,126<br />
5/1/2010,30,28,26,23,23,22,85,75,65,1018,1016,1015,16,16,16,27,18,37,0,5,,124<br />
5/2/2010,31,28,26,24,23,22,85,75,65,1019,1017,1016,16,16,16,32,20,42,0,4,,120<br />
5/3/2010,31,28,26,24,23,22,85,75,65,1019,1018,1017,16,15,13,29,17,42,0,3,,121<br />
5/4/2010,32,29,26,23,23,21,85,70,55,1019,1016,1014,16,16,13,27,16,39,0,2,,137<br />
5/5/2010,32,29,25,25,23,22,88,74,59,1017,1015,1014,16,15,11,24,11,39,0.51,3,Rain,163<br />
5/6/2010,34,30,26,24,23,21,91,74,56,1017,1016,1014,16,15,10,21,8,27,0,4,,202<br />
5/7/2010,33,29,26,23,23,22,85,72,59,1019,1017,1016,16,15,11,24,8,34,T,3,Rain,131<br />
5/8/2010,34,29,25,23,22,19,85,67,49,1019,1017,1016,16,16,16,35,8,40,T,3,,200<br />
5/9/2010,35,30,25,23,21,14,82,56,30,1020,1018,1016,16,16,11,23,10,29,0,2,,331<br />
5/10/2010,31,28,26,23,21,20,79,66,53,1021,1020,1018,16,15,11,29,18,40,0,5,,63<br />
5/11/2010,30,28,26,21,21,19,74,68,61,1022,1021,1019,16,16,13,34,24,40,T,6,,81<br />
5/12/2010,30,27,24,19,18,17,69,60,51,1022,1021,1020,16,16,16,34,24,48,0,5,,85<br />
5/13/2010,30,27,24,21,19,17,74,63,51,1023,1022,1020,16,16,16,35,21,47,0,4,,88<br />
5/14/2010,30,28,25,22,21,19,74,66,57,1023,1022,1022,16,16,16,35,24,45,T,4,Rain,89<br />
5/15/2010,31,28,24,22,21,19,79,67,55,1022,1021,1019,16,16,16,32,22,40,T,5,Rain,99<br />
5/16/2010,30,28,26,23,22,22,85,75,65,1020,1018,1016,16,16,8,29,19,39,7.11,6,Rain,112<br />
5/17/2010,31,27,22,24,22,19,87,76,65,1017,1016,1015,16,12,0,29,13,40,64.26,7,Rain-Thunderstorm,136<br />
5/18/2010,31,27,22,24,22,20,100,76,52,1016,1015,1014,16,16,11,16,3,,0,5,,171<br />
5/19/2010,29,27,24,24,23,22,91,79,67,1015,1014,1013,16,16,14,21,6,27,0.51,7,Rain,121<br />
5/20/2010,31,27,23,22,21,19,87,69,50,1016,1015,1014,16,16,16,23,10,34,T,4,,99<br />
5/21/2010,31,28,25,22,22,21,82,69,55,1017,1016,1015,16,16,16,29,14,40,0,3,,65<br />
5/22/2010,31,28,25,21,21,19,76,64,51,1017,1016,1015,16,16,16,34,16,40,0,2,,53<br />
5/23/2010,31,28,25,22,21,20,79,67,55,1015,1014,1014,16,16,16,27,15,37,0,2,,53<br />
5/24/2010,32,29,26,22,21,19,74,62,50,1014,1013,1012,16,16,16,27,13,40,0,3,,66<br />
5/25/2010,31,28,24,22,21,19,87,69,50,1013,1012,1011,16,16,16,24,8,32,0.25,5,Rain-Thunderstorm,106<br />
5/26/2010,32,28,23,22,22,20,87,69,50,1013,1011,1010,16,14,2,27,6,34,12.45,6,Rain,95<br />
5/27/2010,32,28,23,23,21,19,93,70,47,1011,1010,1008,16,16,11,24,8,37,0,5,Thunderstorm,148<br />
5/28/2010,32,28,23,23,22,19,88,71,53,1010,1009,1008,16,15,3,37,5,42,1.78,4,Rain,298<br />
5/29/2010,32,27,23,22,21,20,87,70,53,1012,1010,1009,16,16,16,23,8,34,T,4,Rain,132<br />
5/30/2010,32,29,25,23,21,19,79,65,50,1016,1013,1011,16,16,16,24,11,34,0,4,,117<br />
5/31/2010,32,29,26,24,23,22,91,75,59,1017,1016,1015,16,16,16,29,13,37,T,5,,125<br />
6/1/2010,31,28,25,24,24,22,91,75,59,1017,1016,1014,16,14,4,26,9,37,9.65,6,Rain-Thunderstorm,136<br />
6/2/2010,32,28,23,25,23,20,85,72,59,1015,1014,1013,16,16,11,24,9,34,1.02,5,Rain-Thunderstorm,141<br />
6/3/2010,33,28,22,26,24,21,94,79,64,1015,1013,1012,16,14,5,45,9,61,80.52,5,Rain-Thunderstorm,131<br />
6/4/2010,35,30,24,26,24,23,94,73,52,1017,1015,1014,16,15,10,37,8,45,5.33,5,Rain-Thunderstorm,178<br />
6/5/2010,34,29,23,27,24,22,94,77,60,1019,1017,1015,16,13,0,27,9,39,34.8,5,Fog-Rain-Thunderstorm,147<br />
6/6/2010,34,29,25,27,24,22,91,76,61,1017,1015,1013,16,16,11,34,6,48,5.33,5,Rain-Thunderstorm,167<br />
6/7/2010,35,31,26,25,24,22,85,66,46,1016,1014,1013,16,15,11,40,9,76,6.35,7,Rain-Thunderstorm,217<br />
6/8/2010,35,31,26,26,24,23,97,77,56,1018,1015,1014,16,15,11,26,11,35,T,6,Thunderstorm,40<br />
6/9/2010,33,30,27,23,23,22,74,65,56,1018,1017,1015,16,16,14,29,13,39,0,5,,55<br />
6/10/2010,35,31,26,24,23,21,85,64,43,1017,1016,1015,16,16,14,23,9,32,T,4,,68<br />
6/11/2010,33,30,27,25,24,23,85,72,59,1020,1017,1016,16,16,13,21,10,27,2.29,5,Rain-Thunderstorm,107<br />
6/12/2010,34,30,26,24,23,22,85,67,49,1019,1018,1017,16,16,16,26,8,35,0,3,,65<br />
6/13/2010,34,31,28,25,23,22,85,69,52,1018,1017,1016,16,16,16,23,10,29,T,4,,126<br />
6/14/2010,33,30,27,25,24,23,80,72,64,1017,1016,1015,16,16,16,21,6,32,0,4,Thunderstorm,150<br />
6/15/2010,34,31,27,25,24,22,85,69,52,1018,1017,1015,16,16,16,23,6,32,0,4,,143<br />
6/16/2010,34,31,27,24,23,22,85,71,56,1019,1018,1017,16,16,16,26,8,40,T,3,,119<br />
6/17/2010,35,30,24,25,23,21,85,72,59,1019,1017,1016,16,15,11,39,7,53,5.84,5,Rain-Thunderstorm,37<br />
6/18/2010,33,29,24,25,23,21,91,74,56,1019,1017,1016,16,15,11,24,5,35,1.78,5,Rain-Thunderstorm,317<br />
6/19/2010,33,29,25,24,23,21,85,67,49,1019,1017,1016,16,16,16,24,9,32,0,4,,104<br />
6/20/2010,33,30,26,24,23,22,85,71,56,1017,1016,1015,16,16,16,29,12,37,T,5,Thunderstorm,73<br />
6/21/2010,34,31,28,24,23,21,74,63,52,1019,1017,1015,16,16,16,27,18,39,T,4,,107<br />
6/22/2010,33,29,26,24,23,22,85,69,52,1020,1018,1016,16,16,13,40,21,58,5.84,4,Rain,98<br />
6/23/2010,33,30,27,25,24,22,79,69,59,1019,1018,1017,16,15,10,40,23,48,6.86,5,Rain,89<br />
6/24/2010,33,30,28,24,23,22,76,66,54,1018,1017,1015,16,16,14,34,23,42,0,4,,82<br />
6/25/2010,33,30,26,25,24,23,91,74,56,1017,1016,1015,16,15,5,34,21,45,2.54,5,Rain,93<br />
6/26/2010,33,31,28,26,24,24,82,71,60,1016,1015,1014,16,16,16,29,19,42,0,5,,119<br />
6/27/2010,33,31,27,25,24,23,85,71,56,1015,1014,1013,16,16,16,26,15,52,0,6,,119<br />
6/28/2010,33,31,28,25,24,23,80,70,60,1015,1014,1013,16,16,13,29,18,39,0.76,7,Rain,123<br />
6/29/2010,33,31,27,25,24,23,79,70,60,1016,1015,1014,16,16,14,32,20,40,T,6,Rain,122<br />
6/30/2010,33,29,25,25,24,22,85,73,60,1019,1017,1016,16,15,3,47,11,56,13.97,6,Rain-Thunderstorm,110<br />
7/1/2010,33,31,28,25,24,23,85,73,60,1019,1018,1016,16,16,16,24,12,35,0,5,,106<br />
7/2/2010,33,29,24,24,23,22,94,77,59,1018,1016,1015,16,16,8,26,7,35,5.08,6,Rain-Thunderstorm,32<br />
7/3/2010,31,28,26,26,24,23,100,84,68,1017,1016,1014,16,16,10,29,6,35,10.41,7,Rain,43<br />
7/4/2010,32,27,23,26,24,22,100,80,59,1018,1017,1015,16,14,1,45,7,56,30.99,8,Fog-Rain-Thunderstorm,76<br />
7/5/2010,31,28,24,25,23,22,91,77,63,1017,1016,1015,16,15,6,34,10,42,10.41,7,Rain,93<br />
7/6/2010,32,28,24,23,23,22,88,74,59,1017,1016,1015,16,15,11,19,8,24,0,6,,85<br />
7/7/2010,33,31,27,25,24,23,85,71,56,1016,1014,1013,16,16,16,26,11,35,0.25,6,Rain,52<br />
7/8/2010,33,30,27,25,24,23,85,71,56,1015,1014,1013,16,16,16,27,11,39,0.25,5,Rain,64<br />
7/9/2010,33,29,26,26,24,22,94,77,59,1017,1015,1014,16,16,16,23,7,32,0,5,,138<br />
7/10/2010,34,30,26,25,24,22,91,72,52,1017,1016,1015,16,16,11,50,8,63,10.41,5,Rain-Thunderstorm,213<br />
7/11/2010,35,31,27,25,23,21,85,66,46,1017,1015,1014,16,16,10,24,8,35,17.53,4,Rain,268<br />
7/12/2010,34,31,26,25,23,21,85,66,46,1016,1015,1014,16,16,16,24,10,37,T,5,,255<br />
7/13/2010,34,31,27,24,23,21,85,69,52,1017,1016,1015,16,16,16,23,6,27,0,5,,229<br />
7/14/2010,31,28,25,25,24,22,80,74,68,1019,1017,1016,16,14,1,32,9,39,37.59,7,Rain-Thunderstorm,90<br />
7/15/2010,33,28,22,25,23,19,85,71,56,1021,1018,1016,16,15,6,53,16,69,7.87,6,Rain-Thunderstorm,111<br />
7/16/2010,31,28,24,25,23,21,85,70,55,1020,1019,1017,16,15,10,34,16,47,0.25,6,Rain,115<br />
7/17/2010,33,29,25,24,23,20,74,61,47,1020,1019,1018,16,16,16,35,18,42,0.51,5,Rain,87<br />
7/18/2010,33,29,26,26,24,23,85,75,64,1019,1018,1016,16,15,3,45,18,52,8.64,6,Rain,91<br />
7/19/2010,33,30,27,26,24,24,85,75,64,1019,1017,1016,16,16,13,39,22,48,0.51,6,Rain,98<br />
7/20/2010,33,30,27,25,24,23,85,75,64,1020,1018,1017,16,15,11,42,27,50,0.76,6,Rain,95<br />
7/21/2010,33,31,28,24,23,23,79,68,56,1020,1019,1017,16,16,14,35,24,47,0,3,,84<br />
7/22/2010,33,31,28,25,23,21,80,65,49,1019,1017,1015,16,16,14,34,19,45,1.02,5,,66<br />
7/23/2010,31,28,25,26,25,23,94,82,70,1017,1013,1011,16,12,3,52,21,64,38.1,7,Rain,79<br />
7/24/2010,33,30,27,27,25,24,91,78,64,1019,1017,1015,16,16,16,32,18,39,2.54,4,Rain,115<br />
7/25/2010,32,29,26,25,24,23,85,74,63,1019,1018,1016,16,16,16,34,14,45,1.78,4,Rain,127<br />
7/26/2010,33,30,27,26,24,23,91,75,59,1020,1019,1018,16,16,16,23,12,29,0,5,,114<br />
7/27/2010,33,31,28,25,23,21,85,69,52,1020,1019,1018,16,16,16,24,9,34,0,3,,109<br />
7/28/2010,34,31,27,24,23,21,85,67,49,1020,1019,1017,16,16,16,23,7,29,0,2,,124<br />
7/29/2010,33,30,26,24,23,21,85,69,52,1019,1017,1015,16,16,16,21,9,29,0,3,,166<br />
7/30/2010,34,31,27,25,23,22,85,69,52,1016,1014,1012,16,16,14,27,9,34,0.51,4,Rain,203<br />
7/31/2010,34,30,26,26,24,22,91,72,52,1013,1012,1011,16,16,6,24,7,37,1.52,4,Rain,188<br />
8/1/2010,34,30,26,25,23,22,85,69,52,1015,1013,1011,16,16,16,24,5,34,0.25,4,,180<br />
8/2/2010,33,30,27,24,24,23,79,69,59,1017,1016,1013,16,16,16,21,3,32,0,6,Thunderstorm,236<br />
8/3/2010,33,30,27,25,24,23,85,71,56,1017,1016,1015,16,16,11,26,9,32,0.76,5,Rain,104<br />
8/4/2010,33,29,26,25,23,22,97,77,56,1016,1015,1014,16,16,16,26,9,34,0.51,6,Rain-Thunderstorm,123<br />
8/5/2010,33,29,26,25,24,23,91,74,56,1016,1014,1013,16,15,0,27,12,40,0.76,3,Fog-Rain,124<br />
8/6/2010,34,31,27,25,24,23,85,71,56,1015,1014,1013,16,16,14,26,9,35,T,4,Rain,146<br />
8/7/2010,34,31,27,25,24,23,85,71,56,1016,1014,1013,16,16,14,27,6,39,T,5,Rain-Thunderstorm,200<br />
8/8/2010,31,27,22,26,24,22,94,85,75,1016,1015,1013,16,12,0,42,7,61,35.05,8,Fog-Rain-Thunderstorm,208<br />
8/9/2010,30,27,24,24,24,23,100,83,65,1015,1013,1012,16,14,2,23,9,32,12.95,7,Rain,159<br />
8/10/2010,29,27,24,24,24,23,91,91,91,1015,1013,1011,16,12,3,27,10,40,26.92,8,Rain,145<br />
8/11/2010,33,29,26,26,24,24,91,78,64,1015,1014,1013,16,16,14,23,9,34,0,4,,138<br />
8/12/2010,34,31,27,26,24,23,91,74,56,1015,1014,1013,16,16,16,23,7,29,0,3,,111<br />
8/13/2010,34,31,27,26,25,23,88,72,56,1015,1014,1013,16,16,16,21,7,29,0,4,,152<br />
8/14/2010,34,31,28,26,25,23,88,72,56,1016,1015,1014,16,16,16,24,5,34,2.03,5,Rain-Thunderstorm,179<br />
8/15/2010,36,30,24,26,24,22,100,78,56,1016,1014,1013,16,15,1,53,5,76,20.83,7,Rain-Thunderstorm,262<br />
8/16/2010,33,29,26,26,24,22,97,78,59,1016,1014,1013,16,16,16,24,6,32,1.52,6,Rain-Thunderstorm,302<br />
