ART,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-2-7,12,8,5,6,3,1,100,70,48,1001,1000,997,31,13,0,126,13,71,3.05,5,Rain,226
2015-2-8,8,7,5,4,3,0,95,80,58,1004,1001,1000,31,11,8,39,10,50,1.02,6,Rain,207
2015-2-9,11,7,3,6,1,-1,76,63,39,1003,994,984,31,15,10,32,14,,2.03,5,,203
2015-2-10,9,7,5,5,3,1,93,74,51,986,984,981,19,11,6,55,26,80,1.02,6,Rain,230
2015-2-11,6,5,4,3,3,2,93,81,67,994,981,977,26,12,8,55,29,82,1.02,6,Rain,233
2015-2-12,11,8,4,4,2,0,81,69,50,1009,1001,995,31,12,8,85,56,113,0.51,6,Rain,232
2015-2-13,13,10,7,6,3,-1,81,64,44,1013,1011,1009,31,15,10,58,42,74,0.00,4,,243
2015-2-14,17,12,6,8,6,3,87,66,42,1010,1002,999,31,15,10,39,13,61,1.02,5,Rain,246
2015-2-15,18,12,6,10,4,-1,93,56,30,1002,999,996,31,14,8,52,23,76,5.08,3,Rain,312
2015-2-16,10,6,3,6,2,1,93,72,43,1005,1003,1000,31,12,6,40,24,58,2.03,6,Rain,257
2015-2-17,13,10,6,6,1,-3,81,57,25,1002,995,993,31,15,10,52,18,74,0.00,3,Rain,273
2015-2-18,9,6,3,3,2,1,87,71,48,1005,1002,998,31,14,10,55,34,76,0.25,5,Rain,234
2015-2-19,10,7,4,6,4,3,100,79,62,1008,1006,1005,31,14,10,26,8,,0.00,6,Rain,7
2015-2-20,11,9,7,6,4,1,82,67,51,1013,1008,1002,31,14,10,48,32,66,0.00,5,,256
2015-2-21,12,8,3,5,3,-1,93,71,38,1012,1007,1005,31,15,10,47,14,52,0.51,4,Rain,267
2015-2-22,14,9,4,5,2,1,87,61,33,1008,997,986,31,15,10,32,18,,0.00,5,,345
2015-2-23,9,8,5,7,6,2,93,81,40,998,987,982,31,12,5,52,29,72,2.03,6,Rain,238
2015-2-24,8,5,2,5,3,1,93,80,62,1019,1010,998,31,13,8,52,29,84,0.25,6,Rain,249
2015-2-25,12,8,4,7,3,0,93,71,51,1019,1010,998,31,14,10,26,11,,4.06,6,Rain,298
2015-2-26,9,7,6,6,4,0,87,77,54,1010,1005,998,31,12,10,72,43,98,0.51,5,Rain,239
2015-2-27,12,8,4,10,4,-1,88,77,48,1009,999,992,31,15,10,61,21,,0.00,6,Rain,46
2015-2-28,12,10,9,11,4,2,87,66,51,1002,997,992,31,15,10,52,31,61,0.00,5,,249
2015-3-1,18,11,5,6,4,3,87,64,31,1003,993,986,31,15,10,34,13,55,0.25,4,Rain,331
2015-3-2,13,9,5,5,1,-4,87,61,25,989,988,985,31,15,5,45,18,90,1.02,4,Rain,316
2015-3-3,12,7,2,6,3,2,100,75,54,989,986,984,31,15,10,29,13,,0.00,5,Rain,218
2015-3-4,13,10,7,6,2,-1,82,55,32,999,995,989,31,14,10,40,24,55,0.25,4,Rain,243
2015-3-5,16,12,8,7,1,-4,82,52,19,994,984,981,31,14,10,39,19,90,0.00,5,Rain,304
2015-3-6,13,10,7,5,1,-3,87,55,35,999,995,986,31,15,10,69,35,84,0.00,2,,233
2015-3-7,13,10,7,8,5,2,93,70,48,996,984,981,31,15,8,50,19,72,3.05,4,Rain,273
2015-3-8,12,9,6,5,3,2,93,67,47,990,982,977,31,14,10,52,21,74,0.00,4,Rain,233
2015-3-9,10,8,6,8,3,-1,93,67,42,1001,994,980,31,14,10,69,32,93,4.06,6,Rain,318
2015-3-10,13,10,6,7,-1,-8,87,48,14,999,982,973,26,12,5,90,39,122,0.25,4,Rain-Thunderstorm,260
2015-3-11,16,11,5,6,3,0,76,59,34,1004,1003,999,31,14,10,55,21,72,0.00,5,,7
2015-3-12,17,11,5,5,3,1,81,45,25,1000,992,988,31,15,10,32,18,,0.00,4,,351
2015-3-13,7,6,5,5,2,-1,87,74,51,996,991,985,31,15,5,61,24,77,0.25,4,Rain,246
2015-3-14,14,9,4,6,1,-4,87,61,28,996,989,983,31,12,5,53,21,66,1.02,5,Rain,291
2015-3-15,15,9,4,8,4,0,87,76,55,996,990,982,31,15,10,45,21,63,0.00,4,Rain,13
2015-3-16,13,10,4,6,3,-4,87,57,25,983,979,977,31,14,8,47,16,64,0.51,3,Rain,259
2015-3-17,11,7,3,3,1,-4,90,62,41,993,985,978,31,14,10,47,24,64,0.00,4,Rain,303
2015-3-18,13,9,4,4,1,-2,76,57,36,995,988,983,31,12,6,52,23,80,2.03,3,Rain,282
2015-3-19,9,7,3,0,-2,-5,75,52,25,995,992,989,31,14,10,45,18,63,0.25,3,,249
2015-3-20,7,4,1,3,0,-2,93,71,50,1009,1006,997,31,13,8,45,31,53,0.00,5,Rain-Snow,249
2015-3-21,13,9,5,8,6,2,82,72,58,1011,1008,1006,31,14,3,52,37,76,0.00,5,Rain,256
2015-3-22,12,9,6,7,6,2,82,73,58,1017,1013,1010,31,13,10,48,37,66,0.00,5,,258
2015-3-23,15,12,9,8,7,5,87,75,59,1027,1025,1018,31,15,10,40,24,53,0.00,5,Rain,224
2015-3-24,17,12,7,12,8,6,94,76,49,1027,1025,1023,31,21,10,24,8,,0.00,6,,311
2015-3-25,11,9,8,9,8,7,100,95,84,1028,1025,1022,31,12,8,27,14,,7.11,7,Rain,87
2015-3-26,14,11,8,8,6,4,87,72,44,1022,1015,1009,31,15,10,27,6,,0.00,5,,38
2015-3-27,14,11,9,9,7,4,87,71,59,1009,1001,998,31,16,10,26,10,,0.25,6,,79
2015-3-28,12,10,8,8,7,4,93,81,63,1004,1001,996,31,14,10,23,14,,5.08,6,Rain,24
2015-3-29,12,10,8,9,7,3,100,87,65,999,994,992,31,12,0,45,18,61,5.08,6,Fog-Rain,251
2015-3-30,9,7,6,7,4,1,93,79,55,1000,993,989,31,14,6,45,18,58,0.76,6,Rain,255
2015-3-31,10,7,3,2,-1,-8,87,62,17,997,986,975,31,17,10,35,16,52,0.00,5,,331
2015-4-1,4,3,3,4,1,-2,93,78,54,980,973,965,31,11,5,58,24,69,2.03,7,Rain,251
2015-4-2,7,4,2,2,-1,-2,87,71,49,978,974,971,31,12,2,45,18,63,4.06,6,Rain-Snow,251
2015-4-3,3,1,0,1,0,-1,100,90,70,994,991,981,26,7,1,47,35,64,3.05,7,Rain-Snow,253
2015-4-4,6,3,0,2,1,-1,93,81,63,1011,1002,994,19,10,5,50,35,72,3.05,6,Rain-Snow,251
2015-4-5,8,6,4,4,1,-2,76,67,55,1017,1014,1012,31,15,10,58,45,89,0.00,3,,251
2015-4-6,8,6,4,3,1,-1,87,69,53,1020,1019,1016,31,14,10,42,31,61,0.00,1,,256
2015-4-7,11,6,2,4,2,0,100,74,42,1020,1015,1011,31,25,0,14,6,,0.00,0,,359
2015-4-8,11,8,5,6,3,1,76,71,60,1011,1006,1002,31,15,10,27,10,,0.00,6,,349
2015-4-9,13,8,2,8,6,-3,93,77,43,1005,1002,1001,31,15,10,10,2,,0.00,4,,312
2015-4-10,13,9,4,7,4,1,94,78,35,1010,1008,1004,31,18,10,37,8,,0.00,6,,339
2015-4-11,15,12,9,9,5,2,97,62,36,1008,1007,1005,31,15,10,19,11,,0.00,5,,316
2015-4-12,12,9,7,7,6,3,93,77,49,1005,998,994,31,13,5,27,8,,0.51,6,Rain,5
2015-4-13,7,5,3,4,3,2,100,83,69,1009,1000,995,31,11,5,40,18,48,3.05,5,Rain-Thunderstorm,251
2015-4-14,6,4,2,4,2,1,98,81,57,1016,1012,1009,31,12,10,64,42,90,0.00,6,Rain,255
2015-4-15,8,6,4,4,1,-2,93,70,48,1020,1016,1012,31,18,10,52,32,60,0.00,2,,255
2015-4-16,8,6,2,2,1,-2,81,69,56,1012,1004,1001,31,15,10,45,10,61,0.25,5,,353
2015-4-17,8,6,4,3,2,1,87,70,53,1004,1002,1001,31,15,10,34,24,,0.00,4,Rain,278
2015-4-18,8,6,4,3,1,0,87,73,57,1001,994,985,31,17,10,23,10,,0.00,3,,330
2015-4-19,6,3,1,3,2,-2,93,86,70,997,986,977,31,10,1,61,21,87,3.05,6,Rain-Snow,225
2015-4-20,9,4,1,2,0,-2,87,72,57,998,994,990,31,14,10,53,31,64,0.00,4,,274
2015-4-21,11,8,5,5,3,1,93,71,41,991,987,982,31,13,8,45,27,69,0.25,4,Rain,236
2015-4-22,11,8,6,7,6,3,100,83,62,986,982,979,19,12,10,39,18,61,0.51,5,Rain,325
2015-4-23,5,3,2,6,-1,-5,87,69,41,1005,995,981,31,13,10,47,32,58,2.03,4,Rain,240
2015-4-24,5,2,0,0,-1,-3,93,72,55,1010,1008,1005,31,20,10,27,13,,0.00,5,,11
2015-4-25,6,4,3,4,3,0,100,89,71,1012,1005,1001,31,12,4,27,11,,2.03,6,Rain,231
2015-4-26,8,6,3,3,1,-1,87,68,44,1024,1018,1012,31,14,10,47,23,76,0.00,4,,282
2015-4-27,12,7,1,6,-1,-4,81,58,34,1025,1019,1010,31,23,10,40,11,80,0.00,2,,358
2015-4-28,13,11,8,7,4,-1,87,60,38,1009,1005,1002,31,14,8,37,21,,0.00,5,Rain,357
2015-4-29,13,12,9,9,3,-1,88,56,33,1009,1003,999,31,16,10,32,19,50,0.00,2,,359
2015-4-30,11,8,5,4,1,-3,87,58,33,1001,998,996,31,15,10,29,14,,0.00,4,,26
2015-5-1,6,5,4,3,1,-3,93,71,41,1001,998,995,31,15,10,55,26,69,0.00,4,Rain,241
2015-5-2,8,6,3,3,1,-2,87,73,58,1003,995,986,31,13,5,60,24,97,1.02,6,Rain-Hail,265
2015-5-3,2,0,-1,1,-1,-3,93,84,64,994,989,987,14,4,0,69,53,93,1.02,7,Rain-Snow,256
2015-5-4,2,1,-1,1,-1,-3,100,89,73,1008,1000,994,19,5,0,53,39,66,0.51,7,Rain-Snow,242
2015-5-5,5,3,2,-1,-1,-2,81,69,54,1022,1018,1010,31,15,10,45,34,61,0.00,4,,253
2015-5-6,4,2,0,1,-1,-2,87,78,62,1023,1020,1017,31,31,31,24,11,,0.00,,,357
2015-5-7,4,2,0,-1,-2,-4,87,74,52,1017,1015,1013,31,20,10,11,3,,0.00,0,,325
2015-5-8,8,5,2,0,-2,-4,75,58,40,1016,1015,1014,31,15,10,42,13,64,0.00,3,Rain,7
2015-5-9,8,7,6,4,2,-1,81,68,47,1017,1016,1014,31,11,10,39,26,55,20.07,6,Rain,25
2015-5-10,11,9,7,5,3,1,87,67,45,1018,1012,1006,19,12,10,34,18,,0.00,6,Rain,23
2015-5-11,10,8,7,7,6,4,87,77,55,1008,1006,1000,31,15,10,24,13,48,0.00,5,,27
2015-5-12,8,8,7,8,6,4,100,87,71,1001,993,983,31,12,10,19,8,,7.87,6,Rain,307
2015-5-13,8,7,5,7,3,1,96,79,56,989,985,981,31,13,10,23,13,,0.51,5,Rain,282
2015-5-14,5,3,2,4,2,0,100,86,66,988,982,976,31,15,10,14,6,,0.00,5,Rain,32
2015-5-15,6,5,4,3,2,-1,93,78,60,985,980,974,31,15,10,37,18,55,0.51,5,Rain,303
2015-5-16,7,4,2,3,2,0,100,79,52,976,972,969,31,13,10,32,8,,0.25,5,,295
2015-5-17,6,4,2,3,2,-1,93,82,60,1002,988,972,31,14,10,39,14,55,0.51,4,Rain,279
2015-5-18,11,7,2,3,1,0,93,64,40,1008,1002,999,31,15,10,39,11,55,0.00,3,,291
2015-5-19,7,4,3,4,2,1,93,80,54,1008,1003,992,31,17,10,19,5,,0.00,4,,347
2015-5-20,6,4,4,4,3,2,100,83,63,992,979,969,31,12,5,52,13,60,7.87,6,Rain,254
2015-5-21,6,4,3,3,1,-3,93,79,53,975,972,968,31,13,10,37,21,60,0.51,5,Rain,316
2015-5-22,4,2,1,2,1,-1,93,86,62,987,975,967,31,11,5,55,24,77,0.51,6,Rain,248
2015-5-23,5,3,1,2,1,-1,94,84,63,988,984,980,19,9,3,61,42,85,2.03,7,Rain-Snow,249
2015-5-24,0,-1,-2,2,-1,-3,100,96,78,989,987,984,10,2,0,52,35,63,7.11,8,Snow,245
2015-5-25,1,0,-1,-1,-3,-4,93,80,69,1010,999,990,31,10,0,45,29,64,1.02,5,Snow,231
2015-5-26,0,-2,-4,-3,-5,-6,93,81,61,1012,1010,1007,31,18,10,14,10,,0.00,6,,350
2015-5-27,6,3,0,2,1,-4,87,72,59,1008,1006,1003,31,16,10,14,6,,0.00,4,,328
2015-5-28,6,3,0,4,1,-2,100,83,37,1008,996,986,31,15,10,19,10,,1.02,5,Rain,360
2015-5-29,5,3,2,3,2,1,93,86,77,990,985,983,31,16,10,13,5,,3.05,4,,327
2015-5-30,1,1,1,2,-2,-4,93,80,58,1008,1003,991,31,12,5,32,11,,2.03,7,Rain,158
2015-5-31,3,1,-1,1,-2,-4,93,76,49,1008,1004,1001,31,16,10,11,2,,0.25,5,,310
2015-6-1,3,2,0,1,-2,-3,93,77,58,1001,999,998,31,14,8,23,6,,0.00,6,Rain,273
2015-6-2,1,0,-1,-1,-2,-3,93,87,71,998,994,992,31,17,10,10,5,,0.00,5,,309
2015-6-3,2,0,-1,0,-2,-4,100,79,64,1004,998,992,31,14,8,16,6,,0.00,7,Snow,268
2015-6-4,0,-2,-4,-2,-4,-7,93,84,71,1008,1006,1004,31,16,10,19,10,,0.00,4,,342
2015-6-5,3,1,-1,-1,-2,-3,87,79,65,1004,1000,999,31,13,5,35,21,,2.03,7,Rain-Snow,78
2015-6-6,3,1,0,1,-1,-2,93,83,71,1005,1003,1001,31,13,5,27,8,,0.00,6,Snow,61
2015-6-7,3,2,1,1,-1,-4,87,75,53,1007,1002,997,31,13,10,63,21,85,0.00,5,Rain,236
2015-6-8,3,2,1,-1,-3,-5,81,67,49,1008,1003,995,31,16,10,32,14,,0.00,4,,314
2015-6-9,3,1,0,1,-2,-6,100,78,44,1000,995,988,31,14,5,53,16,61,1.02,4,Rain-Snow,280
2015-6-10,2,0,-2,1,-2,-7,100,77,40,993,981,973,31,8,1,42,29,71,3.05,6,Rain-Snow,256
2015-6-11,2,0,-2,-1,-3,-4,93,78,63,995,987,979,26,11,3,45,26,60,0.51,5,Snow,255
2015-6-12,3,2,1,2,1,-1,100,88,75,992,988,980,31,10,3,45,19,63,0.76,7,Rain-Snow,245
2015-6-13,3,1,0,0,-1,-3,93,82,59,989,988,986,31,13,10,39,13,45,0.00,5,,272
2015-6-14,-1,-2,-2,-1,-3,-4,93,86,77,988,984,979,31,4,0,53,27,74,4.06,7,Snow,253
2015-6-15,-2,-2,-3,-3,-4,-5,93,83,75,987,980,967,31,9,0,37,24,47,2.03,7,Snow,349
2015-6-16,-1,-2,-3,-1,-2,-4,100,93,86,999,982,966,10,3,0,64,37,87,0.76,8,Snow,219
2015-6-17,4,1,-2,1,-3,-6,100,84,68,1006,1002,994,31,11,2,71,23,74,0.25,5,Rain-Snow,271
2015-6-18,6,3,2,2,2,1,93,86,75,1005,1002,995,31,11,6,55,39,80,2.03,5,Rain,249
2015-6-19,5,3,2,2,1,-1,87,74,61,1000,989,984,31,14,8,50,19,69,0.00,6,Rain,271
2015-6-20,5,3,1,2,-1,-3,93,78,58,995,990,982,31,15,10,37,23,53,0.00,3,,319
2015-6-21,4,2,-1,1,-1,-4,100,83,68,1006,991,980,19,5,0,64,37,93,3.05,8,Rain-Snow,243
2015-6-22,4,1,-2,0,-2,-4,100,75,60,1011,1008,1002,31,13,1,48,26,58,0.00,6,Snow,273
2015-6-23,10,7,3,4,-1,-3,81,57,31,1002,994,991,31,15,10,37,21,58,0.00,5,,308
2015-6-24,8,4,2,2,1,-1,87,71,58,1002,999,994,31,15,0,39,13,,0.00,6,Rain,35
2015-6-25,12,8,3,1,-1,-5,81,56,25,993,990,988,31,14,10,52,19,64,0.00,3,,360
2015-6-26,4,3,3,1,-3,-7,87,58,35,1003,1000,995,31,15,10,34,18,52,0.00,2,,303
2015-6-27,8,6,3,3,-1,-4,93,60,36,995,979,970,31,14,6,50,29,69,2.03,4,Rain,310
2015-6-28,1,1,0,1,-1,-3,100,88,70,977,973,972,19,5,0,52,26,77,3.05,7,Rain-Snow,272
2015-6-29,2,0,-2,0,-3,-5,100,86,70,993,988,979,10,4,0,45,27,58,1.02,7,Snow,257
2015-6-30,0,-1,-2,-2,-3,-4,93,79,57,1004,996,992,7,2,0,58,29,77,1.02,8,Snow,250
2015-7-1,1,-1,-2,-1,-2,-6,93,81,57,1011,1009,1004,31,10,3,47,32,61,0.25,4,Snow,290
2015-7-2,4,2,0,1,-1,-5,100,79,37,1007,1003,1002,31,11,6,42,18,63,2.03,7,Rain-Snow,239
2015-7-3,3,1,0,1,-3,-5,87,67,50,1009,1008,1005,31,14,3,42,31,63,4.06,4,Snow,265
2015-7-4,1,0,-1,-1,-2,-3,100,90,79,1022,1007,1004,19,8,2,34,5,,7.87,7,Snow,4
2015-7-5,0,-1,-2,-1,-2,-4,100,90,70,1006,1002,1001,10,4,1,40,21,47,2.03,8,Snow,66
2015-7-6,-3,-4,-6,-4,-6,-8,93,86,73,1012,1010,1006,31,14,10,40,23,,0.00,5,Snow,42
2015-7-7,-3,-4,-7,-3,-6,-8,93,89,76,1013,1009,1005,31,15,10,16,10,,0.00,3,,332
2015-7-8,-1,-3,-4,-2,-3,-5,100,92,79,1005,1001,1000,31,13,8,14,6,,0.00,8,Snow,323
2015-7-9,-2,-3,-5,-3,-4,-6,100,89,79,1002,1000,998,31,14,10,14,8,,0.00,3,,325
2015-7-10,3,1,-2,1,-1,-4,100,87,71,998,990,984,31,14,10,13,6,,0.00,5,Rain,31
2015-7-11,1,0,-1,2,-1,-2,100,88,74,985,980,977,19,7,0,53,19,71,2.03,7,Snow,235
2015-7-12,5,2,-2,-3,-5,-10,86,62,30,988,981,971,31,12,1,47,27,64,0.76,5,Snow,332
2015-7-13,4,2,-1,2,-2,-4,100,72,35,993,977,966,26,8,3,61,27,74,2.03,6,Rain-Snow,254
2015-7-14,6,1,-2,-1,-3,-7,93,67,45,994,981,970,31,15,6,47,23,63,0.00,4,Snow,4
2015-7-15,1,0,-1,-1,-2,-4,95,87,43,990,983,969,31,11,1,39,24,71,0.00,5,Snow,255
2015-7-16,6,2,-1,0,-3,-5,93,61,40,994,989,980,31,15,10,35,13,63,0.25,4,Rain,341
2015-7-17,2,1,0,-2,-4,-6,80,62,34,980,976,970,31,15,8,64,32,64,0.51,3,Rain,275
2015-7-18,3,1,-1,0,-4,-7,93,66,37,983,973,967,31,11,1,58,24,76,4.06,5,Rain-Snow,263
2015-7-19,3,0,-3,-2,-3,-4,100,87,60,995,988,976,6,3,0,61,40,84,3.05,8,Rain-Snow,246
2015-7-20,4,3,2,0,-1,-3,87,72,57,1003,999,991,31,14,6,66,35,87,0.00,5,Rain,285
2015-7-21,4,3,2,2,-2,-7,87,67,30,992,988,984,31,15,10,47,14,55,0.00,3,,313
2015-7-22,4,2,0,2,0,-1,100,82,61,991,988,982,31,11,3,32,10,,3.05,5,Rain-Snow,214
2015-7-23,1,-1,-3,0,-3,-5,100,81,57,1011,1001,987,31,12,1,27,19,48,3.05,5,Rain-Snow,234
2015-7-24,3,-1,-5,-1,-3,-7,87,81,57,1014,1005,991,31,13,10,35,14,52,3.05,6,Rain,8
2015-7-25,4,2,1,3,2,-1,100,92,76,990,986,983,31,12,5,10,5,,1.02,7,Rain,324
2015-7-26,3,2,0,3,2,0,100,96,87,994,992,990,31,8,0,10,2,,0.00,6,Fog,336
2015-7-27,4,2,0,1,1,0,100,90,75,994,993,992,31,13,0,32,6,,0.00,5,Fog,303
2015-7-28,3,2,0,-1,-3,-6,81,68,45,1007,1001,995,31,16,10,35,19,48,0.00,3,,280
2015-7-29,6,1,-3,-1,-3,-9,86,65,32,1006,1003,1001,31,17,10,39,10,63,0.00,4,,352
2015-7-30,4,3,2,1,-1,-3,87,76,59,1006,1003,1001,31,19,10,23,10,,0.00,3,,22
2015-7-31,3,1,-1,0,-2,-4,93,74,60,1009,1008,1006,31,19,10,13,6,,0.00,3,,344
2015-8-1,4,1,-2,-2,-4,-7,86,73,37,1006,1001,996,31,25,10,29,10,66,0.00,6,,357
2015-8-2,5,3,1,2,-1,-3,93,77,66,997,994,993,31,15,10,24,5,,0.00,5,,244
2015-8-3,4,2,1,1,0,-1,100,88,75,1008,1004,997,19,10,5,32,13,47,0.51,7,Rain-Snow,241
2015-8-4,3,1,-1,0,-2,-6,100,81,41,1010,1007,996,31,15,10,34,8,61,0.00,3,,357
2015-8-5,10,7,3,3,-2,-6,87,57,24,996,981,974,31,12,3,64,39,90,13.97,6,Rain,348
2015-8-6,6,4,3,-3,-7,-10,57,41,26,997,993,986,31,15,10,29,21,66,0.00,4,,340
2015-8-7,5,2,0,-2,-6,-11,81,53,21,997,995,993,31,14,2,47,18,55,0.00,3,Rain-Snow,272
2015-8-8,7,3,-1,2,-3,-8,93,59,32,996,993,992,31,14,10,35,13,60,0.00,5,,334
2015-8-9,5,3,1,1,-3,-6,93,67,48,1001,998,994,31,16,10,48,14,66,0.25,4,Rain,271
2015-8-10,4,2,0,1,-2,-8,87,70,42,1003,1001,998,31,14,10,39,13,60,0.00,3,,263
2015-8-11,3,1,-1,1,-2,-3,93,80,62,1014,1000,993,31,10,1,64,23,80,1.02,7,Rain-Snow,237
2015-8-12,6,2,-1,2,0,-3,93,72,50,1018,1013,1007,31,14,10,72,47,98,0.00,3,Rain,246
2015-8-13,9,6,2,17,-3,-7,81,51,31,1016,1002,988,31,16,10,35,16,71,0.00,4,,328
2015-8-14,9,4,1,2,-1,-5,93,59,34,988,979,975,31,13,3,64,34,87,0.51,5,Rain,290
2015-8-15,5,2,-2,1,-2,-9,100,77,25,985,978,971,31,8,0,58,29,95,2.03,7,Rain-Snow,271
2015-8-16,9,3,-2,4,-1,-3,93,70,38,985,961,949,19,10,2,74,24,116,3.05,6,Rain-Snow,303
2015-8-17,-1,-3,-6,-2,-5,-7,100,90,79,996,977,962,4,1,0,66,43,95,1.02,8,Snow,264
2015-8-18,-2,-3,-4,-3,-3,-5,100,91,80,1009,997,982,3,1,0,64,37,97,4.06,8,Snow,252
2015-8-19,5,1,-3,-1,-3,-6,93,76,45,1015,1013,1009,31,13,1,50,26,63,0.51,5,Snow,264
2015-8-20,3,1,-1,-1,-3,-5,85,72,50,1009,1002,999,31,14,6,52,16,71,0.51,4,Rain,265
2015-8-21,2,0,-2,0,-2,-5,93,83,66,1015,1006,1001,31,12,10,58,39,69,0.51,5,Snow,240
2015-8-22,1,-1,-3,-2,-4,-7,81,75,60,1023,1021,1016,31,13,6,27,23,,0.25,7,Snow,268
2015-8-23,1,-2,-6,-1,-4,-7,93,84,61,1023,1020,1016,31,31,31,13,5,,0.00,,,353
2015-8-24,4,0,-5,2,-2,-6,100,87,69,1015,1010,1006,31,18,10,19,6,,0.00,3,,16
