PKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-2-19,29,24,19,21,19,17,88,73,49,1012,1010,1008,7,5,2,24,11,,0.00,3,,237
2015-2-20,31,25,19,22,20,18,90,73,48,1015,1012,1010,6,5,3,19,10,,0.00,2,,256
2015-2-21,33,26,18,21,14,6,94,56,20,1018,1015,1012,6,3,0,26,8,,0.00,4,Fog,34
2015-2-22,34,27,19,20,14,11,76,49,25,1017,1014,1012,6,5,3,23,10,,0.00,4,,123
2015-2-23,29,24,20,21,17,14,85,63,39,1015,1013,1012,7,5,3,34,14,,0.00,3,,230
2015-2-24,27,23,19,16,7,0,61,37,16,1014,1012,1009,6,5,3,40,26,,0.00,4,,252
2015-2-25,25,21,17,6,-3,-8,38,20,5,1015,1012,1010,8,6,3,29,21,32,0.00,2,,269
2015-2-26,27,21,14,9,-1,-9,48,26,6,1015,1012,1010,10,6,3,27,10,,0.00,,,306
2015-2-27,28,21,13,13,6,-5,52,36,12,1014,1012,1010,8,6,3,19,8,,0.00,4,Rain-Thunderstorm,70
2015-2-28,22,18,14,14,8,6,68,49,27,1015,1011,1007,7,5,3,47,21,48,0.00,7,Rain-Thunderstorm,35
2015-3-1,23,19,15,9,6,5,59,43,27,1012,1009,1001,9,6,3,52,31,61,0.00,3,Thunderstorm,31
2015-3-2,26,20,14,14,9,3,82,50,16,1015,1013,1011,8,6,3,34,13,,0.00,2,,195
2015-3-3,27,22,17,15,11,7,60,49,34,1016,1014,1012,8,6,3,29,13,,0.00,3,,257
2015-3-4,27,21,15,17,13,11,77,58,35,1015,1013,1011,8,6,3,32,11,,0.00,2,,240
2015-3-5,28,22,16,20,17,15,83,66,43,1016,1014,1012,7,6,3,27,14,,0.00,4,,232
2015-3-6,30,24,18,19,16,12,94,62,33,1019,1016,1014,8,5,3,122,11,,0.00,2,,99
2015-3-7,29,24,19,19,10,-4,78,46,6,1016,1014,1012,6,4,1,26,10,,0.00,4,,275
2015-3-8,30,24,18,11,-3,-14,49,20,4,1018,1016,1014,8,5,2,32,14,,0.00,2,,319
2015-3-9,30,22,15,11,-2,-14,59,23,4,1022,1020,1016,7,6,3,32,11,,0.00,,,49
2015-3-10,28,22,16,6,0,-7,37,22,8,1023,1020,1017,7,5,3,40,23,,0.00,,,42
2015-3-11,30,23,16,6,2,-3,45,25,8,1020,1017,1014,8,6,3,27,13,35,0.00,3,,37
2015-3-12,33,26,18,10,2,-1,31,21,8,1019,1016,1014,8,6,3,48,16,64,0.00,2,,45
2015-3-13,28,23,19,14,9,1,73,40,18,1016,1014,1011,7,5,3,23,11,,0.51,4,Rain-Thunderstorm,306
2015-3-14,27,22,18,17,11,4,88,52,24,1015,1013,1011,9,6,3,40,13,,1.02,4,Rain-Hail-Thunderstorm,249
2015-3-15,27,21,15,14,10,7,63,48,30,1015,1013,1011,8,6,3,24,10,,0.00,2,,117
2015-3-16,34,25,16,19,13,3,83,54,19,1019,1016,1014,7,6,3,27,10,,0.00,1,,284
2015-3-17,33,26,18,19,13,4,88,52,14,1021,1018,1016,9,6,3,24,8,,0.00,2,,348
2015-3-18,32,25,18,17,11,5,68,42,18,1017,1015,1012,8,6,3,26,8,,0.00,1,,266
2015-3-19,30,25,20,21,18,14,88,65,50,1015,1014,1012,8,6,3,32,11,,0.00,1,,247
2015-3-20,34,27,21,22,17,14,78,51,31,1016,1014,1012,7,6,3,26,10,,0.00,,,244
2015-3-21,35,29,23,22,18,12,83,58,25,1017,1015,1013,7,5,3,21,6,,0.00,1,,230
2015-3-22,37,29,21,20,16,12,78,47,20,1017,1014,1012,7,5,3,23,8,,0.00,2,,262
2015-3-23,39,31,23,19,14,5,73,45,13,1014,1012,1010,7,6,3,27,8,,0.00,,,273
2015-3-24,34,29,23,22,18,13,83,57,29,1016,1011,1009,7,6,3,34,13,,0.00,2,,255
2015-3-25,36,28,21,23,19,13,88,59,26,1012,1011,1009,7,5,2,24,8,,0.00,4,,198
2015-3-26,38,30,22,20,15,6,61,39,15,1014,1012,1010,7,6,3,24,6,,0.00,5,,339
2015-3-27,39,32,25,19,16,12,61,39,18,1014,1012,1010,7,6,3,27,10,,0.00,2,,311
2015-3-28,37,31,25,21,16,12,65,43,22,1012,1010,1009,7,6,3,37,11,,0.00,4,,254
2015-3-29,35,30,25,18,9,4,51,29,13,1011,1009,1006,7,6,3,37,13,,0.00,3,,272
2015-3-30,35,28,21,18,9,-1,73,36,8,1012,1009,1007,7,6,3,37,13,,0.00,,,276
2015-3-31,33,27,21,20,16,9,74,52,31,1013,1010,1008,8,6,3,24,8,,0.00,,,251
2015-4-1,31,27,23,23,21,19,79,69,52,1010,1008,1006,7,6,3,37,21,,0.00,4,,245
2015-4-2,31,28,24,23,22,20,83,73,51,1009,1007,1006,7,5,3,34,21,,0.00,4,,244
2015-4-3,29,27,24,24,22,21,83,73,64,1007,1005,1003,7,5,3,40,27,,0.00,5,,234
2015-4-4,32,28,24,23,20,18,74,65,47,1007,1005,1003,4,4,2,27,16,,0.00,4,,241
2015-4-5,31,27,23,21,19,17,78,61,44,1008,1007,1004,6,5,3,24,13,,0.00,2,,243
2015-4-6,32,28,24,22,19,17,83,63,43,1009,1007,1005,6,5,3,29,13,,0.00,1,,242
2015-4-7,35,29,24,23,19,13,83,60,28,1010,1008,1007,7,5,3,26,8,,0.00,,,250
2015-4-8,37,30,23,21,16,10,88,46,18,1015,1011,1009,7,5,3,23,8,,0.00,3,,269
2015-4-9,38,31,23,16,8,3,45,25,8,1013,1011,1009,7,5,3,21,10,,0.00,1,,323
2015-4-10,39,31,24,18,7,1,45,23,5,1010,1009,1006,6,5,3,26,11,,0.00,2,,276
2015-4-11,34,30,25,24,20,12,83,60,19,1011,1009,1007,6,5,3,29,14,,0.00,2,,240
2015-4-12,37,31,25,23,19,11,83,56,16,1013,1011,1008,7,5,3,23,13,,0.00,2,,116
2015-4-13,39,32,24,23,14,6,78,39,10,1014,1012,1009,7,6,3,19,10,,0.00,3,,245
2015-4-14,38,31,24,21,11,5,57,28,12,1013,1011,1008,8,6,3,34,11,,0.00,1,,260
2015-4-15,40,32,25,13,8,0,34,21,10,1013,1011,1009,9,6,3,23,11,,0.00,2,,279
2015-4-16,41,33,27,20,11,6,42,26,11,1014,1012,1010,7,6,3,23,11,,0.00,,,270
2015-4-17,36,32,27,23,19,14,66,46,32,1013,1010,1008,7,6,3,26,13,,0.00,,,249
2015-4-18,35,31,27,23,20,16,66,53,38,1008,1006,1003,7,6,3,29,19,,0.00,2,,234
2015-4-19,35,31,27,22,18,12,66,45,23,1008,1006,1003,7,6,3,34,18,,0.00,,,227
2015-4-20,39,33,27,22,17,9,61,41,18,1010,1008,1006,6,5,3,27,19,,0.00,,,237
2015-4-21,37,31,25,22,15,5,61,37,13,1011,1009,1008,7,6,3,24,13,,0.00,,,230
2015-4-22,37,31,26,22,17,3,74,47,8,1009,1007,1005,7,6,3,29,16,,0.00,,,244
2015-4-23,37,31,26,22,18,11,70,51,16,1009,1007,1006,7,6,3,27,19,,0.00,,,236
2015-4-24,36,30,25,24,21,17,74,59,34,1009,1007,1005,7,6,3,26,16,,0.00,,,233
2015-4-25,36,31,25,25,22,20,83,64,39,1008,1005,1003,7,6,3,26,13,,0.00,,,230
2015-4-26,37,32,26,26,23,15,84,64,27,1008,1006,1004,7,6,3,34,13,,0.00,3,,230
2015-4-27,34,31,27,26,24,23,84,69,52,1009,1008,1006,7,5,3,26,16,,0.00,3,,229
2015-4-28,38,32,26,26,21,14,79,54,27,1010,1008,1007,6,4,3,29,18,,0.00,3,,234
2015-4-29,36,30,25,25,21,17,78,58,34,1008,1007,1005,6,5,3,27,14,,0.00,,,230
2015-4-30,39,33,27,25,19,8,79,47,16,1009,1007,1001,9,6,3,27,18,,0.00,,,237
2015-5-1,43,34,25,22,12,0,57,29,5,1010,1008,1006,7,6,3,23,8,,0.00,,,253
2015-5-2,39,32,26,31,18,11,74,43,24,1009,1007,1005,7,6,3,21,13,,0.00,,,233
2015-5-3,35,30,26,24,21,11,79,55,35,1009,1007,1005,7,6,3,24,13,,0.00,1,,226
2015-5-4,35,30,26,25,23,20,84,64,43,1010,1009,1007,7,6,3,23,14,,0.00,1,,225
2015-5-5,35,31,26,26,23,21,79,66,42,1009,1008,1006,7,6,3,26,14,,0.00,2,,246
2015-5-6,35,31,26,25,23,21,82,68,46,1008,1006,1005,7,6,3,27,16,,0.00,3,,244
2015-5-7,34,31,27,26,23,22,79,66,52,1008,1007,1006,6,6,3,35,19,,0.00,3,,229
2015-5-8,34,31,27,26,23,21,84,68,49,1009,1007,1005,7,5,3,27,18,,0.00,2,,226
2015-5-9,35,31,27,26,23,21,84,67,49,1007,1005,1004,7,6,3,27,16,,0.00,4,,214
2015-5-10,35,31,27,26,24,21,79,66,46,1007,1006,1004,8,6,3,26,18,,0.00,4,,235
2015-5-11,35,31,28,28,24,22,77,67,48,1007,1006,1004,7,6,3,200,19,,0.00,4,,230
2015-5-12,37,32,28,27,24,21,84,65,41,1008,1006,1004,7,6,3,27,16,,0.00,3,,218
2015-5-13,35,32,28,27,24,22,84,68,52,1008,1006,1004,7,5,3,24,11,,0.00,2,,221
2015-5-14,36,31,27,27,24,20,86,66,41,1010,1008,1006,7,6,3,23,13,,0.00,1,,214
2015-5-15,38,33,28,26,22,17,82,61,26,1010,1008,1007,7,6,3,26,18,,0.00,1,,240
2015-5-16,35,31,27,28,24,22,87,68,49,1007,1005,1003,8,6,3,34,16,52,0.00,2,,239
2015-5-17,35,31,27,26,24,11,84,65,27,1004,1003,1001,7,6,3,29,21,,0.00,2,,233
2015-5-18,36,32,28,27,24,22,79,65,47,1005,1003,1002,7,6,3,26,19,,0.00,4,,226
2015-5-19,36,32,28,26,24,22,74,65,48,1006,1005,1003,7,6,3,27,19,,0.00,5,,222
2015-5-20,36,32,28,27,25,23,79,67,49,1007,1006,1004,7,6,3,27,21,,0.00,3,,240
2015-5-21,36,32,28,27,24,23,79,66,47,1007,1006,1004,7,6,3,34,21,,0.00,3,,233
2015-5-22,36,32,28,27,24,22,79,66,43,1006,1004,1002,7,6,3,34,23,,0.00,2,,237
2015-5-23,36,32,29,27,24,22,79,65,47,1005,1003,1001,7,6,3,34,23,,0.00,1,,225
2015-5-24,37,33,29,27,24,19,79,63,35,1005,1003,1002,6,5,3,45,21,,0.00,2,,228
2015-5-25,36,32,28,28,25,22,86,69,44,1006,1004,1003,6,5,3,40,23,,0.00,2,,238
2015-5-26,36,32,28,27,25,23,82,68,47,1007,1005,1003,7,6,3,34,21,,0.00,4,,227
2015-5-27,36,32,28,27,25,24,81,68,53,1007,1005,1002,7,6,3,29,19,,0.00,2,,234
2015-5-28,36,32,29,28,24,21,83,67,43,1005,1004,1002,7,6,3,32,19,,0.00,2,,227
2015-5-29,36,32,28,26,23,18,84,63,36,1007,1005,1003,7,6,3,23,16,,0.00,2,,214
2015-5-30,35,31,28,26,24,22,79,65,47,1007,1006,1004,7,6,3,32,21,,0.00,3,,233
2015-5-31,36,32,28,28,25,24,84,68,52,1005,1003,1001,7,6,3,27,18,,0.00,3,,228
2015-6-1,36,32,29,28,26,24,86,71,53,1002,999,997,7,6,3,26,16,,0.00,3,,221
2015-6-2,40,34,29,28,25,19,86,63,31,1004,1001,999,6,5,3,37,18,,0.00,3,,201
2015-6-3,36,32,28,27,23,15,79,58,42,1006,1004,1002,31,5,0,177,19,69,0.00,3,,89
2015-6-4,38,32,26,21,15,11,54,36,16,1009,1007,1005,7,5,2,55,23,,0.00,3,Thunderstorm,24
2015-6-5,39,33,28,23,16,11,66,36,16,1009,1007,1005,6,5,3,32,16,,0.00,1,,252
2015-6-6,36,31,25,26,23,19,78,60,39,1007,1005,1002,7,6,3,27,19,,0.00,3,,234
2015-6-7,36,32,28,27,24,20,79,62,44,1004,1002,1000,7,6,3,34,21,,0.00,2,,229
2015-6-8,35,32,28,27,23,16,79,63,38,1005,1003,1002,7,6,3,23,14,,0.00,6,,221
2015-6-9,36,32,29,25,22,20,70,55,45,1005,1004,1002,7,6,3,26,14,,0.00,4,,194
2015-6-10,36,32,29,26,23,20,74,60,40,1005,1003,1002,8,7,3,26,14,,0.00,2,,210
2015-6-11,35,32,29,26,23,21,74,59,10,1005,1004,1003,7,6,3,26,18,,0.00,3,,221
2015-6-12,36,32,29,26,24,21,74,61,40,1005,1003,1001,8,6,3,27,18,,0.00,2,,228
2015-6-13,36,32,28,27,24,22,74,61,43,1002,1001,999,7,6,3,37,24,,0.00,4,,236
2015-6-14,35,32,29,27,24,23,74,64,52,1001,1000,998,6,5,3,47,31,,0.00,4,,241
2015-6-15,35,32,29,26,24,22,74,63,46,1001,1000,998,7,6,3,45,29,,0.00,4,,241
2015-6-16,36,30,25,27,24,23,89,65,49,1002,1000,997,7,6,3,29,19,,0.00,4,,239
2015-6-17,37,33,29,27,24,15,79,62,28,1001,1000,997,7,6,3,27,16,,0.00,3,,249
2015-6-18,39,34,29,27,23,19,74,52,31,1003,999,997,7,6,3,26,13,,0.00,1,,268
2015-6-19,40,36,31,28,22,19,68,48,28,999,998,995,7,6,3,23,13,,0.00,1,,262
2015-6-20,44,38,31,27,22,15,70,45,18,998,995,992,8,6,3,27,11,,0.00,2,,258
2015-6-21,42,38,33,26,21,17,59,37,16,997,995,993,8,6,3,34,13,,0.00,2,Rain,64
2015-6-22,42,38,33,28,22,18,55,42,30,996,994,992,7,5,3,37,13,,0.00,3,Thunderstorm,82
2015-6-23,41,37,32,27,23,16,66,47,27,996,994,992,7,6,3,34,13,,0.00,1,Thunderstorm,252
2015-6-24,37,33,30,27,25,23,73,62,44,996,995,992,6,5,3,37,21,,0.00,3,Thunderstorm,243
2015-6-25,37,33,30,28,26,24,75,64,49,997,995,993,6,5,3,27,18,,0.00,5,,225
2015-6-26,37,33,30,28,25,24,75,64,50,998,996,994,6,5,3,34,19,,0.00,3,,221
2015-6-27,36,33,30,28,25,23,74,62,46,1000,998,996,7,6,3,32,21,,0.00,3,,235
2015-6-28,37,33,30,28,26,24,75,63,50,1003,1001,999,7,6,3,34,21,,0.00,3,,242
2015-6-29,36,33,30,28,25,20,77,64,41,1005,1003,1002,7,6,3,39,23,,0.00,3,,245
2015-6-30,35,32,29,27,24,22,77,62,47,1004,1003,1001,6,5,3,45,29,,0.00,4,,250
2015-7-1,35,32,30,26,24,22,70,61,48,1005,1003,1002,7,6,3,40,26,,0.00,5,,236
2015-7-2,35,32,29,26,23,22,70,60,46,1006,1004,1003,7,6,3,42,31,,0.00,4,,243
2015-7-3,35,32,29,26,23,22,74,59,48,1006,1004,1003,6,5,3,48,31,,0.00,5,,245
2015-7-4,35,32,29,26,24,22,73,61,47,1005,1003,1002,6,5,3,45,34,,0.00,5,Rain,246
2015-7-5,33,31,29,27,24,6,74,66,11,1003,1000,998,6,5,3,47,32,,0.00,6,,247
2015-7-6,34,32,29,28,26,25,79,71,59,998,996,995,6,6,3,34,26,,0.00,6,,236
2015-7-7,35,32,29,27,26,24,79,69,56,1000,997,995,7,6,3,40,31,,0.00,6,,242
2015-7-8,34,32,29,27,24,23,79,67,55,1003,1001,998,7,6,3,34,19,,0.00,6,Rain,234
2015-7-9,34,32,30,26,24,21,75,64,49,1003,1001,1000,6,5,3,39,29,,0.00,6,,248
2015-7-10,34,31,29,26,24,22,70,64,51,1001,998,995,6,5,3,47,29,,0.00,6,,244
2015-7-11,35,32,30,28,24,23,77,66,52,1001,998,996,6,6,3,29,19,,0.00,6,,234
2015-7-12,35,32,29,27,24,23,77,65,48,1004,1002,1000,7,6,3,27,14,,0.00,4,,235
2015-7-13,36,32,28,26,23,22,77,61,47,1005,1003,1001,7,6,3,32,18,,0.00,3,,241
2015-7-14,34,32,29,26,23,22,70,62,49,1004,1002,1000,7,6,3,34,23,,0.00,5,,246
2015-7-15,33,31,29,26,23,22,74,64,55,1001,998,997,6,6,3,45,29,,0.00,6,,248
2015-7-16,34,31,29,26,24,15,79,68,40,997,995,993,6,6,3,40,23,,0.00,4,,243
2015-7-17,34,32,30,27,25,23,77,69,56,998,995,993,6,6,3,32,21,,0.00,6,,234
2015-7-18,34,32,29,27,24,23,79,67,51,1001,999,997,7,6,3,32,16,,0.00,6,,230
2015-7-19,34,31,28,26,24,22,74,64,48,1006,999,997,7,6,3,37,24,,0.00,6,Rain,235
2015-7-20,34,31,29,26,23,21,74,62,46,1000,999,997,8,7,3,29,24,,0.00,5,,242
2015-7-21,36,31,25,27,24,22,83,64,44,1004,1000,998,7,5,3,42,16,,0.00,5,Rain-Thunderstorm,248
2015-7-22,35,30,24,28,24,23,84,71,52,1003,1001,999,7,5,3,27,13,,0.25,6,Rain-Thunderstorm,262
2015-7-23,33,29,26,27,26,23,96,75,62,1003,1001,999,7,5,0,35,13,,27.94,7,Rain-Thunderstorm,266
2015-7-24,34,32,29,28,26,24,91,72,59,1003,1002,1000,7,6,3,23,11,,0.00,5,Thunderstorm,254
2015-7-25,32,30,28,27,25,24,89,75,62,1010,1001,999,7,6,3,29,18,,0.51,7,Rain,246
2015-7-26,30,28,27,27,25,23,94,82,70,1001,1000,997,6,5,2,29,18,,5.08,7,Rain-Hail-Thunderstorm,242
2015-7-27,30,27,24,26,24,5,89,76,22,1001,1000,998,7,5,3,34,19,,2.03,7,Rain-Hail-Thunderstorm,255
2015-7-28,31,28,25,26,24,24,82,75,66,1001,999,998,7,5,3,40,27,,1.02,7,Rain-Thunderstorm,248
2015-7-29,32,30,27,26,24,22,82,71,55,1002,1000,999,7,6,3,188,23,,0.00,5,,232
2015-7-30,32,29,27,25,23,23,84,72,58,1002,1001,1000,7,6,3,29,23,,0.00,5,,230
2015-7-31,31,29,28,25,23,22,79,69,55,1002,1001,1000,7,6,3,37,24,,0.00,6,,228
2015-8-1,32,29,27,25,22,-22,79,66,4,1005,1003,1002,7,6,3,37,24,,0.00,6,,232
2015-8-2,33,30,27,25,22,19,77,64,46,1007,1005,1004,7,6,3,29,21,,0.00,5,,232
2015-8-3,31,29,27,24,22,20,74,65,52,1006,1005,1004,7,6,3,27,19,,0.00,5,,241
2015-8-4,32,29,27,24,22,21,78,66,52,1005,1003,1002,7,6,3,35,23,,0.00,5,,245
2015-8-5,30,28,27,24,22,2,74,66,18,1003,1001,1000,6,5,3,39,26,,0.00,6,Rain,240
2015-8-6,31,28,26,24,23,22,79,70,57,1001,1000,999,7,6,3,27,19,,0.00,6,Rain,238
2015-8-7,31,29,26,24,23,22,79,71,58,1003,1001,1000,8,6,3,23,18,,0.00,6,,233
2015-8-8,30,28,27,24,23,22,77,69,62,1003,1002,1000,7,6,3,26,18,,0.00,6,,227
2015-8-9,32,29,26,24,22,20,79,68,52,1002,1000,999,7,6,3,130,16,,0.00,6,,229
2015-8-10,31,29,27,25,22,21,77,66,54,1003,1001,1000,6,5,3,19,13,,0.00,5,,224
2015-8-11,33,29,26,25,22,21,83,67,50,1005,1003,1002,8,6,3,19,8,,0.00,3,,233
2015-8-12,33,29,26,25,22,20,77,63,44,1006,1004,1003,7,6,3,24,13,,0.00,3,,229
2015-8-13,34,31,27,25,23,3,79,65,19,1005,1004,1002,7,6,3,23,14,,0.00,4,,235
2015-8-14,33,30,27,26,23,22,79,67,52,1004,1003,1001,7,6,3,26,16,,0.00,5,,234
2015-8-15,34,31,28,26,24,22,79,68,49,1006,1004,1002,7,6,3,24,16,,0.00,4,,231
2015-8-16,34,31,27,26,23,21,79,65,45,1007,1005,1001,8,6,3,26,18,,0.00,5,,239
2015-8-17,33,31,28,25,23,21,79,65,49,1005,1004,1003,8,6,3,27,21,,0.00,4,,242
2015-8-18,34,31,27,25,22,20,77,63,44,1006,1005,1003,8,6,3,27,19,,0.00,4,,239
2015-8-19,33,30,27,25,22,19,77,63,43,1007,1006,1005,7,6,3,35,23,,0.00,4,,236
2015-8-20,32,29,27,25,22,20,79,65,48,1006,1005,1003,6,5,3,42,26,,0.00,5,,240
2015-8-21,31,28,26,25,23,22,77,70,62,1005,1004,1003,7,6,3,40,29,,0.00,6,Rain,233
2015-8-22,30,28,25,26,24,22,89,77,65,1004,1003,1001,7,6,3,34,23,,0.51,6,Rain-Thunderstorm,230
2015-8-23,30,28,26,25,23,23,84,74,66,1004,1003,1002,7,6,3,29,21,,0.00,6,Rain-Snow,234
2015-8-24,32,29,26,25,23,21,82,68,51,1007,1005,1004,7,6,3,34,21,,0.00,5,,231
2015-8-25,31,29,27,25,23,20,74,69,55,1007,1005,1003,7,6,3,29,18,,0.00,5,,233
2015-8-26,36,31,26,24,22,21,74,67,44,1005,1004,1002,7,6,3,29,21,,0.00,6,,241
2015-8-27,32,29,26,25,23,22,79,67,54,1005,1003,1002,7,6,3,23,18,,0.00,6,,226
2015-8-28,32,30,27,25,23,22,77,67,51,1006,1004,1003,7,6,3,235,18,,0.00,5,,225
2015-8-29,33,30,27,25,23,22,77,66,53,1006,1004,1003,7,6,3,26,14,,0.00,4,,234
2015-8-30,32,30,27,25,23,3,74,68,17,1005,1004,1002,7,6,3,26,16,,0.00,5,,225
2015-8-31,32,29,26,25,23,22,79,68,54,1006,1004,1002,7,6,3,185,23,,0.00,6,,224
2015-9-1,32,29,26,24,21,19,79,63,45,1006,1005,1003,7,6,3,23,16,,0.00,4,,225
2015-9-2,32,28,25,23,21,17,74,61,45,1006,1004,1003,7,6,3,29,18,,0.00,5,,228
2015-9-3,32,29,26,24,21,19,73,61,44,1009,1006,1005,7,6,3,27,13,,0.00,4,,228
2015-9-4,34,30,26,24,21,20,78,64,41,1013,1011,1008,7,6,3,14,8,,0.00,3,,228
2015-9-5,34,29,25,24,21,18,78,62,37,1013,1011,1009,7,6,3,26,16,,0.00,2,,242
