AKST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-3-11,-31,-33,-36,-34,-35,-37,0,0,0,1035,1031,1028,16,15,10,21,10,21,0.00,1,,232
2015-3-12,-32,-34,-37,-34,-36,-37,0,0,0,1028,1024,1022,16,16,13,21,12,21,0.00,1,,210
2015-3-13,-30,-34,-37,-34,-36,-37,0,0,0,1022,1019,1016,16,16,10,21,12,21,0.00,2,,210
2015-3-14,-26,-31,-36,-29,-32,-39,0,0,0,1016,1015,1015,16,15,5,23,17,26,T,3,Snow,222
2015-3-15,-24,-28,-31,-27,-31,-33,0,0,0,1021,1019,1016,16,14,0,21,12,23,0.00,1,Fog,243
2015-3-16,-21,-27,-32,-24,-30,-34,0,0,0,1021,1016,1008,16,12,0,40,23,47,0.00,3,Fog-Snow,89
2015-3-17,-18,-21,-23,-21,-23,-25,0,0,0,1018,1012,1008,16,15,6,24,9,27,T,6,Snow,167
2015-3-18,-20,-22,-24,-23,-24,-26,0,0,0,1025,1023,1019,16,12,3,23,13,24,0.51,7,Snow,350
2015-3-19,-21,-23,-24,-24,-24,-26,0,0,0,1029,1028,1026,16,11,5,29,22,37,0.76,6,Snow,36
2015-3-20,-19,-22,-23,-22,-23,-26,0,0,0,1030,1025,1021,16,8,1,39,30,47,0.51,7,Snow,50
2015-3-21,-18,-19,-21,-20,-21,-23,0,0,0,1021,1017,1015,16,12,3,34,14,39,0.00,8,Snow,61
2015-3-22,-16,-20,-23,-18,-20,-25,0,0,0,1022,1019,1016,16,15,11,23,13,24,0.00,7,,265
2015-3-23,-21,-24,-27,-23,-25,-28,0,0,0,1024,1023,1022,16,15,10,16,10,23,0.00,1,,271
2015-3-24,-21,-26,-31,-24,-29,-34,0,0,0,1023,1021,1014,16,5,0,29,13,32,0.00,5,Fog,98
2015-3-25,-20,-23,-25,-23,-24,-28,0,0,0,1014,1010,1007,16,11,1,24,14,32,T,6,Fog,80
2015-3-26,-17,-21,-25,-19,-22,-28,0,0,0,1007,1005,1004,16,9,1,27,17,31,T,7,Fog-Snow,77
2015-3-27,-18,-21,-23,-21,-22,-25,0,0,0,1009,1006,1005,16,13,3,21,14,23,0.25,6,Snow,52
2015-3-28,-20,-22,-23,-23,-24,-26,0,0,0,1015,1012,1010,16,13,6,34,18,27,T,3,Snow,33
2015-3-29,-18,-21,-24,-20,-23,-26,0,0,0,1018,1017,1016,16,5,1,39,30,48,0.51,7,Snow,49
2015-3-30,-17,-21,-23,-19,-22,-26,0,0,0,1018,1015,1013,13,5,1,50,37,58,0.00,0,Snow,64
2015-3-31,-14,-16,-19,-17,-19,-21,0,0,0,1019,1015,1013,11,4,1,58,45,72,0.00,2,Snow,81
2015-4-1,-18,-21,-23,-21,-23,-24,0,0,0,1026,1023,1019,16,16,11,37,27,40,0.00,1,,60
2015-4-2,-18,-21,-24,-21,-23,-26,0,0,0,1034,1030,1027,16,15,11,23,11,26,T,3,,46
2015-4-3,-16,-18,-21,-18,-20,-22,0,0,0,1036,1035,1034,16,11,4,21,10,26,T,7,Snow,64
2015-4-4,-18,-20,-22,-20,-22,-24,0,0,0,1034,1031,1027,16,15,11,34,23,39,T,4,Snow,72
2015-4-5,-16,-19,-22,-19,-22,-24,0,0,0,1027,1021,1015,16,16,11,39,27,47,0.00,2,,55
2015-4-6,-15,-18,-21,-18,-21,-23,0,0,0,1015,1011,1010,16,11,5,53,41,64,0.00,2,Snow,60
2015-4-7,-15,-17,-18,-18,-20,-22,0,0,0,1010,1009,1005,16,14,8,53,45,66,T,6,Snow,54
2015-4-8,-14,-15,-17,-16,-17,-19,0,0,0,1004,1001,1000,16,4,0,56,39,68,2.54,8,Snow,58
2015-4-9,-14,-16,-17,-17,-18,-18,0,0,0,1003,1002,1001,16,12,5,34,24,42,0.25,6,Snow,39
2015-4-10,-11,-15,-19,-14,-16,-20,0,0,0,1002,1001,1000,16,11,5,16,10,23,T,7,Snow,18
2015-4-11,-14,-16,-19,-14,-18,-21,0,0,0,1003,1001,1000,16,13,8,23,15,24,0.25,6,Snow,59
2015-4-12,-14,-18,-22,-16,-17,-20,0,0,0,1007,1005,1003,16,7,1,26,18,29,0.76,8,Fog-Snow,72
2015-4-13,-15,-20,-24,-17,-23,-26,0,0,0,1011,1009,1007,16,5,0,16,8,21,T,3,Fog-Snow,106
2015-4-14,-16,-19,-22,-18,-22,-24,0,0,0,1012,1011,1011,16,8,0,16,10,18,T,5,Fog-Snow,88
2015-4-15,-14,-19,-25,-17,-22,-27,0,0,0,1012,1010,1009,16,9,0,21,16,24,0.25,6,Fog-Snow,65
2015-4-16,-15,-19,-23,-18,-19,-23,0,0,0,1019,1015,1012,16,10,4,21,13,24,0.25,6,Snow,70
2015-4-17,-16,-20,-24,-18,-23,-26,0,0,0,1023,1021,1019,16,11,2,23,16,27,0.00,3,,55
2015-4-18,-13,-17,-22,-16,-21,-25,0,0,0,1023,1021,1017,16,16,11,37,26,47,0.00,6,,55
2015-4-19,-8,-12,-16,-9,-13,-18,0,0,0,1017,1008,1000,16,7,2,56,41,63,0.25,6,Snow,61
2015-4-20,-5,-8,-11,-7,-9,-11,0,0,0,1005,1002,1000,16,13,5,42,21,50,T,6,Snow,79
2015-4-21,-7,-9,-12,-8,-10,-12,0,0,0,1007,1006,1003,16,7,0,29,17,40,2.29,7,Fog-Snow,358
2015-4-22,-4,-6,-8,-6,-8,-10,0,0,0,1007,1004,1002,16,7,1,47,27,52,1.52,7,Snow,231
2015-4-23,-2,-5,-9,-2,-6,-9,0,0,0,1013,1010,1006,16,13,3,40,20,48,T,6,Snow,157
2015-4-24,-2,-7,-12,-6,-8,-13,0,0,0,1015,1015,1013,16,16,10,26,15,31,0.00,4,,50
2015-4-25,-3,-6,-8,-4,-6,-9,0,0,0,1014,1013,1013,16,9,0,24,10,27,0.00,8,Fog,74
2015-4-26,-6,-7,-9,-7,-8,-9,0,0,0,1014,1014,1013,16,12,5,16,10,18,0.00,8,,163
2015-4-27,-7,-8,-9,-9,-9,-10,0,0,0,1015,1015,1013,16,8,1,16,9,21,T,8,Fog,168
2015-4-28,-7,-9,-11,-9,-10,-11,0,0,0,1015,1013,1005,16,7,1,14,8,18,T,8,Snow,359
2015-4-29,-5,-7,-9,-7,-8,-11,0,0,0,1015,1013,1012,16,9,2,21,12,23,T,8,Snow,35
2015-4-30,-8,-11,-13,-11,-12,-14,0,0,0,1022,1019,1016,16,13,6,27,19,31,T,8,Snow,61
2015-5-1,-7,-11,-16,-9,-12,-17,0,0,0,1022,1022,1021,16,14,4,35,25,37,T,8,Snow,82
2015-5-2,-7,-7,-8,-7,-8,-10,0,0,0,1024,1022,1021,16,14,2,32,20,35,T,7,Snow,112
2015-5-3,-4,-7,-9,-6,-8,-11,0,0,0,1026,1025,1024,16,9,0,21,9,27,T,8,Fog-Snow,148
2015-5-4,-6,-7,-9,-8,-9,-11,0,0,0,1027,1026,1026,16,15,8,23,15,27,T,8,Snow,320
2015-5-5,-8,-11,-13,-11,-13,-14,0,0,0,1028,1027,1026,16,12,5,21,13,23,T,8,Snow,9
2015-5-6,-9,-11,-13,-11,-12,-14,0,0,0,1026,1021,1017,16,9,1,39,21,43,0.25,8,Snow,94
2015-5-7,-6,-8,-11,-7,-9,-12,0,0,0,1016,1012,1010,16,9,0,42,20,48,0.25,5,Fog-Snow,112
2015-5-8,0,-4,-9,0,-6,-10,0,0,0,1010,1008,1005,16,8,0,39,24,43,0.00,5,Fog,97
2015-5-9,-1,-2,-4,-1,-3,-4,0,0,0,1020,1013,1008,16,10,0,24,11,29,T,7,Fog-Snow,233
2015-5-10,1,-3,-6,-2,-4,-6,0,0,0,1021,1020,1015,16,11,0,35,21,42,0.00,7,Fog,68
2015-5-11,0,-1,-2,-2,-2,-3,0,0,0,1015,1012,1011,16,12,0,29,16,37,T,8,Fog-Snow,9
2015-5-12,1,-2,-4,0,-2,-5,0,0,0,1018,1015,1012,16,9,0,32,19,35,T,8,Fog-Rain-Snow,247
2015-5-13,-2,-3,-4,-2,-4,-5,0,0,0,1019,1018,1017,16,7,1,40,22,47,T,8,Fog-Snow,39
2015-5-14,-4,-6,-7,-5,-7,-7,0,0,0,1018,1017,1015,10,2,1,50,39,60,0.51,8,Fog-Snow,79
2015-5-15,0,-3,-6,-1,-3,-6,0,0,0,1015,1010,1007,16,8,1,52,29,61,T,8,Rain-Snow,98
2015-5-16,2,0,-3,2,-1,-3,0,0,0,1011,1008,1007,16,7,0,29,15,34,2.29,7,Fog-Rain,87
2015-5-17,3,2,-1,1,0,-1,0,0,0,1017,1014,1010,16,16,16,37,18,43,0.00,5,,169
2015-5-18,5,3,1,1,1,0,0,0,0,1017,1015,1013,16,16,16,23,11,26,T,7,Rain,108
2015-5-19,8,4,-1,4,2,0,0,0,0,1020,1019,1015,16,13,1,14,7,18,T,6,Fog-Rain,102
2015-5-20,3,1,-2,2,-1,-2,0,0,0,1020,1019,1014,16,6,0,29,19,52,0.00,6,Fog,76
2015-5-21,8,4,-1,6,2,-1,0,0,0,1014,1013,1012,16,14,1,29,17,37,T,6,Fog-Rain,133
2015-5-22,5,3,1,1,-1,-3,0,0,0,1024,1021,1015,16,16,16,39,19,48,0.25,5,,240
2015-5-23,3,2,0,0,-1,-2,0,0,0,1023,1020,1016,16,16,16,47,27,56,0.00,3,,90
2015-5-24,2,1,-1,0,-1,-2,0,0,0,1018,1016,1015,16,16,16,45,30,55,0.00,5,,95
2015-5-25,2,1,-1,0,-1,-2,0,0,0,1022,1020,1018,16,14,4,19,10,21,8.64,8,Rain,36
2015-5-26,0,-1,-2,0,-1,-2,0,0,0,1026,1025,1022,16,6,0,14,9,19,T,8,Fog-Rain,353
2015-5-27,1,-1,-2,-1,-2,-3,0,0,0,1026,1026,1025,16,6,0,24,14,29,0.25,7,Fog-Snow,48
2015-5-28,2,0,-2,0,-1,-3,0,0,0,1027,1026,1025,16,12,1,42,24,47,T,7,Fog,76
2015-5-29,5,3,0,3,1,-1,0,0,0,1030,1029,1028,16,16,11,21,12,24,3.56,8,Rain,122
2015-5-30,3,1,-2,1,0,-3,0,0,0,1033,1032,1030,16,14,3,29,16,34,T,8,Snow,44
2015-5-31,1,-1,-4,-3,-4,-7,0,0,0,1034,1034,1033,16,11,1,32,21,37,T,8,Snow,29
2015-6-1,1,-1,-4,-1,-3,-7,0,0,0,1034,1028,1023,16,12,0,24,16,32,0.00,8,Fog,346
2015-6-2,1,-1,-3,-1,-3,-5,0,0,0,1023,1022,1021,16,11,1,35,25,43,T,8,Fog-Snow,20
2015-6-3,-1,-2,-3,-4,-6,-7,0,0,0,1021,1018,1016,16,14,3,32,21,40,T,8,Snow,41
2015-6-4,-1,-2,-4,-3,-6,-7,0,0,0,1016,1013,1009,16,14,3,37,26,43,0.25,8,Snow,65
2015-6-5,-1,-2,-3,-2,-3,-6,0,0,0,1009,1007,1006,16,5,1,45,34,53,1.78,8,Snow,48
2015-6-6,4,2,-1,2,1,-2,0,0,0,1010,1009,1008,16,6,0,34,19,29,T,8,Fog-Rain-Snow,90
2015-6-7,12,6,-1,6,2,-1,0,0,0,1010,1008,1002,16,13,0,32,16,37,0.00,3,Fog,80
2015-6-8,8,5,2,4,2,-1,0,0,0,1004,1002,1000,16,16,16,32,20,37,T,6,Rain,258
2015-6-9,5,3,1,1,0,-2,0,0,0,1002,1000,997,16,14,6,27,15,35,6.35,7,Rain-Snow,355
2015-6-10,2,0,-2,1,0,-3,0,0,0,1004,996,994,16,6,0,37,22,45,1.02,8,Fog-Rain-Snow,334
2015-6-11,1,-1,-3,-2,-3,-4,100,91,79,1020,1011,1005,16,11,1,27,15,34,T,6,Snow,281
2015-6-12,9,3,-2,4,0,-4,0,0,0,1025,1024,1020,16,16,16,24,12,31,T,5,Rain,114
2015-6-13,9,6,3,5,3,2,0,0,0,1029,1028,1025,16,16,11,29,16,35,1.27,8,Rain,187
2015-6-14,8,6,4,8,5,3,0,0,0,1029,1028,1027,16,9,0,23,11,26,4.06,7,Fog-Rain,16
2015-6-15,7,4,1,4,2,1,0,0,0,1027,1025,1024,16,8,0,37,21,45,2.03,8,Fog-Rain,244
2015-6-16,13,7,1,7,3,1,0,0,0,1027,1024,1020,16,16,13,27,16,34,0.00,3,,240
2015-6-17,11,6,1,6,3,1,0,0,0,1020,1018,1016,16,15,10,21,11,26,0.00,0,,265
2015-6-18,3,2,1,2,1,1,0,0,0,1018,1017,1016,16,8,0,27,15,32,0.00,8,Fog,304
2015-6-19,19,10,1,12,6,1,0,0,0,1017,1015,1012,16,9,0,19,10,21,0.00,3,Fog,155
2015-6-20,16,12,8,12,7,5,0,0,0,1012,1012,1011,16,16,11,23,10,26,0.00,0,,260
2015-6-21,16,12,7,8,7,4,0,0,0,1011,1010,1007,16,15,6,27,16,37,0.00,0,,242
2015-6-22,16,8,0,11,1,-1,0,0,0,1012,1011,1007,16,9,0,32,15,40,0.00,4,Fog,283
2015-6-23,15,9,3,9,6,1,0,0,0,1011,1007,1004,16,16,13,37,22,45,T,2,,216
2015-6-24,13,8,2,7,3,1,0,0,0,1005,1004,1002,16,10,0,37,21,45,2.79,6,Fog-Rain,255
2015-6-25,4,0,-4,4,3,-4,100,96,82,1004,1003,1002,16,9,0,16,10,,2.54,8,Fog-Rain,249
2015-6-26,6,4,2,4,3,2,0,0,0,1007,1004,1002,16,10,0,19,5,19,0.25,8,Rain,292
2015-6-27,4,3,2,2,1,0,0,0,0,1013,1010,1007,16,16,16,26,15,29,0.00,6,,268
2015-6-28,16,9,2,8,4,0,0,0,0,1013,1009,1007,16,13,1,27,16,40,0.00,5,Fog,8
2015-6-29,15,11,7,8,7,5,0,0,0,1010,1007,1006,16,16,10,27,9,32,0.25,6,Rain,51
2015-6-30,12,9,7,11,7,6,0,0,0,1012,1010,1009,16,11,0,23,11,26,0.51,8,Fog-Rain,262
2015-7-1,12,8,4,7,5,4,0,0,0,1013,1012,1011,16,12,2,26,14,34,0.25,7,Rain,248
2015-7-2,11,7,3,9,7,4,0,0,0,1014,1010,1009,16,14,3,29,14,35,1.27,8,Rain,264
2015-7-3,6,3,1,4,2,0,0,0,0,1023,1019,1014,16,8,1,29,14,35,0.00,7,Fog,283
2015-7-4,17,11,4,9,6,2,0,0,0,1024,1023,1022,16,16,16,19,11,23,0.00,4,,92
2015-7-5,18,13,9,10,9,7,0,0,0,1023,1022,1020,16,16,16,29,18,37,0.00,0,,107
2015-7-6,17,13,8,9,8,6,0,0,0,1020,1015,1010,16,16,16,26,20,32,0.00,4,,99
2015-7-7,9,5,1,6,3,1,0,0,0,1014,1011,1009,16,15,8,50,37,58,0.00,4,,86
2015-7-8,5,3,1,2,1,0,0,0,0,1019,1017,1015,16,8,2,40,30,50,0.00,7,,79
2015-7-9,7,4,1,4,2,1,0,0,0,1018,1017,1016,16,7,0,35,23,40,0.00,6,Fog,67
2015-7-10,7,4,1,3,2,0,0,0,0,1017,1015,1014,16,6,0,27,20,32,0.00,7,Fog,57
2015-7-11,4,3,1,2,1,0,0,0,0,1014,1013,1012,16,8,0,29,22,34,0.00,7,Fog,71
2015-7-12,5,3,1,3,2,1,0,0,0,1013,1012,1012,16,7,0,29,23,35,T,8,Fog,71
2015-7-13,7,4,1,5,2,0,0,0,0,1012,1012,1010,16,9,1,29,23,35,T,8,Fog,55
2015-7-14,6,4,3,3,3,2,0,0,0,1011,1010,1009,16,11,2,26,15,31,0.00,8,,345
2015-7-15,5,3,2,2,2,1,0,0,0,1011,1011,1010,16,9,0,24,16,27,T,8,Fog,12
2015-7-16,4,3,2,3,3,2,0,0,0,1011,1010,1007,16,5,0,40,31,50,0.00,8,Fog,85
2015-7-17,4,3,2,3,2,2,100,98,93,1007,1003,1002,8,1,0,37,27,43,T,8,Fog,59
2015-7-18,7,4,2,4,2,2,100,95,81,1013,1009,1003,16,6,0,24,17,29,T,8,Fog,51
2015-7-19,6,4,2,4,3,2,100,95,82,1019,1015,1013,16,8,0,21,13,24,0.76,8,Fog-Rain,326
2015-7-20,8,6,3,6,4,3,100,96,83,1022,1021,1019,16,5,0,16,11,21,0.00,8,Fog,262
2015-7-21,10,7,4,7,6,3,100,93,77,1021,1018,1015,16,9,0,34,15,37,0.00,8,Fog,81
2015-7-22,9,5,1,4,2,1,100,91,71,1015,1013,1012,16,8,0,47,33,56,T,5,Fog-Rain,80
2015-7-23,5,3,1,2,1,0,0,0,0,1014,1013,1012,16,9,1,34,23,37,T,7,Fog,60
2015-7-24,4,2,0,2,1,0,0,0,0,1014,1014,1014,16,5,0,23,17,27,0.00,8,Fog,45
2015-7-25,4,3,1,3,2,1,0,0,0,1014,1013,1011,16,9,0,23,15,26,T,8,Fog,34
2015-7-26,4,3,1,2,2,1,0,0,0,1011,1011,1010,16,7,0,24,17,31,0.00,8,Fog,33
2015-7-27,3,2,1,2,1,0,0,0,0,1014,1012,1011,16,8,0,23,17,26,T,8,Fog-Rain,22
2015-7-28,3,1,-1,1,1,-1,0,0,0,1017,1015,1014,16,6,0,19,14,23,0.25,8,Fog-Rain-Snow,356
2015-7-29,5,3,0,1,1,0,0,0,0,1020,1019,1017,16,7,0,19,13,24,T,7,Fog,23
2015-7-30,12,6,-1,6,3,-1,0,0,0,1020,1018,1014,16,15,3,19,11,24,0.00,4,Fog,173
2015-7-31,11,7,4,9,7,5,0,0,0,1014,1007,1004,16,8,0,47,23,56,3.05,8,Fog-Rain,213
2015-8-1,4,3,1,4,1,-1,0,0,0,1017,1014,1007,16,13,3,27,14,32,T,8,,311
2015-8-2,11,6,1,11,5,0,0,0,0,1015,1010,1006,16,9,0,37,19,48,6.10,8,Fog-Rain,183
2015-8-3,8,6,3,7,6,2,0,0,0,1013,1009,1006,16,5,1,47,29,58,3.05,8,Rain,250
2015-8-4,6,4,2,4,2,1,0,0,0,1020,1018,1013,16,14,3,45,21,52,T,7,Rain,289
2015-8-5,4,3,2,3,2,-1,0,0,0,1021,1020,1019,16,14,1,23,14,26,T,7,Rain,341
2015-8-6,9,5,1,4,1,-2,92,82,71,1021,1016,1008,16,16,16,35,19,43,0.00,7,,124
2015-8-7,9,6,2,6,4,3,100,89,66,1008,1007,1006,16,14,2,34,14,40,5.08,6,Rain,233
2015-8-8,7,4,1,6,4,1,100,92,79,1007,1004,1003,16,13,2,23,12,26,1.52,7,Rain,106
