GMT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-4-4,7,6,3,6,4,1,95,89,76,1008,1005,1004,19,9,5,42,26,,0.00,8,Rain,186
2015-4-5,8,7,6,6,4,3,95,84,71,1009,1006,1000,18,10,5,40,27,52,0.00,7,Rain,155
2015-4-6,7,4,3,6,2,-1,93,80,56,1008,1004,999,31,13,10,45,23,63,0.00,6,Rain,188
2015-4-7,4,2,-1,1,-2,-4,93,78,39,1015,1011,1008,31,12,3,58,40,87,0.76,4,Rain-Snow-Hail,222
2015-4-8,3,1,-1,0,-3,-6,93,73,42,1013,1009,1007,31,12,0,40,26,50,0.00,4,Rain-Snow-Hail,212
2015-4-9,3,0,-2,-1,-3,-5,100,83,57,1009,1002,999,31,12,2,24,13,,2.03,5,Snow,150
2015-4-10,2,-1,-4,-2,-5,-9,93,73,39,1003,994,980,10,8,2,48,16,63,0.00,4,Snow,58
2015-4-11,0,-2,-4,-2,-5,-9,93,77,52,998,984,977,31,12,2,52,32,72,0.00,6,Snow,341
2015-4-12,3,-2,-7,1,-7,-12,93,67,41,1006,1003,997,31,10,1,35,19,48,2.03,5,Rain-Snow,102
2015-4-13,6,3,0,4,2,1,89,82,66,996,982,977,31,12,9,53,34,76,2.03,7,Rain,170
2015-4-14,4,2,1,3,2,0,96,88,78,997,986,979,31,13,2,37,18,,0.00,7,Rain-Snow,234
2015-4-15,8,4,0,2,-1,-2,87,70,47,1005,1002,998,31,11,10,26,14,,0.00,5,,154
2015-4-16,7,6,5,3,2,1,87,76,63,1008,1006,1005,31,13,10,27,13,,0.00,7,Rain,143
2015-4-17,8,7,5,4,3,1,87,77,63,1024,1012,1006,31,13,9,40,19,,2.03,7,Rain,173
2015-4-18,9,7,6,4,2,1,81,71,59,1026,1025,1024,31,13,10,42,24,42,0.00,6,,135
2015-4-19,9,8,6,7,4,3,90,79,66,1025,1022,1019,26,10,6,52,32,69,0.00,7,Rain,131
2015-4-20,9,6,2,7,4,-1,94,82,71,1019,1016,1013,31,10,6,58,37,76,0.25,7,Rain,178
2015-4-21,6,3,1,3,0,-2,87,75,46,1022,1021,1019,31,13,1,40,23,50,0.00,6,Rain-Snow,212
2015-4-22,7,5,3,3,0,-2,87,69,45,1023,1022,1020,31,14,10,35,24,,0.00,4,Rain,254
2015-4-23,2,0,-2,0,-6,-10,81,57,34,1022,1020,1018,10,10,10,35,19,,0.00,2,Snow,346
2015-4-24,2,-1,-3,-5,-9,-16,73,51,13,1020,1020,1018,10,10,10,37,24,,0.00,2,,30
2015-4-25,0,-3,-7,-10,-14,-17,64,41,22,1026,1022,1020,10,10,10,24,11,,0.00,2,,70
2015-4-26,-1,-3,-6,-7,-10,-35,74,59,4,1028,1025,1020,26,11,6,53,27,66,0.00,5,Rain-Snow,6
2015-4-27,2,-1,-3,-3,-6,-9,80,64,43,1020,1014,1011,14,10,6,61,34,87,0.00,7,Snow,357
2015-4-28,7,3,0,0,-5,-9,74,54,26,1019,1015,1012,10,10,10,52,32,76,0.00,3,,16
2015-4-29,6,1,-3,-3,-7,-10,75,51,21,1021,1020,1019,10,10,10,26,10,,0.00,1,,7
2015-4-30,3,1,-2,-3,-6,-11,69,55,31,1021,1018,1016,10,10,10,29,10,,0.00,6,,348
2015-5-1,4,1,-3,-1,-7,-10,92,52,30,1016,1014,1013,10,10,10,23,13,,0.00,1,,346
2015-5-2,7,1,-4,0,-6,-15,87,57,10,1014,1013,1012,26,11,10,26,8,,0.00,3,Rain-Snow,68
2015-5-3,7,3,0,7,-7,-11,100,50,29,1014,1013,1013,10,10,10,26,14,,0.00,2,,75
2015-5-4,5,2,-2,-4,-10,-13,60,38,18,1014,1012,1011,10,10,10,35,19,,0.00,1,,22
2015-5-5,5,0,-4,-4,-11,-14,59,40,14,1013,1012,1011,,,,26,11,,0.00,,,351
2015-5-6,6,1,-4,-6,-10,-13,64,42,20,1017,1014,1012,10,10,10,37,11,,0.00,1,,44
2015-5-7,3,0,-3,-7,-11,-13,60,43,27,1018,1017,1016,10,10,10,40,24,55,0.00,1,,13
2015-5-8,4,-1,-6,-4,-9,-12,63,49,34,1018,1017,1016,10,10,10,34,19,,0.00,3,,35
2015-5-9,7,3,0,0,-6,-10,87,51,24,1018,1017,1017,10,10,10,24,11,,0.00,6,Rain,27
2015-5-10,7,3,0,0,-3,-9,93,66,24,1018,1012,1005,10,9,3,27,13,,0.00,5,Rain-Snow,43
2015-5-11,8,2,-4,-5,-8,-23,69,44,5,1005,1002,1000,10,10,10,32,11,,0.00,,,18
2015-5-12,6,2,-2,-3,-7,-11,69,51,26,1014,1007,1003,10,10,10,21,8,,0.00,3,,262
2015-5-13,9,6,1,2,-1,-5,66,57,44,1014,1013,1009,31,11,10,45,23,63,0.00,6,,116
2015-5-14,10,8,6,4,3,1,81,72,49,1009,1006,1002,31,12,10,55,34,77,3.05,7,Rain,132
2015-5-15,9,7,5,4,2,-1,89,71,44,1001,986,974,26,12,6,50,19,61,2.03,6,Rain,106
2015-5-16,8,7,5,3,2,-2,81,68,47,986,979,973,26,11,10,21,10,,0.00,6,Rain,266
2015-5-17,9,7,3,3,1,-1,87,67,48,1002,993,986,31,11,10,42,16,,0.00,3,Rain,28
2015-5-18,8,6,3,1,-1,-1,81,62,44,1009,1007,1003,10,10,10,32,21,,0.00,3,,1
2015-5-19,9,6,2,3,0,-3,81,66,49,1009,1005,1001,18,10,10,40,18,,0.00,7,Rain,137
2015-5-20,8,7,4,6,2,-2,87,72,45,1001,998,996,31,13,10,32,23,,0.51,7,Rain,170
2015-5-21,7,4,1,2,1,-1,97,74,55,1006,999,996,31,12,10,42,23,,0.25,6,Rain-Snow-Hail,246
2015-5-22,10,7,3,4,1,-1,81,65,49,1017,1014,1008,31,12,10,35,18,,0.00,5,Rain,282
2015-5-23,8,7,5,6,3,1,87,75,55,1011,1001,995,31,11,2,47,29,71,0.00,7,Rain,175
2015-5-24,9,7,5,5,3,1,94,81,69,1011,1002,994,31,12,10,29,21,,0.00,5,Rain,274
2015-5-25,9,7,4,6,2,0,81,72,59,1012,1009,1006,31,12,10,34,18,,0.25,6,Rain,216
2015-5-26,7,4,3,4,2,1,93,82,72,1006,1003,1001,31,11,10,35,18,,0.51,6,Rain,248
2015-5-27,8,6,3,3,1,-1,93,74,55,1002,1000,997,19,10,10,42,16,,0.00,6,Rain,7
2015-5-28,7,4,2,0,-2,-3,70,64,46,1008,1005,1003,10,10,10,45,27,52,0.00,5,,355
2015-5-29,11,7,3,2,-1,-3,70,56,36,1009,1008,1005,10,10,10,27,14,40,0.00,2,,345
2015-5-30,9,7,4,5,1,-4,80,63,40,1006,1003,1002,31,11,10,48,23,64,0.51,6,Rain,117
2015-5-31,12,8,5,4,-2,-5,79,45,24,1002,1001,1000,10,10,10,39,24,,0.00,6,,79
2015-6-1,13,9,4,2,-2,-6,66,46,22,1003,1001,1000,10,10,10,32,11,,0.00,4,,38
2015-6-2,6,4,3,0,-2,-4,70,57,41,1006,1004,1003,10,10,10,52,21,,0.00,5,,14
2015-6-3,13,8,2,1,-1,-3,75,53,28,1014,1010,1006,10,10,10,26,10,,0.00,3,,181
2015-6-4,9,8,7,5,3,1,76,68,55,1018,1016,1014,10,10,10,19,11,,0.76,6,Rain,83
2015-6-5,9,7,5,5,3,2,88,74,63,1019,1017,1014,10,10,10,26,8,,0.00,6,,310
2015-6-6,9,6,3,4,2,-1,94,70,42,1021,1015,1013,10,10,10,35,14,,0.00,1,,304
2015-6-7,9,7,6,7,3,0,94,76,63,1026,1024,1021,10,10,7,29,14,,2.03,6,Rain,244
2015-6-8,8,7,6,6,5,3,90,84,77,1026,1019,1009,31,10,4,55,27,71,4.06,8,Rain,204
2015-6-9,8,7,6,6,3,2,89,76,62,1017,1013,1010,31,11,10,35,24,48,0.00,8,Rain,211
2015-6-10,9,8,6,6,4,2,89,78,71,1017,1015,1013,19,11,8,14,10,,0.51,7,Rain,251
2015-6-11,11,8,6,4,3,1,87,70,52,1015,1013,1012,31,11,10,27,8,,0.00,6,Rain,322
2015-6-12,9,7,4,2,0,-3,76,58,38,1020,1017,1015,10,10,10,21,10,,0.00,6,Rain,79
2015-6-13,11,8,4,2,-1,-5,62,50,37,1021,1020,1019,10,10,10,35,11,50,0.00,1,,344
2015-6-14,12,8,4,3,0,-3,66,53,30,1020,1017,1014,10,10,10,23,6,,0.00,2,,300
2015-6-15,14,9,5,6,2,-2,76,56,33,1014,1010,1004,19,10,8,40,19,58,0.00,4,,109
2015-6-16,12,11,9,9,7,5,87,79,67,1003,996,992,31,12,5,37,27,58,0.51,7,Rain,123
2015-6-17,11,9,8,8,7,6,95,86,76,1003,997,992,26,10,2,26,14,,0.00,8,Rain,192
2015-6-18,8,7,6,8,6,4,100,92,81,1014,1009,1003,31,8,0,24,18,,0.00,8,Fog-Rain,258
2015-6-19,13,9,5,7,5,4,90,77,59,1014,1012,1009,31,11,10,35,10,,0.00,7,,129
2015-6-20,12,10,8,9,6,4,82,71,58,1012,1010,1008,10,10,10,32,19,,0.00,6,,39
2015-6-21,13,11,8,9,7,5,87,79,64,1019,1015,1012,31,11,10,16,6,,0.00,4,,261
2015-6-22,11,9,7,8,6,5,99,86,69,1023,1021,1019,31,9,0,19,8,,0.00,7,Fog,263
2015-6-23,13,10,7,8,6,5,88,78,67,1023,1022,1021,31,14,10,13,5,,0.00,6,,311
2015-6-24,12,10,8,8,6,3,92,79,62,1022,1021,1020,19,10,10,21,8,,0.00,6,,274
2015-6-25,12,10,7,7,4,3,82,68,57,1021,1018,1014,10,10,10,21,8,,0.00,5,Rain,281
2015-6-26,19,12,6,7,3,0,83,52,29,1014,1009,1006,10,10,10,32,11,,0.00,2,,64
2015-6-27,16,13,10,8,6,4,76,56,43,1008,1007,1006,26,11,10,32,16,,0.00,5,Rain,89
2015-6-28,17,13,10,9,6,3,77,58,34,1007,1004,1003,31,11,10,32,16,40,0.51,6,Rain,83
2015-6-29,15,12,9,9,7,4,100,76,51,1011,1007,1005,31,11,10,19,8,,0.00,6,,255
2015-6-30,18,13,8,14,6,2,93,61,33,1012,1007,1002,10,10,10,32,11,,0.00,4,,26
2015-7-1,15,13,11,9,6,2,82,62,42,1011,1005,1001,31,12,10,34,13,,0.51,6,Rain,86
2015-7-2,15,12,9,9,7,6,87,72,47,1015,1012,1011,26,11,10,14,8,,0.00,6,Rain,60
2015-7-3,14,12,10,11,9,7,96,82,63,1022,1019,1015,31,12,3,14,5,,1.02,6,Rain,315
2015-7-4,17,13,9,10,8,7,93,71,55,1022,1021,1017,26,11,10,24,6,,0.00,5,Rain,15
2015-7-5,16,13,11,9,8,5,87,68,43,1017,1014,1013,19,10,10,19,8,,0.25,6,Rain,54
2015-7-6,14,12,10,9,8,7,91,77,61,1018,1016,1015,10,10,10,23,8,,0.00,6,Rain,278
2015-7-7,16,12,9,8,7,6,93,72,51,1021,1019,1018,31,11,10,23,10,,0.00,4,,262
2015-7-8,14,11,9,8,7,2,90,74,44,1022,1022,1020,31,11,10,26,14,,0.00,5,Rain,267
2015-7-9,16,11,7,6,2,-1,66,52,40,1021,1019,1016,10,10,10,32,13,,0.00,6,Rain,6
2015-7-10,13,11,8,8,4,0,84,63,37,1018,1014,1009,11,10,10,24,11,,2.03,6,Rain,40
2015-7-11,14,10,6,7,3,1,87,62,43,1009,1005,1003,10,10,10,16,6,,0.00,6,,353
2015-7-12,15,12,9,9,5,2,74,60,42,1006,1005,1003,10,10,10,19,8,,0.00,5,Rain,286
2015-7-13,13,11,10,11,9,7,97,86,72,1007,1006,1006,31,12,8,19,6,,4.06,7,Rain,263
2015-7-14,12,11,9,10,8,6,98,82,67,1011,1007,1005,31,11,10,14,8,,0.76,7,Rain,108
2015-7-15,16,12,7,9,7,6,92,74,52,1015,1013,1011,10,10,10,27,8,,0.00,5,Rain,30
2015-7-16,13,12,11,8,7,5,82,69,59,1017,1016,1015,10,10,10,19,8,,0.00,7,Rain,305
2015-7-17,17,12,8,8,6,4,93,65,43,1018,1015,1012,31,11,10,34,8,,0.00,2,,355
2015-7-18,14,11,8,7,4,2,71,58,47,1012,1011,1010,10,10,10,37,11,42,0.00,5,,8
2015-7-19,11,9,7,4,2,1,71,58,47,1011,1010,1008,10,10,10,42,24,61,0.00,5,,9
2015-7-20,13,10,7,5,3,2,76,63,44,1009,1005,1004,10,10,10,47,27,29,0.00,5,Rain,14
2015-7-21,14,11,8,6,3,2,66,57,42,1007,1006,1005,10,10,10,27,14,,0.00,5,,15
2015-7-22,15,11,8,6,4,2,71,57,43,1010,1009,1007,10,10,10,27,8,,0.00,4,,24
2015-7-23,16,11,6,8,5,2,77,60,41,1013,1011,1010,10,10,10,21,8,,0.00,3,Rain,277
2015-7-24,14,12,9,8,7,5,87,72,48,1015,1014,1013,10,10,10,14,8,,0.00,5,Rain,271
2015-7-25,14,10,7,8,6,2,82,68,43,1014,1014,1013,10,10,10,13,6,,0.00,5,Rain,151
2015-7-26,13,11,9,9,7,6,94,79,67,1014,1013,1013,14,10,9,16,5,,5.08,6,Rain,333
2015-7-27,14,10,6,8,6,1,96,73,44,1015,1014,1013,10,10,10,23,6,,0.00,3,,281
2015-7-28,14,11,7,8,6,4,89,72,55,1015,1015,1015,10,10,10,16,5,,0.00,4,Rain,284
2015-7-29,14,11,8,8,5,3,89,65,46,1015,1014,1014,10,10,10,24,8,,0.00,5,,136
2015-7-30,15,12,9,8,4,2,76,60,39,1014,1012,1011,10,10,10,24,13,,0.00,5,Rain,75
2015-7-31,14,10,6,8,3,1,82,60,40,1013,1011,1009,10,10,10,35,11,,0.00,2,,7
2015-8-1,13,10,7,6,3,1,71,61,50,1010,1007,1006,10,10,10,45,19,,0.00,5,,6
2015-8-2,14,11,7,8,4,2,76,60,42,1016,1014,1010,10,10,10,23,14,,0.00,5,Rain,92
2015-8-3,16,12,7,8,6,3,84,63,39,1017,1013,1010,10,10,10,19,6,,0.00,3,,313
2015-8-4,17,12,7,6,3,0,76,52,33,1010,1006,1002,31,12,10,34,11,,0.00,6,,41
2015-8-5,16,13,10,7,6,4,71,59,49,1002,1000,998,10,10,10,34,11,40,0.00,6,,21
2015-8-6,14,11,8,7,6,4,82,66,47,1001,1000,999,10,10,10,27,11,47,0.00,4,,308
2015-8-7,13,11,8,8,7,5,87,74,63,1005,1003,1001,10,10,10,26,14,,0.00,4,,299
2015-8-8,13,10,8,7,6,4,87,67,54,1003,998,993,26,11,10,27,11,,0.25,7,Rain,100
2015-8-9,13,11,8,8,6,4,82,71,61,998,994,992,26,11,10,39,14,,0.00,5,,323
2015-8-10,9,8,6,6,3,2,87,69,58,1005,1001,998,26,11,10,32,21,,0.00,7,Rain,284
2015-8-11,13,11,8,7,5,3,82,68,56,1007,1006,1005,10,10,10,23,11,,0.00,6,,210
2015-8-12,12,9,7,9,7,4,85,79,71,1008,1000,989,14,10,8,50,19,76,11.94,7,Rain,110
2015-8-13,9,8,7,9,5,3,91,75,63,993,989,986,31,12,8,40,23,60,4.06,6,Rain,109
2015-8-14,13,11,8,9,6,3,87,69,54,993,990,987,31,11,10,24,14,,2.03,5,Rain,46
2015-8-15,13,11,8,8,6,5,93,77,55,1001,998,994,10,10,10,23,10,,0.51,6,Rain,119
2015-8-16,11,9,7,8,6,5,93,83,71,1004,1000,999,26,12,9,21,8,,2.03,8,Rain,166
2015-8-17,13,10,7,8,6,5,90,75,57,1017,1013,1005,14,10,5,23,11,,0.00,6,Rain,224
2015-8-18,12,9,7,9,6,3,82,75,59,1017,1014,1010,26,12,10,27,14,,1.02,6,Rain,93
2015-8-19,16,13,10,12,8,6,82,73,61,1011,1008,1003,31,12,10,21,13,,0.00,6,Rain,45
