ULAT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-2-26,-4,-17,-29,-22,-26,-34,77,46,10,1041,1021,1016,8,5,2,26,6,29,0.00,,,158
2015-2-27,-7,-11,-14,-13,-19,-25,79,49,19,1031,1017,1012,19,9,3,32,18,43,0.00,5,Snow,164
2015-2-28,-7,-13,-21,-14,-19,-25,85,64,20,1035,1018,1013,19,10,2,21,6,,0.00,4,Snow,278
2015-3-1,-4,-13,-23,-15,-20,-27,84,60,27,1029,1013,1009,19,8,2,18,3,,1.52,5,,321
2015-3-2,-13,-19,-25,-17,-23,-29,78,50,22,1045,1024,1014,19,10,2,43,16,58,3.56,2,,348
2015-3-3,-7,-17,-27,-21,-26,-33,70,51,13,1046,1023,1016,10,7,0,21,5,,5.08,6,,204
2015-3-4,-2,-13,-25,-18,-23,-30,77,49,12,1036,1017,1012,10,7,0,14,3,,7.62,6,,209
2015-3-5,-3,-13,-23,-15,-20,-27,78,57,21,1028,1011,1008,10,8,0,26,6,40,2.03,2,,273
2015-3-6,-7,-12,-18,-13,-18,-23,85,62,26,1029,1012,1008,10,9,2,26,8,,0.00,4,Snow,347
2015-3-7,-11,-16,-22,-19,-22,-26,84,58,23,1048,1023,1014,10,10,2,29,10,,5.84,5,,3
2015-3-8,-12,-19,-25,-23,-27,-32,70,47,17,1051,1033,1028,19,10,10,35,11,,1.02,2,,327
2015-3-9,-4,-14,-25,-17,-26,-32,71,42,13,1053,1033,1027,3,2,0,14,5,,3.56,,,223
2015-3-10,-3,-13,-23,-19,-24,-30,70,43,9,1042,1026,1023,8,5,2,21,5,,1.27,,,339
2015-3-11,2,-9,-21,-18,-23,-28,77,40,8,1039,1020,1015,10,7,2,18,5,,0.51,6,,316
2015-3-12,2,-8,-19,-15,-19,-25,71,42,15,1032,1019,1016,8,7,2,21,8,,2.54,,,151
2015-3-13,3,-7,-17,-3,-14,-23,93,57,17,1032,1016,1008,10,8,2,29,6,35,0.00,7,Snow,175
2015-3-14,-4,-9,-14,-4,-11,-17,93,80,57,1023,1011,1006,10,7,2,32,13,,0.25,5,Snow,302
2015-3-15,-4,-13,-22,-12,-17,-25,85,67,20,1025,1011,1007,10,8,2,21,5,,3.81,5,,240
2015-3-16,-3,-14,-26,-14,-20,-30,85,64,25,1031,1017,1011,10,8,8,14,5,,2.03,,,176
2015-3-17,-1,-11,-21,-10,-17,-26,85,65,30,1031,1014,1008,10,8,2,14,5,,1.78,5,,207
2015-3-18,-1,-11,-21,-13,-17,-24,85,57,13,1026,1011,1007,10,9,0,26,6,,0.51,4,,221
2015-3-19,-1,-8,-14,-14,-16,-20,72,47,12,1024,1013,1008,10,10,10,26,10,,0.76,5,,245
2015-3-20,1,-8,-16,-14,-18,-23,67,43,7,1025,1013,1010,10,10,10,29,10,,0.76,,,278
2015-3-21,-3,-10,-18,-12,-17,-23,85,54,12,1040,1024,1014,19,12,10,26,10,,0.00,1,Snow,323
2015-3-22,3,-8,-19,-11,-18,-27,77,48,13,1042,1028,1026,10,10,10,18,5,,3.30,,,302
2015-3-23,9,-3,-14,-8,-15,-21,85,45,5,1041,1028,1023,10,6,3,14,5,,1.27,,,215
2015-3-24,13,2,-9,-11,-15,-21,73,36,4,1031,1019,1015,10,9,3,18,5,,2.79,6,,203
2015-3-25,17,4,-8,-11,-14,-17,79,32,4,1026,1016,1011,10,9,2,32,8,47,1.27,5,,203
2015-3-26,15,7,-2,-2,-8,-15,80,40,15,1022,1014,1012,10,9,0,32,6,,0.00,5,,352
2015-3-27,2,-3,-8,2,-3,-11,100,83,59,1027,1015,1010,10,7,0,29,11,,11.94,4,Rain-Snow,8
2015-3-28,11,1,-9,-4,-8,-15,93,63,10,1028,1012,1003,10,10,10,40,10,,0.00,5,,163
2015-3-29,9,2,-4,-2,-6,-10,86,58,15,1015,1007,1003,10,10,2,21,6,,3.30,5,Rain-Snow,325
2015-3-30,1,-2,-5,1,-6,-12,100,74,42,1033,1016,1010,10,9,3,32,11,47,2.29,3,Rain-Snow,345
2015-3-31,4,-2,-9,-7,-13,-18,79,50,9,1036,1024,1019,19,10,2,14,6,,1.52,6,,190
2015-4-1,8,1,-5,-6,-10,-18,86,49,6,1030,1015,1008,10,10,2,14,3,,5.33,6,,214
2015-4-2,6,3,-1,-4,-6,-8,80,55,28,1014,1006,1004,19,10,10,26,6,,5.84,4,Rain-Snow,332
2015-4-3,4,1,-3,-4,-6,-8,86,62,31,1019,1009,1005,10,10,3,21,6,,0.00,5,Rain-Snow,22
2015-4-4,-3,-7,-11,-2,-8,-17,99,78,44,1033,1008,999,10,7,1,40,23,50,4.06,5,Rain-Snow,21
2015-4-5,-6,-12,-17,-15,-18,-22,73,53,22,1042,1027,1020,19,11,10,21,11,32,1.02,1,,310
2015-4-6,-3,-9,-15,-12,-16,-19,85,59,23,1046,1030,1027,10,9,2,18,5,,1.78,3,,256
2015-4-7,2,-5,-12,-9,-13,-16,85,56,23,1042,1025,1019,10,8,2,18,5,35,0.00,1,,234
2015-4-8,4,-2,-8,-7,-11,-13,86,54,19,1030,1019,1015,19,10,2,21,5,29,6.10,1,,269
2015-4-9,6,1,-5,-7,-11,-14,86,50,16,1027,1018,1016,19,10,10,26,6,,2.29,2,,279
2015-4-10,4,1,-3,-4,-9,-15,80,51,18,1031,1020,1017,10,9,2,26,8,,0.00,4,Rain-Snow,3
2015-4-11,1,-3,-8,-8,-12,-16,79,48,23,1041,1030,1024,19,11,10,26,14,,0.25,3,Snow,344
2015-4-12,11,2,-7,-5,-11,-13,86,46,11,1043,1030,1024,10,9,2,26,6,43,1.02,4,,218
2015-4-13,20,9,-1,-2,-7,-9,86,39,6,1029,1015,1006,10,9,2,18,5,,1.78,6,,241
2015-4-14,20,11,3,1,-6,-11,81,36,6,1008,996,988,10,9,0,50,11,61,1.02,4,Rain,275
2015-4-15,2,-2,-6,0,-8,-15,95,62,25,1022,1011,997,19,9,2,50,29,72,0.00,3,Rain-Snow,339
2015-4-16,12,2,-7,-9,-12,-17,86,43,7,1023,1008,1002,10,9,2,26,6,43,0.00,4,,263
2015-4-17,14,6,-2,1,-7,-11,75,49,12,1017,1007,1003,10,10,2,43,10,64,0.00,4,Rain,302
2015-4-18,5,0,-6,-3,-11,-17,75,44,11,1029,1019,1012,19,10,10,32,19,43,3.30,3,,343
2015-4-19,12,3,-4,-11,-15,-19,73,34,5,1031,1020,1016,10,10,10,26,6,50,0.00,,,275
2015-4-20,13,6,-3,-6,-13,-17,63,31,5,1031,1014,1009,19,10,10,35,10,55,1.02,4,,335
2015-4-21,15,7,-2,-4,-7,-10,80,42,12,1027,1017,1012,10,10,10,29,11,40,1.52,5,,277
2015-4-22,13,7,0,-4,-7,-9,74,41,12,1027,1015,1012,19,10,2,47,11,64,1.02,4,,339
2015-4-23,17,8,-2,-6,-8,-12,74,37,10,1032,1023,1018,19,10,5,29,10,40,2.03,4,,245
2015-4-24,22,12,2,-5,-9,-14,69,29,4,1026,1019,1011,19,10,3,29,6,,0.00,4,,258
2015-4-25,26,15,4,-8,-12,-15,51,17,4,1020,1011,1001,10,10,2,32,6,43,0.00,5,,253
2015-4-26,22,13,5,1,-6,-12,57,31,5,1014,1006,1001,10,9,2,58,13,64,1.52,3,,311
2015-4-27,21,11,1,-2,-6,-12,80,37,6,1019,1011,998,19,10,10,26,10,,0.00,6,,227
2015-4-28,27,18,10,1,-6,-9,42,21,4,1012,1009,1001,10,9,2,29,10,,0.00,5,,278
2015-4-29,13,10,7,2,-5,-13,58,36,9,1021,1016,1011,10,10,2,32,10,,0.00,4,,339
2015-4-30,7,6,3,5,2,-8,95,76,17,1020,1014,1011,19,10,2,40,14,,7.87,5,Rain,139
2015-5-1,13,6,-1,2,-4,-12,93,54,12,1020,1010,1005,19,10,10,40,13,64,1.78,4,Rain,249
2015-5-2,8,3,-4,-3,-7,-14,86,55,24,1030,1016,1007,10,9,2,47,26,68,0.00,4,Rain-Snow,315
2015-5-3,9,3,-3,-6,-10,-13,86,43,13,1032,1021,1015,10,10,10,21,6,55,0.00,3,,270
2015-5-4,7,0,-6,1,-6,-11,93,56,29,1021,1011,1007,19,10,10,35,13,,0.00,4,Rain-Snow,332
2015-5-5,6,1,-5,-3,-9,-13,86,52,20,1023,1012,1008,19,10,10,29,10,47,0.00,3,Snow,328
2015-5-6,5,-1,-6,-6,-14,-23,60,34,6,1022,1010,1007,10,10,5,29,13,47,0.00,4,,357
2015-5-7,4,-1,-6,-6,-11,-16,74,47,21,1025,1016,1014,19,10,3,32,8,43,0.00,3,Rain-Snow,359
2015-5-8,10,2,-6,-8,-12,-15,86,41,9,1027,1016,1013,10,10,2,18,5,,0.00,5,,196
2015-5-9,10,6,1,-1,-8,-14,70,41,14,1024,1015,1013,19,10,4,29,11,43,0.00,4,Rain-Snow,88
2015-5-10,13,7,0,-2,-7,-14,75,40,9,1027,1020,1017,10,10,10,29,10,47,0.76,3,,11
2015-5-11,18,8,-1,-8,-11,-14,64,28,4,1025,1014,1007,10,9,3,21,8,32,0.00,5,,253
2015-5-12,22,12,3,4,-5,-14,76,35,7,1010,1000,992,19,9,2,47,11,76,0.00,3,Rain,296
2015-5-13,8,5,2,2,-7,-17,82,44,12,1019,1009,1001,10,10,10,43,27,61,0.00,4,Rain,351
2015-5-14,11,4,-2,-12,-13,-16,58,26,10,1026,1020,1014,10,10,10,29,11,47,0.00,1,,339
2015-5-15,17,8,-1,-8,-12,-13,59,26,5,1028,1017,1010,19,10,10,21,8,,0.00,2,,225
2015-5-16,18,11,5,0,-7,-13,46,26,9,1011,1005,1000,10,10,10,29,8,50,0.00,3,Rain,337
2015-5-17,9,4,0,-1,-7,-12,75,41,14,1015,1007,1000,19,10,10,43,16,64,0.00,3,,348
2015-5-18,12,6,0,-6,-9,-13,64,33,9,1020,1014,1011,10,10,10,40,16,58,0.00,2,,349
2015-5-19,16,8,-1,-9,-13,-17,59,25,5,1026,1020,1017,10,10,10,21,6,,0.00,,,268
2015-5-20,23,12,2,-4,-10,-15,51,23,4,1027,1019,1011,10,9,2,32,8,55,0.00,1,,309
2015-5-21,25,16,7,-3,-6,-9,56,25,4,1021,1014,1006,10,10,10,26,6,,0.00,3,,249
2015-5-22,26,17,8,-2,-4,-6,56,24,5,1015,1011,1003,10,10,3,26,5,,0.00,2,,1
2015-5-23,28,19,9,-1,-4,-10,57,23,4,1011,1005,995,19,10,10,29,8,55,0.00,2,,234
2015-5-24,21,16,9,8,3,-3,66,39,12,1008,1006,1000,19,10,10,32,14,43,0.25,3,Rain,342
2015-5-25,18,14,11,6,0,-4,66,38,16,1013,1011,1008,19,10,10,26,10,,0.00,4,Rain,356
2015-5-26,20,14,8,8,1,-4,87,45,11,1015,1012,1008,10,10,10,21,10,40,1.27,4,Rain,342
2015-5-27,21,16,11,9,5,-3,77,52,29,1015,1005,998,19,10,8,40,11,40,8.89,3,Rain-Thunderstorm,68
2015-5-28,12,7,1,7,-1,-5,76,49,28,1020,1011,1006,10,10,10,40,19,55,0.00,2,Rain,329
2015-5-29,20,11,2,-1,-4,-8,86,42,8,1022,1012,1005,19,10,10,35,8,47,0.51,3,,208
2015-5-30,23,17,11,-2,-5,-9,43,24,6,1005,998,991,19,10,10,40,14,58,2.03,3,,263
2015-5-31,14,10,6,5,3,-2,87,70,40,1010,1002,997,19,10,3,26,14,35,0.00,5,Rain-Thunderstorm,326
2015-6-1,16,11,4,4,-3,-10,81,40,8,1020,1013,1008,10,10,10,35,16,47,1.27,4,Rain,352
2015-6-2,19,11,3,-2,-5,-10,75,36,8,1026,1019,1014,10,10,10,18,8,35,2.54,2,,236
2015-6-3,21,11,1,2,-1,-5,70,41,15,1020,1011,1003,19,10,10,35,10,50,0.00,3,Rain,295
2015-6-4,16,9,3,7,0,-5,82,59,16,1013,1006,999,10,10,10,43,13,47,4.06,4,Rain,313
2015-6-5,12,7,1,1,-1,-2,87,57,31,1015,1009,1008,10,10,10,32,18,50,0.00,3,,347
2015-6-6,15,9,3,2,-1,-4,81,48,21,1015,1011,1009,10,10,10,35,13,61,0.00,3,Rain,328
2015-6-7,18,11,4,0,-3,-6,75,39,13,1015,1009,1005,10,10,10,35,6,55,0.00,2,Rain,340
2015-6-8,17,12,8,4,2,-3,71,48,21,1011,1008,1005,10,10,10,26,11,,0.00,3,Rain-Thunderstorm,18
2015-6-9,16,11,6,4,2,0,81,51,26,1011,1007,1005,19,10,10,29,8,40,0.00,3,Rain,21
2015-6-10,19,13,7,8,4,2,76,54,27,1014,1012,1008,10,10,10,32,14,58,0.51,3,Rain-Thunderstorm,342
2015-6-11,18,13,9,8,4,0,87,56,25,1017,1013,1010,10,10,10,50,18,68,1.27,3,,2
2015-6-12,23,17,10,7,4,1,82,46,18,1019,1017,1010,10,10,10,29,18,43,0.00,2,,345
2015-6-13,28,19,10,5,1,-4,71,32,6,1020,1015,1005,10,10,10,21,6,35,1.78,1,,189
2015-6-14,28,20,12,2,0,-3,50,24,7,1013,1010,1000,19,10,10,32,13,50,0.00,3,,230
2015-6-15,28,22,16,10,3,-2,68,31,9,1009,1006,998,10,10,10,29,10,58,0.25,4,Rain-Thunderstorm,265
2015-6-16,26,20,14,11,5,-2,88,41,9,1016,1011,1005,10,10,10,35,11,50,1.02,2,Rain,350
2015-6-17,28,19,11,6,-1,-8,62,29,6,1020,1017,1009,10,10,10,18,6,29,0.00,1,,327
2015-6-18,27,20,13,3,-1,-5,58,25,7,1020,1017,1009,10,10,10,32,8,50,0.00,1,,114
2015-6-19,27,19,11,2,-2,-5,43,22,6,1024,1021,1013,10,10,10,18,6,,0.00,4,,153
2015-6-20,28,21,14,4,2,-1,51,29,10,1020,1016,1007,10,10,10,18,5,29,0.00,4,,206
2015-6-21,30,22,14,3,-1,-4,54,23,5,1013,1009,998,10,10,10,18,6,32,0.00,4,,203
2015-6-22,30,22,14,3,1,-3,54,25,7,1008,1006,998,10,10,10,21,6,35,0.00,2,Rain,153
2015-6-23,22,18,15,11,9,3,68,57,29,1012,1010,1006,19,10,10,29,10,,0.00,4,Rain,336
2015-6-24,26,19,11,8,3,-3,82,39,7,1012,1009,1001,10,10,10,18,8,32,0.00,2,,320
2015-6-25,31,22,13,4,0,-4,62,28,5,1008,1004,992,10,10,10,21,6,,1.02,1,,218
2015-6-26,31,20,9,10,2,-4,87,36,6,1013,1002,990,19,10,6,50,14,72,0.00,3,Rain-Thunderstorm,335
2015-6-27,22,14,6,6,-1,-9,92,45,6,1018,1013,1007,10,10,10,32,18,47,2.29,4,,336
2015-6-28,23,17,11,1,-1,-6,47,28,11,1015,1013,1008,10,10,10,29,8,,0.00,4,,2
2015-6-29,27,18,9,3,-2,-10,61,29,5,1017,1013,1004,10,10,3,47,8,68,0.00,4,,308
2015-6-30,23,17,12,5,3,2,62,37,20,1016,1014,1008,10,10,10,43,16,64,0.00,2,,338
2015-7-1,25,17,9,9,6,1,66,44,28,1012,1010,1005,19,10,10,32,11,50,0.51,2,,357
2015-7-2,28,20,12,9,4,0,76,39,12,1014,1012,1003,10,10,3,29,8,47,0.00,2,,339
2015-7-3,31,22,14,6,2,-2,58,27,7,1012,1009,999,10,10,10,32,8,47,0.00,1,,355
2015-7-4,31,23,16,8,4,1,55,29,8,1010,1007,996,10,10,10,35,19,61,0.00,5,,155
2015-7-5,24,21,17,18,12,8,100,55,31,1007,1004,1000,10,10,2,40,18,58,7.87,3,Rain-Thunderstorm,133
2015-7-6,33,24,16,12,7,-1,88,39,6,1005,1002,991,10,10,10,35,13,50,0.51,2,,141
2015-7-7,26,19,12,14,9,5,82,51,17,1013,1006,997,10,10,3,43,18,61,5.08,3,Rain-Thunderstorm,329
2015-7-8,22,16,10,9,4,-3,88,51,12,1018,1016,1011,10,10,10,18,8,35,0.00,3,,315
2015-7-9,28,20,12,3,1,-4,62,28,5,1016,1012,1003,10,10,10,40,13,55,0.00,2,,187
2015-7-10,32,24,17,10,3,-4,49,27,4,1012,1008,998,10,10,10,50,31,35,0.00,2,Rain,162
2015-7-11,33,26,18,5,2,-3,54,23,5,1010,1007,998,10,10,10,21,6,32,0.00,3,,244
2015-7-12,31,22,13,14,4,-1,94,32,7,1007,1003,990,10,9,3,50,16,68,3.05,5,Rain-Thunderstorm,169
2015-7-13,21,17,13,12,8,4,82,56,24,1005,1001,996,10,10,10,35,23,55,0.00,3,Rain-Thunderstorm,156
2015-7-14,23,18,13,11,8,3,82,58,20,1011,1007,1002,10,10,10,32,10,55,2.03,4,Rain-Thunderstorm,40
2015-7-15,26,19,13,13,9,5,89,57,17,1014,1011,1005,10,10,10,35,14,55,0.51,2,Rain-Thunderstorm,35
2015-7-16,22,18,13,14,12,11,96,77,50,1014,1012,1006,10,9,2,21,8,,4.06,4,Rain,50
2015-7-17,22,18,14,15,13,11,88,74,47,1011,1009,1003,19,10,10,18,10,,0.00,4,Rain-Thunderstorm,45
2015-7-18,23,19,15,16,13,12,94,78,48,1011,1009,1004,10,10,10,21,5,,8.89,4,Rain-Thunderstorm,347
2015-7-19,23,18,14,15,13,12,94,78,50,1013,1011,1007,19,10,10,26,5,,0.76,3,Rain-Thunderstorm,322
2015-7-20,24,19,14,15,13,11,94,74,45,1015,1013,1007,10,10,10,29,5,,12.95,2,Rain-Thunderstorm,64
2015-7-21,26,19,13,14,11,8,94,59,25,1016,1015,1007,10,10,10,26,6,32,0.00,2,,335
2015-7-22,27,20,13,12,8,4,88,51,15,1018,1015,1007,10,10,10,26,6,,3.30,1,,312
2015-7-23,30,22,14,12,8,4,82,45,13,1016,1013,1003,10,9,2,29,6,,3.05,4,,238
2015-7-24,23,19,15,17,13,10,88,70,36,1010,1008,1004,19,10,3,21,5,,6.10,3,Rain,335
2015-7-25,23,17,12,13,10,7,94,63,30,1012,1010,1005,10,10,10,26,8,,0.00,2,,345
2015-7-26,27,20,13,11,8,3,94,50,14,1012,1009,1000,19,10,10,29,5,26,1.78,2,,196
2015-7-27,25,19,13,14,11,6,100,61,23,1008,1006,999,10,10,6,43,18,47,0.00,3,Rain,210
2015-7-28,19,16,13,12,10,7,88,69,49,1010,1007,1004,10,10,3,18,8,32,3.05,4,Rain,64
2015-7-29,23,17,12,12,10,9,94,66,34,1014,1012,1008,10,10,10,18,5,,0.00,2,,153
2015-7-30,24,19,13,12,10,9,94,58,28,1015,1013,1006,10,10,10,26,8,,0.00,4,,154
2015-7-31,27,21,15,14,13,9,88,66,36,1012,1009,1003,10,10,3,43,14,72,23.88,4,Rain-Thunderstorm,95
2015-8-1,16,13,11,14,11,9,94,80,63,1012,1009,1007,10,10,3,35,14,50,3.05,4,Rain-Thunderstorm,338
2015-8-2,20,15,10,10,8,6,88,64,32,1013,1010,1005,10,10,10,35,14,55,0.51,3,,322
2015-8-3,24,17,8,13,7,5,93,59,20,1010,1006,999,10,10,10,26,6,,5.84,2,,252
2015-8-4,18,16,12,12,10,7,88,73,52,1010,1007,1004,19,10,10,26,10,,0.00,4,Rain-Thunderstorm,352
2015-8-5,21,16,11,11,9,7,94,66,36,1014,1011,1007,10,10,10,26,11,,0.00,2,,339
2015-8-6,24,17,10,10,7,4,93,59,20,1017,1015,1009,10,10,10,14,3,,2.03,1,,326
2015-8-7,27,19,11,12,8,4,93,54,16,1019,1017,1010,19,10,10,14,3,,2.54,3,,175
2015-8-8,29,21,13,10,6,2,93,48,11,1020,1017,1009,10,10,10,14,3,,2.29,1,,252
2015-8-9,31,22,14,10,7,3,87,47,11,1018,1016,1006,10,9,2,14,3,,3.56,6,,151
2015-8-10,34,24,16,10,6,1,82,37,7,1015,1013,1003,10,10,3,35,8,61,0.00,2,Rain-Thunderstorm,222
2015-8-11,30,23,16,12,9,5,82,43,14,1015,1013,1004,10,10,10,18,10,35,0.00,3,Rain-Thunderstorm,349
2015-8-12,29,22,16,15,11,1,88,55,10,1014,1007,995,10,10,2,40,18,58,2.03,4,Rain-Thunderstorm,147
2015-8-13,17,12,8,14,9,5,88,74,48,1013,1006,997,10,9,2,40,24,50,0.00,5,Rain,307
2015-8-14,26,17,8,9,6,2,93,56,15,1015,1011,1004,10,8,2,26,6,32,0.00,1,,194
2015-8-15,30,22,14,7,2,-3,63,28,5,1011,1008,999,10,10,10,47,13,64,0.00,3,,141
