WAT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-22,34,26,17,3,0,-8,24,14,5,1019,1016,1012,10,7,3,19,8,,0.00,,,329
2015-1-23,32,24,17,3,1,-2,37,18,6,1017,1015,1011,10,7,3,14,5,,0.00,,,318
2015-1-24,33,23,14,2,-2,-5,34,15,4,1015,1013,1009,10,8,6,11,5,,0.00,,,66
2015-1-25,31,22,14,-2,-4,-9,22,13,6,1015,1013,1010,10,9,7,32,18,,0.00,,,107
2015-1-26,33,24,16,6,-1,-5,31,17,6,1018,1015,1012,10,9,6,34,14,,0.00,,,104
2015-1-27,32,23,2,1,-5,-11,38,14,4,1017,1015,1011,10,10,10,29,14,,0.00,,,100
2015-1-28,29,21,14,-5,-9,-16,25,9,4,1018,1016,1013,10,10,10,35,21,,0.00,,,46
2015-1-29,33,22,11,9,-10,-20,41,13,4,1018,1016,1014,10,10,10,34,21,,0.00,,,109
2015-1-30,27,19,11,-3,-9,-12,33,11,4,1019,1017,1014,10,10,10,29,18,,0.00,,,100
2015-1-31,30,21,11,-5,-9,-13,27,10,4,1019,1016,1013,10,10,10,26,16,,0.00,,,121
2015-2-1,33,24,15,0,-6,-13,22,11,4,1018,1014,1010,10,10,10,11,8,,0.00,,,335
2015-2-2,36,25,14,2,-6,-14,19,9,4,1015,1014,1011,10,10,10,23,11,,0.00,,,90
2015-2-3,36,26,16,-2,-9,-15,18,8,4,1016,1014,1010,10,10,10,29,14,,0.00,,,107
2015-2-4,37,26,15,3,-7,-18,26,9,4,1016,1013,1009,14,11,10,29,14,,0.00,,,131
2015-2-5,38,27,16,6,-6,-14,26,10,4,1015,1012,1008,10,10,10,19,11,,0.00,,,137
2015-2-6,40,28,16,0,-5,-11,16,8,4,1015,1012,1007,10,9,8,19,10,,0.00,,,51
2015-2-7,39,29,20,6,-3,-10,18,9,4,1016,1013,1008,14,14,14,19,11,,0.00,,,99
2015-2-8,40,29,18,2,-3,-9,22,10,4,1015,1013,1008,10,10,10,126,35,,0.00,,,91
2015-2-9,40,29,18,5,-1,-5,28,13,4,1014,1012,1007,10,9,8,14,6,,0.00,,,57
2015-2-10,37,28,20,-4,-9,-14,16,6,4,1016,1013,1009,10,7,5,40,24,,0.00,,,98
2015-2-11,35,29,24,1,-1,-2,21,13,6,1017,1016,1014,6,3,0,55,40,,0.00,,,92
2015-2-12,34,28,21,6,-3,-7,38,11,4,1019,1016,1012,10,9,8,42,27,,0.00,,,109
2015-2-13,34,27,19,-1,-5,-10,24,10,4,1019,1016,1012,10,5,3,37,24,,0.00,,,123
2015-2-14,37,28,19,6,1,-3,24,13,5,1017,1015,1010,10,7,5,19,14,,0.00,,,172
2015-2-15,36,28,21,-1,-4,-7,23,10,4,1015,1012,1007,8,4,1,26,14,,0.00,,,190
2015-2-16,33,27,21,16,2,-3,34,17,5,1015,1011,1007,10,7,2,29,11,,0.00,1,,322
2015-2-17,33,24,17,7,-1,-7,49,16,4,1015,1013,1010,10,10,10,34,14,,0.00,,,104
2015-2-18,31,23,16,-2,-8,-10,27,9,4,1014,1012,1010,10,10,10,35,24,,0.00,,,104
2015-2-19,34,26,17,0,-5,-8,20,10,4,1015,1012,1009,10,10,10,29,18,,0.00,,,103
2015-2-20,33,25,17,-2,-10,-18,22,8,4,1014,1012,1008,10,9,8,45,27,,0.00,,,104
2015-2-21,32,24,16,-1,-4,-6,18,11,5,1014,1012,1009,3,2,1,42,26,,0.00,,,85
2015-2-22,34,28,22,12,11,9,50,34,17,1016,1014,1011,10,7,6,23,14,,0.00,8,,351
2015-2-23,30,23,16,3,-4,-11,42,16,4,1018,1016,1012,10,9,8,26,18,,0.00,,,346
2015-2-24,30,22,13,-2,-8,-14,33,13,4,1019,1016,1013,6,5,3,35,14,,0.00,,,118
2015-2-25,31,21,12,1,-11,-18,20,9,4,1016,1013,1010,10,10,10,29,14,,0.00,,,115
2015-2-26,30,21,12,2,-7,-11,44,13,4,1015,1013,1011,10,8,4,23,11,,0.00,,,342
2015-2-27,31,22,12,-3,-11,-17,33,10,4,1018,1015,1012,10,7,3,29,14,,0.00,,,102
2015-2-28,31,22,13,4,-6,-13,31,12,4,1019,1016,1013,10,10,10,34,14,,0.00,,,117
2015-3-1,32,22,13,0,-3,-9,33,14,4,1019,1016,1012,10,10,10,11,5,,0.00,,,136
2015-3-2,32,24,17,-4,-8,-16,19,9,4,1018,1015,1012,10,10,10,32,14,,0.00,,,83
2015-3-3,30,24,18,-1,-3,-5,24,14,6,1019,1016,1013,10,8,6,40,29,,0.00,,,103
2015-3-4,33,24,16,8,2,-1,39,19,8,1020,1017,1013,10,10,10,37,21,,0.00,,,95
2015-3-5,32,26,19,2,-2,-4,24,14,7,1018,1015,1011,8,8,6,39,23,,0.00,,,125
2015-3-6,35,26,16,6,1,-5,32,15,5,1018,1014,1010,10,10,10,14,11,,0.00,,,103
2015-3-7,36,26,16,1,-2,-6,26,12,4,1015,1013,1009,10,10,10,23,13,,0.00,,,163
2015-3-8,34,27,19,-3,-5,-6,21,10,4,1014,1012,1008,8,7,5,42,19,,0.00,,,111
2015-3-9,36,28,20,6,0,-4,27,13,5,1015,1012,1008,10,9,8,26,11,,0.00,,,73
2015-3-10,37,29,22,6,-1,-4,33,11,4,1015,1013,1010,10,10,10,19,11,,0.00,,,170
2015-3-11,33,27,20,-5,-12,-18,18,7,4,1018,1015,1012,10,4,0,53,34,,0.00,,,103
2015-3-12,32,26,19,-4,-10,-14,14,8,4,1018,1015,1010,10,10,10,40,32,,0.00,,,101
2015-3-13,30,24,19,0,-9,-13,28,9,4,1016,1014,1011,10,9,8,40,24,,0.00,,Rain,97
2015-3-14,34,27,19,-4,-7,-12,16,8,4,1015,1013,1009,10,7,6,47,29,,0.00,,,100
2015-3-15,36,29,22,2,-6,-8,24,9,4,1015,1012,1007,10,6,3,50,31,,0.00,,,100
2015-3-16,34,31,27,-3,-7,-12,10,7,4,1015,1013,1010,10,6,3,53,39,,0.00,8,,100
2015-3-17,33,29,26,9,7,3,28,21,12,1016,1014,1009,10,10,10,35,23,,0.00,6,,101
2015-3-18,38,31,23,15,8,-1,44,20,5,1014,1011,1006,10,10,10,23,11,,0.00,,,110
2015-3-19,39,31,23,6,1,-1,31,12,4,1014,1010,1005,10,10,10,35,21,,0.00,,,108
2015-3-20,38,30,23,10,1,-6,36,15,4,1013,1010,1006,5,3,1,26,18,,0.00,,,91
2015-3-21,39,33,27,3,-2,-7,19,9,4,1013,1010,1005,10,5,3,50,31,,0.00,,,101
2015-3-22,40,33,26,-6,-11,-16,10,5,4,1014,1011,1005,10,6,3,45,29,,0.00,,,109
2015-3-23,39,32,25,-3,-6,-9,11,7,4,1013,1011,1006,10,5,3,42,27,,0.00,,,117
2015-3-24,40,33,26,8,-1,-8,21,9,4,1011,1008,1003,10,3,2,32,23,,0.00,,,163
2015-3-25,40,33,26,13,11,8,37,23,14,1011,1009,1005,10,6,4,29,8,,0.00,,,248
2015-3-26,37,32,27,3,-1,-5,20,11,10,1014,1013,1011,6,6,4,29,18,,0.00,,,324
2015-3-27,34,28,23,2,-6,-8,25,10,6,1016,1014,1012,,,,29,18,,0.00,,,344
2015-3-28,33,18,4,1,-7,-11,52,15,5,1016,1014,1012,,,,26,8,,0.00,,,203
2015-3-29,32,26,19,-3,-4,-9,18,13,9,1016,1014,1014,8,8,7,47,27,,0.00,,,109
2015-3-30,39,26,18,0,-7,-8,30,10,4,1017,1014,1011,10,10,10,35,26,,0.00,,,105
2015-3-31,36,27,19,1,-9,-14,30,8,4,1019,1016,1011,10,10,10,34,16,,0.00,,,90
2015-4-1,36,27,17,1,-6,-12,22,8,4,1019,1016,1012,10,9,6,26,13,,0.00,8,,42
2015-4-2,37,29,22,12,1,-5,47,14,4,1019,1015,1010,10,10,10,19,3,,0.00,,,117
2015-4-3,38,29,19,8,-1,-6,43,14,4,1016,1013,1009,10,10,10,19,10,,0.00,,,24
2015-4-4,39,29,19,-3,-6,-10,12,7,4,1015,1012,1007,10,10,10,26,13,,0.00,,,101
2015-4-5,39,30,22,3,-3,-8,16,9,4,1014,1011,1006,10,10,10,29,13,,0.00,,,113
2015-4-6,41,31,22,0,-6,-11,12,7,4,1014,1011,1007,10,10,10,29,16,,0.00,,,114
2015-4-7,40,31,21,1,-4,-8,13,7,4,1015,1012,1007,10,10,10,23,13,,0.00,,,72
2015-4-8,43,34,25,4,-2,-6,24,8,4,1014,1011,1005,10,10,10,14,10,,0.00,,,334
2015-4-9,41,32,24,5,-4,-12,24,8,4,1013,1010,1005,10,8,5,34,14,,0.00,,,104
2015-4-10,37,30,23,-2,-6,-9,17,8,4,1015,1013,1009,4,3,1,53,43,,0.00,,,100
2015-4-11,33,27,21,-8,-8,-8,13,8,4,1018,1015,1011,6,4,3,47,37,,0.00,,,102
2015-4-12,32,26,19,5,-9,-14,37,8,4,1021,1018,1015,8,3,0,48,29,,0.00,,,100
2015-4-13,34,26,18,-8,-12,-15,13,6,4,1021,1019,1015,5,2,1,39,26,,0.00,,,106
2015-4-14,37,27,16,8,-7,-8,28,9,4,1019,1016,1011,10,8,6,39,21,,0.00,,,99
2015-4-15,34,27,18,3,-17,-23,31,6,4,1018,1015,1011,10,8,1,53,34,,0.00,,,77
2015-4-16,32,24,17,13,-11,-18,31,7,4,1019,1017,1014,10,6,3,50,34,,0.00,,,102
2015-4-17,33,24,16,8,-8,-13,28,9,4,1021,1018,1015,10,5,3,42,27,,0.00,,,100
2015-4-18,35,26,17,6,-14,-25,45,8,4,1020,1016,1012,10,7,6,50,29,,0.00,,,100
2015-4-19,36,26,16,-8,-16,-19,15,6,4,1018,1015,1011,10,8,6,39,24,,0.00,,,107
2015-4-20,37,27,17,7,-8,-22,24,8,4,1017,1014,1008,10,8,2,29,16,,0.00,,,106
2015-4-21,38,29,21,-10,-20,-30,9,5,4,1015,1013,1010,10,10,10,29,19,,0.00,,,101
2015-4-22,39,29,19,-1,-9,-24,9,6,4,1015,1013,1010,10,10,10,29,16,,0.00,,,101
2015-4-23,40,31,21,7,-7,-9,13,7,4,1015,1013,1008,10,10,10,26,14,,0.00,,,94
2015-4-24,39,31,23,-5,-8,-14,13,6,4,1017,1014,1009,10,7,3,52,24,,0.00,,,84
2015-4-25,40,31,21,-3,-10,-13,20,6,4,1017,1014,1010,10,9,8,35,18,,0.00,,,96
2015-4-26,40,32,24,-5,-7,-8,13,6,4,1017,1014,1010,6,5,3,42,19,,0.00,,,84
2015-4-27,40,32,23,2,-9,-15,24,7,4,1017,1014,1009,10,10,10,37,21,,0.00,,,104
2015-4-28,40,32,25,-3,-7,-11,16,6,4,1016,1014,1009,10,10,10,32,19,,0.00,,,92
2015-4-29,41,32,23,3,-5,-8,19,8,4,1015,1012,1007,10,10,10,32,13,,0.00,,,109
2015-4-30,41,32,23,7,-9,-16,34,7,4,1013,1011,1007,10,10,10,34,18,,0.00,,,101
2015-5-1,42,33,24,-3,-11,-14,14,5,4,1013,1010,1006,10,10,10,32,18,,0.00,,,99
2015-5-2,42,33,25,-5,-8,-14,13,5,4,1013,1010,1006,10,9,8,35,23,,0.00,,,96
2015-5-3,42,33,24,7,-9,-16,30,6,4,1013,1011,1006,10,7,6,37,26,,0.00,,,94
2015-5-4,41,32,24,3,-2,-10,11,8,4,1014,1011,1006,4,3,2,29,23,,0.00,,,111
2015-5-5,42,34,27,8,-4,-8,15,7,4,1014,1011,1006,10,10,10,26,14,,0.00,,,90
2015-5-6,43,35,27,1,-6,-16,14,6,4,1014,1010,1005,10,10,10,23,11,,0.00,,,180
2015-5-7,42,34,26,-2,-4,-12,14,7,4,1013,1010,1005,10,9,8,39,21,,0.00,,,83
2015-5-8,40,32,24,5,2,-2,19,11,4,1015,1012,1006,10,10,10,35,14,,0.00,,,113
2015-5-9,41,34,28,15,8,2,25,16,6,1014,1012,1006,10,10,10,26,14,,0.00,,,85
2015-5-10,42,32,22,1,-1,-3,25,9,4,1014,1011,1006,8,7,6,32,14,,0.00,,,111
2015-5-11,43,34,26,1,-5,-8,17,7,4,1014,1011,1006,10,10,10,29,18,,0.00,,,93
2015-5-12,42,34,27,3,-3,-6,12,7,4,1015,1013,1009,10,8,5,37,29,,0.00,,,91
2015-5-13,40,32,24,1,-5,-10,20,8,4,1016,1014,1009,10,8,5,47,26,,0.00,,,110
2015-5-14,39,32,25,-1,-4,-8,12,7,4,1015,1012,1008,10,8,3,42,29,,0.00,,,99
2015-5-15,39,32,25,0,-2,-6,18,9,4,1016,1014,1009,10,2,0,34,21,,0.00,,,106
2015-5-16,38,33,28,5,3,1,18,12,5,1017,1014,1010,5,3,2,26,13,,0.00,,Rain,82
2015-5-17,42,36,29,14,11,8,37,18,8,1015,1012,1006,10,10,10,14,8,,0.00,,,71
2015-5-18,44,36,28,11,4,0,33,12,5,1014,1011,1005,10,10,10,23,13,,0.00,,,116
2015-5-19,44,36,28,3,-3,-8,18,6,4,1013,1010,1005,10,10,10,26,16,,0.00,,,134
2015-5-20,44,34,25,4,-3,-6,24,8,4,1014,1010,1005,10,9,8,26,11,,0.00,,,105
2015-5-21,44,36,26,6,-4,-11,23,7,4,1014,1011,1006,10,10,10,29,16,,0.00,,,88
2015-5-22,43,36,28,3,-1,-10,15,8,4,1015,1012,1006,10,8,2,45,19,,0.00,,,136
2015-5-23,44,36,27,8,1,-3,15,9,4,1013,1010,1004,10,10,10,23,14,,0.00,,,133
2015-5-24,44,34,25,8,3,-3,30,10,4,1014,1011,1005,10,10,10,19,11,,0.00,,,136
2015-5-25,44,36,28,12,2,-9,20,10,4,1014,1011,1006,10,9,8,23,11,,0.00,,,130
2015-5-26,44,36,28,-2,-7,-13,11,5,4,1013,1011,1005,10,9,6,42,23,,0.00,,,114
2015-5-27,44,37,30,7,-4,-10,13,6,4,1013,1010,1005,10,8,6,34,23,,0.00,,,105
2015-5-28,46,37,28,0,-3,-7,12,6,4,1013,1010,1004,10,8,6,39,23,,0.00,,,96
2015-5-29,45,37,28,7,-2,-8,19,8,4,1011,1008,1004,10,10,10,35,11,,0.00,,,108
2015-5-30,45,37,28,3,-3,-9,14,6,4,1012,1009,1004,10,10,10,35,18,,0.00,,,97
2015-5-31,43,36,29,7,4,-1,17,10,4,1012,1009,1004,6,4,3,23,14,,0.00,,,146
2015-6-1,45,37,29,13,9,6,24,15,7,1011,1008,1003,8,6,3,29,10,,0.00,6,,305
2015-6-2,43,37,31,18,13,10,46,22,9,1012,1008,1003,10,10,10,26,13,,0.00,,,295
2015-6-3,42,36,29,19,16,13,46,28,12,1013,1010,1005,5,4,3,19,10,,0.00,7,,305
2015-6-4,43,37,31,18,14,10,46,25,15,1014,1011,1005,8,5,2,26,11,,2.03,6,Rain-Thunderstorm,319
2015-6-5,45,38,30,22,11,3,58,18,4,1011,1008,1003,10,9,6,14,10,,0.00,,,95
2015-6-6,45,37,29,14,10,7,27,16,6,1014,1008,1002,10,5,3,26,13,,0.00,6,,241
2015-6-7,40,37,33,20,17,11,46,31,16,1013,1010,1005,8,4,1,39,24,,0.00,6,Thunderstorm,268
2015-6-8,41,36,30,17,14,12,43,26,13,1014,1011,1006,6,3,1,26,13,,0.00,1,,305
2015-6-9,43,36,29,14,9,4,35,17,6,1013,1011,1006,10,10,10,32,14,,0.00,6,,120
2015-6-10,44,33,22,16,12,7,43,22,7,1015,1012,1007,10,8,8,19,10,,0.00,6,,341
2015-6-11,45,38,31,13,9,4,29,14,6,1014,1011,1005,10,6,3,23,13,,0.00,,,178
2015-6-12,45,38,31,13,9,5,28,14,5,1013,1009,1003,10,4,2,19,10,,0.00,,,142
2015-6-13,43,37,30,17,12,8,36,20,7,1014,1010,1005,8,8,6,26,13,,0.00,6,,198
2015-6-14,41,34,28,21,18,14,62,35,15,1014,1011,1006,10,3,1,29,11,,1.02,4,Rain-Thunderstorm,285
2015-6-15,44,36,27,20,14,4,62,29,5,1014,1010,1005,10,5,3,26,10,,0.00,6,,304
2015-6-16,44,37,30,8,6,2,23,12,4,1013,1010,1004,10,9,8,35,11,,0.00,1,,124
2015-6-17,45,37,28,12,7,-1,25,14,5,1012,1008,1002,10,8,5,19,11,,0.00,,,245
2015-6-18,43,34,26,6,3,-5,23,11,4,1012,1009,1004,10,10,10,29,10,,0.00,,,141
2015-6-19,44,37,30,2,-7,-14,15,6,4,1013,1011,1006,8,7,5,47,21,,0.00,,,83
2015-6-20,45,37,29,4,-2,-4,16,7,4,1014,1012,1006,10,10,10,42,23,,0.00,,,82
2015-6-21,44,36,27,7,1,-3,25,9,4,1014,1012,1007,10,10,10,29,13,,0.00,3,,142
2015-6-22,44,36,28,19,14,8,49,24,7,1016,1012,1006,10,6,3,23,11,,0.00,,,323
2015-6-23,43,37,31,14,7,3,35,14,6,1016,1013,1008,10,10,10,23,11,,0.00,,,179
2015-6-24,43,37,29,18,11,3,48,19,6,1015,1012,1006,10,10,10,26,10,,0.00,6,,259
2015-6-25,41,35,29,18,16,11,48,29,10,1017,1013,1008,8,5,3,23,16,,0.00,,,246
2015-6-26,42,37,31,18,17,13,40,28,18,1016,1013,1008,10,9,6,23,18,,0.00,3,Thunderstorm,285
2015-6-27,42,35,28,21,16,-4,62,32,4,1016,1013,1007,10,8,2,23,10,,0.00,4,,312
2015-6-28,43,36,27,19,9,-3,58,23,4,1015,1012,1007,10,7,5,26,11,,0.00,,,217
2015-6-29,43,34,26,16,9,3,32,17,4,1016,1013,1009,10,10,10,34,16,,0.00,,,172
2015-6-30,44,36,27,15,10,5,32,18,6,1015,1011,1005,10,10,10,19,8,,0.00,5,,226
2015-7-1,43,36,29,7,4,0,19,10,4,1014,1010,1005,10,10,10,26,13,,0.00,6,,152
2015-7-2,43,36,28,16,10,3,33,19,6,1014,1011,1006,10,8,6,26,16,,0.00,,,142
2015-7-3,43,36,29,18,14,10,38,24,9,1014,1011,1006,10,9,3,19,8,,0.00,3,,256
2015-7-4,41,36,31,19,17,14,49,31,14,1016,1013,1007,8,7,1,45,13,,0.00,6,Thunderstorm,297
2015-7-5,40,34,28,20,18,16,55,36,17,1016,1013,1009,10,8,6,34,18,,0.00,2,Rain-Thunderstorm,256
2015-7-6,40,33,26,21,17,14,62,32,13,1015,1012,1007,10,10,10,19,13,,0.00,4,,148
2015-7-7,41,34,29,24,17,14,51,31,18,1016,1013,1008,10,10,10,34,16,,2.03,4,Thunderstorm,12
2015-7-8,43,37,30,19,17,15,48,30,13,1015,1012,1006,10,10,10,26,13,,0.00,3,Rain-Thunderstorm,241
2015-7-9,41,34,28,21,19,17,58,39,18,1015,1012,1007,10,6,2,26,18,,0.00,5,Thunderstorm,312
2015-7-10,43,36,29,19,17,11,48,28,12,1016,1012,1007,10,10,10,19,13,,0.00,2,,320
2015-7-11,44,38,31,19,14,8,40,21,10,1014,1011,1005,10,10,10,26,14,,0.00,4,,85
2015-7-12,43,37,32,19,16,14,36,25,12,1013,1010,1004,10,8,1,35,13,,0.00,6,Thunderstorm,215
2015-7-13,42,36,28,20,18,14,55,35,12,1013,1010,1004,3,2,1,40,16,,0.00,4,Thunderstorm,306
2015-7-14,42,33,26,22,19,14,69,40,14,1013,1010,1004,10,4,2,19,13,,0.00,3,Rain-Thunderstorm,273
2015-7-15,39,32,25,20,18,16,65,39,18,1013,1010,1005,10,10,10,29,14,,0.00,,,316
2015-7-16,39,34,29,21,19,18,58,41,20,1015,1012,1006,10,6,0,37,23,,1.02,6,Rain-Thunderstorm,312
2015-7-17,41,31,21,21,19,15,66,38,14,1015,1011,1005,10,7,3,26,14,,0.00,3,Rain-Thunderstorm,309
2015-7-18,43,34,26,22,16,5,74,33,7,1012,1009,1003,10,7,3,19,14,,0.00,1,,233
2015-7-19,42,36,28,20,17,12,48,31,18,1017,1010,1003,10,7,5,14,8,,0.00,2,Thunderstorm,279
2015-7-20,39,33,28,22,19,17,70,41,19,1013,1010,1005,10,9,6,45,14,,0.00,3,Rain-Thunderstorm,196
2015-7-21,37,28,20,23,21,18,89,55,27,1015,1013,1008,10,10,10,14,8,,0.00,2,,315
2015-7-22,39,32,25,23,21,20,83,52,24,1016,1013,1007,10,9,3,52,14,,0.00,3,Rain-Thunderstorm,309
2015-7-23,37,31,24,23,22,20,83,57,31,1015,1012,1007,10,10,10,19,14,,0.25,1,Rain,315
2015-7-24,41,33,26,22,19,15,70,42,16,1014,1011,1006,10,9,6,23,14,,0.00,4,,326
2015-7-25,42,35,28,20,16,9,58,30,9,1014,1010,1004,8,7,5,19,10,,0.00,,,313
2015-7-26,39,33,27,20,18,17,62,38,20,1015,1012,1006,10,10,10,23,14,,0.00,,,245
2015-7-27,38,29,20,23,21,18,83,53,25,1014,1011,1007,10,9,3,32,11,,0.00,5,Thunderstorm,252
2015-7-28,39,32,25,22,21,17,78,52,19,1014,1012,1006,10,10,10,26,14,,1.02,3,Rain-Thunderstorm,296
2015-7-29,34,28,22,22,21,20,94,64,36,1015,1013,1008,14,8,3,37,16,,23.88,5,Rain-Thunderstorm,276
2015-7-30,36,30,25,21,21,18,78,48,31,1014,1011,1007,10,4,3,26,14,,0.00,,,287
2015-7-31,36,31,26,25,22,18,94,55,34,1014,1011,1006,10,8,5,29,18,,0.00,6,Thunderstorm,300
2015-8-1,39,36,32,22,21,19,52,40,24,1014,1010,1005,10,8,3,42,19,,0.00,2,Thunderstorm,321
2015-8-2,39,31,22,23,21,19,100,55,24,1014,1011,1006,10,8,3,29,8,,16.00,3,Rain-Thunderstorm,239
2015-8-3,35,28,21,21,19,18,94,58,28,1018,1015,1010,10,8,2,32,23,,0.00,,,158
2015-8-4,37,31,25,21,20,18,74,47,29,1016,1013,1007,10,10,10,23,13,,0.00,2,Thunderstorm,271
2015-8-5,38,33,28,23,21,18,66,43,23,1014,1011,1006,10,10,10,23,10,,0.00,6,,250
2015-8-6,38,32,27,22,20,19,70,44,24,1015,1011,1006,10,8,5,35,13,,0.00,4,,293
2015-8-7,36,28,21,22,21,20,78,57,39,1014,1011,1008,10,10,10,19,8,,0.00,,,282
2015-8-8,38,32,26,24,23,20,84,61,26,1015,1012,1006,10,9,2,29,13,,17.02,4,Rain-Thunderstorm,307
2015-8-9,32,27,22,22,21,19,100,64,39,1015,1013,1010,10,10,10,23,14,,7.11,4,Rain-Thunderstorm,261
2015-8-10,36,29,22,23,21,16,89,53,23,1015,1013,1007,10,6,3,19,8,,0.00,,,127
2015-8-11,37,32,27,23,21,19,79,52,27,1016,1012,1006,10,6,0,29,14,,4.06,6,Rain-Thunderstorm,296
2015-8-12,37,31,25,22,21,11,78,49,20,1016,1013,1009,10,7,6,23,14,,0.00,,,276
2015-8-13,39,31,23,24,22,19,78,57,27,1015,1012,1006,10,7,0,34,14,,28.96,4,Rain-Thunderstorm,305
2015-8-14,33,29,24,23,22,20,78,59,41,1015,1013,1009,10,8,3,29,16,,0.00,6,Thunderstorm,255
2015-8-15,36,31,27,24,23,20,74,55,41,1015,1012,1008,10,10,10,32,11,,0.00,1,Fog,271
2015-8-16,34,30,26,21,19,18,65,47,30,1017,1014,1010,10,5,2,82,14,,0.00,6,,192
2015-8-17,38,32,27,23,20,16,79,45,20,1015,1012,1007,10,9,6,26,11,,0.00,6,,155
2015-8-18,37,31,25,27,23,20,89,62,39,1015,1012,1009,10,9,1,55,16,,2.03,5,Rain-Thunderstorm,313
2015-8-19,35,29,23,22,22,21,89,61,38,1015,1013,1008,10,9,8,23,13,,0.00,6,Thunderstorm,298
2015-8-20,41,33,27,25,17,10,89,39,9,1014,1012,1006,10,10,10,26,13,,0.00,4,,83
2015-8-21,39,34,29,21,19,16,55,38,17,1015,1012,1009,10,9,6,14,8,,0.00,1,,228
2015-8-22,41,34,28,26,18,12,70,37,15,1014,1011,1005,10,7,0,53,18,,0.00,5,Thunderstorm,319
2015-8-23,43,36,29,22,18,13,66,34,11,1012,1009,1004,10,8,5,19,11,,0.00,2,Thunderstorm,315
2015-8-24,40,35,30,20,18,16,55,33,16,1012,1009,1004,8,5,3,35,13,,0.25,6,Rain-Thunderstorm,272
2015-8-25,37,32,27,22,20,18,66,44,25,1015,1012,1008,10,9,8,23,10,,0.00,4,Thunderstorm,267
2015-8-26,38,32,27,22,21,17,74,47,28,1015,1012,1007,10,9,5,29,16,,0.00,4,Thunderstorm,268
2015-8-27,37,31,24,28,19,17,78,45,25,1015,1012,1006,10,10,10,19,10,,0.00,2,,244
2015-8-28,40,33,26,22,18,12,74,38,12,1014,1011,1005,10,10,10,11,8,,0.00,3,,269
2015-8-29,36,29,22,23,21,19,83,56,31,1017,1014,1010,10,10,10,14,10,,0.00,2,,234
