JST,TempMax,TempMed,TempMin,rocio,roMed,roMin,MaxHum,MedHum,MinHum,MaxHpa,MedHpa,MinHpa,MaxVis,MedVis,MinVis,MaxVientoKm/h,MedVientoKm/h,MaxRafagasKm/h,Precipitacionmm,CloudCover,Eventos,vientoDir
29-04-2014,20,18,16,13,12,10,82,68,56,1019,1017,1016,10,10,10,29,18, ,0.00,6,Lluvia,197
30-04-2014,18,16,14,17,15,12,94,91,88,1018,1014,1012,10,7,2,52,21,64,0.00,6,Lluvia,161
01-05-2014,23,20,18,17,16,12,94,79,53,1012,1009,1005,10,8,1,39,27,53,0.00,4,Lluvia,181
02-05-2014,24,20,17,15,14,13,88,71,53,1012,1010,1009,10,10,10,26,11,,0.00,2, ,106
03-05-2014,25,21,17,17,13,9,88,66,47,1013,1009,1006,10,10,9,42,16,52,0.00,2,Niebla,200
04-05-2014,23,19,15,9,3,-4,59,39,17,1021,1017,1013, , , ,42,31,61,0.00, , ,69
05-05-2014,20,18,15,15,13,9,83,75,59,1021,1015,1013,10,10,10,45,21,55,0.00,5,Lluvia,175
06-05-2014,17,14,13,16,12,7,94,81,63,1016,1013,1011,10,9,3,39,27,53,0.00,5,Lluvia,354
07-05-2014,20,16,12,12,9,7,82,64,43,1019,1017,1016,10,10,9,29,16,,0.00,1, ,125
08-05-2014,21,18,15,14,13,9,82,69,56,1018,1015,1011,10,10,10,45,24,61,0.00,3, ,186
09-05-2014,26,20,13,15,11,5,83,60,30,1012,1009,1004,10,10,7,66,29,89,0.00,2,Lluvia,186
10-05-2014,24,18,13,9,3,-3,77,37,17,1019,1015,1012,10,10,10,42,21,60,0.00,1, ,333
11-05-2014,24,20,17,13,6,3,68,41,25,1022,1021,1019,10,10,10,27,19, ,0.00,1, ,128
12-05-2014,23,19,16,14,12,9,82,62,41,1022,1016,1010,10,10,10,53,27,72,0.00,4,Lluvia,195
13-05-2014,21,19,17,19,17,14,100,90,77,1009,1005,1002,10,7,2,37,26,58,0.00,5,Lluvia,182
14-05-2014,26,21,17,18,17,13,100,79,60,1008,1005,1002,10,6,3,40,13,55,0.00,1,Niebla,180
15-05-2014,20,18,17,18,15,13,94,80,64,1001,995,991,10,9,3,29,18, ,0.00,6,Lluvia,97
16-05-2014,24,21,18,15,10,0,68,51,23,1001,997,994,10,10,10,39,19,58,0.00,3,Lluvia,293
17-05-2014,25,20,16,11,7,4,56,42,26,1010,1006,1001,10,10,10,37,21,47,0.00,1, ,309
18-05-2014,25,20,16,13,9,5,77,52,29,1014,1012,1011,10,10,10,29,14, ,0.00,1, ,135
19-05-2014,24,20,17,17,14,11,88,70,50,1016,1014,1012,10,10,9,24,11, ,0.00,1, ,104
20-05-2014,25,21,18,17,16,12,94,74,50,1014,1012,1008,10,8,3,29,13, ,0.00,2,Lluvia,154
21-05-2014,19,17,16,18,16,11,100,88,60,1007,997,992,10,6,2,39,24,58,0.00,6,Lluvia,11
22-05-2014,22,18,15,15,13,11,94,77,57,1012,1005,999,10,9,1,37,16,63,0.00,4,Lluvia-Tormenta,101
23-05-2014,21,17,14,14,11,10,82,68,49,1019,1016,1012,10,10,10,27,19, ,0.00,3, ,123
24-05-2014,24,19,15,16,14,13,88,69,53,1019,1016,1014,10,10,9,42,21,66,0.00,1, ,204
25-05-2014,25,22,19,18,17,15,88,73,54,1014,1013,1011,10,10,10,27,21, ,0.00,1, ,191
26-05-2014,24,21,19,17,17,15,88,75,61,1012,1009,1006,10,10,9,45,27,61,0.00,4,Lluvia,197
27-05-2014,25,21,18,20,18,16,100,86,65,1006,1002,1000,10,8,2,29,18, ,0.00,5,Lluvia,46
28-05-2014,27,23,19,19,18,13,94,80,44,1007,1005,1004,10,9,7,29,14,45,0.00,3, ,135
29-05-2014,26,22,19,18,17,13,88,74,47,1011,1008,1006,10,9,7,27,16, ,0.00,1, ,195
30-05-2014,27,23,19,19,18,14,94,76,45,1012,1011,1010,10,8,5,32,13, ,0.00,1, ,181
31-05-2014,30,24,19,20,18,11,94,71,31,1012,1011,1009,10,7,4,27,14, ,0.00,1, ,175
01-06-2014,31,26,20,19,18,13,88,70,33,1013,1012,1010,10,7,4,27,14, ,0.00,1,Niebla,202
02-06-2014,29,24,20,22,19,17,94,78,55,1015,1013,1012,9,4,1,21,11, ,0.00,1,Niebla,117
03-06-2014,27,23,20,20,18,17,88,77,61,1015,1013,1011,10,7,5,29,13, ,0.00,3, ,86
04-06-2014,27,23,20,20,18,15,88,73,57,1013,1012,1011,10,8,4,32,11, ,0.00,1, ,119
05-06-2014,22,20,19,19,18,16,94,82,69,1012,1010,1008,10,9,2,39,23, ,0.00,6,Lluvia,89
06-06-2014,21,20,20,20,19,17,100,93,83,1008,1005,1004,10,6,2,45,34, ,0.00,6,Lluvia,75
07-06-2014,20,19,18,19,17,17,100,93,88,1007,1006,1004,10,6,2,48,35,55,0.00,6,Lluvia,21
08-06-2014,23,20,18,20,18,17,94,88,73,1010,1006,1003,10,9,4,29,19, ,0.00,6,Lluvia,277
09-06-2014,24,21,19,21,20,18,100,92,83,1013,1011,1009,10,8,3,24,10, ,0.00,4,Lluvia,97
10-06-2014,26,23,20,21,20,19,100,87,69,1014,1012,1011,10,8,5,24,14, ,0.00,4,Lluvia,96
11-06-2014,22,21,20,21,21,19,100,94,88,1011,1006,1002,10,7,2,26,14, ,0.00,6,Lluvia,58
12-06-2014,24,22,21,21,21,19,100,92,78,1001,994,991,10,7,2,39,23,47,0.00,5,Lluvia,23
13-06-2014,29,24,19,20,19,17,94,74,48,1001,995,991,10,10,10,35,16,48,0.00,2,Lluvia,190
14-06-2014,28,24,21,20,17,14,88,65,45,1004,1002,1001,10,10,10,34,13, ,0.00,1,Lluvia,149
15-06-2014,28,24,20,19,17,13,88,69,39,1006,1005,1003,10,10,10,29,14,45,0.00,1, ,114
16-06-2014,28,24,22,20,18,16,83,70,48,1006,1004,1003,10,9,6,29,13, ,0.00,1, ,177
17-06-2014,27,23,20,21,19,17,94,78,57,1007,1006,1005,10,7,6,32,16, ,0.00,2, ,161
18-06-2014,23,22,21,20,18,15,88,78,61,1005,1003,1001,10,8,5,27,13, ,0.00,5,Lluvia,134
19-06-2014,28,24,21,19,17,15,83,65,45,1006,1004,1002,10,10,8,35,16,47,0.00,2,Lluvia,138
20-06-2014,26,23,22,19,18,16,83,71,57,1010,1008,1007,10,10,10,40,24,53,0.00,3,Lluvia,186
21-06-2014,26,23,22,20,19,19,88,78,65,1011,1009,1007,10,10,9,34,19,50,0.00,4, ,187
22-06-2014,23,22,21,20,19,18,88,83,73,1007,1004,1002,10,10,9,21,11, ,0.00,6,Lluvia,84
23-06-2014,27,23,21,20,18,17,83,73,54,1005,1004,1003,10,10,10,32,13, ,0.00,4,Lluvia,183
24-06-2014,25,23,21,20,19,18,94,83,69,1008,1005,1004,10,10,8,35,16, ,0.00,6,Lluvia-Tormenta,137
25-06-2014,26,23,20,21,19,19,94,84,69,1012,1010,1008,10,8,5,29,10,47,0.00,5,Lluvia,40
26-06-2014,27,23,21,21,19,18,88,80,65,1012,1011,1010,10,9,6,21,13, ,0.00,4,Lluvia,75
27-06-2014,26,23,22,21,21,20,94,82,69,1011,1009,1007,10,10,10,24,14, ,0.00,5,Lluvia,86
28-06-2014,24,23,22,22,21,21,94,92,83,1007,1004,1001,10,9,3,29,19, ,0.00,6,Lluvia,70
29-06-2014,28,24,21,23,21,19,100,89,65,1005,1001,999,10,8,0,48,16,61,0.00,5,Lluvia-Tormenta,39
30-06-2014,26,23,21,21,19,18,88,80,69,1009,1008,1005,10,10,10,26,16, ,0.00,5, ,97
01-07-2014,28,24,21,21,20,19,94,77,58,1011,1010,1008,10,10,10,29,14, ,0.00,4,Lluvia,120
02-07-2014,29,26,22,21,20,18,94,76,58,1012,1010,1008,10,10,10,26,14, ,0.00,2, ,122
03-07-2014,27,24,22,22,21,19,94,82,61,1010,1007,1005,10,9,6,32,16, ,0.00,4,Lluvia,185
04-07-2014,23,22,21,21,20,19,100,91,83,1006,1004,1004,10,8,4,26,16, ,0.00,6,Lluvia,32
05-07-2014,23,21,20,20,19,19,100,88,78,1011,1008,1005,10,9,3,26,19, ,0.00,5,Lluvia,39
06-07-2014,27,23,21,21,19,18,94,80,61,1012,1011,1010,10,10,8,27,13, ,0.00,2, ,115
07-07-2014,26,23,21,22,21,20,94,89,78,1009,1007,1004,10,9,3,24,18,37,0.00,6,Lluvia,180
08-07-2014,31,26,22,22,21,18,100,77,51,1012,1009,1006,10,9,3,27,10,45,0.00,2,Lluvia,138
09-07-2014,25,24,23,23,22,20,100,92,78,1012,1010,1007,10,7,2,29,16, ,0.00,6,Lluvia-Tormenta,121
10-07-2014,28,26,24,25,23,23,94,89,79,1006,1000,993,10,9,4,47,27,64,0.00,5,Lluvia,187
11-07-2014,33,28,23,25,23,22,100,83,62,998,992,989,10,8,3,42,24,63,0.00,5,Lluvia,182
12-07-2014,32,28,25,24,22,19,89,73,52,1005,1002,998,10,10,10,29,13, ,0.00,3,Lluvia,120
13-07-2014,27,26,24,24,22,19,89,81,61,1005,1003,1001,10,9,5,40,19,63,0.00,5,Lluvia,186
14-07-2014,31,28,25,25,23,22,89,81,70,1009,1004,1001,10,10,9,29,18, ,0.00,4,Lluvia,160
15-07-2014,31,27,24,24,22,20,83,72,58,1013,1011,1009,10,10,10,26,14, ,0.00,3, ,116
16-07-2014,31,27,24,24,23,22,94,81,62,1013,1010,1007,10,8,5,34,16,48,0.00,2, ,176
17-07-2014,29,27,24,24,23,21,89,82,70,1013,1012,1010,10,9,7,23,14, ,0.00,4,Lluvia,92
18-07-2014,27,24,23,23,22,20,100,87,74,1014,1013,1012,10,8,2,24,16, ,0.00,6,Lluvia-Tormenta,76
19-07-2014,26,23,22,22,21,20,94,86,78,1014,1013,1012,10,10,6,26,14, ,0.00,6,Lluvia,66
20-07-2014,28,24,22,23,21,20,94,83,65,1012,1010,1008,10,8,1,32,13,32,0.00,4,Lluvia-Tormenta,88
21-07-2014,28,24,22,22,21,21,94,82,66,1012,1011,1009,10,10,7,29,11, ,0.00,4,Lluvia,119
22-07-2014,30,27,24,24,23,22,89,80,62,1010,1008,1006,10,10,8,32,16, ,0.00,3, ,186
23-07-2014,32,28,25,25,24,23,94,79,62,1006,1004,1002,10,8,6,27,13, ,0.00,1, ,167
24-07-2014,33,29,26,26,24,23,94,80,62,1007,1004,1002,10,7,2,26,11, ,0.00,4,Lluvia-Tormenta,116
25-07-2014,33,29,26,26,24,22,89,75,59,1013,1010,1007,10,9,6,24,11, ,0.00,1, ,99
26-07-2014,33,29,26,26,25,23,100,79,55,1013,1010,1007,10,8,5,35,14,47,0.00,1, ,176
27-07-2014,33,30,27,25,24,22,89,76,63,1006,1003,1000,10,10,9,39,21, ,0.00,4,Lluvia-Tormenta,169
28-07-2014,29,27,25,23,20,17,83,66,51,1011,1008,1004,10,10,10,27,18, ,0.00,2, ,133
29-07-2014,31,27,24,21,20,18,78,65,49,1015,1013,1011,10,10,10,29,14, ,0.00,1, ,186
30-07-2014,31,27,24,24,22,20,89,73,55,1017,1015,1014,10,10,10,32,18, ,0.00,1, ,185
31-07-2014,33,29,26,25,24,23,94,77,55,1014,1013,1011,10,10,10,27,16, ,0.00,1, ,184
01-08-2014,32,29,26,25,24,23,89,77,66,1012,1010,1008,10,10,10,37,19,48,0.00,2,Lluvia-Tormenta,188
02-08-2014,33,29,26,25,23,21,89,69,52,1010,1009,1007,10,10,10,27,13, ,0.00,1, ,161
03-08-2014,35,31,27,25,23,21,79,65,46,1009,1008,1006,10,10,10,39,16, ,0.00,1, ,188
04-08-2014,34,30,27,24,23,22,79,66,55,1008,1007,1005,10,10,10,40,27,61,0.00,4, ,208
05-08-2014,35,31,28,24,23,23,74,64,49,1007,1006,1004,10,10,10,48,34,71,0.00,1, ,209
06-08-2014,34,30,27,24,23,22,79,67,55,1006,1005,1004,10,10,10,48,34,64,0.00,1, ,202
07-08-2014,32,29,26,24,23,21,83,69,59,1008,1006,1005,10,10,10,42,32,60,0.00,1, ,191
08-08-2014,31,28,26,24,23,20,83,70,52,1010,1008,1007,10,10,10,32,19, ,0.00,4,Lluvia,197
09-08-2014,28,26,23,24,22,21,94,84,74,1012,1011,1009,10,9,4,35,21, ,0.00,6,Lluvia,44
10-08-2014,31,26,22,26,24,21,100,88,70,1009,1001,996,10,8,2,60,29,80,0.00,5,Lluvia,151
11-08-2014,31,29,27,25,23,22,84,74,62,1001,997,996,10,10,10,52,42,71,0.00,2, ,196
12-08-2014,29,26,22,25,23,21,94,84,70,1007,1004,1001,10,9,5,39,24, ,0.00,5,Lluvia,210
13-08-2014,29,26,22,24,22,21,94,81,66,1011,1009,1007,10,9,5,23,13, ,0.00,5,Lluvia,125
14-08-2014,29,27,25,25,24,23,94,89,74,1011,1010,1010,10,7,2,21,8, ,0.00,5,Lluvia-Tormenta,231
15-08-2014,33,29,26,25,24,23,94,74,59,1010,1007,1005,10,10,10,48,27,64,0.00,1, ,199
16-08-2014,33,28,23,26,24,22,94,81,66,1012,1008,1006,10,10,9,37,26,58,0.00,4,Lluvia,165
17-08-2014,32,27,23,25,23,22,94,83,59,1015,1012,1011,10,8,5,29,18, ,0.00,4, ,63
18-08-2014,33,29,26,26,24,22,94,75,62,1015,1014,1013,10,10,10,40,19,53,0.00,3, ,191
19-08-2014,33,30,27,25,23,22,79,70,58,1014,1013,1011,10,10,10,37,23,50,0.00,1, ,200
20-08-2014,33,30,27,26,24,23,89,75,63,1014,1012,1010,10,10,10,32,16, ,0.00,1, ,182
