CET,Temperatura m‡ximaC,Temperatura mediaC,Temperatura m’nimaC,Punto de roc’oC,MeanDew PointC,Min DewpointC,Max Humedad, Mean Humedad, Min Humedad, Max Presi—n al nivel del marhPa, Mean Presi—n al nivel del marhPa, Min Presi—n al nivel del marhPa, Max VisibilidadKm, Mean VisibilidadKm, Min VisibilidadkM, Max Velocidad del vientoKm/h, Mean Velocidad del vientoKm/h, Max Velocidad de r‡fagasKm/h,Precipitaci—nmm, CloudCover, Eventos,WindDirDegrees
2011-2-7,13,7,1,5,3,0,100,83,54,1026,1022,1019,10,6,0,23,11,,0.00,4,Niebla,203
2011-2-8,10,7,4,8,7,4,100,93,82,1024,1023,1021,10,6,1,11,6,,0.00,6,Niebla-Lluvia,143
2011-2-9,9,7,4,7,6,3,100,95,82,1022,1021,1019,10,7,1,13,8,,0.00,7,Niebla,139
2011-2-10,13,7,2,9,6,2,100,89,72,1020,1019,1016,10,6,3,14,6,,0.00,6,Niebla-Lluvia,194
2011-2-11,17,12,6,8,7,4,87,73,52,1017,1016,1015,10,10,10,19,11,,0.00,3,Lluvia,212
2011-2-12,10,7,4,9,6,4,100,89,81,1015,1015,1014,10,9,5,16,8,,0.00,6,Lluvia,208
2011-2-13,9,6,3,6,3,2,100,86,66,1015,1009,1003,10,6,0,21,11,,0.00,7,Niebla,172
2011-2-14,9,7,4,7,4,3,100,83,71,1007,1005,1003,10,10,9,16,10,,0.00,6,Lluvia,210
2011-2-15,9,7,4,6,4,2,93,89,81,1003,997,994,10,10,9,23,11,,0.00,5,Lluvia,178
2011-2-16,11,7,3,7,4,3,100,90,62,998,996,995,10,5,0,16,10,,0.00,4,Niebla,144
2011-2-17,7,3,0,4,3,0,100,90,81,1008,1001,996,9,5,3,16,8,,0.00,6,Niebla,57
2011-2-18,5,2,0,3,2,0,100,93,81,1015,1013,1009,6,4,2,13,6,,0.00,6,Niebla,214
2011-2-19,7,3,1,6,3,1,100,97,87,1015,1012,1010,5,2,0,14,8,,0.00,6,Niebla-Lluvia,142
2011-2-20,7,6,5,6,4,3,100,90,81,1015,1013,1011,10,9,6,19,10,,0.00,6,,297
2011-2-21,9,6,2,6,4,1,100,91,71,1015,1013,1009,10,7,3,21,8,,0.00,6,Niebla-Lluvia,131
2011-2-22,8,4,1,4,1,-2,100,80,57,1021,1015,1010,10,7,3,19,11,,0.00,5,Lluvia,49
2011-2-23,6,3,0,5,1,-2,100,86,70,1024,1022,1021,10,5,1,19,10,,0.00,6,Lluvia,176
2011-2-24,12,8,5,10,8,5,100,91,77,1028,1024,1021,10,7,1,19,11,,0.00,6,,275
2011-2-25,12,8,4,8,6,4,100,86,71,1029,1028,1024,10,10,7,11,6,,0.00,6,Niebla,247
2011-2-26,11,9,7,10,7,5,100,86,67,1024,1017,1015,10,9,3,27,11,37,0.00,6,Lluvia,246
2011-2-27,9,4,1,5,2,0,93,77,54,1021,1019,1017,10,10,10,24,16,40,0.00,5,,307
2011-2-28,6,3,0,3,2,-1,100,87,76,1028,1024,1021,10,7,4,19,10,,0.00,6,,351
2011-3-1,8,4,2,3,2,0,93,81,66,1031,1030,1028,10,6,5,32,21,,0.00,4,,17
2011-3-2,10,6,2,2,-1,-2,87,68,47,1029,1027,1025,9,5,4,34,26,,0.00,3,,23
2011-3-3,8,4,0,-1,-3,-4,80,62,43,1028,1027,1025,9,7,4,29,21,,0.00,,,31
2011-3-4,10,4,-1,1,-2,-4,86,67,50,1029,1027,1026,9,8,6,19,14,,0.00,,,38
2011-3-5,9,4,0,1,0,-2,93,77,57,1027,1025,1024,9,5,3,26,13,,0.00,,,13
2011-3-6,8,4,1,0,-1,-3,93,71,46,1027,1026,1025,9,7,6,26,18,,0.00,6,,34
2011-3-7,9,4,-1,-2,-4,-6,80,56,34,1027,1026,1024,,,,23,16,,0.00,,,67
2011-3-8,16,7,-2,5,0,-6,93,63,42,1025,1023,1021,9,9,9,23,5,,0.00,,,191
2011-3-9,13,9,6,6,4,2,87,71,51,1021,1020,1019,10,10,10,24,11,,0.00,6,,241
2011-3-10,12,6,1,5,3,1,100,76,58,1022,1020,1019,10,10,10,24,11,,0.00,5,,241
2011-3-11,13,10,6,7,5,4,93,74,54,1020,1018,1013,10,10,10,21,11,39,0.00,6,Lluvia,214
2011-3-12,15,9,4,8,4,1,93,76,48,1013,1006,1003,10,10,10,27,10,,0.00,6,Lluvia,166
2011-3-13,12,10,9,9,8,6,94,85,76,1008,1003,1001,10,10,10,21,11,,0.00,6,,176
2011-3-14,15,11,8,9,8,7,100,85,63,1013,1012,1008,10,9,5,23,10,,0.00,5,,98
2011-3-15,20,14,9,8,7,5,87,66,37,1013,1010,1008,10,10,10,26,13,,0.00,,Lluvia,69
2011-3-16,17,13,10,8,7,5,76,66,52,1008,1005,1002,9,7,5,26,18,,0.00,,,21
2011-3-17,10,8,6,7,5,3,87,82,71,1021,1012,1005,7,5,2,24,19,,0.00,6,,335
2011-3-18,12,8,5,10,6,2,100,83,66,1024,1022,1021,10,9,4,21,8,,0.00,6,Lluvia,226
2011-3-19,11,8,6,10,4,3,94,82,71,1033,1030,1022,10,9,7,24,19,40,0.00,6,,20
2011-3-20,13,7,0,4,0,-4,100,64,33,1033,1032,1031,9,6,4,16,8,,0.00,6,Niebla,45
2011-3-21,15,8,0,2,-2,-7,87,51,23,1034,1033,1032,,,,19,6,,0.00,,,35
2011-3-22,17,10,3,1,-1,-3,75,49,27,1036,1034,1033,,,,26,14,,0.00,,,44
2011-3-23,18,11,4,5,2,0,81,53,34,1037,1036,1034,9,9,8,21,13,,0.00,,,40
2011-3-24,20,13,6,6,4,2,87,61,32,1034,1031,1026,8,8,8,16,8,,0.00,,,66
2011-3-25,21,12,4,7,4,1,93,64,31,1026,1020,1016,9,8,5,14,3,,0.00,,,227
2011-3-26,19,13,8,10,8,5,94,72,46,1016,1014,1012,10,9,4,16,5,,0.00,6,Lluvia,228
2011-3-27,17,13,9,11,9,8,100,84,55,1013,1011,1009,10,7,3,21,6,,0.00,6,Niebla-Lluvia,58
2011-3-28,17,12,7,8,5,3,87,64,42,1016,1014,1011,10,7,5,19,8,,0.00,6,,36
2011-3-29,17,11,5,10,7,2,100,80,59,1016,1014,1012,10,9,6,19,5,,0.00,5,Lluvia-Tormenta,144
2011-3-30,14,11,9,10,9,7,100,89,63,1017,1015,1013,10,10,7,26,13,,0.00,6,Lluvia,217
2011-3-31,16,13,10,13,12,9,100,90,72,1024,1019,1016,10,8,4,26,16,,0.00,6,Lluvia,228
2011-4-1,15,13,12,12,12,11,100,91,82,1025,1023,1020,10,10,6,21,14,,0.00,6,,203
2011-4-2,24,17,9,14,11,8,100,76,44,1020,1014,1011,9,7,4,23,6,,0.00,,Niebla,210
2011-4-3,15,12,9,10,8,7,94,80,67,1019,1015,1013,10,10,6,19,11,,0.00,5,Lluvia,315
2011-4-4,14,10,6,7,6,4,100,77,54,1027,1023,1019,10,10,10,16,8,,0.00,5,,265
2011-4-5,18,11,4,9,5,3,100,71,40,1028,1027,1026,10,10,10,23,8,,0.00,5,,219
2011-4-6,24,16,7,12,8,5,100,64,35,1029,1028,1026,10,10,10,13,5,,0.00,1,,135
2011-4-7,24,17,10,13,8,3,100,61,27,1028,1027,1026,10,10,10,21,6,,0.00,,Niebla,335
2011-4-8,21,14,9,11,8,7,94,66,43,1027,1026,1024,10,9,8,14,6,,0.00,4,,29
2011-4-9,22,16,9,10,7,5,82,59,38,1025,1022,1019,,,,21,13,,0.00,,,45
2011-4-10,25,17,9,10,6,4,76,51,29,1022,1021,1020,,,,14,8,,0.00,,,60
2011-4-11,22,16,9,11,9,7,100,72,40,1025,1023,1022,10,10,10,27,11,,0.00,5,,284
2011-4-12,14,10,7,9,3,-4,81,59,33,1030,1028,1025,10,10,10,24,19,,0.00,6,,325
2011-4-13,14,7,1,4,1,-3,93,62,33,1030,1025,1020,10,10,10,13,6,,0.00,6,,250
2011-4-14,16,12,8,3,1,-1,66,50,34,1020,1018,1017,10,10,10,13,5,,0.00,6,,73
2011-4-15,16,12,9,4,2,0,71,52,34,1020,1019,1018,10,10,10,19,10,,0.00,4,,52
2011-4-16,17,10,3,5,1,-2,93,53,29,1023,1021,1020,,,,19,5,,0.00,,,41
2011-4-17,18,11,5,3,1,-1,76,49,30,1024,1022,1020,,,,27,10,,0.00,,,44
2011-4-18,23,14,7,7,3,1,71,48,29,1021,1017,1013,,,,14,10,37,0.00,,,83
2011-4-19,24,17,9,9,6,3,82,51,27,1014,1013,1012,,,,13,3,,0.00,,,108
2011-4-20,25,17,9,9,7,4,87,53,27,1014,1013,1012,,,,16,5,,0.00,,,120
2011-4-21,23,17,10,7,4,2,71,46,25,1014,1012,1010,,,,16,6,,0.00,,,154
2011-4-22,25,18,10,8,6,3,76,50,28,1010,1009,1007,,,,16,5,,0.00,,,135
2011-4-23,26,19,12,11,9,7,88,58,30,1012,1010,1009,10,10,10,21,6,37,0.00,4,Lluvia-Tormenta,313
2011-4-24,24,18,12,12,10,6,88,60,35,1017,1015,1012,10,10,10,19,10,,0.00,3,Tormenta,150
2011-4-25,25,19,13,11,8,4,77,53,26,1019,1017,1016,10,9,7,26,13,,0.00,4,,17
2011-4-26,22,16,10,9,7,4,82,55,33,1020,1019,1018,9,8,7,23,16,,0.00,,,20
2011-4-27,19,14,11,9,7,4,88,62,43,1020,1019,1017,10,9,8,29,19,,0.00,6,,12
2011-4-28,12,10,9,10,8,5,94,84,67,1018,1015,1013,10,8,3,23,16,,0.00,6,Lluvia,352
2011-4-29,17,13,9,11,9,8,100,83,63,1012,1009,1006,10,7,4,16,6,,0.00,6,,26
2011-4-30,22,14,7,12,10,7,100,76,41,1006,1005,1003,10,7,2,24,6,,0.00,3,Niebla-Tormenta,54
2011-5-1,23,17,11,11,9,8,88,63,41,1006,1005,1004,10,10,10,21,10,,0.00,6,,75
2011-5-2,17,16,14,13,9,5,82,69,52,1007,1006,1004,10,10,10,24,13,,0.00,6,Lluvia,35
2011-5-3,17,11,6,6,2,0,70,53,37,1016,1011,1007,10,10,10,26,18,35,0.00,6,,42
2011-5-4,19,11,4,5,2,0,93,53,28,1021,1019,1016,,,,10,3,,0.00,,,121
2011-5-5,21,12,4,4,2,-1,87,50,25,1022,1020,1018,,,,16,6,,0.00,,,101
2011-5-6,26,17,8,9,5,2,76,46,26,1018,1017,1015,,,,14,5,,0.00,,,130
2011-5-7,27,21,15,10,8,7,67,46,32,1015,1013,1011,,,,23,11,,0.00,,,158
2011-5-8,23,19,15,13,10,6,82,55,45,1019,1016,1011,10,10,10,23,13,,0.00,4,,208
2011-5-9,26,18,10,12,9,7,88,58,30,1023,1022,1019,10,10,10,21,10,,0.00,1,,328
2011-5-10,25,20,15,12,11,9,77,56,39,1025,1024,1022,10,10,10,23,10,,0.00,6,,349
2011-5-11,24,18,13,9,6,3,63,46,29,1026,1024,1020,10,10,10,19,14,,0.00,6,,358
2011-5-12,19,14,11,8,6,3,76,54,35,1023,1021,1020,10,10,10,24,14,,0.00,2,,327
2011-5-13,21,13,5,7,4,0,93,54,25,1024,1021,1017,10,10,10,11,6,,0.00,1,,279
2011-5-14,18,14,11,8,4,0,77,54,30,1023,1019,1017,10,10,10,24,14,,0.00,4,,333
2011-5-15,17,13,9,9,5,3,77,61,39,1028,1025,1023,10,10,10,26,14,,0.00,4,Lluvia,312
2011-5-16,19,12,6,10,7,3,87,69,52,1028,1027,1024,10,10,10,19,10,35,0.00,5,,275
2011-5-17,23,16,9,10,8,7,94,64,36,1025,1023,1020,10,10,10,21,10,,0.00,4,,299
2011-5-18,26,18,10,11,8,6,87,54,29,1021,1017,1014,,,,19,6,,0.00,,,304
2011-5-19,25,18,12,12,11,8,88,63,34,1018,1017,1016,10,10,10,19,11,,0.00,6,,5
2011-5-20,23,18,13,13,11,7,94,65,43,1022,1019,1017,10,10,10,19,11,,0.00,5,,353
2011-5-21,25,17,9,14,8,4,76,54,38,1023,1021,1017,10,10,10,14,10,,0.00,5,Tormenta,109
2011-5-22,22,18,14,15,9,0,94,59,26,1025,1019,1015,10,10,10,26,13,,0.00,3,,274
2011-5-23,26,16,7,9,6,3,93,53,26,1026,1024,1020,,,,24,8,39,0.00,,,223
2011-5-24,20,16,12,10,4,1,82,49,28,1030,1026,1021,10,10,10,24,13,35,0.00,6,,322
2011-5-25,24,16,8,6,2,-1,71,41,19,1030,1024,1016,,,,16,8,,0.00,,,89
2011-5-26,19,16,13,10,6,3,77,53,35,1016,1014,1012,10,10,10,34,14,,0.00,6,,253
2011-5-27,17,13,11,9,7,3,88,62,45,1021,1018,1016,10,10,10,26,18,29,0.00,4,Lluvia,293
2011-5-28,22,13,5,8,4,-1,93,56,22,1021,1019,1016,10,10,10,21,10,,0.00,4,,257
2011-5-29,26,17,9,9,7,3,93,53,25,1018,1016,1014,,,,19,8,35,0.00,,,239
2011-5-30,28,20,13,14,11,8,88,55,28,1014,1012,1009,10,10,10,27,8,,0.00,3,Niebla-Lluvia,266
2011-5-31,19,16,12,13,6,-1,94,58,28,1027,1019,1012,10,10,7,27,19,42,0.00,5,Lluvia,322
2011-6-1,21,14,9,8,3,-1,87,47,25,1030,1028,1027,10,10,10,29,18,48,0.00,1,,4
2011-6-2,25,18,11,6,4,0,67,41,23,1029,1028,1026,,,,34,23,,0.00,,,29
2011-6-3,27,21,15,11,6,0,48,38,26,1027,1024,1019,,,,32,24,,0.00,,,44
2011-6-4,30,24,18,17,13,11,94,52,35,1019,1015,1010,10,9,3,39,16,61,0.00,4,Lluvia-Tormenta,46
2011-6-5,26,20,15,18,17,13,100,81,51,1010,1007,1004,10,9,2,23,10,,0.00,6,Lluvia-Tormenta,257
2011-6-6,18,17,16,16,14,12,100,86,73,1007,1005,1003,10,9,6,21,10,,0.00,6,Lluvia,250
2011-6-7,17,16,13,15,13,11,100,87,72,1007,1006,1004,10,8,3,19,8,,0.00,6,Lluvia-Tormenta,25
2011-6-8,19,16,12,11,7,2,94,58,32,1013,1010,1007,10,10,10,26,11,,0.00,5,,277
2011-6-9,19,14,11,8,6,2,77,57,32,1017,1015,1013,10,10,10,16,8,,0.00,5,Lluvia,278
2011-6-10,18,14,10,11,9,7,94,73,49,1017,1016,1014,10,10,10,27,8,,0.00,5,Lluvia,228
2011-6-11,18,13,8,9,6,2,94,64,37,1020,1018,1016,10,10,10,21,10,,0.00,4,,264
2011-6-12,20,13,7,12,7,3,94,65,33,1020,1018,1016,10,10,10,19,6,,0.00,7,Lluvia,207
2011-6-13,24,18,13,17,14,11,100,80,57,1018,1016,1015,10,9,6,19,11,,0.00,6,Lluvia,214
2011-6-14,24,20,16,17,16,13,100,80,53,1020,1019,1018,10,10,3,16,6,,0.00,6,Lluvia,271
2011-6-15,24,19,15,16,13,11,94,69,50,1019,1018,1016,10,10,10,24,10,,0.00,4,,241
2011-6-16,22,18,14,15,11,5,88,64,35,1017,1015,1013,10,10,10,35,16,45,0.00,6,,248
2011-6-17,18,14,11,13,10,8,94,73,56,1017,1011,1003,10,10,5,34,10,53,0.00,6,Lluvia,194
2011-6-18,20,16,11,13,9,7,88,71,43,1012,1008,1004,10,10,10,40,24,66,0.00,4,Lluvia-Tormenta,237
2011-6-19,19,14,11,10,8,6,94,67,45,1018,1015,1012,10,10,10,27,18,,0.00,4,,247
2011-6-20,21,17,13,17,14,9,100,83,67,1018,1015,1014,10,9,3,29,14,,0.00,6,Lluvia,220
2011-6-21,22,18,15,17,16,14,100,84,69,1016,1015,1014,10,9,3,19,11,,0.00,6,Lluvia,225
2011-6-22,22,17,13,16,12,7,94,72,40,1017,1014,1013,10,9,3,34,14,53,0.00,5,Lluvia-Tormenta,244
2011-6-23,20,17,12,11,9,5,88,65,40,1022,1019,1017,10,10,10,27,14,,0.00,5,,272
2011-6-24,21,14,8,11,7,3,94,62,33,1026,1024,1022,10,10,10,21,10,,0.00,6,,289
2011-6-25,26,20,15,15,12,6,73,58,47,1026,1025,1024,10,10,10,21,10,37,0.00,5,,270
2011-6-26,29,22,15,17,16,13,100,67,37,1025,1022,1018,10,10,10,21,6,,0.00,1,Niebla,91
2011-6-27,36,26,16,20,16,12,94,57,28,1018,1015,1013,10,10,10,19,8,,0.00,6,,131
2011-6-28,33,27,19,21,19,16,88,66,41,1016,1013,1012,10,10,8,39,11,71,0.00,6,Lluvia-Tormenta,296
2011-6-29,23,19,15,16,11,4,88,63,35,1024,1021,1017,10,10,10,26,19,39,0.00,5,,317
2011-6-30,22,16,9,11,7,3,94,55,31,1025,1024,1023,10,10,10,23,13,,0.00,2,,310
2011-7-1,22,16,11,12,7,4,88,55,33,1025,1024,1022,10,10,10,19,11,32,0.00,6,,359
2011-7-2,20,16,11,9,6,3,82,51,33,1022,1019,1017,10,10,10,23,14,,0.00,1,,47
2011-7-3,23,17,10,8,6,3,76,50,31,1017,1016,1014,,,,23,14,58,0.00,,,40
2011-7-4,26,19,12,11,9,7,82,53,30,1016,1015,1014,,,,16,11,,0.00,,,50
2011-7-5,30,21,13,14,10,6,88,51,22,1015,1013,1009,10,10,10,37,8,,0.00,6,Lluvia,232
2011-7-6,24,19,15,15,11,6,88,64,34,1011,1010,1009,10,10,10,32,16,45,0.00,4,Lluvia,238
2011-7-7,23,17,12,12,9,7,77,60,38,1011,1009,1007,10,10,10,26,13,,0.00,4,Lluvia,213
2011-7-8,23,18,13,12,10,8,88,60,38,1011,1011,1008,10,10,10,32,18,48,0.00,5,,209
2011-7-9,21,18,15,14,11,8,88,65,46,1018,1015,1010,10,10,10,27,13,,0.00,6,Lluvia,256
2011-7-10,23,17,12,13,11,10,88,65,47,1019,1018,1017,10,10,10,14,5,,0.00,5,,303
2011-7-11,27,20,14,12,11,8,72,53,34,1020,1019,1016,10,10,10,19,11,,0.00,2,,44
2011-7-12,24,20,16,17,14,11,94,70,53,1016,1012,1010,10,9,6,24,14,,0.00,6,Lluvia-Tormenta,19
2011-7-13,19,17,14,15,12,8,94,74,52,1019,1014,1012,10,10,10,27,19,,0.00,6,Lluvia,355
2011-7-14,23,16,9,12,8,5,100,62,33,1021,1020,1019,10,10,10,23,13,,0.00,3,,297
2011-7-15,26,18,10,11,8,5,88,53,26,1021,1019,1016,10,10,10,21,8,39,0.00,1,,240
2011-7-16,20,18,16,17,13,8,94,71,49,1015,1008,1001,10,9,4,32,14,47,0.00,6,Lluvia,217
2011-7-17,19,16,13,15,12,8,100,80,49,1003,1002,1000,10,10,6,34,18,47,0.00,5,Lluvia,237
2011-7-18,19,16,13,12,10,6,94,71,43,1005,1004,1003,10,10,10,32,19,,0.00,6,Lluvia,231
2011-7-19,16,13,12,14,12,10,100,90,72,1009,1003,1001,10,9,4,23,10,,0.00,6,Lluvia,340
2011-7-20,19,14,11,13,12,10,100,83,63,1012,1011,1009,10,10,6,23,11,,0.00,5,Lluvia,245
2011-7-21,21,17,14,16,14,13,100,87,60,1012,1009,1006,10,9,2,16,10,,0.00,6,Lluvia,16
2011-7-22,21,18,15,14,13,10,94,77,56,1016,1014,1012,10,9,6,24,13,,0.00,5,Lluvia,359
2011-7-23,20,15,10,13,10,6,100,75,49,1016,1014,1012,10,10,6,26,8,,0.00,5,Lluvia,300
2011-7-24,22,16,11,11,9,7,94,65,38,1015,1013,1011,10,10,10,23,13,,0.00,6,,279
2011-7-25,24,19,15,15,12,6,94,69,33,1012,1010,1008,10,10,6,19,8,,0.00,6,Lluvia,306
2011-7-26,22,18,15,15,11,6,83,65,46,1016,1013,1010,10,10,10,23,10,,0.00,6,Lluvia,357
2011-7-27,19,16,13,14,13,11,94,77,64,1020,1019,1017,10,10,8,21,11,37,0.00,6,Lluvia,2
2011-7-28,22,18,15,17,14,13,94,82,57,1022,1020,1020,10,10,8,21,10,32,0.00,5,Lluvia,344
2011-7-29,23,18,13,15,14,12,94,80,57,1022,1021,1019,10,8,4,19,8,,0.00,5,Niebla,358
2011-7-30,23,18,13,12,10,7,94,64,38,1021,1020,1018,10,10,9,19,13,,0.00,2,,14
2011-7-31,25,17,9,12,10,7,94,64,34,1019,1017,1015,10,10,10,13,5,,0.00,3,Niebla,81
2011-8-1,26,18,11,13,11,9,94,59,36,1015,1014,1013,10,10,10,13,6,,0.00,1,,104
2011-8-2,28,20,12,16,13,10,94,61,35,1015,1014,1012,10,10,10,23,6,,0.00,6,,63
2011-8-3,27,22,18,18,17,14,94,75,48,1017,1015,1012,10,9,4,21,10,,0.00,5,Lluvia,245
2011-8-4,23,19,16,19,16,13,94,81,57,1017,1016,1013,10,9,3,24,11,,0.00,6,Lluvia,219
2011-8-5,25,21,17,21,18,16,100,88,61,1014,1013,1010,10,9,2,14,10,45,0.00,5,Lluvia-Tormenta,296
2011-8-6,21,18,15,17,16,13,100,85,64,1010,1006,1004,10,9,5,24,8,,0.00,6,Niebla-Lluvia,226
2011-8-7,21,16,12,14,12,9,100,77,46,1010,1008,1006,10,10,7,24,13,40,0.00,4,Lluvia,234
2011-8-8,21,17,13,14,12,10,100,78,49,1018,1010,1005,10,10,5,32,18,47,0.00,5,Lluvia,248
2011-8-9,19,16,12,13,9,6,94,69,43,1027,1022,1018,10,10,10,32,14,,0.00,4,,295
2011-8-10,23,16,8,11,9,7,100,67,36,1028,1025,1021,10,10,10,16,6,,0.00,4,,247
2011-8-11,26,19,12,12,9,6,94,59,29,1021,1017,1014,10,10,10,24,10,,0.00,3,,230
2011-8-12,25,21,17,16,15,12,88,72,50,1014,1013,1012,10,10,10,16,11,32,0.00,5,,273
2011-8-13,24,19,14,18,16,13,94,82,65,1013,1011,1008,10,10,10,23,10,,0.00,5,Lluvia,225
2011-8-14,22,19,17,18,16,13,100,79,60,1012,1009,1006,10,10,7,24,11,42,0.00,5,Lluvia,264
2011-8-15,24,18,12,14,11,8,100,62,36,1019,1016,1012,10,10,10,14,10,,0.00,3,,317
2011-8-16,27,21,16,14,12,9,82,59,34,1019,1018,1016,10,10,10,16,5,,0.00,3,,316
2011-8-17,26,20,15,17,15,12,88,70,54,1017,1015,1012,10,10,10,14,8,,0.00,3,,38
2011-8-18,25,21,17,20,18,16,94,81,69,1014,1012,1011,10,10,9,23,10,,0.00,5,Tormenta,254
2011-8-19,26,22,18,18,14,10,94,70,39,1021,1018,1013,10,9,6,16,11,26,0.00,4,,293
2011-8-20,30,22,14,19,15,12,94,66,40,1021,1019,1016,,,,13,5,,0.00,,,85
2011-8-21,32,27,22,21,19,15,94,66,36,1017,1015,1014,10,10,10,23,10,,0.00,6,Lluvia-Tormenta,220
2011-8-22,28,23,18,17,14,12,78,62,44,1018,1016,1012,10,10,10,34,16,,0.00,4,Lluvia,27
2011-8-23,26,22,18,18,16,16,88,73,54,1015,1013,1012,10,10,10,26,11,,0.00,4,,256
2011-8-24,23,19,15,16,13,10,94,68,44,1017,1016,1015,10,10,10,19,11,,0.00,4,,233
2011-8-25,25,20,16,14,12,11,82,61,41,1016,1012,1009,10,10,10,19,6,,0.00,3,,211
2011-8-26,20,17,13,17,14,9,100,84,64,1010,1006,1002,10,9,3,27,13,,0.00,6,Lluvia-Tormenta,197
