D;M;A;Max TemperatureC;Mean TemperatureC;Min TemperatureC;Dew PointC;MeanDew PointC;Min DewpointC;Max Humidity; Mean Humidity; Min Humidity; Max Sea Level PressurehPa; Mean Sea Level PressurehPa; Min Sea Level PressurehPa; Max VisibilityKm; Mean VisibilityKm; Min VisibilitykM; Max Wind SpeedKm/h; Mean Wind SpeedKm/h; Max Gust SpeedKm/h;Precipitationmm; CloudCover; Events;WindDirDegrees
8;2;2015;6;3;1;2;-1;-3;93;73;42;1035;1033;1030;19;12;10;32;16;48;0.00;5;Rain;341
9;2;2015;5;3;1;4;2;1;94;89;80;1034;1032;1031;11;6;3;19;13;;0.00;6;Rain;280
10;2;2015;6;4;3;4;3;2;100;91;77;1034;1032;1029;26;9;2;11;6;;0.00;7;Rain;17
11;2;2015;4;1;-1;2;1;-2;100;82;70;1030;1025;1022;19;10;3;16;8;;0.00;6;;119
12;2;2015;7;2;-3;1;-1;-4;100;84;54;1023;1021;1019;10;5;1;8;3;;0.00;1;Fog;167
13;2;2015;11;4;-2;3;1;-2;100;73;46;1020;1012;1006;26;10;3;26;14;;0.00;1;Rain;167
14;2;2015;10;8;5;6;4;2;93;80;61;1008;1006;1005;31;13;10;23;14;;2.03;5;Rain;140
15;2;2015;9;3;-2;4;2;-3;100;81;50;1019;1013;1008;24;9;3;14;6;;0.00;5;;64
16;2;2015;6;2;-2;3;1;-3;100;88;74;1022;1018;1016;6;4;1;14;6;;0.00;6;Fog;183
17;2;2015;7;4;-1;4;2;-1;100;86;67;1042;1032;1022;19;8;2;16;8;;0.25;6;Fog-Rain;268
18;2;2015;4;1;-2;2;-1;-3;94;91;80;1042;1039;1034;10;5;0;14;6;;0.00;2;Fog;188
19;2;2015;6;2;-1;1;0;-2;93;78;63;1035;1028;1019;10;7;5;32;16;;0.00;5;;203
20;2;2015;6;4;3;5;3;-1;93;86;67;1020;1009;997;18;10;5;35;24;40;7.11;7;Rain;198
21;2;2015;6;3;1;4;2;0;93;87;61;1005;1000;996;19;10;5;29;14;;1.02;5;Rain;248
22;2;2015;6;3;-1;2;0;-2;94;83;57;1012;1007;999;26;8;1;40;14;60;2.03;4;Fog-Rain;206
23;2;2015;10;6;2;5;2;-1;93;80;44;1000;995;993;31;13;5;43;29;61;3.05;5;Rain-Thunderstorm;219
24;2;2015;8;4;2;4;2;0;93;79;56;1016;1005;997;31;13;7;35;26;53;2.03;4;Rain-Snow;232
25;2;2015;6;3;1;4;2;0;100;88;75;1020;1016;1014;31;12;0;23;13;;2.03;6;Fog-Rain;200
26;2;2015;9;6;2;8;5;3;100;90;70;1020;1014;1008;26;7;0;29;14;48;4.06;6;Fog-Rain;194
27;2;2015;7;3;-1;4;1;-2;93;74;44;1023;1017;1010;26;14;5;29;18;;0.00;3;Rain;312
28;2;2015;9;4;-1;1;-1;-3;93;68;38;1022;1016;1006;31;15;10;37;18;55;0.00;4;;194
1;3;2015;10;8;5;7;4;1;93;72;53;1007;1003;998;31;13;3;42;31;77;2.03;4;Rain;226
2;3;2015;8;6;3;3;1;-3;87;67;40;1017;1007;999;31;13;2;37;27;58;2.03;3;Rain-Hail;258
3;3;2015;8;5;2;4;1;-1;87;76;59;1023;1017;1015;31;13;8;35;21;;1.02;3;Rain;235
4;3;2015;7;4;2;1;0;-1;87;72;52;1035;1027;1021;31;17;10;27;18;39;0.00;4;;274
5;3;2015;9;5;1;3;1;-1;93;75;43;1040;1038;1035;31;15;10;16;10;;0.00;2;;275
6;3;2015;9;5;1;4;2;-1;93;78;54;1038;1036;1033;19;12;3;19;11;;0.00;5;;214
7;3;2015;14;8;2;2;0;-3;87;57;22;1034;1029;1026;31;24;19;26;14;;0.00;;;200
8;3;2015;17;11;4;6;2;-2;87;55;22;1027;1024;1022;31;24;6;19;16;;0.00;4;;225
9;3;2015;12;9;7;7;6;5;93;83;63;1029;1027;1025;24;8;3;16;8;;0.00;6;Rain;199
10;3;2015;12;8;3;8;5;1;93;77;42;1032;1028;1025;27;10;2;19;11;;0.00;5;Rain;310
11;3;2015;10;4;-1;2;-1;-5;100;71;23;1033;1031;1029;31;8;0;11;6;;0.00;5;Fog;102
12;3;2015;12;6;-2;1;-1;-5;87;60;21;1032;1029;1025;31;23;10;18;8;;0.00;1;;107
13;3;2015;10;4;-1;1;-1;-3;93;67;36;1026;1024;1022;26;16;9;19;8;;0.00;1;;81
14;3;2015;7;3;-1;2;0;-2;93;76;53;1028;1027;1024;19;10;3;21;11;;0.25;6;Rain;53
15;3;2015;6;4;3;3;2;2;93;84;67;1028;1026;1024;13;7;3;14;10;;0.25;6;Rain;64
16;3;2015;10;5;0;4;2;0;100;79;51;1025;1023;1022;13;7;2;10;6;;0.00;3;Fog;84
17;3;2015;17;8;-1;7;3;-1;100;68;26;1025;1024;1023;11;7;3;11;5;;0.00;;Fog;65
18;3;2015;8;6;3;6;4;3;100;89;62;1030;1028;1024;6;2;0;21;10;;0.00;7;Fog;318
19;3;2015;7;6;4;5;4;4;93;88;77;1030;1029;1028;8;4;1;13;8;;0.00;7;Rain;17
20;3;2015;7;6;4;5;4;2;97;85;67;1029;1025;1021;3;2;2;14;5;;0.00;7;;32
21;3;2015;8;6;3;4;3;2;93;81;60;1023;1020;1019;31;9;2;29;14;;0.00;6;Rain;315
22;3;2015;7;4;2;2;1;-1;81;72;51;1026;1024;1021;31;13;10;23;16;;0.00;6;;61
23;3;2015;11;4;-2;2;0;-3;93;72;40;1022;1016;1012;19;11;6;13;6;;0.00;2;;243
24;3;2015;11;5;-1;5;2;-2;95;77;37;1013;1009;1007;18;7;2;11;5;;6.10;5;Rain;241
25;3;2015;6;4;3;5;4;1;100;88;78;1011;1008;1006;31;8;2;21;8;;2.03;6;Rain;316
26;3;2015;7;3;0;6;2;-1;94;87;65;1011;1008;1005;19;9;2;29;14;45;3.05;4;Fog-Rain;217
27;3;2015;11;6;2;3;1;-1;87;69;39;1024;1019;1011;31;15;10;27;19;;0.00;3;;266
28;3;2015;12;7;1;10;6;-1;94;84;66;1024;1016;1009;31;12;3;35;16;53;0.76;6;Rain;204
29;3;2015;11;10;8;10;7;5;94;82;65;1009;1002;995;31;11;3;55;34;80;9.91;6;Rain;244
30;3;2015;9;7;6;6;2;-2;87;65;36;1013;1006;998;31;13;8;40;27;60;0.25;3;Rain;273
31;3;2015;12;9;6;9;4;-2;94;65;28;1014;1004;996;31;13;3;55;43;84;0.00;5;Rain;272
1;4;2015;9;7;5;2;-1;-2;71;56;32;1022;1019;1014;31;15;10;40;32;66;0.00;4;Rain;283
2;4;2015;8;6;2;6;1;-3;100;69;35;1025;1019;1011;31;11;4;34;23;55;0.76;5;Rain;304
3;4;2015;8;4;0;4;1;-2;93;76;53;1025;1020;1016;27;16;10;18;8;;0.00;6;Rain;169
4;4;2015;8;6;3;5;2;0;95;81;49;1024;1019;1015;31;12;5;24;10;;1.02;5;Rain;39
5;4;2015;11;5;-1;1;-1;-4;93;68;31;1029;1026;1023;31;14;10;13;6;;0.00;2;;19
6;4;2015;10;4;-1;4;2;-2;93;74;55;1035;1030;1028;19;12;9;10;5;;0.00;6;;270
7;4;2015;13;6;-1;3;1;-1;93;68;33;1038;1036;1034;26;13;2;13;5;;0.00;1;Fog;259
8;4;2015;14;8;1;7;4;1;100;76;48;1035;1033;1031;27;9;2;14;5;;0.00;5;;60
9;4;2015;18;10;2;7;4;2;93;65;24;1031;1027;1024;11;6;2;10;5;;0.00;;Fog;20
10;4;2015;22;12;3;9;5;1;93;61;16;1025;1020;1016;31;8;3;13;3;;0.00;;;163
11;4;2015;13;9;5;10;6;3;94;71;48;1028;1020;1015;31;13;4;32;18;50;3.05;5;Rain;226
12;4;2015;16;10;4;7;4;0;93;65;31;1030;1028;1025;31;20;10;32;14;;0.00;2;;223
13;4;2015;13;10;7;5;3;1;87;63;39;1034;1031;1026;31;14;10;29;13;;0.00;4;Rain;301
14;4;2015;21;13;4;10;7;3;93;65;28;1031;1027;1022;26;15;10;29;11;45;0.00;2;;220
15;4;2015;24;16;8;11;7;3;87;54;21;1023;1018;1014;31;31;31;21;13;;0.00;;;245
16;4;2015;18;11;5;9;6;1;93;66;39;1017;1015;1013;31;13;5;19;10;;0.00;1;Rain;51
17;4;2015;14;10;6;4;2;-1;81;55;37;1023;1018;1014;10;10;10;26;14;;0.00;2;Rain;48
18;4;2015;14;8;1;4;1;-1;93;62;25;1028;1026;1024;31;19;10;26;13;;0.00;1;;56
19;4;2015;14;7;1;5;3;0;100;69;36;1026;1023;1021;31;18;9;16;8;;0.00;1;;30
20;4;2015;18;10;3;5;3;1;93;58;25;1029;1027;1022;31;20;14;18;6;;0.00;;;40
21;4;2015;19;12;4;7;5;3;93;64;26;1033;1031;1029;31;25;19;21;6;;0.00;;;10
22;4;2015;14;9;3;6;4;3;100;76;44;1033;1029;1024;31;14;3;21;11;;0.00;4;;32
23;4;2015;17;9;2;7;4;2;100;75;31;1025;1020;1016;27;7;0;11;5;;0.00;6;Fog;20
24;4;2015;22;13;3;11;6;3;93;61;25;1017;1013;1009;19;9;6;21;8;;0.00;1;Fog;227
25;4;2015;16;12;9;12;9;6;94;77;52;1011;1008;1007;31;12;6;21;13;;0.51;5;Rain;219
26;4;2015;15;12;10;12;11;9;100;87;64;1008;1007;1005;26;11;3;16;10;;4.06;5;Rain;261
27;4;2015;12;9;5;9;4;-1;100;69;34;1012;1008;1005;31;16;3;29;16;;0.00;5;Rain;6
28;4;2015;13;7;1;2;-2;-5;93;54;19;1021;1016;1012;31;19;10;29;13;47;0.00;2;Rain;264
29;4;2015;14;8;2;5;1;-1;81;57;34;1022;1017;1013;11;10;10;27;14;42;0.51;2;Rain;205
30;4;2015;13;9;6;7;4;1;93;72;38;1015;1013;1010;31;12;9;21;14;;2.03;3;Rain-Thunderstorm;225
1;5;2015;14;8;2;5;3;0;100;68;29;1012;1009;1007;31;14;10;14;6;;0.00;1;Fog;47
2;5;2015;15;10;4;5;4;2;87;61;33;1013;1011;1007;31;16;10;14;8;;0.00;3;;95
3;5;2015;17;14;11;15;11;-15;94;82;5;1008;1003;1000;31;13;3;26;11;;4.06;5;Rain;174
4;5;2015;20;16;11;14;11;9;95;76;41;1009;1006;998;31;11;4;19;11;;10.92;4;Rain;188
5;5;2015;21;17;13;16;11;3;94;71;35;1008;1000;994;31;10;2;45;21;69;3.05;3;Rain;205
6;5;2015;16;12;9;10;6;2;77;59;40;1014;1010;1009;31;15;8;40;24;66;3.05;3;Rain-Hail-Thunderstorm;223
7;5;2015;16;12;8;7;6;4;87;67;36;1020;1017;1014;31;14;10;27;19;;0.00;3;Rain;230
8;5;2015;19;14;8;10;7;4;87;62;29;1019;1015;1013;10;10;10;14;5;;0.25;1;Rain;156
9;5;2015;17;14;12;12;9;5;88;65;39;1023;1017;1014;31;11;6;37;23;58;0.00;3;Rain;243
10;5;2015;19;13;7;11;9;7;94;70;37;1028;1025;1023;31;13;7;21;11;;0.00;3;;205
11;5;2015;25;18;11;13;10;8;88;61;26;1025;1021;1019;31;31;31;21;10;;0.00;;;193
12;5;2015;19;14;10;12;8;4;88;59;28;1023;1019;1016;31;14;10;26;10;42;0.00;4;;296
13;5;2015;19;12;6;8;6;2;93;61;22;1024;1020;1015;31;22;10;19;10;;0.00;1;;289
14;5;2015;16;10;4;11;6;3;94;75;41;1017;1013;1010;31;14;6;14;8;32;3.05;5;Rain;66
15;5;2015;16;11;7;9;6;3;94;71;41;1023;1017;1011;26;14;8;23;13;;0.00;4;Rain;342
16;5;2015;16;11;5;13;8;3;100;82;60;1027;1024;1022;31;12;2;24;13;;0.51;5;Rain;251
17;5;2015;18;12;6;10;6;4;93;68;31;1027;1025;1021;26;14;9;19;6;;0.00;3;;242
18;5;2015;18;12;6;10;7;4;93;73;43;1021;1011;1005;31;15;8;32;13;42;0.51;3;Rain;218
19;5;2015;14;10;7;7;6;4;87;72;48;1010;1007;1005;31;13;5;37;23;63;0.76;3;Rain;227
20;5;2015;15;10;6;6;4;1;93;65;33;1022;1015;1010;31;13;10;26;14;;0.00;2;Rain;270
21;5;2015;18;12;6;8;5;2;93;61;28;1028;1025;1022;31;17;10;23;11;;0.00;2;;275
22;5;2015;19;13;7;9;7;6;87;63;34;1028;1026;1023;31;20;10;18;6;;0.00;2;;257
23;5;2015;18;14;10;12;10;-18;88;75;11;1024;1022;1021;26;13;5;19;6;;0.00;4;;332
24;5;2015;20;13;6;9;6;1;93;62;19;1023;1020;1018;31;16;10;13;5;;0.76;2;;326
25;5;2015;17;13;10;12;8;3;94;69;40;1019;1017;1016;31;10;3;29;11;;0.00;5;Rain;300
26;5;2015;18;12;6;7;4;2;100;59;27;1025;1022;1019;26;13;10;21;10;35;0.00;2;;327
27;5;2015;20;12;5;8;5;3;87;54;25;1026;1023;1018;10;10;10;23;6;;0.00;1;;234
28;5;2015;18;15;12;11;7;4;77;58;39;1019;1015;1014;31;16;10;34;16;45;0.00;5;Rain;240
29;5;2015;16;12;8;8;6;0;93;66;43;1015;1011;1008;31;16;3;32;18;;2.03;5;Rain;233
30;5;2015;16;11;7;8;5;3;93;66;34;1017;1014;1009;31;12;10;26;16;37;0.00;2;Rain;250
31;5;2015;17;12;7;14;9;4;94;77;53;1016;1011;1008;31;12;3;32;18;47;1.02;6;Rain;204
1;6;2015;16;12;8;11;6;3;94;64;35;1018;1015;1012;31;16;10;21;13;;0.00;3;Rain;232
2;6;2015;19;14;10;13;9;5;82;69;53;1014;1012;1010;31;17;10;37;24;58;0.00;6;Rain;213
3;6;2015;19;14;11;13;8;4;100;59;39;1027;1022;1014;31;14;3;32;19;;0.00;3;Rain;265
4;6;2015;23;15;7;11;9;6;94;60;28;1028;1026;1021;31;22;10;13;5;;0.00;1;;99
5;6;2015;32;22;11;19;13;9;94;63;21;1022;1017;1014;31;17;7;34;10;61;4.06;3;Rain-Thunderstorm;177
6;6;2015;19;16;11;17;8;1;94;59;25;1029;1024;1018;26;11;6;21;13;27;0.00;2;Rain;276
7;6;2015;20;13;6;9;6;-27;93;59;5;1031;1030;1028;31;18;10;21;8;;0.00;2;;332
8;6;2015;18;11;5;7;6;3;93;64;34;1032;1030;1028;31;17;10;26;14;;0.00;1;;26
9;6;2015;16;11;6;6;4;3;87;62;35;1031;1029;1027;31;13;10;26;18;;0.00;3;;37
10;6;2015;22;13;6;9;7;5;100;63;25;1029;1026;1023;31;20;10;21;11;35;0.00;1;;48
11;6;2015;24;17;9;12;9;6;82;55;29;1024;1019;1013;31;29;10;18;10;;0.00;1;;68
12;6;2015;29;21;13;17;13;10;82;59;32;1014;1010;1007;31;20;10;24;10;;0.00;1;;129
13;6;2015;22;18;14;15;11;7;88;60;28;1013;1011;1008;31;17;10;29;18;42;0.51;3;Rain;244
14;6;2015;23;16;9;13;10;7;94;64;32;1014;1012;1011;31;17;7;19;10;;0.00;1;;289
15;6;2015;19;15;11;12;8;4;94;66;30;1023;1019;1014;31;10;5;19;11;;0.00;6;Rain;26
16;6;2015;18;12;7;7;5;3;87;57;31;1026;1025;1023;10;10;10;18;11;;0.00;1;;38
17;6;2015;23;14;6;13;8;5;93;60;31;1027;1024;1019;31;12;10;23;8;;0.51;3;;218
18;6;2015;18;14;11;15;10;5;100;71;39;1021;1019;1017;31;14;5;26;18;42;0.00;5;Rain;302
19;6;2015;16;13;10;10;8;6;82;67;48;1022;1020;1019;31;15;10;23;10;;0.25;5;Rain;303
20;6;2015;17;13;9;12;9;6;100;73;42;1023;1021;1019;31;13;5;11;5;;0.25;3;Rain;346
21;6;2015;22;17;12;14;11;8;94;72;36;1020;1016;1015;31;12;6;32;13;;0.00;5;Rain;243
22;6;2015;14;12;10;12;10;7;100;85;65;1015;1010;1007;31;12;3;23;14;;21.08;6;Rain;251
23;6;2015;16;13;9;11;9;7;94;75;52;1021;1014;1009;31;13;10;26;14;;0.00;4;Rain;299
24;6;2015;21;16;10;11;9;8;94;66;33;1023;1022;1021;31;14;10;14;8;;0.00;5;;235
25;6;2015;24;18;12;14;11;9;94;60;32;1023;1022;1021;31;25;10;18;8;;0.00;1;;246
26;6;2015;27;21;14;17;13;11;94;62;31;1022;1019;1015;31;29;10;19;8;;0.00;1;Rain;211
27;6;2015;23;19;15;15;12;9;94;63;37;1022;1019;1015;31;14;10;23;14;;0.00;4;Rain;300
28;6;2015;25;18;10;13;11;9;94;62;29;1023;1021;1019;31;27;10;18;5;;0.00;1;Rain;199
29;6;2015;24;20;15;15;12;10;83;62;32;1024;1022;1019;31;12;10;18;10;27;0.00;3;;298
30;6;2015;28;20;11;15;12;8;100;57;19;1024;1021;1018;31;29;26;13;5;32;0.00;;;108
1;7;2015;34;25;16;17;13;10;72;45;21;1018;1016;1014;31;31;31;16;8;;0.00;;;127
2;7;2015;31;26;21;20;17;14;78;56;42;1022;1018;1015;27;18;9;24;11;;0.00;;;303
3;7;2015;31;24;17;20;17;14;94;61;35;1025;1023;1020;27;20;10;14;8;;0.00;1;;40
4;7;2015;33;27;21;20;18;16;78;56;29;1021;1019;1016;26;21;10;23;13;;0.00;1;;250
5;7;2015;27;21;16;16;14;12;88;65;39;1022;1018;1015;31;18;10;39;8;58;0.51;3;Rain-Thunderstorm;314
6;7;2015;26;19;12;13;11;9;88;55;29;1023;1021;1017;10;10;10;19;13;;0.00;2;;227
7;7;2015;26;21;16;14;12;11;77;55;31;1017;1011;1008;31;14;10;34;13;53;0.00;1;Rain;214
8;7;2015;19;16;13;13;11;8;82;69;52;1015;1012;1010;31;14;9;35;26;53;0.51;4;Rain;244
9;7;2015;19;14;11;15;9;4;100;65;31;1026;1021;1015;31;16;10;26;16;;0.00;3;Rain;313
10;7;2015;24;16;7;7;6;4;87;50;18;1026;1022;1017;31;31;31;13;6;;0.00;;;134
11;7;2015;29;21;13;12;9;7;67;43;19;1019;1016;1014;10;10;10;29;10;42;0.00;1;;258
12;7;2015;19;17;13;13;11;8;82;68;44;1020;1019;1018;31;13;6;26;18;;0.00;5;Rain;241
13;7;2015;18;17;14;18;14;12;100;84;66;1019;1017;1016;26;11;3;29;16;;1.02;6;Rain;239
14;7;2015;22;19;16;16;14;13;94;79;53;1021;1017;1016;31;12;2;26;19;;0.00;6;Rain;255
15;7;2015;22;18;13;18;16;12;94;82;68;1021;1019;1018;31;13;3;21;10;;0.00;5;Rain;231
16;7;2015;28;22;16;18;16;13;94;71;37;1020;1017;1012;31;12;5;13;6;;0.00;5;Rain;60
17;7;2015;29;24;20;17;16;15;83;58;36;1016;1013;1009;31;19;10;29;16;47;0.25;2;Rain;242
18;7;2015;24;19;14;17;12;8;88;61;26;1020;1017;1015;31;11;10;24;14;37;0.00;3;Rain;258
19;7;2015;22;18;14;16;14;12;95;78;47;1015;1012;1010;19;11;4;26;10;;0.51;5;Rain;236
20;7;2015;24;19;13;20;17;12;94;82;67;1014;1013;1012;19;9;3;23;11;;0.51;5;Rain;211
21;7;2015;25;22;19;19;16;11;94;69;47;1015;1014;1012;31;13;10;24;14;;0.00;4;;247
22;7;2015;24;20;17;14;11;9;68;51;30;1017;1016;1015;10;10;10;24;14;;0.00;4;;261
23;7;2015;23;18;13;13;11;8;88;60;31;1019;1017;1016;31;15;9;21;11;;0.00;2;;259
24;7;2015;26;19;13;15;11;9;82;58;28;1017;1011;1003;31;21;10;13;5;;0.00;2;Rain;78
25;7;2015;16;13;10;16;12;9;100;79;55;1018;1007;999;31;12;3;39;18;58;5.08;5;Rain;249
26;7;2015;20;14;9;13;10;7;94;77;35;1018;1011;1002;31;15;3;23;13;;3.05;4;Rain;194
27;7;2015;21;17;13;15;12;8;94;76;47;1006;1002;1000;31;15;5;37;24;55;0.25;5;Rain;235
28;7;2015;18;16;13;12;9;6;88;64;36;1009;1007;1005;31;16;6;37;26;50;1.02;3;Rain;240
29;7;2015;20;16;11;9;7;4;82;59;29;1014;1010;1008;31;19;10;35;23;55;0.00;2;Rain;259
30;7;2015;18;14;11;12;9;7;94;76;55;1021;1016;1014;31;14;5;26;10;;3.05;3;Rain;276
31;7;2015;21;13;6;9;7;5;100;64;27;1022;1019;1016;31;12;6;14;5;29;0.00;2;Fog;77
1;8;2015;24;16;7;9;7;5;87;55;24;1019;1016;1015;31;31;31;14;5;;0.00;;;7
2;8;2015;27;18;9;11;8;6;94;53;17;1021;1019;1016;31;22;14;11;3;;0.00;;;132
3;8;2015;33;24;16;17;11;8;88;43;13;1016;1013;1012;31;31;31;24;13;;0.00;;;187
4;8;2015;22;19;15;17;13;6;100;71;26;1019;1014;1009;31;14;5;26;11;;0.76;4;Rain-Thunderstorm;283
5;8;2015;28;19;11;13;10;7;77;51;23;1019;1016;1012;31;31;31;18;10;;0.00;;;160
6;8;2015;29;22;15;16;13;11;88;56;23;1017;1014;1012;31;31;31;23;10;;0.00;;;233
7;8;2015;28;21;13;17;14;12;94;68;35;1019;1017;1016;31;17;10;21;6;;0.25;3;Rain;351
8;8;2015;26;21;16;16;14;12;94;67;37;1024;1022;1019;31;11;3;16;8;;0.00;3;;355
9;8;2015;23;17;11;15;13;11;96;71;39;1024;1021;1019;26;13;10;10;3;;0.00;2;Fog-Rain;10
10;8;2015;27;20;14;16;13;10;94;65;28;1021;1018;1017;31;25;18;16;6;;0.00;;;288
11;8;2015;26;20;14;17;16;14;94;74;43;1021;1019;1017;31;12;3;19;6;;0.00;3;;334
12;8;2015;28;22;17;17;16;14;94;68;37;1023;1021;1020;31;12;5;21;8;32;0.00;3;;40
13;8;2015;32;24;17;19;17;16;100;75;32;1021;1014;1009;26;8;2;34;11;61;0.25;5;Fog-Rain-Thunderstorm;69
14;8;2015;24;21;18;19;17;15;94;77;53;1010;1008;1006;31;13;8;21;10;;16.00;3;Rain-Thunderstorm;178
15;8;2015;19;17;15;17;14;13;88;84;73;1015;1009;1006;31;12;5;21;11;;7.11;5;Rain;283
16;8;2015;21;17;12;14;11;8;88;68;39;1017;1016;1015;31;10;6;21;10;34;0.00;2;;343
17;8;2015;16;14;12;13;11;8;100;79;55;1017;1015;1014;31;14;5;21;6;;0.25;6;Rain;303
18;8;2015;18;15;12;13;11;8;100;75;51;1018;1015;1013;31;12;5;23;14;40;0.51;4;Rain;242
19;8;2015;23;18;13;11;10;8;88;60;31;1021;1020;1018;31;25;10;14;11;;0.00;2;;189
20;8;2015;24;19;14;15;12;9;88;61;34;1024;1022;1021;31;14;10;19;10;;0.00;1;Rain;189
21;8;2015;27;20;13;15;14;12;94;65;31;1024;1023;1021;31;19;9;11;6;;0.00;1;;159
22;8;2015;28;22;17;14;12;9;77;50;22;1021;1017;1012;31;31;31;14;10;;0.00;;;122
23;8;2015;27;21;14;17;12;9;94;63;27;1013;1006;1003;31;19;9;26;13;48;3.05;4;Rain;138
