KST,Temperatura m‡ximaC,Temperatura mediaC,Temperatura m’nimaC,Punto de roc’oC,MeanDew PointC,Min DewpointC,Max Humedad,Mean Humedad,Min Humedad,Max Presi—n al nivel del marhPa,Mean Presi—n al nivel del marhPa,Min Presi—n al nivel del marhPa,Max VisibilidadKm,Mean VisibilidadKm,Min VisibilidadkM,Max Velocidad del vientoKm/h,Mean Velocidad del vientoKm/h,Max Velocidad de r‡fagasKm/h,Precipitaci—nmm,CloudCover,Eventos,WindDirDegrees<br>
19/09/2014,27,20,14,13,10,3,88,59,21,1017,1014,1011,10,9,6,13,5,,0.00,1,,342<br>
20/09/2014,28,21,14,12,9,1,82,56,17,1015,1014,1012,10,10,10,14,5,,0.00,1,,299<br>
21/09/2014,26,21,16,13,12,6,82,61,28,1018,1016,1015,10,9,6,10,5,,0.00,5,,233<br>
22/09/2014,27,20,13,13,11,6,88,58,28,1020,1018,1016,10,7,4,11,6,,0.00,1,,9<br>
23/09/2014,28,22,17,12,9,4,72,47,21,1019,1017,1014,10,10,10,16,8,,0.00,7,,94<br>
24/09/2014,24,21,18,16,14,12,83,66,47,1013,1010,1007,10,9,6,16,10,,0.00,7,Lluvia,32<br>
25/09/2014,27,22,17,17,14,11,88,66,37,1015,1012,1010,10,9,6,16,5,,0.00,3,,313<br>
26/09/2014,24,20,17,17,15,13,94,75,50,1017,1015,1014,10,6,2,23,8,45,0.00,6,Lluvia,148<br>
27/09/2014,24,19,15,17,16,14,94,77,57,1017,1016,1015,10,8,3,16,5,,0.00,4,,237<br>
28/09/2014,25,21,18,18,17,16,94,78,57,1017,1016,1014,10,5,2,10,5,,0.00,7,Lluvia,200<br>
29/09/2014,20,18,17,18,17,15,94,87,83,1014,1013,1012,4,3,1,11,6,,0.00,7,Niebla-Lluvia,9<br>
30/09/2014,23,18,13,15,12,0,94,72,28,1018,1016,1014,10,5,0,19,8,,0.00,3,Niebla,33<br>
1/10/2014,24,19,15,14,10,8,73,58,44,1019,1017,1015,10,10,8,14,11,,0.00,4,,132<br>
2/10/2014,21,18,15,16,14,12,88,79,68,1014,1010,1007,10,6,3,19,10,,0.00,7,Lluvia,205<br>
3/10/2014,20,17,12,12,9,6,77,62,46,1016,1012,1008,10,10,10,19,13,,0.00,4,,293<br>
4/10/2014,23,17,10,10,6,4,87,55,29,1022,1019,1016,10,10,10,21,11,,0.00,1,,54<br>
5/10/2014,22,16,10,8,4,2,82,46,27,1022,1019,1016,10,10,10,19,13,,0.00,1,,44<br>
6/10/2014,21,14,9,9,5,0,82,55,27,1021,1018,1017,10,10,10,16,8,,0.00,2,,339<br>
7/10/2014,22,16,10,11,8,3,88,64,35,1023,1022,1021,10,9,8,19,6,,0.00,2,,292<br>
8/10/2014,22,14,8,9,7,2,93,63,28,1024,1022,1020,9,7,5,11,5,,0.00,,,334<br>
9/10/2014,24,17,10,12,8,3,87,64,25,1022,1021,1019,9,6,4,13,5,,0.00,1,,334<br>
10/10/2014,26,18,10,12,9,7,94,68,34,1023,1021,1020,8,2,0,23,8,,0.00,3,Niebla,14<br>
11/10/2014,25,18,11,10,7,5,82,52,28,1024,1023,1021,8,8,7,23,11,,0.00,,,61<br>
12/10/2014,29,20,11,10,8,1,88,57,18,1022,1019,1014,9,7,6,14,8,,0.00,,,344<br>
13/10/2014,22,16,11,10,6,2,67,47,31,1016,1013,1011,10,10,10,32,14,,0.00,3,,30<br>
14/10/2014,18,12,6,5,1,-5,76,49,21,1019,1017,1016,0,0,0,14,8,,0.00,,,340<br>
15/10/2014,18,12,7,8,4,-2,93,63,26,1019,1018,1016,10,9,2,19,5,,0.00,2,,297<br>
16/10/2014,18,13,8,9,0,-15,82,48,10,1022,1017,1014,10,8,4,32,14,,0.00,5,Lluvia-Tormenta,245<br>
17/10/2014,19,11,3,5,1,-3,81,52,26,1024,1023,1021,10,10,10,13,5,34,0.00,3,,247<br>
18/10/2014,21,13,7,10,7,4,87,63,37,1025,1024,1022,8,5,4,13,6,,0.00,,,215<br>
19/10/2014,22,14,7,11,6,0,94,64,23,1024,1022,1020,9,5,0,13,5,,0.00,4,Niebla,329<br>
20/10/2014,16,14,13,13,12,9,88,84,67,1020,1017,1015,8,4,1,11,6,,0.00,8,Lluvia,63<br>
21/10/2014,16,13,12,13,11,8,88,82,72,1018,1017,1015,10,7,2,21,8,,0.00,8,Lluvia,36<br>
22/10/2014,18,13,8,7,6,4,87,63,45,1022,1020,1018,10,10,10,16,10,,0.00,3,,40<br>
23/10/2014,20,13,7,8,6,2,87,65,33,1023,1021,1019,10,8,5,10,6,,0.00,1,,249<br>
24/10/2014,20,14,9,10,9,7,87,71,49,1021,1020,1019,10,6,3,13,8,,0.00,2,,170<br>
25/10/2014,21,16,10,12,11,9,94,76,46,1021,1020,1019,10,5,3,13,8,,0.00,3,,183<br>
26/10/2014,19,14,11,15,11,1,94,76,50,1020,1018,1016,10,6,1,23,11,,0.00,4,,199<br>
27/10/2014,16,10,4,0,-7,-11,54,33,16,1025,1023,1020,0,0,0,16,14,,0.00,,,328<br>
28/10/2014,17,8,0,2,-4,-11,81,48,14,1028,1026,1025,0,0,0,11,5,,0.00,,,342<br>
29/10/2014,20,11,3,5,1,-7,87,57,16,1028,1026,1025,8,6,5,10,5,,0.00,,,315<br>
30/10/2014,19,12,6,4,3,-2,87,59,24,1026,1024,1022,6,4,3,10,5,,0.00,,,327<br>
31/10/2014,18,14,11,8,6,1,82,57,34,1023,1019,1015,10,7,3,24,8,,0.00,7,Lluvia,64<br>
1/11/2014,21,17,14,9,8,5,72,57,43,1015,1013,1012,10,9,6,14,8,,0.00,6,,297<br>
2/11/2014,15,11,8,9,-1,-13,77,44,18,1017,1012,1009,10,7,1,35,16,,0.00,5,Lluvia,300<br>
3/11/2014,14,8,2,0,-7,-13,61,34,19,1020,1019,1017,10,10,10,26,14,,0.00,1,,294<br>
4/11/2014,17,9,2,3,1,-2,87,59,31,1023,1022,1021,8,8,8,13,5,,0.00,,,231<br>
5/11/2014,17,10,3,7,4,1,87,65,37,1022,1021,1019,10,9,5,14,5,,0.00,4,,214<br>
6/11/2014,17,12,7,10,4,-5,77,58,37,1023,1020,1019,10,6,4,19,10,,0.00,5,,310<br>
7/11/2014,15,8,2,0,-2,-5,75,51,27,1027,1025,1023,0,0,0,11,5,,0.00,,,307<br>
8/11/2014,13,8,4,2,1,-2,81,62,38,1027,1025,1023,10,8,7,13,6,,0.00,6,,334<br>
9/11/2014,14,9,4,2,-3,-11,71,46,18,1025,1024,1022,9,9,8,21,6,,0.00,,,330<br>
10/11/2014,15,8,0,2,-2,-11,87,58,16,1025,1023,1021,9,7,4,13,5,,0.00,,,330<br>
11/11/2014,13,7,1,7,2,-1,93,69,41,1021,1017,1012,6,4,1,14,5,,0.00,5,Lluvia,288<br>
12/11/2014,11,6,-1,7,-4,-20,82,48,23,1021,1013,1010,10,8,1,39,21,60,0.00,4,Lluvia,296<br>
13/11/2014,4,0,-3,-10,-15,-18,59,32,22,1025,1024,1022,10,10,10,27,18,,0.00,1,,316<br>
14/11/2014,10,3,-3,0,-6,-11,86,55,25,1028,1025,1024,10,10,6,16,5,,0.00,3,Nieve,294<br>
15/11/2014,8,2,-3,-5,-9,-18,74,46,14,1031,1029,1028,0,0,0,16,6,,0.00,,,325<br>
16/11/2014,11,6,1,1,-6,-10,70,43,22,1029,1026,1023,10,10,9,19,5,,0.00,7,Lluvia,344<br>
17/11/2014,9,6,2,4,-1,-3,87,69,43,1027,1024,1023,10,7,1,23,10,,0.00,3,Niebla-Lluvia,308<br>
18/11/2014,9,3,-2,-1,-6,-13,86,56,20,1029,1028,1027,9,8,6,14,5,,0.00,,,327<br>
19/11/2014,11,3,-4,-2,-6,-11,86,59,21,1030,1028,1026,9,6,4,10,3,,0.00,6,,348<br>
20/11/2014,13,7,0,0,-2,-3,81,62,33,1026,1025,1024,10,5,3,14,5,,0.00,3,,293<br>
21/11/2014,16,10,5,6,2,-1,70,57,36,1024,1023,1021,10,7,5,21,11,35,0.00,5,,183<br>
22/11/2014,12,8,5,9,7,3,93,81,71,1026,1024,1022,5,3,0,16,8,,0.00,6,Niebla-Lluvia,211<br>
23/11/2014,11,8,5,5,4,4,93,82,62,1028,1026,1024,3,1,0,14,8,,0.00,7,Niebla,345<br>
24/11/2014,12,9,6,4,2,-2,87,66,41,1024,1021,1018,8,5,2,11,8,,0.00,7,,330<br>
25/11/2014,15,9,3,2,-1,-2,75,54,33,1019,1018,1017,10,9,6,23,11,,0.00,5,,42<br>
26/11/2014,15,10,6,3,0,-2,81,52,33,1021,1018,1017,10,9,4,16,10,,0.00,4,,69<br>
27/11/2014,16,9,3,6,4,1,93,74,45,1024,1022,1021,6,4,2,11,5,,0.00,3,,313<br>
28/11/2014,11,7,4,8,5,2,93,81,54,1021,1014,1010,8,4,2,23,10,,0.00,7,Lluvia,88<br>
29/11/2014,12,6,0,5,2,-1,93,80,54,1023,1021,1017,10,6,1,11,5,,0.00,2,Niebla,341<br>
30/11/2014,10,8,5,7,6,3,93,85,76,1019,1013,1009,10,5,3,14,8,,0.00,8,Lluvia,343<br>
1/12/2014,7,0,-6,4,-8,-17,86,59,37,1022,1015,1009,10,7,1,50,26,71,0.00,6,Lluvia-Nieve,315<br>
2/12/2014,-2,-6,-8,-11,-19,-27,55,36,14,1025,1023,1020,10,10,9,34,19,,0.00,2,Nieve,300<br>
3/12/2014,-1,-4,-8,-6,-10,-15,86,65,40,1022,1020,1019,10,9,1,26,10,,0.00,5,Nieve,335<br>
4/12/2014,-1,-4,-8,-9,-17,-25,69,40,19,1022,1021,1019,10,10,10,21,10,,0.00,2,,346<br>
5/12/2014,-3,-7,-10,-15,-19,-23,54,39,28,1023,1022,1020,10,10,10,23,16,,0.00,1,,329<br>
6/12/2014,0,-4,-9,-13,-16,-20,58,44,26,1027,1024,1023,10,10,10,23,8,,0.00,2,,315<br>
7/12/2014,1,-4,-8,-13,-16,-18,58,41,28,1028,1027,1026,10,10,10,10,5,,0.00,6,Nieve,29<br>
8/12/2014,2,-2,-6,-5,-13,-20,80,49,20,1035,1030,1026,10,6,3,21,10,,0.00,5,Nieve,329<br>
9/12/2014,2,-3,-8,-11,-16,-20,68,45,20,1037,1035,1033,0,0,0,13,6,,0.00,,,340<br>
10/12/2014,4,-1,-6,0,-7,-12,87,60,36,1033,1025,1020,9,6,1,11,6,,0.00,8,Lluvia,323<br>
11/12/2014,3,-2,-6,0,-9,-14,87,58,37,1026,1023,1019,10,7,3,27,13,,0.00,6,Lluvia,321<br>
12/12/2014,0,-3,-7,-6,-9,-16,86,66,30,1026,1023,1020,10,7,3,13,6,,0.00,6,Nieve,332<br>
13/12/2014,-2,-6,-9,-7,-16,-20,80,45,26,1028,1026,1024,10,9,6,23,11,,0.00,1,,315<br>
14/12/2014,0,-6,-11,-5,-12,-21,74,54,23,1031,1029,1028,10,8,3,13,5,,0.00,6,Nieve,177<br>
15/12/2014,3,0,-3,0,-3,-7,87,77,56,1029,1025,1018,8,5,2,23,8,,0.00,7,Lluvia-Nieve,135<br>
16/12/2014,2,-3,-8,0,-13,-20,87,52,31,1023,1019,1016,10,9,3,34,19,,0.00,3,,314<br>
17/12/2014,-5,-8,-11,-20,-22,-24,41,32,24,1030,1025,1023,10,10,10,40,24,63,0.00,2,,328<br>
18/12/2014,-4,-8,-12,-16,-23,-27,53,33,19,1036,1034,1030,0,0,0,19,11,,0.00,,,349<br>
19/12/2014,1,-4,-10,-4,-14,-18,70,45,27,1035,1028,1021,10,8,3,16,10,,0.00,7,Lluvia-Nieve,123<br>
20/12/2014,4,-1,-6,1,-8,-18,87,59,30,1027,1021,1016,10,7,3,26,18,,0.00,4,Lluvia-Nieve,283<br>
21/12/2014,-3,-7,-9,-11,-15,-23,68,52,22,1026,1024,1021,10,9,3,23,6,,0.00,4,Nieve,320<br>
22/12/2014,1,-6,-11,-7,-12,-17,74,60,41,1027,1024,1023,10,7,3,23,6,,0.00,4,Nieve,193<br>
23/12/2014,5,-2,-8,-4,-9,-13,74,59,39,1027,1025,1023,10,9,6,14,8,,0.00,6,,152<br>
24/12/2014,6,2,-4,0,-5,-12,87,61,35,1025,1022,1020,9,6,4,24,10,,0.00,5,Lluvia,263<br>
25/12/2014,2,-2,-6,-12,-14,-17,59,44,28,1030,1028,1026,0,0,0,23,11,,0.00,,,317<br>
26/12/2014,0,-5,-10,-12,-16,-20,59,42,21,1032,1031,1030,0,0,0,13,6,,0.00,,,333<br>
27/12/2014,2,-3,-8,-11,-13,-16,73,52,26,1032,1031,1029,9,8,6,11,6,,0.00,,,333<br>
28/12/2014,3,-2,-6,-5,-9,-13,74,58,38,1028,1023,1018,9,7,4,13,6,,0.00,6,,167<br>
29/12/2014,6,1,-4,-1,-4,-9,81,67,49,1017,1015,1013,5,3,1,13,6,,0.00,3,,209<br>
30/12/2014,5,0,-4,-2,-7,-12,87,64,29,1019,1016,1013,9,3,1,16,8,,0.00,3,,312<br>
31/12/2014,2,-2,-6,-7,-13,-24,74,48,22,1023,1018,1016,10,7,3,34,13,,0.00,5,Nieve,319<br>
1/01/2015,-4,-7,-10,-19,-22,-25,45,31,22,1026,1024,1023,10,10,10,34,21,,0.00,1,,321<br>
2/01/2015,-2,-6,-10,-14,-18,-23,63,41,19,1028,1026,1024,10,10,10,35,10,,0.00,5,,323<br>
3/01/2015,3,-4,-12,-6,-13,-19,73,51,27,1027,1024,1019,10,10,9,13,6,,0.00,6,,178<br>
4/01/2015,8,3,-5,-3,-5,-7,86,63,45,1020,1018,1016,10,7,1,13,8,,0.00,4,,167<br>
5/01/2015,9,2,-5,-1,-4,-7,87,69,34,1021,1017,1012,5,3,0,14,5,,0.00,6,Niebla-Lluvia,343<br>
6/01/2015,2,-3,-7,0,-13,-23,87,49,19,1022,1016,1011,10,4,1,34,19,,0.00,6,Lluvia,323<br>
7/01/2015,-2,-6,-8,-20,-23,-25,36,26,16,1025,1023,1021,0,0,0,23,13,,0.00,,,327<br>
8/01/2015,-1,-6,-11,-13,-18,-23,63,43,21,1028,1026,1025,0,0,0,16,6,,0.00,,,327<br>
9/01/2015,3,-3,-10,-8,-12,-16,80,60,30,1027,1025,1024,10,8,6,14,5,,0.00,2,,312<br>
10/01/2015,5,-2,-9,-5,-10,-16,80,59,22,1025,1024,1021,10,8,6,16,6,,0.00,1,,260<br>
11/01/2015,3,-1,-4,-3,-11,-16,80,49,28,1030,1023,1018,10,8,6,29,14,,0.00,3,,307<br>
12/01/2015,3,-3,-9,-14,-18,-23,58,36,13,1036,1034,1030,9,9,9,16,11,,0.00,,,327<br>
13/01/2015,6,-2,-9,-11,-14,-20,73,46,14,1037,1034,1032,9,7,6,11,5,,0.00,6,,344<br>
14/01/2015,4,1,-2,-9,-11,-15,59,42,24,1032,1028,1023,9,7,5,13,6,,0.00,7,,336<br>
15/01/2015,8,2,-4,-6,-9,-12,69,50,29,1024,1022,1021,9,6,5,14,8,,0.00,7,,315<br>
16/01/2015,4,0,-4,-2,-6,-10,87,65,45,1023,1020,1018,10,5,2,29,11,,0.00,6,Lluvia-Nieve,252<br>
17/01/2015,0,-4,-8,-12,-16,-20,53,40,23,1031,1028,1022,8,7,6,21,14,,0.00,3,,303<br>
18/01/2015,3,-3,-9,0,-8,-16,87,64,38,1030,1022,1015,10,6,1,26,10,50,0.00,7,Lluvia-Nieve,203<br>
19/01/2015,3,-1,-4,-2,-7,-11,81,61,48,1027,1022,1016,10,6,3,27,14,,0.00,4,Lluvia-Nieve,308<br>
20/01/2015,3,-3,-8,-8,-11,-13,79,59,30,1029,1028,1026,9,8,6,13,6,,0.00,,,334<br>
21/01/2015,5,0,-4,-6,-7,-9,74,60,39,1026,1023,1020,7,6,6,13,6,,0.00,7,,340<br>
22/01/2015,7,3,-1,-5,-6,-7,69,56,37,1020,1019,1018,10,8,6,14,10,,0.00,5,,332<br>
23/01/2015,5,-1,-6,-3,-6,-9,86,68,39,1023,1022,1021,10,5,1,14,6,,0.00,3,,258<br>
24/01/2015,7,3,-1,-3,-5,-7,80,59,39,1027,1025,1023,10,8,5,14,5,,0.00,5,,210<br>
25/01/2015,5,1,-2,1,-3,-6,87,73,45,1028,1024,1021,4,3,1,19,8,,0.00,7,Niebla-Lluvia,33<br>
26/01/2015,7,3,0,2,-1,-5,87,77,53,1022,1020,1019,10,4,0,21,10,,0.00,6,Niebla-Lluvia,331<br>
27/01/2015,1,-3,-7,-5,-14,-18,65,47,29,1028,1025,1022,8,5,4,23,16,,0.00,6,,323<br>
28/01/2015,1,-4,-9,-11,-17,-20,68,43,30,1031,1029,1028,9,9,8,16,11,,0.00,,,332<br>
