D,M,Max TemperatureC,Min TemperatureC,Max Humidity,Min Humidity,Max Sea Level PressurehPa,Min Sea Level PressurehPa,Max Wind SpeedKm/h,Max Gust SpeedKm/h,Precipitationmm,Events
23,4,17,2,100,31,1025,1016,11,0,0,1
24,4,22,3,93,25,1017,1009,21,0,0,1
25,4,16,9,94,52,1011,1007,21,0,51,6
26,4,15,10,100,64,1008,1005,16,0,406,6
27,4,12,5,100,34,1012,1005,29,0,0,6
28,4,13,1,93,19,1021,1012,29,47,0,6
29,4,14,2,81,34,1022,1013,27,42,51,6
30,4,13,6,93,38,1015,1010,21,0,203,10
1,5,14,2,100,29,1012,1007,14,0,0,1
2,5,15,4,87,33,1013,1007,14,0,0,0
3,5,17,11,94,5,1008,1000,26,0,406,6
4,5,20,11,95,41,1009,998,19,0,1092,6
5,5,21,13,94,35,1008,994,45,69,305,6
6,5,16,9,77,40,1014,1009,40,66,305,8
7,5,16,8,87,36,1020,1014,27,0,0,6
8,5,19,8,87,29,1019,1013,14,0,25,6
9,5,17,12,88,39,1023,1014,37,58,0,6
10,5,19,7,94,37,1028,1023,21,0,0,0
11,5,25,11,88,26,1025,1019,21,0,0,0
12,5,19,10,88,28,1023,1016,26,42,0,0
13,5,19,6,93,22,1024,1015,19,0,0,0
14,5,16,4,94,41,1017,1010,14,32,305,6
15,5,16,7,94,41,1023,1011,23,0,0,6
16,5,16,5,100,60,1027,1022,24,0,51,6
17,5,18,6,93,31,1027,1021,19,0,0,0
18,5,18,6,93,43,1021,1005,32,42,51,6
19,5,14,7,87,48,1010,1005,37,63,76,6
20,5,15,6,93,33,1022,1010,26,0,0,6
21,5,18,6,93,28,1028,1022,23,0,0,0
22,5,19,7,87,34,1028,1023,18,0,0,0
23,5,18,10,88,11,1024,1021,19,0,0,0
24,5,20,6,93,19,1023,1018,13,0,76,0
25,5,17,10,94,40,1019,1016,29,0,0,6
26,5,18,6,100,27,1025,1019,21,35,0,0
27,5,20,5,87,25,1026,1018,23,0,0,0
28,5,18,12,77,39,1019,1014,34,45,0,6
29,5,16,8,93,43,1015,1008,32,0,203,6
30,5,16,7,93,34,1017,1009,26,37,0,6
31,5,17,7,94,53,1016,1008,32,47,102,6
1,6,16,8,94,35,1018,1012,21,0,0,6
2,6,19,10,82,53,1014,1010,37,58,0,6
3,6,19,11,100,39,1027,1014,32,0,0,6
4,6,23,7,94,28,1028,1021,13,0,0,0
5,6,32,11,94,21,1022,1014,34,61,406,10
6,6,19,11,94,25,1029,1018,21,27,0,6
7,6,20,6,93,5,1031,1028,21,0,0,0
8,6,18,5,93,34,1032,1028,26,0,0,0
9,6,16,6,87,35,1031,1027,26,0,0,0
10,6,22,6,100,25,1029,1023,21,35,0,0
11,6,24,9,82,29,1024,1013,18,0,0,0
12,6,29,13,82,32,1014,1007,24,0,0,0
13,6,22,14,88,28,1013,1008,29,42,51,6
14,6,23,9,94,32,1014,1011,19,0,0,0
15,6,19,11,94,30,1023,1014,19,0,0,6
16,6,18,7,87,31,1026,1023,18,0,0,0
17,6,23,6,93,31,1027,1019,23,0,51,0
18,6,18,11,100,39,1021,1017,26,42,0,6
19,6,16,10,82,48,1022,1019,23,0,25,6
20,6,17,9,100,42,1023,1019,11,0,25,6
21,6,22,12,94,36,1020,1015,32,0,0,6
22,6,14,10,100,65,1015,1007,23,0,2108,6
23,6,16,9,94,52,1021,1009,26,0,0,6
24,6,21,10,94,33,1023,1021,14,0,0,0
25,6,24,12,94,32,1023,1021,18,0,0,0
26,6,27,14,94,31,1022,1015,19,0,0,6
27,6,23,15,94,37,1022,1015,23,0,0,6
28,6,25,10,94,29,1023,1019,18,0,0,6
29,6,24,15,83,32,1024,1019,18,27,0,0
30,6,28,11,100,19,1024,1018,13,32,0,0
1,7,34,16,72,21,1018,1014,16,0,0,0
2,7,31,21,78,42,1022,1015,24,0,0,0
3,7,31,17,94,35,1025,1020,14,0,0,0
4,7,33,21,78,29,1021,1016,23,0,0,0
5,7,27,16,88,39,1022,1015,39,58,51,10
6,7,26,12,88,29,1023,1017,19,0,0,0
7,7,26,16,77,31,1017,1008,34,53,0,6
8,7,19,13,82,52,1015,1010,35,53,51,6
9,7,19,11,100,31,1026,1015,26,0,0,6
10,7,24,7,87,18,1026,1017,13,0,0,0
11,7,29,13,67,19,1019,1014,29,42,0,0
12,7,19,13,82,44,1020,1018,26,0,0,6
13,7,18,14,100,66,1019,1016,29,0,102,6
14,7,22,16,94,53,1021,1016,26,0,0,6
15,7,22,13,94,68,1021,1018,21,0,0,6
16,7,28,16,94,37,1020,1012,13,0,0,6
17,7,29,20,83,36,1016,1009,29,47,25,6
18,7,24,14,88,26,1020,1015,24,37,0,6
19,7,22,14,95,47,1015,1010,26,0,51,6
20,7,24,13,94,67,1014,1012,23,0,51,6
21,7,25,19,94,47,1015,1012,24,0,0,0
22,7,24,17,68,30,1017,1015,24,0,0,0
23,7,23,13,88,31,1019,1016,21,0,0,0
24,7,26,13,82,28,1017,1003,13,0,0,6
25,7,16,10,100,55,1018,999,39,58,508,6
26,7,20,9,94,35,1018,1002,23,0,305,6
27,7,21,13,94,47,1006,1000,37,55,25,6
28,7,18,13,88,36,1009,1005,37,50,102,6
29,7,20,11,82,29,1014,1008,35,55,0,6
30,7,18,11,94,55,1021,1014,26,0,305,6
31,7,21,6,100,27,1022,1016,14,29,0,1
1,8,24,7,87,24,1019,1015,14,0,0,0
2,8,27,9,94,17,1021,1016,11,0,0,0
3,8,33,16,88,13,1016,1012,24,0,0,0
4,8,22,15,100,26,1019,1009,26,0,76,10
5,8,28,11,77,23,1019,1012,18,0,0,0
6,8,29,15,88,23,1017,1012,23,0,0,0
7,8,28,13,94,35,1019,1016,21,0,25,6
8,8,26,16,94,37,1024,1019,16,0,0,0
9,8,23,11,96,39,1024,1019,10,0,0,2
10,8,27,14,94,28,1021,1017,16,0,0,0
11,8,26,14,94,43,1021,1017,19,0,0,0
12,8,28,17,94,37,1023,1020,21,32,0,0
13,8,32,17,100,32,1021,1009,34,61,25,4
14,8,24,18,94,53,1010,1006,21,0,1600,10
15,8,19,15,88,73,1015,1006,21,0,711,6
16,8,21,12,88,39,1017,1015,21,34,0,0
17,8,16,12,100,55,1017,1014,21,0,25,6
18,8,18,12,100,51,1018,1013,23,40,51,6
19,8,23,13,88,31,1021,1018,14,0,0,0
20,8,24,14,88,34,1024,1021,19,0,0,6
21,8,27,13,94,31,1024,1021,11,0,0,0
22,8,28,17,77,22,1021,1012,14,0,0,0
23,8,27,14,94,27,1013,1003,26,48,305,6
24,8,22,13,95,57,1005,998,35,53,711,2
25,8,20,14,94,41,1015,1002,32,52,0,6
26,8,26,16,94,38,1013,1005,29,47,102,6
27,8,17,13,94,70,1013,1007,23,0,991,6
28,8,21,11,94,44,1021,1013,14,0,0,0
29,8,24,10,94,50,1023,1018,10,0,0,0
30,8,30,16,94,55,1018,1014,16,0,0,10
31,8,30,18,94,35,1014,1009,45,66,203,6
1,9,18,11,94,57,1019,1011,23,0,305,6
2,9,19,10,94,47,1019,1016,14,0,0,6
3,9,17,10,94,50,1017,1014,23,42,102,10
4,9,15,11,94,57,1016,1015,26,0,0,6
5,9,16,11,88,54,1022,1016,26,0,305,6
6,9,16,9,93,40,1028,1022,23,0,0,6
7,9,18,11,94,53,1029,1026,21,0,0,6
8,9,17,12,94,57,1029,1024,13,0,0,6
9,9,20,9,100,38,1025,1021,21,0,0,1
10,9,20,7,93,31,1023,1020,23,0,0,0
11,9,21,6,93,29,1020,1014,11,26,0,1
12,9,21,13,94,45,1014,1010,26,0,203,6
13,9,20,10,94,68,1013,1001,24,0,305,2
14,9,18,11,100,58,1004,998,26,0,610,4
15,9,17,9,88,42,1004,1001,40,63,0,6
16,9,19,12,94,63,1002,989,32,0,508,6
17,9,15,12,94,67,1010,991,45,64,610,6
18,9,18,10,94,57,1016,1010,26,0,25,6
19,9,17,11,98,60,1027,1016,16,0,203,6
20,9,18,9,94,43,1027,1022,11,0,0,0
21,9,17,8,94,47,1023,1008,21,0,102,6
22,9,16,10,94,66,1008,999,19,0,203,6
23,9,15,10,100,63,1016,1003,27,0,711,6
24,9,17,10,94,57,1020,1015,29,0,102,6
25,9,18,8,94,41,1026,1019,14,0,0,6
26,9,16,5,100,43,1029,1026,14,0,0,1
27,9,17,4,100,43,1035,1029,21,0,0,1
28,9,17,4,100,47,1038,1035,23,0,0,1
29,9,17,4,100,35,1036,1032,23,0,0,1
30,9,17,4,93,33,1034,1031,26,45,0,0
1,10,16,4,93,34,1032,1028,23,35,0,0
2,10,17,3,100,39,1029,1018,14,0,0,1
3,10,20,4,100,40,1019,1013,13,0,0,0
4,10,18,7,93,40,1017,1014,14,0,0,0
5,10,17,9,100,70,1015,1004,14,0,51,6
6,10,19,13,100,79,1004,1000,14,0,76,6
7,10,14,12,94,80,1016,1003,26,0,51,6
8,10,15,7,100,61,1023,1016,21,0,0,6
9,10,16,4,100,48,1023,1021,10,0,0,1
10,10,12,6,100,81,1022,1017,16,0,0,1
11,10,13,2,100,52,1018,1015,14,0,0,1
12,10,11,1,100,54,1019,1016,8,0,0,1
13,10,5,1,100,74,1022,1015,19,0,0,1
14,10,7,2,100,71,1022,1017,14,0,406,6
15,10,6,2,100,81,1020,1017,13,0,203,6
16,10,8,5,100,74,1020,1016,13,0,102,2
17,10,9,6,95,78,1019,1016,10,0,25,6
18,10,11,6,100,57,1021,1018,8,0,0,2
19,10,12,9,100,71,1024,1020,11,0,0,2
20,10,14,5,100,58,1025,1023,14,0,0,2
21,10,12,4,100,67,1025,1015,26,0,76,2
22,10,13,9,100,71,1022,1014,21,0,25,6
23,10,13,7,94,53,1025,1021,11,0,0,0
24,10,14,9,88,56,1022,1015,14,0,0,6
25,10,13,8,94,70,1026,1018,11,0,0,6
26,10,15,7,100,60,1024,1015,14,0,0,1
27,10,16,4,100,58,1016,1011,14,0,0,1
28,10,14,11,94,66,1012,1008,16,0,0,6
29,10,15,8,94,62,1022,1012,19,0,0,1
30,10,16,5,100,59,1025,1021,14,0,0,1
31,10,17,4,100,53,1028,1023,13,0,0,1
1,11,19,3,100,48,1031,1028,11,0,0,1
2,11,17,1,100,46,1029,1023,8,0,0,1
3,11,18,2,100,43,1023,1017,14,0,0,1
4,11,16,11,94,54,1019,1015,29,0,51,6
5,11,18,10,94,60,1020,1016,23,0,76,6
6,11,17,13,94,68,1021,1017,26,0,51,6
7,11,19,14,94,68,1026,1021,35,55,51,6
8,11,18,9,100,68,1029,1018,29,0,25,0
9,11,14,13,88,55,1025,1019,37,60,0,6
10,11,15,12,88,58,1026,1023,35,53,51,0
11,11,13,11,88,57,1026,1023,26,0,0,0
12,11,16,11,88,58,1027,1021,23,0,0,0
13,11,14,7,82,51,1027,1020,40,69,203,6
14,11,11,6,93,61,1028,1017,40,58,102,6
15,11,16,8,94,65,1017,1013,43,64,0,6
16,11,13,11,94,11,1016,1011,29,40,203,6
17,11,16,12,100,60,1012,1005,48,77,102,6
18,11,14,12,94,52,1018,1007,45,77,406,6
19,11,12,8,99,58,1016,1010,35,50,1803,6
20,11,9,5,88,67,1013,1000,26,0,0,6
21,11,6,2,93,76,1005,995,24,0,406,6
22,11,5,0,93,72,1017,1005,19,0,76,9
23,11,6,-1,93,57,1026,1018,19,0,0,0
24,11,6,0,93,65,1025,1007,39,63,305,9
25,11,9,3,93,71,1012,1006,26,0,305,6
26,11,9,2,100,60,1022,1012,11,0,0,6
27,11,6,1,100,74,1022,1007,32,0,0,6
28,11,8,3,93,57,1016,1006,45,66,102,6
29,11,11,6,94,73,1013,1009,45,66,203,6
30,11,11,8,94,60,1020,1014,48,69,711,6
1,12,13,9,100,74,1028,1017,29,0,203,6
2,12,12,9,82,54,1028,1026,23,0,0,0
3,12,12,8,81,54,1029,1020,27,0,0,0
4,12,9,7,93,59,1032,1019,34,0,76,6
5,12,8,6,87,43,1032,1021,34,48,0,0
6,12,11,6,87,61,1027,1020,35,50,0,0
7,12,13,9,93,66,1031,1027,19,0,0,6
8,12,12,8,94,65,1029,1025,26,0,102,6
9,12,9,5,93,58,1038,1029,24,0,0,0
10,12,6,3,93,67,1037,1025,29,0,0,0
11,12,9,3,93,73,1026,1022,32,0,787,6
12,12,11,6,93,71,1025,1017,40,63,0,6
13,12,8,7,100,73,1022,1016,37,55,305,6
14,12,8,5,93,72,1022,1018,18,0,0,0
15,12,11,5,93,75,1023,1019,21,0,0,6
16,12,13,9,100,79,1025,1020,24,0,203,6
17,12,16,12,88,50,1025,1018,26,0,0,6
18,12,12,10,94,67,1024,1019,21,0,0,6
19,12,14,9,100,71,1022,1015,23,0,0,6
20,12,13,11,94,63,1019,1013,29,0,102,6
21,12,11,9,94,66,1023,1018,47,69,0,6
22,12,13,10,96,60,1023,1018,37,63,0,6
23,12,11,7,94,65,1027,1017,35,53,0,6
24,12,13,6,100,62,1025,1016,35,60,102,6
25,12,13,7,100,74,1027,1023,34,48,203,6
26,12,14,11,82,64,1026,1023,32,45,0,0
27,12,14,8,93,60,1029,1023,26,0,0,0
28,12,13,4,100,53,1029,1020,19,0,0,0
29,12,11,6,100,68,1029,1019,24,0,0,0
30,12,9,6,100,66,1029,1012,27,0,0,0
31,12,9,6,93,57,1022,1012,32,45,0,6
