D,M,A,Max TemperatureC,Min TemperatureC,Max Humidity, Min Humidity, Max VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h,Precipitationmm, CloudCover, Events,PromedioTMax,PromedioTMin
20,7,2015,30,17,94,36,31,10,23,0,4,7,28,13
21,7,2015,33,19,88,30,31,10,21,0,2,0,28,13
22,7,2015,32,18,94,32,31,6,39,1,5,7,28,13
23,7,2015,29,18,100,44,31,6,26,17,5,7,28,13
24,7,2015,28,18,100,53,31,9,21,0,6,7,28,13
25,7,2015,26,15,94,43,31,6,23,22,6,7,28,13
26,7,2015,23,13,94,38,29,10,11,3,5,1,28,13
27,7,2015,24,14,100,45,31,8,14,2,4,1,28,13
28,7,2015,22,12,94,43,19,7,19,4,6,1,28,13
29,7,2015,22,13,94,52,19,6,16,2,6,7,28,13
30,7,2015,18,12,94,47,31,10,11,0,6,1,28,13
31,7,2015,24,10,94,30,27,10,19,0,3,0,28,13
1,8,2015,22,12,100,52,31,6,24,0,6,1,26,9
2,8,2015,21,14,100,63,19,8,14,0,5,1,26,9
3,8,2015,28,12,100,34,31,8,16,0,2,0,26,9
4,8,2015,32,14,100,28,31,6,48,1,3,7,26,9
5,8,2015,31,14,100,41,31,10,11,0,3,0,26,9
6,8,2015,32,17,94,27,31,10,16,0,2,0,26,9
7,8,2015,33,16,88,35,31,10,21,0,3,7,26,9
8,8,2015,30,18,100,43,31,4,24,22,5,7,26,9
9,8,2015,32,14,100,28,31,6,29,2,3,7,26,9
10,8,2015,30,16,94,32,31,10,21,0,2,7,26,9
11,8,2015,30,17,94,25,31,10,19,0,2,0,26,9
12,8,2015,31,16,88,28,31,10,13,0,1,0,26,9
13,8,2015,33,14,88,17,31,10,23,0,1,0,26,9
14,8,2015,29,16,77,21,31,10,29,10,4,1,26,9
15,8,2015,23,15,100,53,31,6,26,4,6,7,26,9
16,8,2015,21,15,100,65,27,5,19,7,6,1,26,9
17,8,2015,18,14,100,68,31,7,14,12,6,1,26,9
18,8,2015,22,13,100,43,26,7,21,9,5,1,26,9
19,8,2015,14,13,100,82,29,3,19,4,6,1,26,9
20,8,2015,18,12,100,57,31,10,11,5,6,1,26,9
21,8,2015,22,12,100,39,26,10,13,0,5,0,26,9
22,8,2015,24,9,100,31,31,8,21,0,2,0,26,9
23,8,2015,25,11,94,29,31,8,32,0,3,0,26,9
24,8,2015,26,16,77,31,31,10,39,0,5,0,26,9
25,8,2015,19,12,94,51,31,5,19,4,6,1,26,9
26,8,2015,26,8,100,38,14,10,14,0,2,0,26,9
27,8,2015,31,12,94,17,31,6,21,0,3,0,26,9
28,8,2015,31,14,88,25,31,10,16,3,4,0,26,9
29,8,2015,32,14,94,27,31,10,19,0,1,0,26,9
30,8,2015,33,17,88,18,31,10,19,0,1,0,26,9
31,8,2015,32,14,82,12,29,8,23,0,1,0,26,9
1,9,2015,30,14,94,16,29,10,40,12,4,7,18,5
2,9,2015,18,14,100,77,31,5,19,7,6,1,18,5
3,9,2015,21,12,100,56,19,6,18,3,6,7,18,5
4,9,2015,19,11,95,46,31,10,14,0,6,1,18,5
5,9,2015,12,11,94,77,26,6,18,16,6,1,18,5
6,9,2015,14,8,100,49,31,10,23,0,6,0,18,5
7,9,2015,16,6,100,38,31,10,14,0,5,0,18,5
8,9,2015,20,6,100,31,31,10,21,0,2,0,18,5
9,9,2015,20,8,93,37,29,10,26,0,4,0,18,5
10,9,2015,18,8,93,37,31,10,19,1,4,7,18,5
11,9,2015,22,7,100,27,31,10,18,0,4,0,18,5
12,9,2015,24,8,94,23,31,10,26,0,4,0,18,5
13,9,2015,23,9,88,31,26,10,37,0,4,0,18,5
14,9,2015,18,12,94,32,27,6,34,4,5,1,18,5
15,9,2015,22,10,100,32,18,7,26,0,6,1,18,5
16,9,2015,24,9,94,30,31,10,37,0,4,0,18,5
17,9,2015,28,13,82,25,31,10,35,1,4,1,18,5
18,9,2015,19,9,94,45,27,9,26,1,5,1,18,5
19,9,2015,19,11,100,46,31,9,27,5,6,1,18,5
20,9,2015,17,10,100,51,31,10,14,1,6,1,18,5
21,9,2015,19,8,94,38,29,10,11,0,4,0,18,5
22,9,2015,18,6,100,52,31,10,19,0,6,0,18,5
23,9,2015,9,7,93,68,31,9,23,10,7,1,18,5
24,9,2015,12,7,100,67,23,6,10,0,6,1,18,5
25,9,2015,16,6,94,49,31,10,13,0,6,0,18,5
26,9,2015,15,11,94,58,31,10,13,0,7,0,18,5
27,9,2015,14,11,94,50,31,9,14,0,6,0,18,5
28,9,2015,14,4,100,32,31,6,26,0,4,0,18,5
29,9,2015,16,2,93,33,31,10,24,0,2,0,18,5
30,9,2015,16,2,100,35,31,10,24,0,1,2,18,5
1,10,2015,19,1,95,21,31,10,26,0,2,0,15,0
2,10,2015,23,3,100,27,31,10,27,0,3,0,15,0
3,10,2015,23,11,88,27,26,10,29,0,4,0,15,0
4,10,2015,20,6,100,35,31,5,39,4,5,5,15,0
5,10,2015,19,4,100,38,31,0,11,2,5,5,15,0
6,10,2015,20,10,100,49,29,6,23,11,6,1,15,0
7,10,2015,16,12,100,74,31,6,13,3,6,1,15,0
8,10,2015,15,11,100,59,31,9,11,0,6,1,15,0
9,10,2015,18,9,94,45,31,10,14,0,4,0,15,0
10,10,2015,17,10,94,54,27,7,18,0,6,1,15,0
11,10,2015,15,8,100,56,27,5,19,1,5,1,15,0
12,10,2015,17,6,93,50,31,5,19,0,4,0,15,0
13,10,2015,11,7,94,80,13,6,11,1,6,1,15,0
14,10,2015,8,5,100,73,31,5,21,2,6,1,15,0
15,10,2015,9,4,100,64,24,6,13,1,6,1,15,0
16,10,2015,8,4,100,71,31,6,13,2,6,1,15,0
17,10,2015,9,4,93,58,31,9,14,0,6,1,15,0
18,10,2015,12,6,94,59,27,9,11,1,6,1,15,0
19,10,2015,9,5,95,69,29,8,11,5,7,1,15,0
20,10,2015,12,3,100,45,31,5,11,0,5,1,15,0
21,10,2015,13,2,100,42,27,2,14,0,4,0,15,0
22,10,2015,13,3,93,41,31,10,13,0,5,0,15,0
23,10,2015,16,5,100,47,26,8,14,0,4,0,15,0
24,10,2015,17,0,100,34,29,7,8,0,1,2,15,0
25,10,2015,15,2,100,44,31,8,6,0,5,0,15,0
26,10,2015,18,1,100,38,23,0,14,0,1,2,15,0
27,10,2015,18,0,100,32,31,2,26,0,2,2,15,0
28,10,2015,19,4,87,34,26,10,27,0,4,0,15,0
29,10,2015,11,7,100,73,26,5,19,2,6,1,15,0
30,10,2015,17,4,100,52,31,0,10,0,3,2,15,0
31,10,2015,17,4,93,51,27,6,13,0,6,0,15,0
1,11,2015,17,1,100,30,31,2,19,0,0,0,12,-3
2,11,2015,16,-2,100,22,31,10,26,0,0,0,12,-3
3,11,2015,18,-1,87,17,31,10,29,0,6,0,12,-3
4,11,2015,17,5,93,31,27,10,11,0,5,0,12,-3
5,11,2015,17,4,93,39,31,10,10,0,4,0,12,-3
6,11,2015,17,2,100,42,24,8,8,0,3,0,12,-3
7,11,2015,17,2,100,42,31,10,8,0,5,0,12,-3
8,11,2015,19,3,100,46,31,9,8,0,2,0,12,-3
9,11,2015,17,2,100,48,27,2,11,0,3,2,12,-3
10,11,2015,18,3,100,38,31,7,8,0,4,0,12,-3
11,11,2015,16,1,100,50,31,8,6,0,2,2,12,-3
12,11,2015,13,-1,100,41,31,4,13,0,2,2,12,-3
13,11,2015,14,-1,100,35,29,10,8,0,3,0,12,-3
14,11,2015,12,1,100,60,23,8,10,0,5,0,12,-3
15,11,2015,19,3,100,23,31,6,40,0,5,1,12,-3
16,11,2015,18,3,93,35,31,10,8,0,1,0,12,-3
17,11,2015,12,0,100,46,21,8,10,0,5,0,12,-3
18,11,2015,22,2,93,20,31,8,21,0,5,1,12,-3
19,11,2015,13,-1,87,31,24,10,13,0,4,0,12,-3
20,11,2015,16,4,100,40,31,6,27,5,6,1,12,-3
21,11,2015,6,1,93,67,26,7,13,2,6,6,12,-3
22,11,2015,3,-1,100,78,27,1,11,2,6,3,12,-3
23,11,2015,4,-4,93,46,27,10,11,0,2,0,12,-3
24,11,2015,3,-7,93,35,26,6,11,0,2,0,12,-3
25,11,2015,2,-5,93,50,31,10,11,0,6,3,12,-3
26,11,2015,2,-1,100,87,13,1,14,2,7,6,12,-3
27,11,2015,3,-1,100,65,18,5,11,0,5,3,12,-3
28,11,2015,1,-4,93,63,29,9,13,0,6,3,12,-3
29,11,2015,4,-3,100,54,26,3,14,0,6,5,12,-3
30,11,2015,9,-1,100,52,31,6,18,0,6,1,12,-3
1,12,2015,7,-1,100,87,11,5,14,2,6,1,7,-6
2,12,2015,9,4,100,81,14,0,11,0,6,2,7,-6
3,12,2015,8,-2,100,59,19,0,8,0,6,2,7,-6
4,12,2015,8,-4,100,41,31,6,8,0,6,0,7,-6
5,12,2015,9,-2,100,49,24,8,10,0,3,0,7,-6
6,12,2015,8,-4,100,46,31,5,8,0,0,0,7,-6
7,12,2015,8,-4,100,46,31,8,8,0,0,0,7,-6
8,12,2015,9,-4,100,45,31,9,11,0,4,0,7,-6
9,12,2015,5,-3,100,68,31,3,10,2,6,1,7,-6
10,12,2015,6,-4,100,39,27,8,11,0,3,0,7,-6
11,12,2015,4,-7,93,36,31,6,11,0,5,0,7,-6
12,12,2015,3,-6,93,45,31,8,13,0,4,0,7,-6
13,12,2015,6,-8,100,33,26,10,8,0,1,0,7,-6
14,12,2015,6,-7,93,31,31,5,8,0,1,0,7,-6
15,12,2015,5,-7,93,40,27,6,8,0,5,0,7,-6
16,12,2015,3,-4,100,74,19,1,11,5,6,1,7,-6
17,12,2015,9,2,100,76,27,0,11,1,5,5,7,-6
18,12,2015,6,-1,100,80,31,0,11,0,6,2,7,-6
19,12,2015,10,0,100,64,31,0,8,0,5,2,7,-6
20,12,2015,12,-3,100,47,27,0,16,0,1,8,7,-6
21,12,2015,8,-1,100,57,31,6,14,0,5,0,7,-6
22,12,2015,9,-2,100,44,31,7,14,0,6,0,7,-6
23,12,2015,8,-4,100,48,31,6,18,0,1,0,7,-6
24,12,2015,9,-5,100,40,29,8,8,0,3,0,7,-6
25,12,2015,8,-4,100,44,27,5,8,0,1,0,7,-6
26,12,2015,8,-5,100,40,29,8,11,0,0,0,7,-6
27,12,2015,9,-6,100,33,31,10,6,0,0,0,7,-6
28,12,2015,8,-6,93,33,27,10,6,0,0,0,7,-6
29,12,2015,9,-6,93,28,31,3,8,0,0,0,7,-6
30,12,2015,7,-6,93,37,31,6,8,0,0,0,7,-6
31,12,2015,5,-6,93,38,27,8,11,0,6,6,7,-6
