EET,Temperatura m‡ximaC,Temperatura mediaC,Temperatura m’nimaC,Punto de roc’oC,MeanDew PointC,Min DewpointC,Max Humedad, Mean Humedad, Min Humedad, Max Presi—n al nivel del marhPa, Mean Presi—n al nivel del marhPa, Min Presi—n al nivel del marhPa, Max VisibilidadKm, Mean VisibilidadKm, Min VisibilidadkM, Max Velocidad del vientoKm/h, Mean Velocidad del vientoKm/h, Max Velocidad de r‡fagasKm/h,Precipitaci—nmm, CloudCover, Eventos,WindDirDegrees
2011-1-17,9,7,5,5,3,1,87,76,62,1029,1028,1026,10,10,10,34,24,,0.00,4,,4
2011-1-18,10,7,3,3,2,1,93,74,58,1028,1025,1024,10,10,6,14,11,,0.00,2,,34
2011-1-19,10,6,2,3,2,-1,93,74,58,1024,1022,1020,8,7,5,13,8,,0.00,,,59
2011-1-20,10,6,2,5,3,0,93,73,58,1020,1019,1017,6,6,6,13,8,,0.00,,,86
2011-1-21,15,9,4,7,4,2,100,71,45,1020,1019,1019,10,8,4,19,6,,0.00,5,Lluvia,68
2011-1-22,15,11,8,8,5,4,81,66,48,1018,1017,1016,10,8,4,14,8,,0.00,6,Lluvia,85
2011-1-23,12,9,6,9,7,4,93,81,72,1016,1014,1012,10,10,7,29,13,42,0.00,6,Lluvia,216
2011-1-24,7,6,5,5,3,2,93,85,76,1015,1014,1010,10,8,4,26,21,,0.00,6,Lluvia,23
2011-1-25,7,4,2,4,2,1,93,86,76,1012,1011,1010,10,9,7,47,24,,0.00,6,Lluvia,6
2011-1-26,7,4,2,3,1,0,93,79,61,1016,1014,1011,10,9,6,27,16,,0.00,6,Lluvia-Nieve,43
2011-1-27,6,4,3,3,2,-1,93,81,70,1020,1019,1016,10,9,6,16,6,,0.00,3,Lluvia,262
2011-1-28,9,6,2,3,-1,-4,93,63,40,1021,1019,1016,10,7,2,34,13,52,0.00,6,,47
2011-1-29,8,6,4,2,1,-1,81,70,57,1019,1017,1016,10,9,6,40,31,60,0.00,6,Lluvia,15
2011-1-30,6,3,0,1,-1,-4,93,75,61,1019,1018,1018,10,8,6,37,27,,0.00,5,Lluvia,347
2011-1-31,5,1,2,-3,-4,-5,86,67,49,1024,1021,1019,10,9,6,27,16,,0.00,5,,345
2011-2-1,5,2,0,-1,-3,-6,87,69,52,1025,1024,1023,10,9,6,37,24,,0.00,5,Nieve,339
2011-2-2,7,2,2,-1,-3,-4,86,69,53,1025,1023,1022,6,5,3,19,10,,0.00,,,311
2011-2-3,9,4,0,2,-1,-4,81,65,50,1022,1021,1020,10,6,3,27,14,45,0.00,3,,24
2011-2-4,8,6,4,1,-1,-3,66,62,57,1026,1023,1021,10,10,9,29,21,40,0.00,4,,36
2011-2-5,8,4,2,4,0,-3,81,67,53,1026,1025,1024,10,10,10,23,14,,0.00,2,,226
2011-2-6,11,9,7,7,4,2,93,73,58,1024,1022,1020,,,,24,18,,0.00,,,219
2011-2-7,13,8,3,7,3,1,100,69,44,1024,1022,1021,8,5,4,23,8,,0.00,,,1
2011-2-8,12,7,3,8,5,1,100,85,54,1022,1020,1017,8,5,1,13,3,,0.00,,Niebla,217
2011-2-9,12,9,6,7,3,-1,100,70,47,1019,1017,1015,10,7,4,26,13,29,0.00,1,,357
2011-2-10,10,6,2,3,-1,-3,93,65,46,1024,1021,1019,10,9,6,26,13,,0.00,2,,17
2011-2-11,8,4,0,2,-2,-6,81,60,37,1024,1021,1016,7,6,6,26,10,,0.00,,,184
2011-2-12,13,10,7,7,3,0,76,64,50,1016,1012,1009,10,10,10,35,21,52,0.00,6,,216
2011-2-13,10,7,4,3,-1,-5,71,57,37,1020,1018,1016,10,10,10,23,18,,0.00,4,,52
2011-2-14,10,7,4,0,-2,-4,66,52,40,1017,1013,1011,10,10,10,21,10,,0.00,5,,67
2011-2-15,7,4,3,1,-1,-4,76,68,56,1015,1012,1011,10,10,10,32,19,,0.00,6,,34
2011-2-16,7,4,3,-3,-4,-5,65,56,46,1020,1017,1015,10,10,10,24,16,37,0.00,5,,50
2011-2-17,11,7,3,2,-2,-3,65,55,43,1019,1018,1016,10,10,10,14,10,,0.00,6,,83
2011-2-18,17,12,8,6,4,2,87,57,37,1017,1013,1005,10,9,6,23,8,,0.00,5,Lluvia,62
2011-2-19,15,11,8,8,6,3,93,75,45,1004,1001,999,10,9,7,29,19,,0.00,6,Lluvia,6
2011-2-20,9,7,4,7,3,0,93,83,70,1016,1011,1003,10,9,7,39,26,53,0.00,6,Lluvia,359
2011-2-21,8,6,4,1,0,-1,81,67,53,1017,1016,1015,10,9,7,26,16,,0.00,6,,19
2011-2-22,9,7,5,7,4,1,93,80,62,1015,1011,1008,10,8,4,21,16,,0.00,6,Lluvia,24
2011-2-23,9,8,7,8,7,6,100,92,87,1015,1012,1011,10,8,4,29,21,,0.00,6,Lluvia,1
2011-2-24,10,8,7,8,6,5,93,92,87,1017,1016,1014,10,8,4,34,24,45,0.00,6,Lluvia,17
2011-2-25,8,7,5,6,5,3,100,91,87,1016,1015,1013,7,4,2,40,27,55,0.00,6,Lluvia,2
2011-2-26,5,3,1,3,1,-1,93,88,81,1021,1019,1017,10,7,4,48,35,71,0.00,6,Lluvia,356
2011-2-27,4,2,1,1,0,0,93,83,75,1020,1019,1018,10,7,6,29,24,40,0.00,6,Lluvia,9
2011-2-28,7,4,2,3,1,-1,93,76,61,1026,1023,1019,10,9,6,26,19,,0.00,6,Lluvia,23
2011-3-1,6,3,2,1,-1,-2,81,77,66,1031,1028,1026,10,9,6,32,23,,0.00,6,,5
2011-3-2,7,4,2,1,-1,-2,81,70,61,1033,1032,1031,10,10,10,35,26,,0.00,6,,27
2011-3-3,8,7,5,0,-1,-2,70,62,53,1032,1030,1028,10,10,10,29,23,45,0.00,6,,48
2011-3-4,8,6,4,0,-1,-2,70,63,50,1031,1030,1029,10,10,10,26,18,,0.00,5,,38
2011-3-5,10,5,0,0,-2,-3,80,62,43,1029,1022,1015,,,,19,11,,0.00,,,40
2011-3-6,8,6,4,4,1,-1,81,74,61,1014,1011,1009,10,8,6,26,10,,0.00,6,Lluvia,6
2011-3-7,8,6,3,1,-3,-7,76,58,39,1022,1018,1014,10,10,10,42,24,66,0.00,6,Lluvia,29
2011-3-8,5,3,0,1,-3,-6,100,67,49,1022,1021,1019,10,7,1,52,37,74,0.00,6,Lluvia-Nieve,18
2011-3-9,3,1,0,1,-1,-2,100,92,75,1019,1017,1016,7,4,2,50,34,63,0.00,6,Nieve,345
2011-3-10,2,0,1,-1,-3,-5,100,82,65,1022,1020,1018,10,8,6,34,23,,0.00,6,Nieve,292
2011-3-11,7,4,2,1,-1,-3,75,66,53,1024,1022,1021,10,10,10,21,14,,0.00,5,,222
2011-3-12,10,6,1,2,-1,-7,87,59,32,1028,1027,1025,9,7,6,16,8,,0.00,,,182
2011-3-13,14,7,0,2,-2,-5,87,50,27,1028,1027,1026,7,5,4,21,6,,0.00,,,127
2011-3-14,15,9,4,5,2,-2,93,58,39,1027,1026,1025,10,8,7,14,6,,0.00,,,235
2011-3-15,17,12,8,9,5,0,100,65,32,1026,1025,1023,,,,19,8,,0.00,,,229
2011-3-16,19,14,9,9,6,3,100,64,35,1025,1023,1021,10,10,10,14,11,,0.00,2,,227
2011-3-17,16,11,7,9,5,2,88,64,39,1021,1019,1017,10,10,7,19,5,,0.00,5,Lluvia,220
2011-3-18,14,11,9,11,9,8,100,89,67,1017,1015,1014,10,9,6,23,8,,0.00,6,Lluvia,167
2011-3-19,10,8,7,9,7,7,100,93,87,1018,1016,1014,10,7,4,32,21,,0.00,6,Lluvia,360
2011-3-20,10,8,7,9,7,6,100,92,87,1021,1019,1017,10,6,4,27,21,,0.00,5,Lluvia,15
2011-3-21,9,7,6,7,3,0,93,77,66,1028,1024,1021,10,7,4,39,26,48,0.00,6,,15
2011-3-22,9,7,6,1,0,-2,70,64,46,1030,1029,1028,10,10,7,35,23,45,0.00,5,Lluvia,15
2011-3-23,10,7,3,1,-3,-10,76,54,27,1029,1027,1024,10,9,6,21,16,,0.00,4,,17
2011-3-24,11,8,6,6,3,-1,93,72,61,1026,1024,1023,10,9,5,16,8,,0.00,5,,214
2011-3-25,13,9,5,7,4,2,100,73,51,1026,1023,1019,7,5,2,21,10,,0.00,,,211
2011-3-26,17,12,8,7,6,4,93,67,45,1019,1017,1014,6,6,6,23,13,,0.00,,,226
2011-3-27,19,14,9,9,7,4,93,67,43,1020,1017,1016,10,10,6,27,16,,0.00,6,Lluvia,235
2011-3-28,14,10,7,9,8,7,100,87,67,1021,1019,1018,10,7,0,19,13,,0.00,4,Niebla,258
2011-3-29,18,12,7,12,9,7,100,79,52,1018,1017,1014,10,8,3,16,5,37,0.00,4,Lluvia,220
2011-3-30,16,13,10,11,9,6,100,80,63,1020,1017,1015,10,10,7,23,10,,0.00,4,Lluvia,182
2011-3-31,14,11,9,8,7,6,82,73,59,1023,1021,1019,10,10,10,29,16,,0.00,4,Lluvia,18
2011-4-1,12,10,9,8,7,6,93,84,72,1023,1021,1019,10,9,7,32,19,,0.00,6,Lluvia,31
2011-4-2,10,9,8,9,8,7,100,92,82,1019,1013,1011,10,7,4,26,19,37,0.00,6,Lluvia,10
2011-4-3,10,8,7,7,7,6,100,92,82,1014,1011,1009,10,9,6,37,23,,0.00,6,,321
2011-4-4,8,7,7,6,5,4,93,86,76,1017,1015,1013,10,8,6,34,26,,0.00,6,,348
2011-4-5,11,8,6,7,6,4,93,83,71,1019,1017,1016,7,6,6,19,8,,0.00,4,,321
2011-4-6,11,9,8,7,6,5,87,79,67,1020,1019,1018,8,6,6,21,14,,0.00,5,,8
2011-4-7,14,11,9,8,6,5,82,72,59,1020,1018,1014,10,7,6,14,11,,0.00,5,,253
2011-4-8,16,12,9,9,7,4,93,74,55,1014,1009,1005,10,9,6,35,16,,0.00,4,Lluvia,217
2011-4-9,18,12,7,9,7,4,100,77,56,1011,1007,1003,10,9,3,32,14,50,0.00,5,Lluvia,206
2011-4-10,12,10,8,7,4,-1,82,67,41,1012,1010,1008,10,10,6,34,13,29,0.00,5,Lluvia-Tormenta,332
2011-4-11,10,8,5,4,2,-1,81,66,47,1016,1013,1010,10,10,10,32,13,,0.00,5,Lluvia,15
2011-4-12,11,7,4,6,3,1,87,72,62,1016,1014,1011,10,10,10,23,10,,0.00,5,,211
2011-4-13,19,14,9,8,7,5,82,65,42,1012,1010,1007,10,10,10,21,11,,0.00,5,,201
2011-4-14,14,10,7,8,6,4,93,74,59,1012,1006,1001,10,9,6,40,23,53,0.00,5,Lluvia,218
2011-4-15,13,10,8,7,5,4,82,71,54,1015,1012,1011,10,10,10,23,16,,0.00,4,,214
2011-4-16,14,11,8,6,3,1,87,64,47,1020,1018,1016,10,10,10,27,18,,0.00,4,,31
2011-4-17,13,10,8,4,1,-2,71,52,38,1022,1020,1017,10,10,4,37,23,47,0.00,5,Lluvia,48
2011-4-18,10,8,7,8,7,5,93,87,71,1018,1013,1010,10,7,4,35,24,58,0.00,6,Lluvia,26
2011-4-19,11,9,8,8,6,4,93,82,66,1013,1010,1008,10,8,6,24,18,,0.00,6,Lluvia,2
2011-4-20,12,10,9,10,6,3,100,81,62,1020,1014,1010,10,8,3,34,13,48,0.00,5,Lluvia,333
2011-4-21,16,11,7,4,-1,-7,81,48,23,1023,1022,1020,,,,34,18,50,0.00,,,38
2011-4-22,13,10,7,4,2,-1,71,59,41,1021,1019,1017,10,10,10,35,19,53,0.00,2,,34
2011-4-23,13,10,8,6,3,0,87,61,41,1020,1019,1018,10,10,10,26,16,,0.00,3,,17
2011-4-24,13,9,6,7,6,4,93,74,54,1021,1020,1019,10,10,10,23,14,,0.00,4,,353
2011-4-25,14,11,8,7,6,4,93,71,55,1021,1020,1019,10,10,10,27,18,29,0.00,3,,31
2011-4-26,16,12,9,8,6,5,82,68,51,1019,1016,1014,10,10,10,26,16,35,0.00,3,,36
2011-4-27,12,11,10,10,8,6,100,84,71,1014,1013,1012,10,7,4,24,14,,0.00,6,Lluvia,10
2011-4-28,14,12,10,12,10,9,100,93,82,1012,1010,1009,10,7,4,23,11,,0.00,6,Lluvia,353
2011-4-29,14,12,10,11,9,8,94,89,77,1010,1008,1007,10,8,4,16,11,,0.00,5,,271
2011-4-30,16,13,11,12,11,9,100,85,68,1011,1009,1008,10,8,4,14,8,,0.00,4,,233
2011-5-1,22,16,9,14,10,7,100,75,40,1011,1009,1007,10,8,3,19,11,,0.00,6,Lluvia,52
2011-5-2,21,17,14,14,13,12,100,79,60,1010,1008,1006,10,7,4,16,6,35,0.00,5,,227
2011-5-3,22,17,13,15,13,12,100,83,53,1010,1008,1004,10,8,6,14,6,,0.00,6,Lluvia,140
2011-5-4,19,16,12,16,14,11,100,93,77,1009,1005,1003,10,7,3,34,11,,0.00,6,Lluvia,302
2011-5-5,13,12,11,12,9,6,100,83,67,1019,1014,1009,10,9,6,26,16,,0.00,6,Lluvia,1
2011-5-6,14,12,10,9,6,0,88,68,41,1026,1023,1019,10,8,6,29,19,,0.00,6,Lluvia,23
2011-5-7,17,11,5,7,3,-1,93,59,30,1026,1022,1017,10,7,5,16,11,,0.00,1,,63
2011-5-8,18,12,7,9,6,2,77,65,37,1019,1017,1016,10,10,10,34,13,,0.00,6,,10
2011-5-9,16,13,11,8,6,4,82,65,48,1021,1020,1018,10,10,10,24,18,,0.00,5,,26
2011-5-10,17,13,9,7,5,2,76,61,39,1020,1018,1017,10,10,10,26,13,,0.00,3,,47
2011-5-11,18,14,10,8,7,4,87,64,42,1017,1014,1012,10,8,6,32,19,,0.00,4,,31
2011-5-12,16,13,12,9,7,5,82,66,48,1013,1011,1010,10,10,10,26,19,40,0.00,5,,24
2011-5-13,16,13,12,12,10,8,100,80,63,1017,1015,1013,10,9,7,21,14,,0.00,4,,295
2011-5-14,22,16,11,13,12,10,100,82,50,1017,1016,1015,10,4,1,19,8,,0.00,2,Niebla,233
2011-5-15,21,16,11,14,11,7,100,72,43,1018,1016,1015,10,8,6,19,11,,0.00,3,,235
2011-5-16,26,19,13,11,8,4,82,48,24,1016,1015,1014,6,6,6,11,5,,0.00,,,160
2011-5-17,27,20,14,11,9,4,82,53,24,1018,1016,1015,10,9,6,35,11,,0.00,1,,7
2011-5-18,19,17,14,12,11,9,82,73,60,1018,1017,1015,10,10,10,32,21,,0.00,4,,12
2011-5-19,18,16,14,13,12,11,88,78,68,1017,1016,1014,10,10,7,24,13,,0.00,5,Lluvia,342
2011-5-20,21,18,15,15,13,11,94,82,56,1017,1016,1015,10,10,10,21,10,,0.00,4,,275
2011-5-21,23,18,13,15,13,11,100,77,50,1018,1017,1016,10,10,10,19,10,,0.00,3,,264
2011-5-22,25,19,14,14,12,10,88,63,39,1018,1017,1017,10,10,10,23,10,,0.00,1,,327
2011-5-23,26,20,14,13,12,9,82,60,36,1020,1019,1018,,,,29,16,,0.00,,,23
2011-5-24,26,21,16,14,12,9,88,60,34,1019,1018,1017,,,,29,18,,0.00,,,28
2011-5-25,26,21,17,15,13,10,88,62,39,1017,1016,1015,10,10,10,32,19,,0.00,1,,20
2011-5-26,26,22,18,15,14,12,83,63,42,1018,1017,1016,10,10,10,27,19,42,0.00,1,,21
2011-5-27,23,20,18,15,14,14,78,71,57,1017,1016,1014,10,10,10,29,21,,0.00,4,,29
2011-5-28,20,19,18,15,14,12,83,74,64,1014,1012,1011,10,10,7,26,19,,0.00,6,Lluvia,24
2011-5-29,22,19,17,14,13,11,82,68,50,1014,1012,1010,10,10,10,24,16,,0.00,4,,8
2011-5-30,23,19,16,16,14,8,94,74,38,1016,1015,1014,10,10,10,19,11,,0.00,3,,309
2011-5-31,22,20,18,16,15,14,83,73,64,1017,1016,1014,10,10,10,19,13,,0.00,5,,27
2011-6-1,24,20,16,17,16,14,100,77,57,1016,1015,1013,10,10,6,19,11,,0.00,3,,346
2011-6-2,23,19,16,16,15,13,94,74,57,1016,1014,1013,10,10,10,14,10,,0.00,3,,274
2011-6-3,25,21,17,17,15,13,83,70,57,1016,1016,1014,10,10,10,23,10,,0.00,2,Lluvia,339
2011-6-4,28,23,19,18,14,7,94,63,26,1017,1015,1014,10,10,10,21,13,,0.00,2,,22
2011-6-5,29,23,17,17,14,8,73,60,30,1015,1014,1013,,,,24,10,,0.00,,,352
2011-6-6,27,23,20,18,14,8,88,61,32,1015,1014,1014,,,,24,14,,0.00,,,29
2011-6-7,27,23,19,16,13,10,73,55,34,1015,1014,1013,,,,24,16,,0.00,,,40
2011-6-8,28,23,19,16,13,-2,78,57,14,1015,1014,1011,,,,14,10,,0.00,,,125
2011-6-9,29,24,21,18,15,10,68,54,36,1011,1008,1005,,,,26,10,,0.00,,,232
2011-6-10,27,23,20,17,14,11,73,56,37,1006,1004,1003,10,10,7,26,13,,0.00,5,Lluvia-Tormenta,75
2011-6-11,21,19,18,18,15,13,94,76,64,1008,1006,1004,10,10,10,23,14,,0.00,4,Lluvia,266
2011-6-12,24,21,19,18,16,14,88,75,57,1010,1009,1008,10,10,10,23,10,,0.00,5,Lluvia,327
2011-6-13,25,21,18,18,16,14,94,71,50,1012,1010,1009,10,10,7,23,14,,0.00,3,Lluvia,359
2011-6-14,25,21,17,19,16,13,94,75,53,1014,1012,1011,10,10,8,21,10,,0.00,4,Lluvia-Tormenta,360
2011-6-15,26,21,17,18,16,14,94,70,47,1016,1015,1014,10,10,10,29,13,45,0.00,3,,29
2011-6-16,24,22,20,19,17,16,94,74,65,1016,1015,1015,10,10,10,23,14,,0.00,5,Lluvia,31
2011-6-17,27,23,19,21,18,15,100,79,51,1016,1015,1015,10,10,7,26,10,,0.00,4,Lluvia,360
2011-6-18,27,23,19,20,18,15,100,71,48,1015,1014,1013,10,10,10,23,11,26,0.00,3,,27
2011-6-19,26,22,19,19,18,17,94,73,57,1013,1012,1009,10,9,6,14,8,,0.00,3,,184
2011-6-20,28,24,20,22,18,15,100,72,51,1016,1012,1009,10,9,1,34,11,,0.00,2,Niebla,15
2011-6-21,27,23,21,17,15,13,78,59,42,1021,1019,1016,10,10,10,24,16,,0.00,1,,22
2011-6-22,28,24,21,15,12,6,68,49,25,1021,1020,1019,10,10,10,34,18,,0.00,2,,40
2011-6-23,29,24,20,17,13,9,73,51,30,1019,1017,1015,,,,32,19,37,0.00,,,39
2011-6-24,29,24,21,18,16,11,83,59,37,1015,1013,1011,10,10,10,34,19,45,0.00,1,,37
2011-6-25,28,23,19,19,16,12,94,62,39,1011,1010,1008,10,10,6,34,14,47,0.00,3,Lluvia-Tormenta,3
2011-6-26,23,20,18,18,11,6,94,56,35,1015,1013,1011,10,10,6,37,27,55,0.00,4,Lluvia-Tormenta,357
2011-6-27,24,20,16,12,8,3,72,49,27,1014,1012,1012,10,10,10,23,13,39,0.00,3,Lluvia,323
2011-6-28,24,21,19,13,10,6,64,50,36,1012,1009,1007,10,10,10,26,14,,0.00,2,,222
2011-6-29,23,20,18,13,12,9,68,56,46,1010,1008,1007,10,10,10,16,8,,0.00,4,,234
2011-6-30,27,23,19,16,13,10,73,58,34,1011,1010,1008,10,10,10,21,11,,0.00,4,,186
2011-7-1,27,23,20,19,16,13,94,65,42,1009,1009,1007,10,10,6,40,13,,0.00,4,Lluvia-Tormenta,231
2011-7-2,25,22,20,19,17,14,94,71,53,1012,1010,1009,10,10,10,19,10,,0.00,3,Lluvia,234
2011-7-3,30,24,19,19,16,8,88,59,25,1011,1009,1006,10,10,10,34,11,34,0.00,3,,84
2011-7-4,25,22,20,19,16,12,94,69,50,1013,1011,1009,10,10,10,35,19,,0.00,3,,2
2011-7-5,28,23,18,19,14,9,83,58,30,1013,1012,1009,,,,16,6,,0.00,,,168
2011-7-6,30,26,21,18,15,9,78,56,32,1010,1008,1007,10,10,10,29,11,,0.00,3,,100
2011-7-7,29,24,20,19,15,10,94,57,32,1014,1012,1010,10,10,10,19,10,,0.00,1,,294
2011-7-8,31,26,21,16,12,9,61,41,27,1017,1016,1014,,,,29,14,35,0.00,,,31
2011-7-9,30,26,22,20,16,9,88,56,29,1019,1018,1017,10,10,10,34,18,,0.00,1,,36
2011-7-10,31,26,22,20,17,13,88,60,35,1018,1016,1015,10,10,10,29,16,,0.00,1,,40
2011-7-11,30,27,23,22,18,12,89,62,33,1015,1013,1012,10,10,10,34,18,,0.00,1,,28
2011-7-12,30,27,23,22,18,15,94,63,40,1013,1012,1011,10,10,10,29,18,27,0.00,2,,30
2011-7-13,30,27,24,22,20,17,89,69,48,1013,1012,1011,10,10,10,29,16,45,0.00,1,,16
2011-7-14,31,27,23,22,20,16,94,69,43,1014,1013,1012,10,10,10,27,16,32,0.00,2,,13
2011-7-15,32,27,23,22,18,12,94,60,29,1015,1014,1013,10,10,10,26,14,,0.00,1,,19
2011-7-16,31,26,22,22,18,10,94,64,31,1014,1012,1009,10,10,10,19,10,,0.00,1,,322
2011-7-17,35,29,23,20,16,10,83,48,23,1010,1008,1005,,,,23,11,,0.00,,,32
2011-7-18,32,28,25,23,18,13,89,59,35,1007,1006,1005,10,10,10,26,18,,0.00,2,,25
2011-7-19,33,28,23,22,19,17,89,61,38,1008,1008,1006,10,10,10,23,11,,0.00,1,,350
2011-7-20,31,27,24,23,20,16,89,64,40,1007,1005,1000,10,10,10,21,10,,0.00,1,,188
2011-7-21,31,28,25,22,19,15,74,59,45,1005,1001,998,10,10,10,35,14,,0.00,2,,44
2011-7-22,32,28,24,19,13,7,73,43,21,1008,1007,1005,10,10,10,21,11,,0.00,2,,76
2011-7-23,32,28,25,15,12,9,51,37,29,1011,1009,1008,10,10,10,27,13,37,0.00,1,,42
2011-7-24,33,28,24,21,17,12,78,52,31,1007,1004,1002,,,,34,18,40,0.00,,,45
2011-7-25,31,27,24,23,21,20,94,72,52,1006,1003,1002,10,10,10,23,14,,0.00,2,,12
2011-7-26,33,28,24,24,21,14,100,67,33,1014,1010,1006,10,10,10,14,10,,0.00,1,,244
2011-7-27,32,28,24,22,17,9,74,50,29,1017,1016,1014,10,10,10,14,8,,0.00,1,,228
2011-7-28,33,28,24,23,18,11,89,56,31,1016,1014,1011,,,,37,19,50,0.00,,,27
2011-7-29,31,28,25,24,21,19,89,69,52,1011,1007,1004,10,10,10,26,21,40,0.00,3,,22
2011-7-30,31,28,25,25,22,18,94,70,51,1008,1006,1005,10,10,10,19,13,,0.00,2,,316
2011-7-31,31,28,25,22,16,12,83,53,31,1010,1009,1008,10,10,10,26,19,,0.00,1,,27
2011-8-1,31,26,22,19,15,10,73,49,27,1010,1009,1009,10,10,10,29,16,,0.00,1,,36
2011-8-2,30,27,23,19,18,15,78,59,40,1013,1011,1010,10,10,10,29,16,,0.00,2,,17
2011-8-3,30,26,22,19,17,14,73,58,40,1015,1014,1012,10,10,10,37,16,48,0.00,2,,10
2011-8-4,31,27,23,18,16,10,73,53,29,1015,1014,1012,10,10,10,27,16,,0.00,2,,35
2011-8-5,29,26,23,17,16,12,69,53,35,1014,1013,1013,10,10,10,35,21,55,0.00,1,,51
2011-8-6,28,26,23,17,15,12,65,54,37,1014,1014,1013,10,10,10,32,21,47,0.00,2,,42
2011-8-7,29,26,22,17,16,13,73,57,39,1014,1013,1013,10,10,10,27,18,,0.00,2,,40
2011-8-8,30,26,22,17,15,11,69,55,33,1014,1013,1013,10,10,10,29,16,,0.00,2,,45
2011-8-9,30,26,22,19,17,13,73,59,35,1013,1011,1009,10,10,10,26,16,,0.00,2,,40
2011-8-10,30,26,22,21,18,16,83,64,43,1009,1008,1007,10,10,10,27,16,37,0.00,2,,32
2011-8-11,25,21,17,21,17,14,100,80,57,1010,1008,1006,10,9,3,47,27,66,0.00,5,Lluvia,310
2011-8-12,24,21,18,18,16,13,94,73,50,1010,1009,1008,10,10,10,48,26,66,0.00,5,,320
2011-8-13,28,23,18,16,14,12,83,58,39,1010,1009,1008,10,10,10,19,10,,0.00,1,,329
2011-8-14,30,24,19,19,15,12,73,57,33,1010,1010,1009,,,,19,8,32,0.00,,,288
2011-8-15,31,26,20,19,16,13,78,58,33,1012,1011,1010,10,10,10,23,11,,0.00,1,,4
2011-8-16,32,26,21,22,16,10,100,55,29,1013,1012,1011,6,6,6,23,13,,0.00,,,28
2011-8-17,33,27,21,21,15,12,78,49,28,1014,1013,1012,9,9,9,24,13,34,0.00,,,28
2011-8-18,30,27,23,23,17,12,94,62,42,1018,1016,1014,10,10,10,27,18,,0.00,1,,44
2011-8-19,31,26,20,16,13,8,78,50,24,1019,1017,1017,10,10,10,29,14,47,0.00,3,,37
2011-8-20,27,23,20,16,14,12,69,55,39,1017,1016,1015,10,10,10,24,14,37,0.00,2,,37
2011-8-21,29,24,20,18,16,13,73,59,37,1018,1017,1016,10,10,10,27,16,,0.00,1,,32
2011-8-22,29,26,22,19,14,8,83,55,28,1019,1018,1018,,,,29,16,40,0.00,,,48
2011-8-23,28,24,21,17,14,9,73,56,30,1019,1018,1018,10,10,10,29,16,,0.00,2,,46
2011-8-24,30,26,21,18,16,13,78,59,39,1018,1017,1015,10,10,10,27,16,47,0.00,1,,49
2011-8-25,29,26,22,21,16,12,94,60,35,1017,1016,1015,10,10,10,32,16,,0.00,1,,38
2011-8-26,29,26,22,18,16,15,73,58,42,1018,1017,1016,10,10,10,37,21,55,0.00,2,,41
2011-8-27,29,26,22,17,16,14,69,58,42,1017,1016,1015,10,10,10,35,23,58,0.00,2,,42
2011-8-28,28,24,21,17,16,13,69,60,39,1015,1014,1013,10,10,10,39,18,,0.00,3,,33
2011-8-29,28,24,22,18,17,14,78,63,42,1014,1011,1009,10,10,10,32,18,50,0.00,3,,18
